waterBody	reps
Rio Sarare - Rio Apure - Rio Orinoco	3
Rio SolimÃµes system	1
Rio Yumuri Drainage; Rio Yumuri	6
Rio de Contas basin	4
River Depenula	1
Roiate	6
Rungwa	1
Ruvu	8
Río Sarabia	27
Río Siapa - Río Casiquiare - Río Amazonas	1
SILVER LAKE	2
SULU SEA	25
Sacramento R. Basin; Sacramento R.	8
San Antonio	2
San Bartolme Bay	1
Sao Francisco R.basin ; RIO SAO FRANCISCO	10
Sardis Lake - Little Tallahatchie River	38
Save /Runde	48
Schlenkengraben	199
Scuppernong R.	120
Sequim Bay	9
Serchio Di Dalli	2
Sevier R.	4
Shell Creek	43
Smyrna R.	7
South Atlantic Ocean, Rio de la Plata, Samborombon Bay	1
South Pacific Ocean, Coral Sea, Gulf of Papua	29
South Pacific Ocean, La Perouse Bay	4
South Pacific Ocean, Santa Elena Bay	4
St. Lawrence R. System; Lake Erie	1
Strait of Jubal	1
Subcuenca Río Calima, Cuenca Río Calima	1
Surma (Meghna) drainage	1
Sycamore Cr.	10
TANO R.	1
TINTIN-CUMUTO RIVERS - CA	3
Tagbuni Creek	1
Tarogin R.	3
Tippecanoe R.	3
Trambacco	3
Trib. to Craig Creek	9
Underwater cave	1
Union Lake	2
Upper Zambezi River	1
Valley Lake	5
Vaqueria	11
Verdigre Creek	19
Vereda La Suiza	2
Virgin Islands Minor Coastal (misc. creek tribs)	1
WADING RIVER-MULLICA RIVE	3
Weinbach;	3
Western North Pacific Ocean	729
White Shield Creek	6
Whiteoak Creek - Cape Fear River	1
Yadkin-Peedee River drainage	1
Yah River	1
Yanahuana R.	1
Yoyo River	2
Zaire (Congo) R.	47
Zihuatenejo Bay	3
kongwati	31
namota	2
nickerie	3
waterfall stream	2
Øresund	204
"Laguna Villa Sonia, cuenca Magdalena"	2
"Quebrada El Jagual, cuenca Magdalena"	53
"Río Barroso, cuenca Cauca"	3
'Sikuk River'	1
Acquarossa	9
Adobe Creek	6
Alexander's Pond	1
Amper Bach	32
Angelina R.	5
Arroyo Baldovinos	1
Au Sable	26
Baaler Bach	43
Baetidae	2
Bahia de San Felipe	8
Bahía de San Vincente	10
Baie	1
Balung	3
Barada	9
Barcley Sound	6
Bastrop Bayou	1
Battle Lake	1
Baviaanskloofrivier	2
Bay of Banderas	17
BaÃ­a dos Coqueiros	1
Benway Lake	1
Big Cedar Creek	58
Big Flat Creek - Altamaha River	6
Big Muddy River - Mississippi River	1
Big Spring Creek	43
Black Creek, tributary	7
Borrow Pits	7
Botrangolo	4
Browns River	1
Buchholzer Wasser	46
Bulsjo River	1
CEDAR R-IOWA R-MISSISSIPP	2
CHOTEAU CREEK	1
CUMBERLAND RIVER	89
Campbell Pond	1
Campo da Rosinha	29
Candellero Bay	1
Carlisle Bay	2
Ceram Sea	25
Chalumna	2
Chambers Creek	34
Chao Phya	3
Choctawhatchee River	194
Ciénaga Plaza Seca, cuenca Atrato	11
Ciénaga de Zapatosa	484
Clear Lake Drainage; Seigler Creek	1
Cormorant R.	15
Cowoki Lake	2
Cruz del Eje	1
Cuori (Dei)	16
Desembocadura	414
Di Reborgo	2
Dofimowka	1
Drainage: Guadalupe River	2
Drainage: HIROSE RIVER	1
Drainage: R. Orinoco; Cano de Quiribana	2
Drainage: Rio Nonguen	1
Düsterdieker Aa	55
Estero Soledado	2
Five Runs Creek-Yellow River	38
Flatwood Pond	5
Forthbach	120
Frazers	24
GREAT SOUTH BAY - NEW YOR	15
GROTE NETE	4235
GULF OF THAILAND?	1
Gail	13
Gambia, River	4603
Golden Creek	21
Gordons Pond	1
Graveline Bayou	6
Gravesend Bay	6
Great  Fish river	2
Green River - Ohio River - Mississippi River	9
Große Dümecke	106
Guaymas Harbor	1
Gulf of Genoa	7
Hatzbach	44
Hlimbitwa River	24
IVINDO RIVER	138
Illinois Creek	20
Indian Creek - Cumberland River	1
Indian Ocean, Bay of Bangal	2
Indian Ocean, Persian Gulf	182
Inland Water; Lake Mweru	2
Irrawaddy R. Drainage; Xiaojiang R.	3
Ivory Coast - No Atlantic	1
Jintololo Channel	4
Juechener Bach	2
KORTE KEERBEEK	31
Kaluganga	1
Kalumengonga	8
Kennet	8
King	1
Kleine Röder (Schwarze Elster)	7
Krishna R. Basin	17
LICKING-OHIO RIVER	10
Lac Caron	4
Lac Orignal (b)	1
Lac de Larame	1
Lago Simão	33
Lago de Patzcuaro	2
Lake Monroe.	1
Lake Mozambique	2
Lake Texoma - Red River - Mississippi River	1
Leimbach	55
Linspherbach	73
Little Piney Creek	17
Lumda	211
Luwoyeye	1
Luxapalila Creek	161
Main channel and marginal pools	2
Main channel pools at present	8
Mainstream	6
Makoti	1
Marambangombe	1
Marine; Eastern Central Atlantic Ocean; Gulf of Guinea, Gulf of Guinea	45
Marmora	1
Maxfield Brook	1
Mormugao Bay	1
Muar River	6
Muertos Bay	2
Mulde	4
Mutlah River	1
Muzeirib	1
Mwetera & Kafue	1
NEW RIVER VIA EAST RIVER	7
NOORBEEK	64
Nahewehr Niederhausen	41
Navarro R.	8
Nguetebe Stream	1
Nidd	2
Nile; Nile	5
Nina River - Sepik River	8
Niobrara River Basin	257
North Atlantic Ocean, Caribbean Sea, Corbec Bay	1
North Atlantic Ocean, Davis Strait, Cumberland Sound	34
North Atlantic Ocean, Gulf Of Mexico, Appalachicola Bay	2
North Atlantic Ocean, Loch Fyne	1
North Atlantic Ocean, Mediterranean Sea, Alboran Sea	13
North Atlantic Ocean, Mediterranean Sea, Gulf of Sirte	1
North Atlantic Ocean, Narrows Bay	1
North Atlantic Ocean, North Sea, Crouch River	1
North Atlantic Ocean, Onslow Bay	13
North Atlantic Ocean, River Thames	1
North Atlantic Ocean, Umbrella Creek	1
North Atlantic Ocean, Wellfleet Bay	2
North Fork Edisto R.	132
North Pacific Ocean, Boundry Bay	1
North Pacific Ocean, Glacier Bay	1
North Pacific Ocean, Gulf Of California, La Paz Bay	2
North Pacific Ocean, Gulf of Richmond	2
North Pacific Ocean, Haro Strait	11
North Pacific Ocean, Sea of Okhotsk, Gulf of Sakhalin	1
North Sea, ICES quadrant 38 F2	1
North Sea, Southern Bight, de Wielingen, ca. 4-5 miles off Cadzand	29
Novo & Humboldt	11
Noya River	1
Nswaszi	1
Obere Prüm	129
Oberer Endertbach	96
Oconee River	72
Ohkawa River	1
Osage R.	81
Ozzeri	9
PDRA QUARRY	2
PRINCE WILLIAM SOUND	6
Pacific*	4
Pacific, Dupon Bay	123
Pacific, Honolulu Harbor	1
Padma	2
Pajaro R. Basin; Uvas Cr.	2
Papermill Cr.	12
Pecos River drainage	13
Peter Martin Creek	5
Piovega	16
Port Stephans	1
Poulter	1
Price Creek	7
Princess Royal Harbour	2
Pyramid Lake Basin (lake & direct creek tribs)	1
Quarazza	2
Quebrada Quita Arrechera, cuenca San Juan	21
R. Elota	6
R. Guayas Drainage	6
R. MAGDALENA BASIN	1
R. NAZAS	1
R. Patia Drainage; R. Telembi	5
R. Sabanalamar	9
RIFRAFBEEK	3
RIO ARENALES	4
RIO ARIMAO	4
RIO CHAGRES	1
RIO CRICAMOLA	10
RIO MOTAGUA BASIN; RIO NEGRO	2
RIO TILIRI	2
RIOS PETEXBATUN-PASION-US	20
RIOS SÃO FRANCISCO,PARAOPEBA E	5
Ramu River	4
Raquette R.	1
Rattlesnake Cr.	1
Red R. Basin; Qu'Appelle R.	2
Resolute Bay	4
Riara R.	1
