verbatimSRS	reps
WGS257	2
WGS2679	1
WGS2888	1
WGS295	2
WGS428	1
WGS466	1
WGS637	1
WGS675	1
WGS808	1
WGS846	1
WGS884	1
Córrego Alegre	2
NAD 27	24
WGS1017	1
WGS1055	1
WGS1093	1
WGS1226	1
WGS1264	1
WGS1435	1
WGS1473	1
WGS1606	1
WGS1644	1
WGS1682	1
WGS1815	1
WGS1853	1
WGS1891	1
WGS258	2
WGS2889	1
WGS296	2
WGS429	1
WGS467	1
WGS638	1
WGS676	1
WGS809	1
WGS847	1
WGS885	1
WGS1018	1
WGS1056	1
WGS1094	1
WGS1227	1
WGS1265	1
WGS1436	1
WGS1474	1
WGS1607	1
WGS1645	1
WGS1683	1
WGS1816	1
WGS1854	1
WGS1892	1
WGS2110	1
WGS259	2
WGS297	2
WGS468	1
WGS639	1
WGS677	1
WGS848	1
WGS886	1
Lisboa	1505
WGS1019	1
WGS1057	1
WGS1095	1
WGS1228	1
WGS1266	1
WGS1437	1
WGS1475	1
WGS1608	1
WGS1646	1
WGS1684	1
WGS1817	1
WGS1855	1
WGS1893	1
WGS2111	1
WGS2320	1
WGS2700	1
WGS298	2
WGS469	1
WGS678	1
WGS849	1
WGS887	1
WGS1058	1
WGS1096	1
WGS1229	1
WGS1267	1
WGS1438	1
WGS1476	1
WGS1609	1
WGS1647	1
WGS1685	1
WGS1818	1
WGS1856	1
WGS1894	1
WGS2112	1
WGS2150	1
WGS2321	1
WGS2530	1
WGS2701	1
WGS2910	1
WGS299	2
WGS679	1
WGS888	1
NAD83	13824
WGS1059	1
WGS1097	1
WGS1268	1
WGS1439	1
WGS1477	1
WGS1648	1
WGS1686	1
WGS1819	1
WGS1857	1
WGS1895	1
WGS2113	1
WGS2151	1
WGS2322	1
WGS2360	1
WGS2531	1
WGS2702	1
WGS2740	1
WGS2911	1
WGS889	1
NAD84	1
WGS1098	1
WGS110	3
WGS1269	1
WGS1478	1
WGS1649	1
WGS1687	1
WGS1858	1
WGS1896	1
WGS2114	1
WGS2152	1
WGS2190	1
WGS2323	1
WGS2361	1
WGS2532	1
WGS2570	1
WGS2703	1
WGS2741	1
WGS2912	1
WGS2950	1
wgs84	701
WGS1099	1
WGS111	3
WGS1479	1
WGS1688	1
WGS1859	1
WGS1897	1
WGS2115	1
WGS2153	1
WGS2191	1
WGS2324	1
WGS2362	1
WGS2533	1
WGS2571	1
WGS2704	1
WGS2742	1
WGS2780	1
WGS2913	1
WGS2951	1
WGS320	1
WGS700	1
WGS112	3
WGS150	3
WGS1689	1
WGS1898	1
WGS2116	1
WGS2154	1
WGS2192	1
WGS2325	1
WGS2363	1
WGS2534	1
WGS2572	1
WGS2705	1
WGS2743	1
WGS2781	1
WGS2914	1
WGS2952	1
WGS2990	1
WGS321	1
WGS530	1
WGS701	1
WGS910	1
35.95800 N	1
53.530190, -113.520805	1
WGS113	3
WGS151	3
WGS1899	1
WGS2117	1
WGS2155	1
WGS2193	1
WGS2326	1
WGS2364	1
WGS2535	1
WGS2573	1
WGS2706	1
WGS2744	1
WGS2782	1
WGS2915	1
WGS2953	1
WGS2991	1
WGS3000	1
WGS322	1
WGS360	1
WGS531	1
WGS702	1
WGS740	1
WGS911	1
Belgium Datum 1972	500485
WGS1120	1
WGS114	3
WGS1500	1
WGS152	3
WGS190	3
WGS2118	1
WGS2156	1
WGS2194	1
WGS2327	1
WGS2365	1
WGS2536	1
WGS2574	1
WGS2707	1
WGS2745	1
WGS2783	1
WGS2916	1
WGS2954	1
WGS2992	1
WGS3001	1
WGS323	1
WGS361	1
WGS532	1
WGS570	1
WGS703	1
WGS741	1
WGS912	1
WGS950	1
PROJCS["OSGB 1936 / British National Grid",GEOGCS["OSGB 1936",DATUM["OSGB_1936",SPHEROID["Airy 1830",6377563.396,299.3249646,AUTHORITY["EPSG","7001"]],AUTHORITY["EPSG","6277"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943	42517
WGS1121	1
WGS115	3
WGS1330	1
WGS1501	1
WGS153	3
WGS1710	1
WGS191	3
WGS2119	1
WGS2157	1
WGS2195	1
WGS2328	1
WGS2366	1
WGS2537	1
WGS2575	1
WGS2708	1
WGS2746	1
WGS2784	1
WGS2917	1
WGS2955	1
WGS2993	1
WGS3002	1
WGS3040	1
WGS324	1
WGS362	1
WGS533	1
WGS571	1
WGS704	1
WGS742	1
WGS780	1
WGS913	1
WGS951	1
EPSG:25829	3
WGS1122	1
WGS116	3
WGS1160	1
WGS1331	1
WGS1502	1
WGS154	3
WGS1540	1
WGS1711	1
WGS192	3
WGS1920	1
WGS2158	1
WGS2196	1
WGS2329	1
WGS2367	1
WGS2538	1
WGS2576	1
WGS2709	1
WGS2747	1
WGS2785	1
WGS2918	1
WGS2956	1
WGS2994	1
WGS3003	1
WGS3041	1
WGS325	1
WGS363	1
WGS534	1
WGS572	1
WGS705	1
WGS743	1
WGS781	1
WGS914	1
WGS952	1
WGS990	1
NAD27 CONUS	2
WGS1123	1
WGS1161	1
WGS117	3
WGS1332	1
WGS1370	1
WGS1503	1
WGS1541	1
WGS155	3
WGS1712	1
WGS1750	1
WGS1921	1
WGS193	3
WGS2159	1
WGS2197	1
WGS2368	1
WGS2539	1
WGS2577	1
WGS2748	1
WGS2786	1
WGS2919	1
WGS2957	1
WGS2995	1
WGS3004	1
WGS3042	1
WGS3080	1
WGS326	1
WGS364	1
WGS535	1
WGS573	1
WGS706	1
WGS744	1
WGS782	1
WGS915	1
WGS953	1
WGS991	1
BD72	57993
WGS1124	1
WGS1162	1
WGS118	3
WGS1333	1
WGS1371	1
WGS1504	1
WGS1542	1
WGS156	3
WGS1580	1
WGS1713	1
WGS1751	1
WGS1922	1
WGS194	3
WGS1960	1
WGS2198	1
WGS2369	1
WGS2578	1
WGS2749	1
WGS2787	1
WGS2958	1
WGS2996	1
WGS3005	1
WGS3043	1
WGS327	1
WGS365	1
WGS536	1
WGS574	1
WGS707	1
WGS745	1
WGS783	1
WGS916	1
WGS954	1
WGS992	1
WGS1125	1
WGS1163	1
WGS119	3
WGS1334	1
WGS1372	1
WGS1505	1
WGS1543	1
WGS157	3
WGS1581	1
WGS1714	1
WGS1752	1
WGS1790	1
WGS1923	1
WGS195	3
WGS1961	1
WGS2199	1
WGS2579	1
WGS2788	1
WGS2959	1
WGS2997	1
WGS3006	1
WGS3044	1
WGS328	1
WGS366	1
WGS537	1
WGS575	1
WGS708	1
WGS746	1
WGS784	1
WGS917	1
WGS955	1
WGS993	1
WGS1126	1
WGS1164	1
WGS1335	1
WGS1373	1
WGS1506	1
WGS1544	1
WGS158	3
WGS1582	1
WGS1715	1
WGS1753	1
WGS1791	1
WGS1924	1
WGS196	3
WGS1962	1
WGS2789	1
WGS2998	1
WGS3007	1
WGS3045	1
WGS329	1
WGS367	1
WGS538	1
WGS576	1
WGS709	1
WGS747	1
WGS785	1
WGS918	1
WGS956	1
WGS994	1
WGS1127	1
WGS1165	1
WGS1336	1
WGS1374	1
WGS1507	1
WGS1545	1
WGS1583	1
WGS159	3
WGS1716	1
WGS1754	1
WGS1792	1
WGS1925	1
WGS1963	1
WGS197	3
WGS2010	1
WGS2999	1
WGS3008	1
WGS3046	1
WGS368	1
WGS539	1
WGS577	1
WGS748	1
WGS786	1
WGS919	1
WGS957	1
WGS995	1
Macedonian Grid	2
WGS1128	1
WGS1166	1
WGS1337	1
WGS1375	1
WGS1508	1
WGS1546	1
WGS1584	1
WGS1717	1
WGS1755	1
WGS1793	1
WGS1926	1
WGS1964	1
