disposition	reps
Quintuplet of V32273, V32267, V32274, V32262, sent to V 2012 Aug	1
Sent in exchange to Edwin Ashby,Australia	8
Sent in exchange with S.G. Jewett, Oct 28, 1926	1
Sent to Australian Mus., Aug 1982	1
Sent to Bishop Museum, Apr 1928	1
Sent to British Museum in exchange, Nov 25, 1938	1
This specimen is a duplicate of v75095. This duplicate was sent on exchange to University of Washington Herbarium (WTU) in summer 2008	1
To Dutchess Comm. Coll., 1969	2
Tombado em 02-07-2015/in collection	16
Tombado em 15-07-2015/in collection	12
Tombado em 1993-04-07/in collection	1
Tombado em 2000-07-08/in collection	6
Tombado em 2016.01.22 por Alana Leitão/in collection	2
ZRC	10
stratigraphic collection	54
Collection BONNARD (de)	2
Collection Basse n°1991-14	12
Collection Bayan n°2004-22	1
Collection Boistel	1
Collection CLOISEAU  de	1
Collection Canu & Lecointre	2
Collection Cartailhac Emile n°1899-6	1
Collection Chaix n°2006-6	2
Collection Chevalier-Rebolle n°2007-18	1
Collection DECARY	1
Collection Davoust	3
Collection Davoux n°1991-4	3
Collection Depéret	1
Collection Joly	16
Collection Korde K.B.	1
Collection Lonqueue	2
Collection Maugis	1
Collection PERROT	3
Collection Papazian	3
Collection Repal	1
Collection Ribeiro n°1991-14	1
Collection Sacher n°1878-1	14
Collection Termier H.	1
Collection WIELAND	1
Discarded 6-X-54 JF	1
Donated to Urban Park Rangers, Brooklyn, N.Y.-July	4
Duplicate for U.S. National Mus. Feb 1913	1
Duplicate of A15985; sent on exchange to University of California (UC) 2009	1
Duplicate of V23622, sent to V 2012 Aug	1
Duplicate of V48461, sent to V 2012 Aug	1
Duplicate of V92807	2
Ex. - Tackapausha Museum	1
Ex. with Imp.Col.Agr. Japan Oct'08	1
Exch Nat Mus Kenya, Aug 1983	3
Exch. British Mus. May, 1921	1
Exch. F.M. Chapman 1925	3
Exch. Imp.Col.Agr. Japan, Dec.'09	1
Exch. Tring Mus. England, July 1906	2
Exch. sent to Berlin Zool. Mus., 8 Jan 1932	12
Exch. sent to Berlin Zool. Mus., Jan 8, 1932	18
Exch. sent to Cleveland Mus. 6 Jan 1932	5
Exch. to W.H. Phelps	1
Exch. with A.C. O'Connor, 14 Jun 1929	2
Exch. with Mr. E.J. Seton, May 24, 1928	1
Exch. with Phila. Acad. Nat. Sci., Jul 1928	477
Exch. with Rothschild Coll. when coll rec'd to AMN	1
Exch.-Stockholm Natl. History Museum, May 1927	1
Exchange with A.T. Wayne	3
Exchange-Dominios Mus., Wellington, N.Z.	1
Gift to Berlin Mus.July 1936 never sent M.L.	1
Gift to W. New Mex. U - 1968	1
Gift-SWRS, Porta, Ariz.	1
Given by Mr. Altwater in exchange [for Campsothgps	1
Kaappi 78a, laatikko 13	1
Kaappi 84b, laatikko Staphylinidae 263	2
Missing parts, see Availability Remarks In collection	137
Na coleÁ„o | Caixa Phoebis - Seg(5) Mod(6) (29)	49
Na coleÁ„o |Buprestidae (21) (1135)	137
Na coleÁ„o| Caixa Romaleidae (Bactrophorinae (Ophthalmolampini (Ophtalmolampis a Peruviacris)))	147
Na coleção | Buprestidae (15) (1123)	185
Na coleção | Caixa Dermaptera Labriidae 3	101
Na coleção | Caixa Mecoptera - Bittacus spp.	49
On Loan-Taxonomic Collection	72
On loan, see Loan Database In Collection Missing parts, see Inventory Remarks	1
Physcia obscura var. ulothrix	6
Presented to Musee de Congo Belgue, Feb. 23, 1930	6
Radioactive Collections	7
Sent in exchange to Carnegie Mus., March 1929	1
Tombado em 1960-04-11/in collection	1
Tombado em 1984-05-27/in collection	5
Tombado em 2000-02-22/in collection	1
Tombado em 2008-05-12/in collection	1
Tombado em 2008-05-29/in collection	8
Tombado em 2008-07-03/in collection	1
Tombado em 2013-05-14/in collection	9
Tombado em 2013-07-05/in collection	1
Tombado em 2013-11-26/in collection	92
Tombado em 24-06-2015/in collection	18
Triplicate of V11411	1
(Returned by NJ Audubon 2002)	1
Collection Beyrouthy	1
Collection Bodeur	1
Collection Cariou	2
Collection Condamy n°1900-18	1
Collection Douvillé H.	7
Collection Dubertret n°1973-3	1
Collection GAFFART	1
Collection GERVAIS, Paul	120
Collection Hirtz	1
Collection MORET	7
Collection Mathieu	10
Collection Montjamont	1
Collection Rambur	1
Collection Seguin	2
Collection Zhuravleva I.T.	5
Discarded, June, 1971	3
Discarded: May 1925	1
Duplicate of V178238	1
Duplicate of V201580. Sent on exchange to the University of Washington (WTU) 2009.	1
Duplicate of V62897, sent to V 2012 Aug	1
Duplicate of V63227, sent to V 2012 Aug	1
Duplicate of V6765, sent to V 2012 Aug	1
Exch. Museo National Argentina, Sept.'17	1
Exch. to Dr. L.C. Sanford, Nov 1921	1
Exch. to National Mus. Kenya, Africa, 4 Feb 1982	1
Exch. to Rothschild and rnumbered 700715 on return	1
Exch. to Zool. Mus., Copenhagan, May 1959	1
Exch. with Count von Berlepsch, Feb.'05	1
Exch. with Imp. Col. Agr. Japan, Dec 1909	55
Exch. with M.C.Z., Jul 1928	1190
Exch. with Phila.Acad.Nat. Sci., July 1928	2
Exch. with Stockholm Mus, June 14, 1929	1
Exch.-Senekenberg Museum-Dec 1926	1
Exchange with Dr. Streseman Berlin Museum - May 19	1
Exchange with Tring Mus., July 7, 1928	1
Exchanged to British Museum, December 1961	2
Exchanged to Dr. Campos Seabra, R. de Janeiro, Apr	1
Fla. St. Univ., Exchanged U. Fla. 7/11/63	1
Given in exch. to U.S. National Museum, June 1966	1
Given in exchange to Canterbury Museum, 21 Sep 193	1
Given to Dept. of Pub Educ. May 1917	7
Kaappi 78a, laatikko 7	1
Kaappi 85b, laatikko Staphylinidae 324	1
Missing parts, see Availability Remarks	8
Missing parts, see Availability Remarks In collection Deaccessioned, see Availability Remarks	1
Museumobile	2
Na coleÁ„o | Caixa Neuroptera - Ascalaphidae	25
Na coleção| Caixa Romaleidae (Romaleinae (Phaeoparini (Abila - Stornophilacris - Phaeoparia)))	131
Na coleção| Caixa Romaleidae (Romaleinae (Romaleini (Xyleus))) 1	80
No data, discarded 7 Apr 1941 (this outgoing note	1
Peltigera polydactylon	25
Peltigera polydactylon var. microcarpa	2
Peltigera scutata var. subscabrosa	6
Physcia obscura *E	1
Quintuplate with V5655, V5654, V5664, V5665, sent to CAN 2012 Aug	1
Sent in Exchange to J. Berlioz, Oct 26, 1932	1
Sent in exch. to Tring Mus. 9 Jul 1928	3
Sent in exchange to the Australian Museum 23 Sept.	2
Sent to South Australian Museum, Aug. 1982	19
Tombado em 1985-07-25/in collection	1
Tombado em 1997-10-17/in collection	5
Tombado em 2002-04-12/in collection	1
Tombado em 2002-10-24/in collection	1
Tombado em 2008-03-06/in collection	16
Tombado em 2009-02-26/in collection	3
Tombado em 2013-03-08/in collection	7
Tombado em 2013-06-18/in collection	3
Tombado em 2014-12-05/in collection	8
being processed	63
to Berlin Museum, Jan 1936	3
