"data.dwc:disposition","reps"
"davy",6
"dickson",6
"dufresnoy",6
"durandière",6
"echazu",6
"emeric",6
"ferussac",6
"foucard",6
"férussac",6
"ginsburg",6
"herbert",6
"is",6
"jim",6
"lecat",6
"madoux",6
"mammalogy",6
"meyendorf",6
"meyendorff",6
"mouchart",6
"nmnh",6
"piacentini",6
"quatrefages",6
"remy",6
"rom",6
"schneider",6
"singer",6
"tenn",6
"thon",6
"v.g",6
"valdivieso",6
"wappes",6
"west",6
"1875",5
"1897",5
"1979",5
"1986",5
"0032_00631",5
"0033_00813",5
"0034_00286",5
"0039_00788",5
"0039_00820",5
"0163margoprewitt5may2016",5
"0364alexgregg27ap2016",5
"0410",5
"0611kaseymiller25mar2015",5
"0963",5
"1457sushmachiluvuri9jun2015",5
"1585alexgregg10jun2016",5
"agassiz",5
"amour",5
"ari",5
"aucoin",5
"balansa",5
"bardin",5
"beau",5
"bergougnan",5
"bernay",5
"biberson",5
"blayac",5
"bonnel",5
"boromeo",5
"boue",5
"bourgeois",5
"boury",5
"br",5
"branisa",5
"caballero",5
"carez",5
"cast",5
"chagot",5
"claussen",5
"cornet",5
"coulet",5
"david",5
"dehorne",5
"devriès",5
"doré",5
"due",5
"duke",5
"feist",5
"fillat",5
"flora",5
"freneix",5
"gain",5
"gzu",5
"haug",5
"herbin",5
"hindermeyer",5
"hufsj",5
"i.t",5
"jan",5
"johanne",5
"kleinschrold",5
"lacvivier",5
"lafuste",5
"lenglet",5
"loriol",5
"lory",5
"malle",5
"mathon",5
"meillet",5
"michalet",5
"minod",5
"mohanti",5
"nnhpnnhp",5
"obert",5
"oliva",5
"perrotet",5
"poisson",5
"rangheard",5
"renaux",5
"requin",5
"rozanov",5
"santiago",5
"sauvage",5
"sauveur",5
"serna",5
"serrin",5
"société",5
"st",5
"suu",5
"univeristy",5
"ute",5
"vienne",5
"villatte",5
"zhuravleva",5
"1948",4
"1971",4
"1977",4
"0032_00646",4
"0034_00156",4
"0034_00550",4
"0034_00779",4
"0034_01337",4
"0034_01474",4
"0039_00850",4
"0242sushmachiluvuri9jul2015",4
"0c",4
"1932.1",4
"444c.gross12.02.2015",4
"771c.gross11.23.2015",4
"784c.gross12.04.2015",4
"938c.gross12.02.2015",4
"angeli",4
"ardouin",4
"armange",4
"barbier",4
"barthe",4
"baut",4
"bazin",4
"beauperthuis",4
"beker",4
"bonnecourt",4
"bou",4
"bouvié",4
"breistroffer",4
"brunn",4
"bursey",4
"caillard",4
"calery",4
"capitaine",4
"d'entreprises",4
"davadie",4
"dave",4
"delanoy",4
"depré",4
"dujardin",4
"duquesne",4
"dureau",4
"dussut",4
"ebelmen",4
"fourel",4
"fryxell",4
"gabilly",4
"gabriel",4
"geologie",4
"gouget",4
"gourdon",4
"gourgues",4
"gravigny",4
"griffiths",4
"guerre",4
"générale",4
"heildelberg",4
"heraut",4
"humboldt",4
"jonkaire",4
"kaibab",4
"kidston",4
"kra",4
"label",4
"lagreca",4
"laizer",4
"leymerie",4
"lhom",4
"loondy",4
"maraschini",4
"mari",4
"martins",4
"mennessier",4
"merian",4
"moriere",4
"morlat",4
"médioni",4
"nantes",4
"nfn",4
"pin",4
"pise",4
"pointier",4
"posth",4
"poueyto",4
"qca",4
"qm",4
"quiévreux",4
"raymond",4
"repatriated",4
"romanek",4
"rumeau",4
"réjaudry",4
"rétout",4
"secrétan",4
"simon",4
"six",4
"spegazzini",4
"stockolm",4
"teodori",4
"thore",4
"thuy",4
"unavailable",4
"visquesnel",4
"witham",4
"wv",4
"zirari",4
"45",3
"53",3
"1917",3
"1980",3
"1987",3
"0032_00809",3
"0033_00630",3
"0033_01317",3
"0034_00256",3
"0037_00237",3
"0037_00794",3
"0037_00806",3
"0039_00413",3
"00409",3
"00562",3
"0282sushmachiluvuri9jul2015",3
"0791sushmachiluvuri10jul201",3
"0989alexgregg3june2016",3
"1315sushmachiluvuri9jul2015",3
"440c.gross12.16.2015",3
"595c.gross12.14.2015",3
"618c.gross12.10.2015",3
"agniel",3
"alberti",3
"allix",3
"alsace",3
"alçiçek",3
"ambroggi",3
"ancs",3
"antoine",3
"artiges",3
"assigned",3
"aymard",3
"bather",3
"beaudouin",3
"beche",3
"belliard",3
"bezançon",3
"bouly",3
"boutillier",3
"brun",3
"buckman",3
"busareignes",3
"calder",3
"camille",3
"can",3
"carrugo",3
"caulet",3
"cay",3
"ch",3
"chalmeton",3
"chapelle",3
"china",3
"christophergross",3
"clemson",3
"collins",3
"d'allay",3
"daily",3
"dautzenberg",3
"davoust",3
"davoux",3
"daydé",3
"del",3
"delhaies",3
"demarcq",3
"demousseau",3
"depéret",3
"derschau",3
"desmarest",3
"dethiers",3
"deveria",3
"dorn",3
"dronsaert",3
"duperrey",3
"dybowski",3
"escuillié",3
"eymeric",3
"fh",3
"fink",3
"fournel",3
"fournier",3
"galarza",3
"gallery",3
"garden",3
"germain",3
"gevrey",3
"gh",3
"gindre",3
"girou",3
"givens",3
"grebel",3
"greenhough",3
"génault",3
"hell",3
"homalus",3
"hourq",3
"hueg",3
"i",3
"inst",3
"j.a",3
"j.r",3
"jaeger",3
"kruse",3
"lacretelle",3
"lamouille",3
"lampe",3
"landau",3
"lefaivre",3
"lefranc",3
"lepage",3
"leplay",3
"lille",3
"lorenchet",3
"lorenz",3
"lorraine",3
"lund",3
"makinsky",3
"marés",3
"mb",3
"mcmenamin",3
"mericourt",3
"michaud",3
"miquel",3
"narbonne",3
"nathorst",3
"nicolesco",3
"nilson",3
"ollivier",3
"original",3
"p.c",3
"p.d",3
"paillette",3
"paleontologiska",3
"paolo",3
"papazian",3
"paris",3
"pelsener",3
"perreau",3
"perrot",3
"pitra",3
"plessis",3
"poirmeur",3
"pras",3
"prete",3
"rb",3
"returned",3
"review",3
"roques",3
"rosa",3
"roumieux",3
"sautereau",3
"sayn",3
"scott",3
"seguin",3
"seine",3
"serv.géol",3
"slansky",3
"standley",3
"thaxter",3
"thierriot",3
"tri",3
"tucker",3
"van",3
"vassel",3
"villanova",3
"villiers",3
"villoutreys",3
"vivien",3
"voigt",3
"vélain",3
"w.b",3
"was",3
"webster",3
"windahl",3
"300",2
"1000",2
"1305",2
"1316",2
"1809",2
"1855",2
"1856",2
"1862",2
"1863",2
"1864",2
"1877",2
"1968",2
"4250",2
"9009",2
"16402",2
"20614",2
"21119",2
"0026",2
"0032_00766",2
"0034_00546",2
"0034_00768",2
"0037_00758",2
"0037_01386",2
"0039_00551",2
"0039_00789",2
"0039_00795",2
"0039_01324",2
"0039_01326",2
"0310margoprewitt3may2016",2
"0565sushmachiluvuri8jul2015",2
"0628sushmachiluvuri15jun201",2
"0629sushmachiluvuri29may201",2
"0658sushmachiluvuri14may201",2
"0909",2
"1375c.gross12.03.2015",2
"1634cokendolpher25ap2ttu",2
"1642alexgregg27ap2016",2
"2a",2
"a.h",2
"aasc",2
"abdullah",2
"abrard",2
"abundant",2
"aïssaoui",2
"babeau",2
"baretta",2
"barneoud",2
"barrande",2
"barrier",2
"bastide",2
"baudoin",2
"bellevue",2
"bertrant",2
"berville",2
"bey",2
"bisieux",2
"blecourt",2
"bm",2
"bmnh",2
"bolete",2
"bonnard",2
"bornemann",2
"boselli",2
"bourdot",2
"bourgeat",2
"boué",2
"brito",2
"busnardo",2
"cariou",2
"carpentier",2
"cgnp",2
"chansky",2
"chapman",2
"chedhomme",2
"cherbonnier",2
"choffat",2
"choquet",2
"chédeville",2
"cluzaud",2
"cochet",2
"cokendolpher26ap2016",2
"collectio",2
"collectione",2
"college",2
"colletotrichum",2
"communeau",2
"cones",2
"conn",2
"corroy",2
"cortesi",2
"costa",2
"coty",2
"couillard",2
"courbon",2
"cressac",2
"current",2
"cuvier",2
"d'anatomie",2
"dafni",2
"damon",2
"damour",2
"dao",2
"daurainville",2
"db",2
"debris",2
"defrance",2
"delcourt",2
"denison",2
"deposited",2
"desnidow",2
"dineur",2
"dolleans",2
"doncieux",2
"doumergue",2
"dried",2
"drot",2
"dréneus",2
"dubourdieu",2
"dubuisson",2
"dudicourt",2
"dup",2
"dupuis",2
"dupuy",2
"ebbo",2
"emelianoff",2
"end",2
"expl",2
"faculté",2
"fallot",2
"faudrain",2
"ferrand",2
"file",2
"fl",2
"flamand",2
"fleurian",2
"fraaije",2
"freezer",2
"fungi",2
"gagnaison",2
"garilli",2
"garin",2
"gcp",2
"genot",2
"gilland",2
"goby",2
"goybet",2
"guillot",2
"guéranger",2
"géologique",2
"haas",2
"haglund",2
"halbwachs",2
"hamon",2
"haninghaus",2
"harper",2
"hermann",2
"hommaire",2
"honnorat",2
"hottinger",2
"houssineau",2
"hyfte",2
"i.m",2
"ills",2
"imard",2
"insect",2
"institut",2
"instituto",2
"isabelle",2
"james",2
"joba",2
"jodot",2
"joron",2
"jouannel",2
"jourdain",2
"judson",2
"kansas",2
"kauffman",2
"koch",2
"lajoinie",2
"lan",2
"laperrine",2
"laporte",2
"leclerc",2
"lecoq",2
"lehman",2
"lesson",2
"liebault",2
"liege",2
"lissajous",2
"located",2
"lonqueue",2
"m.a",2
"mahon",2
"maille",2
"marquis",2
"mary",2
"mathiss",2
"mattauer",2
"mguh",2
"mich",2
"min",2
"minot",2
"mofroy",2
"mons",2
"morière",2
"morren",2
"mount",2
"mountain",2
"name",2
"naturalist",2
"nicolet",2
"noulet",2
"oe",2
"orgeval",2
"orszag",2
"ou",2
"outreach",2
"paignon",2
"palacky",2
"pasquali",2
"pellat",2
"pepin",2
"permingeat",2
"perrando",2
"perron",2
"pfender",2
"poignant",2
"portier",2
"pot",2
"pétrol",2
"radwanski",2
"raincourt",2
"rangin",2
"rauch",2
"rebours",2
"regnault",2
"reliquiae",2
"renouard",2
"roland",2
"rounded",2
"roussel",2
"sainte",2
"sancho",2
"santan",2
"schneegans",2
"schouver",2
"segaud",2
"semenoff",2
"senut",2
"sequencing",2
"seymourianae",2
"shrub",2
"sivéléon",2
"sjf",2
"snell",2
"sp",2
"spe",2
"st.pétersbourg",2
"storage",2
"suvorova",2
"szöts",2
"séronie",2
"taes",2
"teilleux",2
"the",2
"thinopyrum",2
"tian",2
"tison",2
"treuil",2
"un",2
"universite",2
"until",2
"used",2
"valentin",2
"vatté",2
"verraes",2
"victor",2
"vigne",2
"vignot",2
"vokes",2
"w.c",2
"walchner",2
"waugh",2
"weir",2
"winkelmann",2
"wolf",2
"wright",2
"wts",2
"wupa",2
"ytier",2
"z_",2
"zand",2
"zeiller",2
"zuccarini",2
"49",1
"84",1
"97",1
"169",1
"176",1
"197",1
"261",1
"274",1
"296",1
"298",1
"319",1
"333",1
"359",1
"407",1
"417",1
"493",1
"500",1
"537",1
"553",1
"569",1
"587",1
"588",1
"623",1
"626",1
"650",1
"732",1
"750",1
"800",1
"819",1
"901",1
"902",1
"903",1
"904",1
"949",1
"951",1
"962",1
"1001",1
"1007",1
"1041",1
"1258",1
"1290",1
"1334",1
"1379",1
"1454",1
"1500",1
"1674",1
"1691",1
"1835",1
"1837",1
"1865",1
"1870",1
"1874",1
"1937",1
"1941",1
"1954",1
"1963",1
"1985",1
"2076",1
"2256",1
"2480",1
"2534",1
"3096",1
"3475",1
"3724",1
"3942",1
"3953",1
"4628",1
"4641",1
"5019",1
"5226",1
"5315",1
"5709",1
"5878",1
"6165",1
"6452",1
"6745",1
"7693",1
"9088",1
"10090",1
"10099",1
"10163",1
"10572",1
"11532",1
"14655",1
"14679",1
"14893",1
"15147",1
"15950",1
"16219",1
"16476",1
"16793",1
"17090",1
"17693",1
"18139",1
"18337",1
"18377",1
"18611",1
"19002",1
"19560",1
"19900",1
"20228",1
"20230",1
"20231",1
"20235",1
"20236",1
"20270",1
"20316",1
"20324",1
"20325",1
"20326",1
"20327",1
"20328",1
"20329",1
"20330",1
"20331",1
"20332",1
"20333",1
"20335",1
"20337",1
"20339",1
"20340",1
"20341",1
"20342",1
"20343",1
"20344",1
"20345",1
"20346",1
"20347",1
"20348",1
"20349",1
"20351",1
"20352",1
"20353",1
"20354",1
"20356",1
"20357",1
"20358",1
"20359",1
"20360",1
"20361",1
"20362",1
"20363",1
"20364",1
"20365",1
"20366",1
"20367",1
"20368",1
"20369",1
"20370",1
"20371",1
"20372",1
"20373",1
"20374",1
"20375",1
"20376",1
"20377",1
"20378",1
"20379",1
"20380",1
"20381",1
"20382",1
"20383",1
"20384",1
"20385",1
"20386",1
"20387",1
"20388",1
"20389",1
"20390",1
"20391",1
"20392",1
"20393",1
"20394",1
"20395",1
"20396",1
"20397",1
"20398",1
"20399",1
"20400",1
"20402",1
"20403",1
"20404",1
"20405",1
"20406",1
"20408",1
"20409",1
"20410",1
"20411",1
"20412",1
"20413",1
"20414",1
"20415",1
"20416",1
"20417",1
"20418",1
"20419",1
"20420",1
"20422",1
"20423",1
"20424",1
"20425",1
"20426",1
"20427",1
"20430",1
"20431",1
"20432",1
"20433",1
"20435",1
"20436",1
"20437",1
"20438",1
"20439",1
"20440",1
"20441",1
"20442",1
"20443",1
"20444",1
"20445",1
"20447",1
"20448",1
"20449",1
"20450",1
"20451",1
"20453",1
"20454",1
"20455",1
"20456",1
"20457",1
"20458",1
"20459",1
"20460",1
"20461",1
"20462",1
"20464",1
"20465",1
"20466",1
"20467",1
"20468",1
"20469",1
"20470",1
"20471",1
"20472",1
"20473",1
"20474",1
"20475",1
"20476",1
"20477",1
"20478",1
"20479",1
"20480",1
"20481",1
"20482",1
"20483",1
"20484",1
"20485",1
"20486",1
"20487",1
"20488",1
"20489",1
"20490",1
"20491",1
"20492",1
"20493",1
"20494",1
"20495",1
"20496",1
"20497",1
"20498",1
"20499",1
"20500",1
"20501",1
"20502",1
"20503",1
"20504",1
"20505",1
"20506",1
"20507",1
"20508",1
"20509",1
"20510",1
"20511",1
"20512",1
"20513",1
"20514",1
"20515",1
"20517",1
"20518",1
"20519",1
"20520",1
"20521",1
"20522",1
"20523",1
"20524",1
"20525",1
"20526",1
"20527",1
"20528",1
"20529",1
"20530",1
"20531",1
"20532",1
"20533",1
"20534",1
"20535",1
"20536",1
"20537",1
"20538",1
"20539",1
"20540",1
"20541",1
"20542",1
"20543",1
"20544",1
"20545",1
"20547",1
"20548",1
"20549",1
"20550",1
"20551",1
"20552",1
"20553",1
"20554",1
"20555",1
"20556",1
"20558",1
"20560",1
"20561",1
"20562",1
"20563",1
"20564",1
"20565",1
"20566",1
"20567",1
"20568",1
"20569",1
"20570",1
"20571",1
"20572",1
"20573",1
"20574",1
"20575",1
"20576",1
"20577",1
"20578",1
"20579",1
"20580",1
"20581",1
"20582",1
"20583",1
"20585",1
"20586",1
"20587",1
"20588",1
"20589",1
"20590",1
"20591",1
"20592",1
"20593",1
"20594",1
"20595",1
"20596",1
"20597",1
"20598",1
"20599",1
"20600",1
"20601",1
"20602",1
"20603",1
"20604",1
"20605",1
"20607",1
"20608",1
"20609",1
"20610",1
"20611",1
"20612",1
"20613",1
"20615",1
"20616",1
"20617",1
"20618",1
"20619",1
"20620",1
"20621",1
"20622",1
"20623",1
"20632",1
"20633",1
"20634",1
"20635",1
"20636",1
"20637",1
"20638",1
"20639",1
"20640",1
"20641",1
"20642",1
"20643",1
"20644",1
"20646",1
"20648",1
"20650",1
"20651",1
"20652",1
"20653",1
"20654",1
"20655",1
"20656",1
"20657",1
"20658",1
"20659",1
"20660",1
"20662",1
"20663",1
"20664",1
"20665",1
"20667",1
"20668",1
"20669",1
"20670",1
"20671",1
"20672",1
"20673",1
"20674",1
"20675",1
"20676",1
"20677",1
"20678",1
"20679",1
"20680",1
"20681",1
"20682",1
"20683",1
"20684",1
"20685",1
"20686",1
"20687",1
"20688",1
"20689",1
"20690",1
"20691",1
"20692",1
"20693",1
"20694",1
"20695",1
"20696",1
"20697",1
"20698",1
"20699",1
"20700",1
"20701",1
"20702",1
"20703",1
"20704",1
"20705",1
"20706",1
"20707",1
"20708",1
"20709",1
"20710",1
"20711",1
"20713",1
"20714",1
"20715",1
"20716",1
"20717",1
"20719",1
"20720",1
"20721",1
"20722",1
"20723",1
"20724",1
"20725",1
"20726",1
"20727",1
"20728",1
"20729",1
"20730",1
"20731",1
"20733",1
"20734",1
"20735",1
"20736",1
"20737",1
"20738",1
"20741",1
"20742",1
"20743",1
"20744",1
"20746",1
"20747",1
"20748",1
"20749",1
"20750",1
"20751",1
"20752",1
"20753",1
"20754",1
"20755",1
"20756",1
"20758",1
"20759",1
"20760",1
"20761",1
"20762",1
"20764",1
"20765",1
"20766",1
"20767",1
"20768",1
"20769",1
"20770",1
"20771",1
"20772",1
"20773",1
"20775",1
"20776",1
"20777",1
"20778",1
"20779",1
"20780",1
"20781",1
"20782",1
"20783",1
"20784",1
"20785",1
"20786",1
"20787",1
"20788",1
"20789",1
"20790",1
"20791",1
"20792",1
"20793",1
"20794",1
"20795",1
"20796",1
"20797",1
"20798",1
"20799",1
"20800",1
"20801",1
"20802",1
"20803",1
"20804",1
"20805",1
"20806",1
"20807",1
"20808",1
"20809",1
"20810",1
"20811",1
"20812",1
"20813",1
"20814",1
"20815",1
"20816",1
"20817",1
"20818",1
"20819",1
"20820",1
"20821",1
"20822",1
"20823",1
"20824",1
"20825",1
"20826",1
"20828",1
"20829",1
"20830",1
"20831",1
"20832",1
"20833",1
"20834",1
"20835",1
"20836",1
"20837",1
"20838",1
"20839",1
"20840",1
"20841",1
"20842",1
"20843",1
"20844",1
"20845",1
"20846",1
"20847",1
"20848",1
"20849",1
"20850",1
"20851",1
"20852",1
"20853",1
"20854",1
"20855",1
"20856",1
"20858",1
"20859",1
"20860",1
"20861",1
"20862",1
"20863",1
"20864",1
"20865",1
"20866",1
"20867",1
"20869",1
"20871",1
"20872",1
"20873",1
"20874",1
"20875",1
"20876",1
"20877",1
"20878",1
"20879",1
"20880",1
"20881",1
"20882",1
"20883",1
"20884",1
"20885",1
"20886",1
"20887",1
"20888",1
"20889",1
"20890",1
"20891",1
"20892",1
"20893",1
"20894",1
"20896",1
"20897",1
"20898",1
"20899",1
"20900",1
"20901",1
"20902",1
"20903",1
"20904",1
"20905",1
"20906",1
"20907",1
"20908",1
"20909",1
"20910",1
"20911",1
"20912",1
"20913",1
"20914",1
"20915",1
"20916",1
"20918",1
"20919",1
"20920",1
"20921",1
"20922",1
"20923",1
"20924",1
"20925",1
"20926",1
"20927",1
"20928",1
"20929",1
"20930",1
"20931",1
"20932",1
"20933",1
"20934",1
"21015",1
"21054",1
"21055",1
"21057",1
"21058",1
"21059",1
"21060",1
"21063",1
"21068",1
"21070",1
"21071",1
"21072",1
"21073",1
"21075",1
"21076",1
"21077",1
"21078",1
"21079",1
"21080",1
"21081",1
"21082",1
"21083",1
"21084",1
"21085",1
"21086",1
"21087",1
"21088",1
"21089",1
"21090",1
"21091",1
"21093",1
"21098",1
"21099",1
"21101",1
"21108",1
"21110",1
"21111",1
"21113",1
"21114",1
"21116",1
"21117",1
"21120",1
"21121",1
"21122",1
"21124",1
"21126",1
"21127",1
"21129",1
"21130",1
"21132",1
"21133",1
"21134",1
"21135",1
"21136",1
"21137",1
"21138",1
"21139",1
"21140",1
"21141",1
"21142",1
"21143",1
"21144",1
"21145",1
"21146",1
"21147",1
"21148",1
"21149",1
"21150",1
"21151",1
"21152",1
"21153",1
"21164",1
"21166",1
"21167",1
"21169",1
"21170",1
"21171",1
"21172",1
"21174",1
"21175",1
"21177",1
"21178",1
"21180",1
"21181",1
"21182",1
"21183",1
"21185",1
"21186",1
"21187",1
"21188",1
"21189",1
"21190",1
"21192",1
"21193",1
"21194",1
"21195",1
"21196",1
"21197",1
"21198",1
"21199",1
"21200",1
"21201",1
"21202",1
"21203",1
"21204",1
"21205",1
"21206",1
"21207",1
"21208",1
"21209",1
"21210",1
"21211",1
"21212",1
"21213",1
"21214",1
"21221",1
"21222",1
"21223",1
"21224",1
"21225",1
"21226",1
"21227",1
"21228",1
"21229",1
"21230",1
"21234",1
"21236",1
"21237",1
"21239",1
"21240",1
"21242",1
"21243",1
"21244",1
"21247",1
"21248",1
"21249",1
"21250",1
"21251",1
"21252",1
"21253",1
"21254",1
"21255",1
"21256",1
"21257",1
"21258",1
"21259",1
"21260",1
"21261",1
"21262",1
"21263",1
"21264",1
"21268",1
"21270",1
"21271",1
"21273",1
"21275",1
"21277",1
"21285",1
"21292",1
"21294",1
"21295",1
"21297",1
"21299",1
"21301",1
"21309",1
"21324",1
"21325",1
"21329",1
"21330",1
"21331",1
"21332",1
"21333",1
"21338",1
"21343",1
"21351",1
"21352",1
"21353",1
"21354",1
"21362",1
"21378",1
"21379",1
"21383",1
"21384",1
"21385",1
"21386",1
"21387",1
"21392",1
"21397",1
"21405",1
"21406",1
"21407",1
"21408",1
"21427",1
"21428",1
"21429",1
"21430",1
"21431",1
"21432",1
"21433",1
"21434",1
"21436",1
"21437",1
"21438",1
"21439",1
"21440",1
"21441",1
"21442",1
"21443",1
"21444",1
"21445",1
"21446",1
"21447",1
"21448",1
"21449",1
"21450",1
"21451",1
"21452",1
"21453",1
"21454",1
"21455",1
"21456",1
"21457",1
"21458",1
"21459",1
"21460",1
"21461",1
"21462",1
"21463",1
"21464",1
"21465",1
"21466",1
"21467",1
"21468",1
"21469",1
"21470",1
"21471",1
"21472",1
"21473",1
"21474",1
"21475",1
"21476",1
"21477",1
"21478",1
"21479",1
"21480",1
"21481",1
"21482",1
"21483",1
"21484",1
"21485",1
"21486",1
"21487",1
"21488",1
"21489",1
"21490",1
"21494",1
"21509",1
"21545",1
"21546",1
"21547",1
"21548",1
"21549",1
"21550",1
"21551",1
"21552",1
"21554",1
"21555",1
"21556",1
"21557",1
"21558",1
"21559",1
"21560",1
"21561",1
"21562",1
"21563",1
"21564",1
"21565",1
"21566",1
"21567",1
"21568",1
"21569",1
"21570",1
"21571",1
"21572",1
"21573",1
"21574",1
"21575",1
"21576",1
"21577",1
"21578",1
"21579",1
"21580",1
"21581",1
"21582",1
"21583",1
"21584",1
"21585",1
"21586",1
"21587",1
"21588",1
"21589",1
"21590",1
"21591",1
"21592",1
"21593",1
"21594",1
"21595",1
"21596",1
"21597",1
"21598",1
"21599",1
"21600",1
"21601",1
"21602",1
"21603",1
"21604",1
"21605",1
"21606",1
"21607",1
"21608",1
"21631",1
"21633",1
"21634",1
"21637",1
"21886",1
"23450",1
"23844",1
"24686",1
"25527",1
"25678",1
"25883",1
"25926",1
"26168",1
"26170",1
"26172",1
"26173",1
"26174",1
"27216",1
"27622",1
"28197",1
"28932",1
"29427",1
"33133",1
"33134",1
"33135",1
"36664",1
"37659",1
"38993",1
"40925",1
"43076",1
"44311",1
"45442",1
"45484",1
"45794",1
"45796",1
"45800",1
"45815",1
"45828",1
"45832",1
"46405",1
"46662",1
"46663",1
"46667",1
"46670",1
"46672",1
"46673",1
"46674",1
"46675",1
"46683",1
"54130",1
"60297",1
"60320",1
"60659",1
"62790",1
"67238",1
"67248",1
"68712",1
"69844",1
"71382",1
"71385",1
"71469",1
"75212",1
"77899",1
"79092",1
"80059",1
"115437",1
"140001",1
"382346",1
"0006_01547",1
"0007_01547",1
"000cokendolpher26ap2016",1
"0032_00300",1
"0033_00156",1
"0034_00774",1
"0034_00816",1
"0034_01312",1
"0037_00252",1
"0037_00780",1
"0037_01407",1
"0037_01541",1
"0039_00790",1
"0046",1
"010893",1
"01333",1
"01341",1
"0440",1
"0626sushmachiluvuri8jun2015",1
"0658sushmachiluvuri11may201",1
"0663",1
"0688",1
"0775",1
"0989alexgregg3june2017",1
"0989alexgregg3june2018",1
"0989alexgregg3june2019",1
"0989alexgregg3june2020",1
"0989alexgregg3june2021",1
"0989alexgregg3june2022",1
"0989alexgregg3june2023",1
"0989alexgregg3june2024",1
"0989alexgregg3june2025",1
"0989alexgregg3june2026",1
"0989alexgregg3june2028",1
"0989alexgregg3june2029",1
"0989alexgregg3june2030",1
"0989alexgregg3june2031",1
"0989alexgregg3june2032",1
"0989alexgregg3june2033",1
"0989alexgregg3june2034",1
"0989alexgregg3june2035",1
"0989alexgregg3june2036",1
"0989alexgregg3june2037",1
"0989alexgregg3june2038",1
"0989alexgregg3june2039",1
"0989alexgregg3june2040",1
"0989alexgregg3june2041",1
"0989alexgregg3june2042",1
"0989alexgregg3june2043",1
"0989alexgregg3june2044",1
"0989alexgregg3june2045",1
"0989alexgregg3june2046",1
"0989alexgregg3june2047",1
"0989alexgregg3june2048",1
"0989alexgregg3june2049",1
"0989alexgregg3june2050",1
"0989alexgregg3june2051",1
"0989alexgregg3june2052",1
"0989alexgregg3june2053",1
"0989alexgregg3june2054",1
"0989alexgregg3june2055",1
"0989alexgregg3june2056",1
"0989alexgregg3june2057",1
"0989alexgregg3june2058",1
"0989alexgregg3june2059",1
"0989alexgregg3june2060",1
"0989alexgregg3june2061",1
"0989alexgregg3june2062",1
"0989alexgregg3june2063",1
"0989alexgregg3june2064",1
"0989alexgregg3june2065",1
"0989alexgregg3june2066",1
"0989alexgregg3june2067",1
"0989alexgregg3june2068",1
"0989alexgregg3june2069",1
"0989alexgregg3june2070",1
"0989alexgregg3june2071",1
"0989alexgregg3june2072",1
"0989alexgregg3june2073",1
"0989alexgregg3june2074",1
"0989alexgregg3june2075",1
"0989alexgregg3june2076",1
"0989alexgregg3june2077",1
"0989alexgregg3june2078",1
"0989alexgregg3june2079",1
"0989alexgregg3june2080",1
"0xyl",1
"1.861",1
"10j",1
"111pwrc",1
"1263cokendolpher5may2016",1
"1263cokendolpher5may2017",1
"1263cokendolpher5may2018",1
"1263cokendolpher5may2019",1
"1263cokendolpher5may2020",1
"1263cokendolpher5may2021",1
"1263cokendolpher5may2022",1
"1263cokendolpher5may2023",1
"1263cokendolpher5may2024",1
"1263cokendolpher5may2025",1
"1263cokendolpher5may2026",1
"1263cokendolpher5may2027",1
"1263cokendolpher5may2028",1
"1263cokendolpher5may2029",1
"1263cokendolpher5may2030",1
"1263cokendolpher5may2031",1
"1263cokendolpher5may2032",1
"1263cokendolpher5may2033",1
"1263cokendolpher5may2034",1
"1263cokendolpher5may2035",1
"1263cokendolpher5may2036",1
"1263cokendolpher5may2037",1
"1263cokendolpher5may2038",1
"1263cokendolpher5may2039",1
"1263cokendolpher5may2040",1
"1263cokendolpher5may2041",1
"1263cokendolpher5may2042",1
"1263cokendolpher5may2044",1
"1263cokendolpher5may2045",1
"1263cokendolpher5may2046",1
"1263cokendolpher5may2047",1
"1263cokendolpher5may2048",1
"1263cokendolpher5may2049",1
"1263cokendolpher5may2050",1
"1263cokendolpher5may2051",1
"1263cokendolpher5may2052",1
"1263cokendolpher5may2053",1
"1263cokendolpher5may2054",1
"1263cokendolpher5may2055",1
"1263cokendolpher5may2056",1
"1263cokendolpher5may2057",1
"1263cokendolpher5may2058",1
"1263cokendolpher5may2059",1
"1263cokendolpher5may2060",1
"1263cokendolpher5may2061",1
"1263cokendolpher5may2062",1
"1263cokendolpher5may2063",1
"1263cokendolpher5may2064",1
"1263cokendolpher5may2065",1
"1263cokendolpher5may2067",1
"1263cokendolpher5may2068",1
"1263cokendolpher5may2069",1
"1263cokendolpher5may2070",1
"1263cokendolpher5may2071",1
"1263cokendolpher5may2072",1
"1263cokendolpher5may2073",1
"1263cokendolpher5may2074",1
"1263cokendolpher5may2075",1
"1263cokendolpher5may2076",1
"1263cokendolpher5may2077",1
"1263cokendolpher5may2078",1
"1263cokendolpher5may2079",1
"1263cokendolpher5may2080",1
"1263cokendolpher5may2081",1
"1263cokendolpher5may2082",1
"1263cokendolpher5may2083",1
"1263cokendolpher5may2084",1
"1263cokendolpher5may2085",1
"1263cokendolpher5may2086",1
"1263cokendolpher5may2087",1
"1263cokendolpher5may2088",1
"1263cokendolpher5may2089",1
"1263cokendolpher5may2090",1
"1263cokendolpher5may2091",1
"1263cokendolpher5may2092",1
"1263cokendolpher5may2093",1
