"data.dwc:sex","reps"
"1689",1
"1700",1
"1702",1
"1712",1
"1716",1
"1730",1
"1735",1
"1746",1
"1755",1
"1756",1
"1759",1
"1772",1
"1793",1
"1811",1
"1813",1
"1830",1
"1836",1
"1850",1
"1855",1
"1862",1
"1870",1
"1875",1
"1879",1
"1897",1
"1910",1
"1923",1
"1982",1
"1984",1
"1995",1
"1997",1
"2000",1
"2001",1
"2002",1
"2009",1
"2026",1
"2053",1
"2070",1
"2074",1
"2110",1
"2133",1
"2195",1
"2200",1
"2292",1
"123605",1
"206509",1
"221838",1
"260177",1
"260179",1
"260180",1
"260181",1
"260182",1
"260183",1
"0.6",1
"0.7",1
"0.8",1
"000000000000000000000000000000000000000000000",1
"0040",1
"006",1
"01.02.2002",1
"01.07",1
"0107u",1
"026",1
"10.5",1
"100.0",1
"100p",1
"100u",1
"101.0",1
"101.7",1
"101w",1
"102.5",1
"102w",1
"103.0",1
"104.0",1
"104f",1
"104u",1
"106.0",1
"106u",1
"106w",1
"107.0",1
"107.1",1
"107.3",1
"107w",1
"108w",1
"109.4",1
"109u",1
"10adult",1
"10major",1
"10pupa",1
"10w81",1
"10x",1
"11.5",1
"11.8",1
"11.9",1
"110f",1
"111u",1
"111w",1
"113m",1
"114.0",1
"114.6",1
"115m",1
"116.5",1
"116u",1
"117m",1
"119.0",1
"119.5",1
"11dq",1
"11p",1
"11s",1
"11x",1
"12.2",1
"12.4",1
"12.8",1
"120w",1
"121.0",1
"121.5",1
"121w",1
"122.0",1
"123l",1
"125mi",1
"126.0",1
"126w",1
"128w",1
"12aq",1
"12p",1
"12q",1
"12s",1
"13.1mm",1
"13.2",1
"13.6",1
"13.7",1
"13.9",1
"130w",1
"131u",1
"132w",1
"133u",1
"134w",1
"135f",1
"138w",1
"139f",1
"13es",1
"13mp",1
"14.2",1
"14.3",1
"14.5",1
"14.6",1
"140l",1
"140m",1
"140w",1
"148f",1
"14dq",1
