"establishmentMeans","reps"
"captive, 4 days, taken from nest in chimney",1
"captive, 4 mos",1
"captive, 4 yrs",1
"captive, 7 days",1
"captive, 9 days",1
"captive, at Delta, Manitoba",1
"captive, at Henley-on-Thames, Oxfordshire, England",1
"captive, at least 20 yrs",1
"captive, aviary bred",4
"captive, bred ca 1938",1
"captive, bred ca 1942",1
"captive, bred in aviary",2
"captive, bred in aviary 1942",1
"captive, bred in aviary ca summer 1938",1
"captive, bred in aviary fall of 1939",1
"captive, in aviary",1
"captive, in aviary 2 yrs, imported from Australia",1
"captive, in aviary 9 yrs, from Trinidad or Guiana",1
"captive, in captivity since 2 Aug 1968",1
"captive, in captivity since Apr 1968",1
"captive, kept alive by collector during summer, sent in autumn to Toronto 300, where it died early in December, 1930",1
"captive, kept in captivity for some time after its capture on May 18, 1927",1
"captive, killed by cold",1
"captive, killed by Eland Antelope",1
"captive, killed by female",1
"captive, killed by mate",1
"captive, killed by mate, captive bred",1
"captive, killed by Screech Owl",1
"captive, Midhurst, Ontario",1
"captive, put down due to renal failure",1
"captive, raised at Vineland, Ont",1
"captive, raised from eggs",10
"captive, raised in captivity at Henley-on-Thames, Oxfordshire, England",1
"captive, raised in captivity from egg of wild bird, at Univ of Illinois, Urbana, Illinois",1
"captive, raised in hatchery",1
"captive, reared from hatching",2
"captive, received 1973 August 22",1
"captive, Riverdale Zoo, caught in net",1
"captive, ROM aviary, cage #65",1
"captive, see card",1
"captive, short duration",1
"captive, since 1984 November",1
"captive, since 1991",1
"captive, taken alive at Portage la Prairie by GEA in Feb 1900, this is the male of the pair that JHF bred in captivity in 1902",1
"captive, taken as egg and hatch in captivity",1
"captive, taken from nest",5
"captive, taken from nest on June 21, 1933 when about 8 days old, kept until died in captivity, died Feb 19, 1934",1
"captive, trapped",5
"captive, trauma, shock, pen injury; hatched 1992 June 3, died 1992 August 24, Ring Tag; prepared 2007 December 9",1
"captive, wild caught",1
"captive, wild caught by CWS",1
"captive, wild caught, Fikkema Aviaries",1
"captive, Zoo born at Miller World Zoo",1
"captive; died in captivity, London, Ontario",1
"captive?",17
"captive?, JHF catalogue says 'cage bird'",1
