"islandGroup","reps"
"South Shetland",25
"Tongatapu",25
"Zanzibar Archipelago",25
"Aru Islands [Kepulauan Aru]",24
"Chincha Ids.",24
"Cocos (Keeling) Islands",24
"des abrolhos",24
"Gordon Islands",24
"Holandes Cays",24
"Jawa Timur Prov.",24
"Madeira Is",24
"Man'ua Islands",24
"Natuna Islands",24
"Sotavento Islands",24
"Stewart Island",24
"Ten Thousand Islands",24
"West Falkland Is.",24
"Chester Islets",23
"Costa Rica",23
"Ilam Dist.",23
"Nggela Islands (Florida Islands)",23
"Onotoa Atoll",23
"Prince Edward Islands",23
"San Juan",23
"Southeastern Australia",23
"chagos",22
"Commander Is.",22
"Cyclades Islands",22
"Gulf Islands",22
"Islas Marias",22
"Madeira Ids.",22
"Northern Islands",22
"Palawan",22
"possibly Pohnpei State",22
"Shumagin Is",22
"Tasmania",22
"Winward Islands",22
"Andaman Sea",21
"Calamianes islands",21
"ISLA REVILLAGIGEDOS",21
"Japan?",21
"Tanimbar Islands",21
"Archipi��lago Los Roques",20
"Babuyan Ids.",20
"Dinigat Group",20
"Exuma",20
"Finlayson Islands",20
"GREATER ANTILLES",20
"Gulf of California",20
"Kornati Group",20
"Lampung Bay",20
"Louisiana Islands",20
"Marotiri Isles",20
"Mortlock Group",20
"Revilla Gigedo Islands",20
"Sumatra",20
"Aegean Islands",19
"Amelia",19
"Antipodes Islands",19
"Baja California",19
"Barlavento Islands",19
"Calamianes",19
"Calamianes Islands",19
"Celebes Coastal Islands",19
"Clipperton Island",19
"Cordoba Prov.",19
"Hirsholmene",19
"Kerguelen Islands",19
"San Juan Is.",19
"Schouten Is.",19
"Sea Lion Rocks",19
"St. Vincent & The Grenadines",19
"Arizona",18
"Fadiffolu Atoll",18
"Hawaiian Islands?",18
"Islas de Chincha",18
"Miladummadulu Atoll",18
"Mozambique",18
"New Zealand Islands",18
"Oki-Shotto Islands",18
"Saint Kitts and Nevis Ids.",18
"Sese Islands",18
"The Bahamas",18
"Wilmot Islands",18
"Afognak Islands",17
"Hundred Islands",17
"Malay Peninsula",17
"Saint Matthias Group",17
"Taitung Dist.",17
"Aland Islands",16
"Bolkus Islands",16
"Canarreos Archipelago",16
"Channels Is.",16
"Izu Is.",16
"Kuril Is.",16
"Kyongsang-namdo Prov.",16
"Nicobar Is.",16
"Northern Line Islands",16
"Semirara Islands",16
"Serrana Bank",16
"Tres Marias Is.",16
"Truk Is.",16
"Visayan Is.",16
"Andaman Is",15
"Bahama Islands*",15
"Bougainville Prov.",15
"des bal��ares",15
"Dodecanese Islands",15
"Iles Gambier",15
"Inner Hebrides",15
"MARSHALL ISLANDS",15
"New Britain",15
"Outer Banks",15
"Palagruza Islands",15
"palmer",15
"Pangasinan",15
"Penang State",15
"Praslin Islands",15
"Sao Tome & Principe",15
"Sarawak State",15
"S��o Tom��",15
"SON",15
"Talaud Islands",15
"Thormanby Islands",15
"Trobriand Islands",15
"Bischof Islands",14
"Bridgeport Bar Islands",14
"Cocos Islands",14
"Cousin Is.",14
"Cyclades",14
"Eleuthera islands",14
"Inagua",14
"japon",14
"Mangareva Islands",14
"Melanesia",14
"Pescadores",14
"Sangihe Islands",14
"Sverdrup Islands",14
"Swan Ids.",14
"Trobriand Is.",14
"Virgin Is. (British)",14
"'",13
"Anambas Islands",13
"Belep Islands",13
"Culebra Archipelago",13
"Eleuthera Island",13
"Goilala",13
"Indiana",13
"Lahave Islands",13
"Lau Ids.",13
"Louisiade Arch.",13
"Lubang Island Group",13
"Manus Prov.",13
"Mortlock [Nomoi] Is.",13
"Negeri Sembilan State",13
"PHILIPPINE IS",13
"Pitcairn Ids.",13
"polyn��sie",13
"Sonsorol Islands",13
"Three Kings Islands",13
"Archipi��lago de Tierra del Fuego",12
"Banda Islands",12
"Cat Cays",12
"Cosmoledo Is.",12
"des aleoutiennes",12
"East Tropical Oceania",12
"Gambier Ids.",12
"Ha`apai Ids.",12
"����les Les Saintes",12
"iles mascareignes",12
"Islas de Chincha (Chincha Islands)",12
"Islas Los Testigos",12
"Jolo Island Group",12
"Kaohsiung Dist.",12
"Kerguelen Is",12
"King George Islands",12
"Les Cheneaux Islands",12
"Marianne Islands",12
"marquises",12
"Mascarene",12
"Mikronesien",12
"Northern Cook Is.",12
"Poor Knights Islands",12
"San Vicente Islands",12
"Semidi Is.",12
"Shetland",12
"Tonga Is.",12
"TRES MARIAS IS",12
"Upolu",12
"West Frisian Islands",12
"Allan's Cays",11
"Aran Islands",11
"Austral islands",11
"Balearen",11
"Chiswell Islands",11
"Desventuradas Islands",11
"Duke of Gloucester Group",11
"Hispaniola",11
"��les des Saintes",11
"Pacific Is",11
"P'enghu (Pescadores) Islands",11
"Pye Islands",11
"Runanga Islands",11
"Similan Islands",11
"Socotra Archipelago",11
"Solomon Islands Outliers",11
"South Georgia",11
"South Nilandu Atoll",11
"Sunda Is.",11
"Tierra del Fuego (archipelago)",11
"Vanatu",11
"Yugoslavia",11
"Aldabra",10
"Aldabra Is.",10
