"basisOfRecord","reps"
"Fluda inpae",3
"Guaralycosa?",3
"HerbariumRecord",3
"Heterophrynus longicornis",3
"Hibana discolor",3
"Holothele",3
"Ibotyporanga",3
"Ischnothyreus",3
"Kalcerrytus merretti",3
"Kambiwa neotropica",3
"Lasiodora",3
"Leptopholcus",3
"Linothele",3
"Litoporus",3
"Lyssomanes velox",3
"Lyssomanes vinocurae",3
"Lyssomanes yacui",3
"Macrinus jaegeri",3
"Maeota dichrura",3
"Mesabolivar huambisa",3
"Metazygia peckorum",3
"Misumenoides",3
"Neozimiris",3
"Nycerella volucripes",3
"other",3
"Pavocosa canaruna",3
"Peucetia",3
"Phycosoma",3
"Preserved specimen, pups living",3
"reservado cafofo",3
"Scaphiella capim",3
"Scopocira histrio",3
"Sillus",3
"Simlops pennai",3
"Stenoonops",3
"Strotarchus",3
"Synotaxus brescovit",3
"Synotaxus itabaiana",3
"Syntrechalea caporiacco",3
"Uaiuara? amazonica",3
"Xeropigo cotijuba",3
"Acanthoctenus",2
"Achaearanea canionis",2
"Achaearanea nigrovittata",2
"Achaearanea taeniata",2
"aff. Apochinomma",2
"Aff. Bryantella",2
"Aff. Hapalopus",2
"Aff. Sadala",2
"Akela ruricola",2
"Alpaida leucogramma",2
"Alpaida veniliae",2
"Amatorculus",2
"Amatorculus cristinae",2
"Amaurobiidae",2
"Amazonepeira manaus",2
"Ami",2
"Beata",2
"Bellota",2
"Caponina papamanga",2
"Castianeirinae",2
"cf. Chirothecia",2
"cf. Gradungulonoops",2
"cf. Zygoballus",2
"Chrysso pulcherrima",2
"Corinna eresiformes",2
"Corinna nitens",2
"Cryptachaea diamantina",2
"Cryptocellus abaporu",2
"Cyrtaucheniidae",2
"Dipoena alta",2
"Dipoena cornuta",2
"Dipoena trinidensis",2
"Drymusa  canhemabae",2
"Drymusa  colligata",2
"Drymusa  spelunca",2
"Dubiepeira dubitata",2
"Enna",2
"Envia garciai",2
"Epeirotypus",2
"Epicadus heterogaster",2
"Eriophora edax",2
"Euophrys",2
"Eustala illicita",2
"Eustiromastix",2
"Exsiccati",2
"Fageia",2
"Gastromicans",2
"Guyruita cerrado",2
"HebariumSpecimen",2
"Hibana similaris",2
"Hypognatha lagoas",2
"Isigonia",2
"Lapsamita maddisoni",2
"Loxosceles",2
"Lyssomanes amazonicus",2
"Macrophyes",2
"Maeota",2
"Mangora porracea",2
"Mangora semiatra",2
"Marma",2
"McCafferty et al. 1993",2
"Menemerus bivittatus",2
"Metagonia",2
"Metazygia erratica",2
"Metazygia lagiana",2
"Micrathena armigera",2
"Micrathena coca",2
"Micrathena duodecimspinosa",2
"Micrathena flaveola",2
"Micrathena patruelis",2
"Micrathena schenkeli",2
"Modisimus culicinus",2
"Myrmecium dacetoniforme",2
"Neoctenus comosus",2
"Neodiplothele",2
"Neodrassex",2
"Neoscona nautica",2
"Nesticodes rufipes",2
"Nhandu",2
"Noegus fulvocristatus",2
"Noegus niveomarginatus",2
"Nosferattus ciliatus",2
"Ochyrocera hamadryas",2
"Opopaea deserticola",2
"Oxyopes candidoi",2
"Pachistopelma rufonigrum",2
"Pachomius",2
"Paraluederwaltia",2
"Parawixia ouro",2
"Parawixia velutina",2
"Peckhamia",2
"Pelicinus marmoratus",2
"Phiale crocea",2
"Photo",2
"Published Report",2
"Santinezia tremembe",2
"Simlops juruti",2
"Soesilarishius cearensis",2
"Soesilarishius chaplini",2
"Soesilarishius flagellator",2
"Soesilarishius macrochelis",2
"Soesilarishius paxiuba",2
"Specimen",2
"Spintharus",2
"Spintharus flavidus",2
"Stenoterommata arnolisei",2
"Strophius fidelis",2
"Stygnoplus tapirapeco",2
"Stygnus kuryi",2
"Stygnus nogueirai",2
"Synemosyna myrmeciaeformis",2
"Synemosyna paraensis",2
"Syntrechalea adis",2
"Tanybelus",2
"Tenedos garoa",2
"Theridion - Ameridium",2
"Thiodina vaccula",2
"Tissue",2
"Titidius caninde",2
"Tmesiphantes",2
"Trachelinae",2
"Trochosa",2
"Tupirinna  rosae",2
"Uloborus trilineatus",2
"Vindullus",2
"Wagneriana  jacaza",2
"Wagneriana  neblina",2
"Ward and Berner. 1980.",2
"Xenonemesia araucaria",2
"Zygoballus",2
"Abapeba hoeferi",1
"Achaearanea dalama",1
"Achaearanea hirta",1
"Achaearanea tesselata",1
"Acragas",1
"Actinopodidae",1
"aff. Matiotia",1
"Aff. Megaphobema",1
"Aff. Tapinauchenius",1
"Agoristenidae",1
"Aillutticus",1
"Allocosinae",1
"Alopecosa moesta",1
"Alpaida antonio",1
"Alpaida cuyabeno",1
"Alpaida negro",1
"Alpaida tabula",1
"Alpaida utiariti",1
"Amazonepeira beno",1
"Ammoxenus",1
"Ancylometes concolor",1
"Anyphaenoides locksae",1
"Architis altamira",1
"Architis brasiliensis",1
"Architis cymatilis",1
"Argiope",1
"Artema",1
"Ashtabula",1
"Aspidolasius branicki",1
"Attacobius",1
"Attacobius blakei",1
"Attacobius carranca",1
"Attacobius luederwaldti",1
"Attacobius tucurui",1
"Attacobius uiriri",1
"Aviculariinae",1
"Balmaceda",1
"Banks. 1905.",1
"Banks. 1908.",1
"Banks. 1911.",1
"Banks. 1924.",1
"Barrisca",1
"Belemulus  annulatus",1
"Bertrana striolata",1
"Breda lubomirskii",1
"Capidava",1
"Capidava auriculata",1
"Caponiidae",1
"Cerocida",1
"cf. Allocosa",1
"cf. Ariadna obscura",1
"cf. Erissus",1
"cf. Ero",1
"cf. Habronatha",1
"cf. Hapalopus",1
"cf. Kimulidae",1
"cf. Misumenops",1
"cf. Naatlo",1
"cf. Neotama",1
"cf. Noegus",1
"cf. Pallens",1
"cf. Thymoites",1
"Chibchea ika",1
"Chira guianensis",1
"Chira simoni",1
"Chloridusa",1
"Chrysso sulcata",1
"Corinna bicincta",1
"Corinna capito",1
"Corinna colombo",1
"Corinna natalis",1
"Corinna recurva",1
"Corinnoma semiglabrum",1
"Coxapopha",1
"Cryptocellus tarsilae",1
"Ctenus auricomus",1
"Ctenus bimaculatus",1
"Cynorta variegata",1
"Diaea",1
"Diplura lineata",1
"Dipoena banksi",1
"Dipoena olivenca",1
"Dipoena pusilla",1
"Dipoena tiro",1
"Dodds and Hisaw 1925",1
"Drymusa  philomatica",1
"Drymusa  tobyi",1
"Echinotheridion levii",1
"Echinotheridion utibile",1
"Elaver lutescens",1
"Encolpius",1
"Ephebopus",1
"Epilineutes globosus",1
"Episinus crysus",1
"Episinus malachinus",1
"Erissus",1
"Escaphiella",1
"Escaphiella hesperoides",1
"Euryopis",1
"Eustala vellardi",1
"Euticurine?",1
"fluid preparationskeleton",1
"Freynae?",1
"gen nov",1
"Gephyroctenus juruti",1
"G��nero ind. humbom",1
"Goeldia zyngierae",1
"Graptartia",1
"Hadrotarsinae",1
"Hahniinae",1
"Hanson. 1942.",1
"Heidrunea",1
"Helvetia",1
"Heteropoda",1
"Homoeomma",1
"Hypognatha belem",1
"Hypognatha cryptocephala",1
"Hypognatha navio",1
"Ianduba abara",1
"Ianduba mugunza",1
"Ianduba varia",1
"Ilha de Marac��, SEMA Esta����o., North side of island at Tr��s Igarap��s, ca. Ca. 2km along picada from sub-camp. Open sunny area of tree fall in open seasonal evergreen forest (lower and less dense tha at base camp on south of island).",1
"Kalcerrytus amapari",1
"Kapogea",1
"Kapogea alayoi",1
"Kapogea cyrtophoroides",1
"Leprolochus birabeni",1
"Living specimen",1
"Longistylus ygapema",1
"Lurio",1
"Lycosa nordenskjoldi",1
"Lyssomanes remotus",1
"Macrinus",1
"Mago opiparis",1
"Mangora alinahui",1
"Maraca horrida",1
"Mazax",1
"Mecynogea",1
"Mecynometa",1
"Metagonia globulosa",1
"Metaltella",1
"Metazygia castaneoscutata",1
"Metazygia ducke",1
"Metazygia enabla",1
"Metazygia loque",1
"Metazygia paquisha",1
"Metazygia uraricoera",1
"Methesis semirufa",1
"Micrathena brevispina",1
"Micrathena cyanospina",1
"Micrathena embira",1
"Micrathena fissispina",1
"Micrathena horrida",1
"Micrathena ucayali",1
"Micrepeira fowleri",1
"Misumenops pallidus",1
"Monoblemma",1
"Myrmarachne mocamboensis",1
"Nemesiidae",1
"Neoctenus",1
"Neodiplothele irregularis",1
"Neotama",1
"Neotama mexicana",1
"Nhandu chromatus",1
"Noegus arator",1
"Noegus franganilloi",1
"Novafrontina",1
"Nycerella aprica",1
"Oecobiidae",1
"Oligoxystre caatinga",1
"Onocolus biocellatus",1
"Onocolus compactilis",1
"Otiothops atlanticus",1
"Otoniela adisi",1
"p",1
"Pachomius  dybowskii",1
"Paraphysa",1
"Parawixia bistriata",1
"Parawixia hypocrita",1
"Parawixia matiapa",1
"Pavocosa canarana",1
"Photocopy",1
"Photograph of preservedspecimen",1
"Photographs",1
"Phrurolithinae",1
"Pinned material, also, 1 unsexed",1
"Polybetes",1
"Pozonia",1
"Prodidomidae",1
"Prodysderina",1
"Prorachias  ibitipoca",1
"Proshapalopus",1
"Protimesius",1
"Quemedice",1
"Retiro",1
"Rhoicininae",1
"Rhoicinus gaujoni",1
"Rhopalocranaus opiculatus",1
"Rishaschia",1
"Ross. 1938.",1
"Rubrepeira  rubonigra",1
"Saramacia",1
"Sassacus",1
"Scoloderus cordatus",1
"Scopocira dentrichelis",1
"Sebastira",1
"Senoculus gracilis",1
"Simlops bandeirante",1
"Simlops bodanus",1
"Simlops? pennai",1
"slide",1
"Soesilarishius bicrescens",1
"Soesilarishius muiratinga",1
"Soesilarishius tabernarius",1
"Sosippinae",1
"sp. 14",1
"sp. 2",1
"Sparianthina",1
"Sparianthinae",1
"specimen photocopy/scan",1
"Spilasma utaca",1
"Spintharidius rhomboidalis",1
"Steadoda",1
"Stemmops subtilis",1
"Stephanopoides brasiliana",1
"Stephanopoides sexmaculata",1
"Strophius nigricans",1
"Strotarchus nebulosus",1
"Stygnidae",1
"Stygnus multispinosus",1
"Stygnus trocaraincola",1
"Styposis selis",1
"Sumampattus",1
"Symphytognatha tacaca",1
"Synaemops",1
"Synagelinae",1
"Syntrechalea tenuis",1
"Tapinillus",1
"Tatepeira tatarendensis",1
"Tenedos",1
"Tenedos carlosprestesi",1
"Tenedos nancyae",1
"Tetrablemmidae",1
"Thelyphonidae",1
"Theridion ?",1
"Theridion incertissimum",1
"Thomasettia",1
"Thomisinae",1
"Thwaitesia  affinis",1
"Thymoites elongatus",1
"Titidius",1
"Titidius galbanatus",1
"Trachelas SPP",1
"Trachelopachys aemulatus",1
"Trechalea amazonica",1
"Trechalea macconelli",1
"Uaiuara?",1
"Uloborus filidentatus",1
"Uraarachne",1
"Vendaphaea lajuma",1
"Vindullus concavus",1
"Vitalius",1
"Wagneriana  grandicornis",1
"Wagneriana  hassleri",1
"Wagneriana  roraima",1
"Wulfilopsis",1
"Xeropigo camilae",1
"Xeropigo pachitea",1
"Xeropigo perene",1
"Xyccarph",1
"Xylethrus",1
"Zimiromus sinop",1
"Zimiromus syenus",1
"Zloty. 1996.",1
"Zosis",1
"Zosis peruana",1
"Zuniga",1
"Zuniga magna",1
