"data.dwc:typeStatus","reps"
"phormosoma",41
"placenticeras",41
"prostemmiulus",41
"prov",41
"puberula",41
"rakaia",41
"rendle",41
"rhophalithes",41
"ruellia",41
"ruficollis",41
"salicifoliella",41
"silvatica",41
"stenotabanus",41
"syrphidae",41
"tetraloniella",41
"thymus",41
"torr",41
"townes",41
"trachelas",41
"underwoodi",41
"vespilloides",41
"vestitus",41
"86",40
"90",40
"93",40
"98",40
"114",40
"154",40
"367",40
"574",40
"1893",40
"1905",40
"10004877",40
"10006279",40
"10006322",40
"afzel",40
"aquilus",40
"asclepias",40
"atriceps",40
"basidiomycetes",40
"capito",40
"capricornis",40
"chapman",40
"cirsium",40
"comorensis",40
"compressus",40
"coronata",40
"deschampsia",40
"ferox",40
"forbes",40
"formosae",40
"gentilis",40
"gibbosa",40
"glaberrima",40
"glaziovii",40
"globosa",40
"greuter",40
"hamlini",40
"hispaniolae",40
"hornsby",40
"huberi",40
"illota",40
"incognitus",40
"jatropha",40
"josyi",40
"koehne",40
"laurent",40
"laurus",40
"leiolepis",40
"lessertia",40
"lovich",40
"lycaena",40
"montivagus",40
"moraea",40
"mounax",40
"neochthebius",40
"nervosa",40
"nordstedtii",40
"ochthedromus",40
"ohlsén",40
"otomys",40
"pachybrachys",40
"perturbatus",40
"pulchellus",40
"pulcherrima",40
"reticularis",40
"rhodogaster",40
"rothm",40
"salicinus",40
"sanctaecrucis",40
"semicanus",40
"sericeus",40
"sideritis",40
"steindachneri",40
"subvar",40
"sylvatica",40
"taitanus",40
"tamiasciurus",40
"telmatobius",40
"terebra",40
"tropidurus",40
"turquinensis",40
"valliceps",40
"verificar",40
"virescens",40
"weberbaueri",40
"weisrock",40
"zelotes",40
"70",39
"108",39
"336",39
"451",39
"959",39
"1911",39
"4354",39
"10004461",39
"10006613",39
"acutus",39
"aegiphila",39
"agromyza",39
"amabilis",39
"amnicola",39
"anthospermum",39
"antillana",39
"antrozous",39
"aragonensis",39
"ascogaster",39
"aspidosperma",39
"aurifer",39
"banisteria",39
"bermudezi",39
"bussche",39
"cameron",39
"chase",39
"chrysopilus",39
"colletes",39
"conferta",39
"congesta",39
"convergens",39
"curtissi",39
"dendroica",39
"dimicki",39
"dina",39
"dmitriev",39
"dorstenia",39
"eburnea",39
"elongatum",39
"eowilsoni",39
"erigone",39
"excisa",39
"flaviventris",39
"fluid",39
"fortis",39
"galatius",39
"gaudryina",39
"goerz",39
"hartwegi",39
"henttonen",39
"humblotii",39
"hydraenidae",39
"ideotype",39
"impatientis",39
"jacksoni",39
"janzeni",39
"lamed",39
"lawson",39
"laxiflora",39
"leporinus",39
"limbata",39
"liometopum",39
"liophis",39
"longiflora",39
"lorettensis",39
"lucidus",39
"lymani",39
"lyra",39
"macrops",39
"marmorata",39
"micropteropus",39
"miscix",39
"munzinger",39
"muscorum",39
"mutabilis",39
"myristica",39
"natica",39
"neea",39
"neotipo",39
"ninia",39
"nocturna",39
"onnia",39
"osornoi",39
"pachyta",39
"pecuarius",39
"philautus",39
"phocoena",39
"physalaemus",39
"poelln",39
"protium",39
"pseudisobrachium",39
"regularis",39
"rex",39
"riddle",39
"shawdet",39
"sierrae",39
"silphii",39
"sphinctomyrmex",39
"statice",39
"stenstr",39
"taedaetaedae",39
"thayeri",39
"triarthrus",39
"trinidadensis",39
"virgatus",39
"66",38
"201",38
"214",38
"224",38
"384",38
"1244",38
"1914",38
"1981",38
"10004549",38
"10006252",38
"10006402",38
"10006638",38
"acutifolia",38
"aegialia",38
"aerata",38
"aira",38
"andricus",38
"antbirds",38
"arge",38
"athanasia",38
"balanus",38
"brosimum",38
"cardium",38
"carri",38
"cephaloon",38
"chrysotus",38
"clypeaster",38
"cockerell",38
"coloratus",38
"conyza",38
"cophixalus",38
"corylifolius",38
"corymbosa",38
"crassifolia",38
"crassipes",38
"craterostigmus",38
"crawford",38
"ctenotus",38
"curta",38
"deg",38
"delicata",38
"diversifolia",38
"dubiaranea",38
"durden",38
"eckloniana",38
"eichler",38
"eleocharis",38
"elymus",38
"erythrogaster",38
"eulophia",38
"felis",38
"fieldi",38
"fulvifrons",38
"fulvus",38
"garcinia",38
"glaber",38
"gnateaters",38
"grammonota",38
"group",38
"hal",38
"hirsutum",38
"horrida",38
"imperator",38
"jewett",38
"johanson",38
"jubar",38
"kuntze",38
"lineatopus",38
"macurdai",38
"magister",38
"manistee",38
"meristoschisma",38
"mouriri",38
"mucronatus",38
"neglectus",38
"nordophiceras",38
"octoarticulatus",38
"oweni",38
"paradoxa",38
"paranensis",38
"parviflorum",38
"pitcairnia",38
"planatum",38
"planz",38
"plectrocnemia",38
"podalyria",38
"polyactium",38
"precambrian",38
"procumbens",38
"rostratus",38
"semirufus",38
"sigsbei",38
"somnulentus",38
"stellata",38
"subcostatum",38
"tantilla",38
"tavaratra",38
"tenue",38
"tenuipalpus",38
"thompsoni",38
"tipula",38
"torrei",38
"varius",38
"vietinghoffii",38
"vivipara",38
"zelleriella",38
"58",37
"97",37
"99",37
"118",37
"252",37
"294",37
"299",37
"472",37
"498",37
"644",37
"10000046",37
"10000105",37
"10004384",37
"10004845",37
"10005491",37
"10006838",37
"10007082",37
"10007632",37
"amer",37
"andrenaillinibouseman",37
"angularis",37
"aphelandra",37
"armbruster",37
"atkinsi",37
"berberis",37
"blocker",37
"botanophila",37
"calyptomyrmex",37
"candoia",37
"cardioglossa",37
"censky",37
"chiricahuae",37
"cineraria",37
"cinerascens",37
"clinei",37
"colobopsis",37
"comatula",37
"cooperi",37
"costaricensis",37
"craigae",37
"cyclophorus",37
"deinopteroloma",37
"diminuta",37
"diosma",37
"elatior",37
"eristalis",37
"fenestra",37
"form",37
"gillette",37
"glabrum",37
"guinn",37
"hilara",37
"hulse",37
"ibis",37
"ionidesi",37
"isotopotype",37
"kingsolver",37
"klack",37
"leto",37
"malvastrum",37
"marginatum",37
"melanargia",37
"mordax",37
"n.y",37
"natural",37
"nubicola",37
"nyár",37
"obliqua",37
"paulson",37
"pavetta",37
"perspicillata",37
"phenax",37
"ravidormitans",37
"rejected",37
"retusa",37
"rogers",37
"rugiceps",37
"sacks",37
"schultzei",37
"sprague",37
"state",37
"sulcatus",37
"superba",37
"swarth",37
"syneta",37
"tellina",37
"thryothorus",37
"tissue",37
"triaenodes",37
"udea",37
"umbrinus",37
"vicina",37
"vved",37
"weyandt",37
"xiphomyrmex",37
"zeteki",37
"zygophyllum",37
"127",36
"200",36
"259",36
"283",36
"10000452",36
"10007251",36
"acer",36
"acipenser",36
"agathidium",36
"anisodactylus",36
"aquilina",36
"archaster",36
"argus",36
"auritus",36
"banaorum",36
"billingsi",36
"bishop",36
"bogart",36
"boletaceae",36
"brachycentrus",36
"brevispinosus",36
"bryantae",36
"coleonyx",36
"connectens",36
"crenata",36
"decepta",36
"dermestes",36
"dianthus",36
"dregei",36
"dyer",36
"exiguum",36
"filipes",36
"flavipes",36
"fulvescens",36
"fuscipes",36
"glycymeris",36
"gonolobus",36
"hallier",36
"hawaiiensis",36
"hebeloma",36
"heering",36
"heinr",36
"hircinia",36
"holbrookia",36
"javana",36
"juniperae",36
"keniensis",36
"kitae",36
"knemiceras",36
"laxum",36
"leviton",36
"linociera",36
"litoralis",36
"littoridina",36
"longirostris",36
"lotononis",36
"macfarlani",36
"manacus",36
"marmosops",36
"marsh",36
"maxillosus",36
"mearns",36
"megalotis",36
"occultus",36
"oeneis",36
"oligaulax",36
"orthoporus",36
"papuana",36
"paradoxus",36
"parvulum",36
"persica",36
"phelsuma",36
"pillans",36
"pimelea",36
"polymorpha",36
"praecox",36
"reflexa",36
"rhinolophus",36
"sabuleti",36
"scopulorum",36
"taeniura",36
"tanaoblastus",36
"thomasomys",36
"thouinia",36
"tiegh",36
"vagans",36
"virginea",36
"vitiensis",36
"wats",36
"werneri",36
"xanthorhoe",36
"zanthoxylum",36
"zealeuctra",36
"zonosaurus",36
"57",35
"140",35
"176",35
"302",35
"371",35
"516",35
"10004875",35
"10004904",35
"10006260",35
"10006588",35
"adamsii",35
"aeschynomene",35
"agobardus",35
"algidiformis",35
"amazonicus",35
"amblyseius",35
"andina",35
"antiqua",35
"apalis",35
"aristata",35
"asplundia",35
"batesi",35
"becki",35
"benshoof",35
"bishopi",35
"caespitosa",35
"callirhytis",35
"carabodes",35
"cephalaria",35
"clusia",35
"confusus",35
"crassicornis",35
"decne",35
"desmarestianus",35
"diarina",35
"dixidae",35
"drypetes",35
"ectatommoides",35
"everetti",35
"flavidus",35
"fragrans",35
"frog",35
"gazette",35
"gleichenia",35
"glossosoma",35
"gouldi",35
"grieco",35
"grisebachii",35
"grund",35
"hoppe",35
"hotteana",35
"hydrophilus",35
"incana",35
"inquisitor",35
"kaulf",35
"laest",35
"lanata",35
"leptophylla",35
"lobopelta",35
"longidigitata",35
"maximus",35
"microspirobolus",35
"mollinedia",35
"monteverdensis",35
"myrmecina",35
"nemocestes",35
"nr",35
"obtusiforme",35
"otostigmus",35
"papaloae",35
"partulina",35
"parvulus",35
"peltophryne",35
"pfaffia",35
"pheugopedius",35
"philippinensis",35
"phyciodes",35
"phyllobates",35
"prairies",35
"promota",35
"proto",35
"rectus",35
"rev",35
"riparia",35
"sand",35
"spicer",35
"spiranthes",35
"spp",35
"strychnos",35
"ståhl",35
"sulphurosa",35
"sylvilagus",35
"syriaca",35
"tephrosia",35
"tibialis",35
"tlagu",35
"trinitatis",35
"tubulifera",35
"turtle",35
"typica",35
"umbellata",35
"underw",35
"urbanii",35
"vincenti",35
"wikstroemia",35
"wroughtonii",35
"115",34
"211",34
"268",34
"306",34
"477",34
"525",34
"1092",34
"1963",34
"1000001",34
"10006614",34
"10006822",34
"10007269",34
"afrixalus",34
"agassizi",34
"agriognatha",34
"amphiodia",34
"anisosticta",34
"annua",34
"argyrodes",34
"axanthus",34
"bong",34
"brachycarpa",34
"bradley",34
"by",34
"cadle",34
"capillitas",34
"carinote",34
"caulleriella",34
"celsia",34
"cepedea",34
"chiov",34
"cicur",34
"coelestinus",34
"coelioxys",34
"colchicum",34
"columbites",34
"concinnus",34
"corinna",34
"creophilus",34
"ditissa",34
"eximium",34
"foster",34
"goldsmith",34
"graphoceras",34
"heilborn",34
"herp",34
"hil",34
"histrionalis",34
"huet",34
"hylmö",34
"icius",34
"inaequalis",34
"inculta",34
"isoépitype",34
"ivie",34
"jeanae",34
"judolia",34
"karstophila",34
"koehler",34
"leandra",34
"longispina",34
"macrogeomys",34
"magnipes",34
"medrano",34
"mephitis",34
"mesembryanthemum",34
"meyeri",34
"microlicia",34
"mimus",34
"molau",34
"naso",34
"neiswenter",34
"nemoralis",34
"newportia",34
"norlind",34
"noturus",34
"opacus",34
"ophiozona",34
"oxytelus",34
"parallela",34
"parc",34
"pardalis",34
"pecten",34
"periclista",34
"philippia",34
"pirata",34
"polyantha",34
"proformica",34
"rigidum",34
"roem",34
"rogeria",34
"rufoglaucus",34
"ruiz",34
"schack",34
"sebae",34
"sebastiania",34
"serranus",34
"setaria",34
"simoni",34
"sordida",34
"stachytarpheta",34
"strongylopus",34
"sunyer",34
"syngonanthus",34
"tanae",34
"teevani",34
"tessmannii",34
"triumfetta",34
"uniflora",34
"viridescens",34
"whytii",34
"woodruff",34
"wormaldia",34
"78",33
"135",33
"150",33
"10001841",33
"10004799",33
"aechmea",33
"albotuberculata",33
"allisoni",33
"allophylus",33
"amphidromus",33
"andrei",33
"anegadae",33
"armouri",33
"arnegardi",33
"atrovirens",33
"baccha",33
"basin",33
"belli",33
"bledius",33
"bolek",33
"borreria",33
"bracteata",33
"breviraja",33
"bunchosia",33
"byttneria",33
"c.l",33
"calcicola",33
"cardamine",33
"carludovica",33
"cepedii",33
"championi",33
"coelinidea",33
"contorta",33
"cordifolia",33
"cottus",33
"coveri",33
"croizat",33
"cronquist",33
"cyphia",33
"depressus",33
"deserticola",33
"dipturus",33
"dixon",33
"dominicensis",33
"duckei",33
"erythraea",33
"eupagurus",33
"filifolia",33
"fimbriatum",33
"flamellus",33
"fuscum",33
"gibbosus",33
"gilberti",33
"great",33
"gunnera",33
"gynodactylus",33
"hartm",33
"hispidula",33
"humeralis",33
"idolus",33
"impatiens",33
"january",33
"kuhlm",33
"lactarius",33
"lancifer",33
"lange",33
"laurenti",33
"leiocarpa",33
"lepyrus",33
"leuctra",33
"librarius",33
"limicolaria",33
"littorina",33
"lonicera",33
"lyonia",33
"lönnr",33
"manskiei",33
"medina",33
"melanarius",33
"membranacea",33
"merriam",33
"monodelphis",33
"mops",33
"muiri",33
"myrmoturba",33
"neuroterus",33
"nigriventris",33
"odostomia",33
"okopa",33
"oppositifolia",33
"ormosia",33
"ostrocerca",33
"otisi",33
"pallidula",33
"papillosa",33
"parvicirrus",33
"pelates",33
"pelecomalium",33
"peninsulae",33
"perrier",33
"phrurolithus",33
"phyllonorycter",33
"pinna",33
"platyphylla",33
"polystachya",33
"pristiphora",33
"procyon",33
"pseudestheria",33
"quararibea",33
"radicans",33
"rasilis",33
"rheumaptera",33
"rhipidomys",33
"rivularius",33
"samuelis",33
"sappheira",33
"saprinus",33
"saxifragum",33
"schizaster",33
"scient",33
"shrevei",33
"siphlonuridae",33
"siren",33
"solitaria",33
"spathulata",33
"stadelmanni",33
"suturalis",33
"systematics",33
"taedaelinearis",33
"tereticaudus",33
"testaceum",33
"tmarus",33
"triseriatus",33
"troodon",33
"velox",33
"wilderi",33
"xylophaga",33
"yukonicus",33
"183",32
"228",32
"310",32
"1056",32
"1904",32
"1929",32
"10004354",32
"10004504",32
"10006415",32
"10006496",32
"adler",32
"afzelii",32
"alain",32
"amchickeringi",32
"amphithalea",32
"andersonii",32
"aphelocoma",32
"asteris",32
"astricta",32
"athyrium",32
"ball",32
"barbour",32
"berosus",32
"bornmuelleri",32
"cabera",32
"caerulhians",32
"calosoma",32
"caracao",32
"ceramboides",32
"ceratopogonidae",32
"citharexylum",32
"clara",32
"clitoria",32
"coenonympha",32
"colombiana",32
"compressa",32
"corbula",32
"corticola",32
"cystocandicans",32
"danae",32
"decentis",32
"devia",32
"dicerca",32
"didelphis",32
"dunal",32
"eatoni",32
"echites",32
"epitipo",32
"faramea",32
"floribundum",32
"fowleri",32
"frauenfeldi",32
"fuscater",32
"gaultheria",32
"glutinosus",32
"goodwin",32
"greenwayi",32
"grimaldi",32
"gypsophila",32
"helmrichi",32
"holbrook",32
"hyperaspis",32
"intercedens",32
"interpositus",32
"iris",32
"irritans",32
"kurok",32
"lactarias",32
"lasia",32
"lee",32
"lehmannii",32
"leoncortesi",32
"limata",32
"linum",32
"longicornis",32
"lutreola",32
"macra",32
"manulea",32
"mattf",32
"media",32
"minutiflora",32
"montivagans",32
"multiporus",32
"myops",32
"myosotis",32
"nels",32
"novitates",32
"obscurior",32
"ooeidozyga",32
"palmerella",32
"petersi",32
"picea",32
"plumeria",32
"poelt",32
"potamonautes",32
"pp",32
"ramaria",32
"renilla",32
"rigidus",32
"robins",32
"rogersi",32
"rohwer",32
"schimperiana",32
"scirpearia",32
"selenops",32
"sinensis",32
"sommeri",32
"stelis",32
"striatula",32
"strymon",32
"tamarix",32
"thersites",32
"thomasia",32
"triplehorn",32
"upis",32
"upton",32
"venosa",32
"voeltzkowi",32
"webbi",32
"yunnanensis",32
"85",31
"173",31
"482",31
"990",31
"18006",31
"10004473",31
"10006285",31
"10006302",31
"abbotti",31
"abtrusus",31
"agriades",31
"amblyopone",31
"amphioplus",31
"antillensis",31
"antipathes",31
"aphididae",31
"apodemus",31
"argyropelecus",31
"arizona",31
"aurantiaca",31
"aureola",31
"auriculata",31
"australe",31
"belizensis",31
"bella",31
"benoist",31
"blanchardi",31
"brachymeles",31
"bressleri",31
"bumelia",31
"but",31
"chilensis",31
"chilina",31
"chiton",31
"chondrostega",31
"chrysantha",31
"citrina",31
"cnc",31
"conostylis",31
"cremastogaster",31
"cretaceous",31
"cynanchum",31
"daviesia",31
"desertorum",31
"deutsche",31
"diabasia",31
"dimidiata",31
"drymopora",31
"echinolampas",31
"eglandulosa",31
"elevata",31
"engelm",31
"entomoscelis",31
"eridophyllum",31
"eulota",31
"exanthemata",31
"expl",31
"fugax",31
"galea",31
"genuina",31
"gonioctena",31
"gordoni",31
"harlingii",31
"haynesi",31
"hectus",31
"hellmayr",31
"helwig",31
"herter",31
"homotelus",31
"hudsoni",31
"hybomitra",31
"inconspicua",31
"isolepis",31
"kingi",31
"lachesis",31
"lanceolatum",31
"laqueatus",31
"lasioglossum",31
"leache",31
"lepidus",31
"lepophidium",31
"liebm",31
"liopholidophis",31
"lomatium",31
"lycium",31
"lymnaea",31
"lyropupa",31
"maas",31
"macdonald",31
"mandibularis",31
"matsunami",31
"microneta",31
"microstoma",31
"n.gen",31
"nesopupa",31
"nilsson",31
"obtusus",31
"ophiomyxa",31
"oregonensis",31
"paludicola",31
"pedunculata",31
"perlata",31
"petiolaris",31
"philhydrus",31
"placostylus",31
"plectrohyla",31
"probolomyrmex",31
"procambarus",31
"protoopalina",31
"pseudotriton",31
"puella",31
"race",31
"ramosa",31
"randia",31
"reissek",31
"rightmyer",31
"robustum",31
"rolfe",31
"rollins",31
"rubescens",31
"russelli",31
"scytodes",31
"similans",31
"société",31
"sparre",31
"sphaeroceridae",31
"squamata",31
"stictigaster",31
"stigmatomma",31
"strictum",31
"strongyloblastus",31
"studies",31
"subfo",31
"tenellus",31
"tenera",31
"terrestris",31
"thesea",31
"timberlake",31
"traillii",31
"urbaniana",31
"vinosus",31
"vittata",31
"weberi",31
"whitei",31
"xanthophyllum",31
"xanthoria",31
"121",30
"163",30
"236",30
"271",30
"328",30
"387",30
"390",30
"462",30
"471",30
"1901",30
"1962",30
"1000203",30
"10000389",30
"10006254",30
"10006432",30
"abyssinicum",30
"agropyron",30
"aimophila",30
"alotipo",30
"alta",30
"americanum",30
"anelosimus",30
"anemia",30
"angustior",30
"antirhea",30
"asaphes",30
"atlanticus",30
"aurulenta",30
"baetis",30
"bangsi",30
"bartschi",30
"benson",30
"bergi",30
"bitaeniatus",30
"brooksi",30
"brunhoff",30
"bur",30
"bursera",30
"cadulus",30
"capillaris",30
"capitatus",30
"carduus",30
"caribbaea",30
"casuarina",30
"chetansapa",30
"chickeringi",30
"cinereicollis",30
"columbianus",30
"conepatus",30
"confusum",30
"consimile",30
"cotyledon",30
"crepis",30
"criddlei",30
"cyclas",30
"cyclocorus",30
"degener",30
"dichotoma",30
"dictyonema",30
"digitaria",30
"disjuncta",30
"dynamine",30
"empididae",30
"ericoides",30
"eumeces",30
"february",30
"fiebrigii",30
"fjellberg",30
"fosteri",30
"fumatus",30
"galathodes",30
"gerrhonotus",30
"glabratum",30
"hanks",30
"hedysarum",30
"hochr",30
"hoehne",30
"huber",30
"humile",30
"hybrida",30
"hypopachus",30
"inger",30
"integra",30
"interjectus",30
"ionoxalis",30
"jagorii",30
"lachnaea",30
"lamprologus",30
"lepidophyma",30
"lioon",30
"mil",30
"millsp",30
"monae",30
"monnina",30
"mycetophila",30
"myrmoteras",30
"mülleri",30
"napaeozapus",30
"near",30
"nitidula",30
"obsoleta",30
"ophiomitra",30
"pacifigorgia",30
"pall",30
"paratrechina",30
"plastolectotype",30
"polaris",30
"porcata",30
"pursh",30
"radula",30
"raup",30
"recuero",30
"rhoptromyrmex",30
"rhyacotriton",30
"rotundata",30
"sapium",30
"schippii",30
"schrad",30
"scotti",30
"silus",30
"sitona",30
"spongelia",30
"stichopathes",30
"stichopus",30
"suaveolens",30
"subterranea",30
"tandrefana",30
"tenebrica",30
"ternstroemia",30
"thalictrum",30
"tomentella",30
"tooker",30
"tournefortia",30
"trigoniulus",30
"vermontensis",30
"verticillata",30
"virens",30
"virginiana",30
"viscum",30
"vitrinella",30
"weinmannia",30
"wettst",30
"white",30
"wood",30
"štěpánek",30
"77",29
"91",29
"112",29
"241",29
"277",29
"1000183",29
"10000346",29
"10004425",29
"10004795",29
"04",29
"acanthophyllum",29
"account",29
"actinocrinus",29
"adscendens",29
"alepidea",29
"altaeelgonis",29
"alternanthera",29
"ambiguus",29
"apogon",29
"arbuscula",29
"arnold",29
"atractus",29
"attus",29
"augur",29
"babiana",29
"bacidia",29
"baldyensis",29
"bartr",29
"bennetti",29
"bird",29
"bispicata",29
"botanique",29
"bourreria",29
"brasiliense",29
"brevicaudata",29
"breviora",29
"buchneri",29
"bullock",29
"burdick",29
"calais",29
"candicans",29
