"data.dwc:identificationQualifier","reps"
"brisbanensis",19
"bullosus",19
"calcicola",19
"canaliculata",19
"chiloscyphus",19
"chondriopsidea",19
"close",19
"constricta",19
"cylindrodon",19
"cymosa",19
"despectans",19
"eccremidium",19
"enteromorpha",19
"eragrostis",19
"erosum",19
"felis",19
"fomitopsis",19
"gaudichaudii",19
"glaucescens",19
"glyptodon",19
"grossa",19
"heterocladia",19
"holocarpa",19
"holosericea",19
"illegible",19
"insignis",19
"involucrata",19
"kraftii",19
"latissima",19
"lawrenciana",19
"ledermannii",19
"moluccana",19
"myriogramme",19
"narrow",19
"obesa",19
"oblonga",19
"oxyclada",19
"pachyarmatherium",19
"pannosa",19
"peltata",19
"perithamnion",19
"plurinervia",19
"poebrotherium",19
"poria",19
"praetermissus",19
"proscelidodon",19
"radicans",19
"robustus",19
"rodwayi",19
"rutilans",19
"scariosa",19
"sorocarpa",19
"sp.d",19
"splendens",19
"spongiosa",19
"stelliferum",19
"stereum",19
"subgenus",19
"tener",19
"toddi",19
"trigonias",19
"truncatum",19
"tuckeri",19
"viverravus",19
"volans",19
"wardii",19
"wattsii",19
"weidemeyerii",19
"young",19
"aculeata",18
"aculeatum",18
"af",18
"albescens",18
"baroni",18
"billardierei",18
"cardamine",18
"citriodora",18
"coccocarpia",18
"coliformis",18
"composita",18
"crinale",18
"crucis",18
"didymictis",18
"distans",18
"echinata",18
"elegantissima",18
"euptilota",18
"ferrugineus",18
"filiculum",18
"florida",18
"fulvia",18
"gamma",18
"gilesii",18
"glandon",18
"gypsonictops",18
"harry",18
"heteroneura",18
"hookeriana",18
"hyaenodon",18
"ingens",18
"integrifolia",18
"laeve",18
"lanata",18
"latrobei",18
"leptospermoides",18
"ligulaefolium",18
"lorea",18
"marasmius",18
"meadi",18
"nottii",18
"novoguinensis",18
"nymphaea",18
"o'brien",18
"otocarpum",18
"pale",18
"papulosa",18
"parviflorum",18
"pedicellatus",18
"phaeton",18
"phileta",18
"pima",18
"plesiadapis",18
"pleurotoid",18
"plumosum",18
"prolixa",18
"pseudobryoniae",18
"riedlei",18
"rubescens",18
"rufescens",18
"scorpioides",18
"senecio",18
"specimen",18
"sphacelatum",18
"sporadica",18
"stowardii",18
"striata",18
"subconveniens",18
"tasmanensis",18
"taxiformis",18
"tectifica",18
"tenuifolius",18
"tomentella",18
"tremarctos",18
"tumida",18
"van",18
"verticillatum",18
"violacea",18
"viride",18
"wollastoniana",18
"xylaria",18
"zymurgia",18
"abbreviatum",17
"affine",17
"albicans",17
"albimontana",17
