"identificationQualifier","reps"
"Gess sp. K",5
"Gigantopithecus",5
"Gillisonchus",5
"Giraffokeryx",5
"grandis",5
"Hapalops",5
"Haploconus",5
"Heliconiinae",5
"helios",5
"Hemipsalodon",5
"Heptodon",5
"herceus",5
"herri",5
"Hipparchia galalhea",5
"(hygrophanous)",5
"innom.",5
"intermedia",5
"jacki",5
"Kobus",5
"L. a. anna",5
"Lanthanotherium ?",5
"Lasiorhinus",5
"Late Boneset",5
"L. Glover",5
"liane",5
"like",5
"L. lorquini pallidafacies",5
"L. theonus",5
"L. weidemeyerii latifascia",5
"Machairodus",5
"Machlydotherium",5
"maconensis",5
"Mammut?",5
"M. Arnold",5
"menetriesi",5
"Merychippus ?",5
"Metaxytherium",5
"M.g. gryneus",5
"Minum maximoviczii",5
"Miohippus",5
"mitchellii",5
"mixtilis type",5
"M. l. loki",5
"M. l. thornei",5
"mostly",5
"Myotis",5
"Nancy Hensold, F.",5
"nc12",5
"n. comb.",5
"Neochoerus cf.",5
"Noturus cf.",5
"n. sp. pro tem.",5
"? or Mycena",5
"Palaeotherium",5
"P. clodius baldur",5
"pelidne",5
"Pesudohipparion",5
"P. glandon rustica",5
"Phenacodus ?",5
"philea",5
"piedmontanus",5
"Plagiolophus",5
"Platygonus?",5
"poss. mis id",5
"Prairie Bluff Chalk",5
"Prob.",5
"Procranioceras",5
"Prototomus",5
"Pseudhipparion ?",5
"Pseudohazis hera",5
"R.A. Taber",5
"R. W. Sites",5
"S. a. chitone",5
"sennae",5
"sens. lat.",5
"(sensu Kauff.)",5
"sensu Rea",5
"= S. mackenziana (USDA Plant List)",5
"sp. 1 Europe",5
"sp. 3 (white)",5
"sp. and forma nov.",5
"sp. C",5
"sp. nov. (cf. theta)",5
"sp. nov. pro tem.",5
"sp. nr. strenuana",5
"sp. undet. near glutinosi",5
"ssp?",5
"ssp. indet.",5
"Subhyracodon ?",5
"subsp. ponderosae",5
"S.W.Taber",5
"Taxa ined.?",5
"Terias lisa",5
"Thylogale",5
"Tomarctus ?",5
"Tortula pilifera",5
"tsushimana",5
"var A",5
"var. n.",5
"varuna",5
"vel. aff.;",5
"verified by #6",5
"verified by D. johanseni Swaine",5
"verified by Smetana",5
"Vombatus",5
"W.D. Sissom",5
"X",5
"x tolmiei",5
"young",5
"[?]",4
"\?\",4
"1905-06-25",4
"Aalenian Ss",4
"A. aphrodite",4
"Acanthorrhynchium",4
"Acroporium pungens",4
"Acroporium smallii",4
"Actenomys",4
"Allomys",4
"americus",4
"andraemon",4
"Andrew Salywon",4
"Anectangium",4
"Anomodon decurrens",4
"anona",4
"Aongstroemia jamaicensis",4
"apacheana",4
"approaching",4
"April",4
"Arctocyon",4
"arthemis",4
"atalanta",4
"aus7",4
"Authentic",4
"Balaenoptera",4
"Barbella asperifolia Card.",4
"Barbella enervis (Thwait. & Mitt.) Fleisch.",4
"Barbula obscuriretis",4
"Basilosaurus",4
"Bassariscus cf.",4
"batavus",4
"beckeri",4
"bingi",4
"bolli",4
"boltonii-sabuletorum",4
"boltonii-sabuletorum complex",4
"Bothriodon",4
"Brachyerix",4
"Brachythecium wichurae (Broth.) Par.",4
"Braintree Arg",4
"Bright Angel Sh",4
"Brotherella yokohamae",4
"Bryhnia noesica",4
"Bryoxiphium savatieri",4
"Bryum cirratum",4
"Campylopodium euphorocladum",4
"Campylopus bermudianus",4
"Campylopus cubensis",4
"Campylopus inchangae",4
"Campylopus inerangae",4
"Campylopus longipilus",4
"can't verify species name",4
"= C. arctogena (USDA Plant List)",4
"C. argiolus ladon",4
"caryi",4
"cf;",4
"cf. ?",4
"cf. cognatus",4
"cf. duryi",4
"cf. latus",4
"= C. flava var. fertilis (USDA Plant List)",4
"cf. macrocephala",4
"? c.fr.",4
"cf. \tambellup\",4
"c. gem.",4
"Chemotype \N\",4
"christina",4
"Cinclidium latifolium",4
"= C. lasiocarpa var. latifolia (USDA Plant List)",4
"Clastobryella kusatsuensis",4
"= C. oblita (USDA Plant List)",4
"Cololejeunea micronesica",4
"conf.",4
"Conf",4
"cr.",4
"Crocuta ?",4
"C. R. Ward",4
"= C. scirpiformis (USDA Plant List)",4
"C. simaethis sarita",4
"= C. strictior (USDA Plant List)",4
"Cyathophorella hookeriana",4
"Cyathophorella tonkinensis",4
"Cylindrothecium concinnum",4
"Cylindro type;",4
"Cyprinidae cf.",4
"damoetas",4
"Daphaenodon",4
"Dicranella tosaensis",4
"Dicranum starkei",4
"Dissacus",4
"Ditrichum mayebarae",4
"Dolichomitra cymbifolia var. subintegerrima",4
"Drepanocladus japonicus",4
"Drepanocladus revolvens ssp. intermedius",4
"Dylan Q. Wann",4
"Ectypodus",4
"electra",4
"elis",4
"elivata",4
"Eoconodon",4
"Etage Dd1 beta",4
"eubule",4
"eunomo",4
"eurydice",4
"fabre",4
"Fall��n, 1823",4
"Faye",4
"f. corniculata",4
"F. E. Byrd",4
"Ferns of Michigan",4
"f. nov.",4
"forma pterocarya",4
"f. reticulata",4
"f. setigera",4
"fumosus",4
"Garrett Everett",4
"gaspeensis",4
"genava",4
"Geoffrey A. Levin",4
"Goniodelphis",4
"G. Rink & M. Licher",4
"group ?",4
"grp",4
"H. editha",4
"Helohyus",4
"H. helloides",4
"Homogalax ?",4
"H. Thorvilson",4
"hybrid?",4
"�� ?",4
"Identified as Platynus Viridissimus ? Casey",4
"[illegible]",4
"intermediate to M. oligospora",4
"italica",4
"jacobi type",4
"j-album",4
"James Todd",4
"jesmondensis",4
"John E. Cokendolpher",4
"koreanus",4
"Kuibis Fm",4
"Labeled A. s. julia",4
"laddi",4
"Lambdotherium",4
"largo",4
"Leopardus",4
"Leucobryum neilgherrense",4
"Limenitis bredowi californica",4
"Macromitrium subuligerum",4
"Macrotis",4
"magdalenae",4
"marginata",4
"Matthew Holifield",4
"May be",4
"McAdam Fm",4
"M. Dillard",4
"Megacerops",4
"Megatylopus",4
"Melanohalea",4
"memnon",4
"Menoceras ?",4
"Menops",4
"Mephitis",4
"merope",4
"? mexicana",4
"Miacis",4
"Michael Dillon, F.",4
"moderata",4
"MS.",4
"M.s. siva",4
"Mylohyus ?",4
"Myurium rufescens var. yakushimense",4
"(Myxacium) cf.",4
"(Myxacium, Defibulati)",4
"(Myx. Defibulati)",4
"Nannodectes",4
"nc4",4
"Neochoerus ?",4
"Neofiber",4
"Nepean Fm",4
"nerina",4
"Nesokia ?",4
"No Graphidaceae",4
"Notropis cf.",4
"nr",4
"nr. divisa",4
"n.sp. Le Gal",4
"n.var.",4
"oberthuri",4
"Odobenus",4
"Odontioid",4
"Oldman Fm",4
"Oreamnos",4
"Orthaspidotherium",4
"ovatocystis type",4
"Ovibos",4
"Oxyclaenus",4
"ozarkae",4
"Palaechthon",4
"pale form",4
"(pale variant)",4
"Pantolambda",4
"Paromomys",4
"(Pholiotina)",4
"Pleuraspidotherium",4
"Promioclaenus",4
"proparte",4
"Protictis",4
"purpurascens cf.",4
"Quercus cf. gambelii x Q. turbinella",4
"race valerie",4
"R. A. Coleman",4
"Racomitrium canescens var. ericoides",4
"rainieri",4
"Raul Gutierrez",4
"ref.",4
"Rhacomitrium anomodontoides",4
"rosa",4
"Russellagus ?",4
"sachalinensis",4
"salor group",4
"scudderi",4
"sens. lat. [use s. l",4
"sensu Crum",4
"(Ser.)",4
"(Seri.)",4
"= S. eurycarpum var. greenei (USDA Plant List)",4
"shastensis",4
"sirius",4
"siva",4
"SJI sp. 1",4
"s.latu",4
"Smith F.",4
"Soleglad & Fet, 2008",4
"Sorex",4
"sosybia",4
"sp. 1 ?",4
"sp.2",4
"sp. 306 (paracanthus)",4
"sp. 309 (rectisetus)",4
"species",4
"Specimen identified as Cicindela sexpunctata, which is probably a mistake for Cicindela sexguttata",4
"sp. nov?",4
"sp. nova",4
"\Spongites discoidea\",4
"Staminate",4
"S. Turner",4
"subgenus Poiophylii",4
"subsp. vagans",4
"Syrrhopodon flavescens",4
"Ticholeptus ?",4
"Trichechus?",4
"Trichostomum bermadanum",4
"Tritemnodon ?",4
"turatti",4
"tuscanica",4
"T. W. Miller",4
"typical race",4
"Uintasorex",4
"uncomfortably",4
"Urbanus tessellata",4
"var. indet.",4
"var. n. ined.",4
"var. pinnata",4
"var. typica",4
"var. virgata",4
"Vascular Plants of Michigan",4
"verified",4
"verified by #1",4
"verified by #3",4
"v. fractilinea",4
"Vidi",4
"viridicaerulea",4
"Wendy C. Hodgson",4
"Werner, P. Wer",4
"westwoodi",4
"White Jura",4
"white paste",4
"Whitewater Fm",4
"wildcat variant",4
"xami",4
"x L. lorquini",4
"x S. petiolaris",4
"Y",4
"!!",3
".",3
"4NEP",3
"A. Ayers",3
"Absarokius",3
"ACC #3",3
"Acroporium fuscoflavum",3
"ADZ",3
"ae drk f. dryas",3
"Aepyceros",3
"Aerobryum speciosum",3
"aff. Amphibola",3
"aff.; s.l.",3
"aff. vaginata",3
"A. halesus estesi",3
"alba",3
"Alberese Flysch",3
"Alsia longipes",3
"amaura",3
"Amblystegium adatum",3
"amphitoe",3
"Andersson, 1976",3
"Anemorhysis",3
"Angiosperms of Michigan",3
"angusta/crispa/taeniata complex",3
"anicia",3
"Anisonchus",3
"Anisothecium squarrosum",3
"\anomala\",3
"anomalus complex",3
"Apalone cf.",3
"Apidium",3
"armata/spinosa complex",3
"aster",3
"Atrichum spinulosum (Card.) Mizushima",3
"au nf. fabricii",3
"aus1",3
"aus11",3
"aus4",3
"ausonides",3
"auxiliaris",3
"Aves cf.",3
"B. A. Baugh",3
"bairdii",3
"Balaena",3
"Barbula nipponica Nog. spec. nov.",3
"Barbula nipponica Nog. var. gracilis Nog. var. nov.",3
"Bartramia mossmaniana",3
"basales",3
"Beckham, Rick",3
"Beckham, Rick Be",3
"B. murorum",3
"(boltonii?)",3
"\boltonii-sabuletorum\",3
"boltonii type",3
"\boltoni-sabuletorum\",3
"boltoni-sabuletorum",3
"=Bonnemaisonia hamifera",3
"Brachyerix cf.",3
"Brachymenium jamesonii",3
"Braunia andrieuxii Lor.",3
"brocki",3
"Brontops ?",3
"Bryhnia sublaevifolia var. acuminata",3
"Bryum andrei",3
"Bulbopodium",3
"Bunohyrax",3
"byblis",3
"Byrum subpachypoma",3
"C. acastus neumoegeni",3
"Calippus ?",3
"Calymperes tuberculosum",3
"Calymperes volkensii",3
"Calyptothecium cuspidatum",3
"Campylopus penicillatus",3
"Campylopus procerus",3
"Campylopus purpureo-flavescens",3
"Campylopus torfaceus",3
"CA/OR sp. nov.",3
"Capreolus ?",3
"Carbonado Fm",3
"Carpodaptes",3
"Carsioptychus",3
"= C. bullata var. greenei (WCSP)",3
"C. chlorochaeta",3
"= C. concolor (WCSP)",3
"C. Dominguez",3
"Cephalozia otaruensis var. acrogyna",3
"Cephaloziella hyssacea",3
"cf. !",3
"cf.; ?",3
"cf. aestivalis C",3
"cf. bairdii",3
"cf. circumborealis",3
"cf. intermediate",3
"Cfr.",3
"c. fr. old",3
"cf. subpunctata",3
"cf. tener-niveus",3
"cf. vitreus",3
"charithonia",3
"Chrysohyphum stellatum",3
"clade 3",3
"= C. leporina (USDA Plant List)",3
"= C. liddoni (WCSP)",3
"Climacium ruthenicum",3
"= C. nesophila (USDA Plant List)",3
"cnfr.",3
"complex?",3
"\condensata\",3
"Conf.",3
"confirmation",3
"connectens",3
"Conomitrium julianum",3
"c. per.",3
"crucivora",3
"crustose #1",3
"cum per.",3
"C. undulata",3
"cupreus cupreus",3
"C. virginiensis",3
"cyanellus X sp.",3
"Cylindrothecium cladorrhizans",3
"Cylindrothecium seductrix",3
"cymela",3
"Delphinapterus",3
"Dendrocyathophorum paradoxum",3
"Dermocybe",3
"Desmatodon arenaceus",3
"D. H. Danirel",3
"Diacodexis ?",3
"Dichelyma japonicium var. hatakeyamae",3
"Dichodontium pellucidum",3
"Dicranella hookeri",3
"Dicranella leptotrichoides",3
"Dicranodontium flexipes",3
"Dicranodontium millspaughi",3
"Dicranoweisia bruntonii",3
"Dicranum elatum",3
"Didelphodon ?",3
"Dinohippus?",3
"Diprotodon",3
"Distichophyllum japonicum",3
"Ditrichum flexicaule var. densum",3
"Ditrichum giganteum",3
"Dolichomitriopsis diversiformis var. longiseta",3
"Drepanocladus aomoriensis",3
"dulcamara, sensu Lange, Heim.",3
"Duplicate identified",3
"E. a. angelia",3
"E. baroni",3
"empetri",3
"Eodelphis",3
"Eporeodon",3
"Eremotherium ?",3
"Erethizon",3
"ericoides (Torr.) Greene",3
"Euphydryas p. phaeton",3
"eurytion",3
"evius",3
"f. beauvoisii",3
"f. cambricoides",3
"f. coralloidea",3
"filamentous green",3
"F. Jones",3
"flavescens",3
"flavescens cf.",3
"forma nov.",3
"forma subpiligera",3
"form clio",3
"formerly ssp. manitoba",3
"F. polingi",3
"f. simulata",3
"f. sorediata",3
"f. subascypha",3
"garretti",3
"Garrett Mathis",3
"genutia",3
"Gess sp. M",3
"glaucopus group",3
"Globicephala",3
"Glyptotherium ?",3
"Gomphotherium?",3
"Grand Valley State College Herbarium",3
"Habana Fm",3
"Hafernik Board",3
"(Haliday, 1836)",3
"Haploa militaris",3
"Haplomylus ?",3
"haronica",3
"Hegetotherium",3
"Helaletes",3
"Hemiacodon",3
"hepburni",3
"Herbarium of Grove City College",3
"Hexobelomeryx",3
"hidakupa",3
"Holmesina?",3
"H. rubidus",3
"Hsanotherium",3
"hutchinsi",3
"Hyaenodon ?",3
"hybrid complex",3
"Hydrochoeris",3
"Hydrochoerus cf.",3
"Icaronycteris",3
"Ilex cassine x",3
"imperialis",3
"(infundibuliformis)",3
"ino",3
"\Inocybe?\",3
"inom.",3
"- introgressed with B. lunaria (alleles nlnn)",3
"inyoensis",3
"Isectolophus",3
"Isoodon",3
"isotype",3
"J. Alvis",3
"Jeffersonville ls",3
"Jelly?",3
"jelly fungus",3
"Jelly fungus",3
"J. F. Farris",3
"J. M. Tenorio",3
"J. T. Kartesz, C. A. Meacham",3
"J. Turpin",3
"Juli Weger",3
"katahdin",3
"kingstonensis",3
"K. Kelm",3
"laeviceps (var. cf \caesariata\?)",3
"Leidymys",3
"Leopardus ?",3
"Leprocybe",3
"Leptocyon",3
"Leptocyon ?",3
"Leptodontium viticulosoides var. panamense",3
"Lepus ?",3
"Lisa Trainham",3
"liukiuensis",3
"Lophiodon",3
"Lorraine Sh",3
"Loxodonta",3
"L. R. Hesler",3
"lucia",3
"luestherae",3
"Lutra",3
"Macroderma",3
"Macroeuphractus",3
"Macropus ?",3
"Makapania",3
"Malvaceae: Byttnerioideae (syn. Byttneriaceae)",3
"marcelina",3
"marginalis",3
"Mark Brown",3
"mashuensis",3
"masoni",3
"Megaloceros",3
"Merychippus?",3
"Merychyus",3
"Metaxytherium?",3
"Meyer",3
"M.g. sweadneri",3
"micra",3
"Microtus ?",3
"M. L. Burks",3
"Mnium coriaceum",3
"most likely",3
"ms.",3
"Myohyus",3
"Name change (Esslinger)",3
"Nannippus?",3
"nc1",3
"nc3",3
"nc5",3
"Near",3
"Nematherium",3
"Neochoerus?",3
"neoperplexa",3
"nevada",3
"nevadensis form",3
"new sp.",3
"n. gen.",3
"Nimravus",3
"(not acuta)",3
"not examined",3
"nov. f.",3
"nr. formosa (Banks)",3
"nr oregonensis",3
"nr. rugosa",3
"n. sp.?",3
"(N. Sp.)",3
"n sp 1",3
"n. sp. pro tem",3
"O'Brien",3
"(obscura group)",3
"obscuroides type",3
"obtusus group",3
"of MAC",3
"okinawana",3
"Oligocentria lignicolor",3
"Oligoryctes",3
"On label as ssp., but that name not published",3
"or Eleocharis montevidensis",3
"or Juncus mexicanus",3
"(Owyhee form lacking stalked glands)",3
"Pachyarmatherium cf.",3
"Pachyhyrax",3
"P. ajax",3
"Palaeictops",3
"Palaeochiropteryx",3
"P. albopunctata",3
"pandorus",3
"Panochthus",3
"Papilio philenor",3
"Papilio polydamas",3
"Parachilna Fm",3
"paracuta",3
"Paramylodon?",3
"parasite on",3
"pasicrates",3
"P. clodius altaurus",3
"Peromyscus?",3
"Phaedrates piasus catalina",3
"(Phlegmacium) sp.",3
"Phocides batabana",3
"Phocoena ?",3
"Physeter ?",3
"Physeter?",3
"Picrodus",3
"pikei",3
"Piliopogon gracilis",3
"Pilopogon gracilis",3
"Pistillate",3
"Platygonus cf.",3
"Plebejus aquilo rusticus",3
"Plesiadapis ?",3
"Plesiolestes",3
"Plesiomeryx",3
"Plesiosminthus",3
"Pondaungia",3
"Potorous",3
"Pound Qtzite",3
"P. pallida",3
"prob",3
"probable mis-id for NA, s.l.",3
"Procranioceras ?",3
"Proeutatus",3
"Prosthenops",3
"Protoceras",3
"Protodichobune",3
"Protohippus",3
"Pseudoloris",3
"pulchrior",3
"pungitius cf.",3
", \purpurea\ form",3
"pyriform",3
"q",3
"Racomitirum heterostichum var. diminutum",3
"red-flowered form",3
"rei?",3
"reidentification",3
"remingtoni",3
"Rhodophyta",3
"Richardoestesia cf.",3
"R. L. Hall",3
"R. Morris",3
"R. Morris II",3
"(Rondani, 1880)",3
"Ruth Taber",3
"S. a. atlantis",3
"sagittigera",3
"Salamanca Cgl",3
"sandbergii form",3
"Sciurus",3
"S. columella modestus",3
"secreta",3
"section Ovales",3
"sect. Rubrotincti",3
"Sect. Straminella",3
"see also S. acinacifolium",3
"semidea",3
"semiramis",3
"sensu Bitt.",3
"sensu Borgesen",3
"sensu Kauffman",3
"sensu K et M, Orton, Pearson",3
"sensu Smith",3
"sensu str.",3
"Sericeocybe",3
"Setonix",3
"Shoshonius",3
"S.I.",3
"siamensis",3
"Sigmodon",3
"silenus",3
"S. liparops fletcheri",3
"smaragdinus",3
"smilacis",3
"Smith",3
"\Smoky Bigfoot\",3
"s.n.",3
"Sosio Ls",3
"Southwest Carex Working Group 2014",3
"sp. 1 (England)",3
"sp. 1 (tiny dark gray)",3
"sp. 338 nocturnigrus",3
"sp. 4, Kidd's Beach species",3
"sp. A (D.B. Richman)",3
"spc. nova",3
"sp. comosa form",3
"sp.g",3
"sp. hybrid",3
"Sp. nov. !",3
"spring form",3
"sp. undet. ?",3
"ssp. albocaerulescens",3
"st",3
"Stegodon",3
"stella",3
"Steneofiber",3
"Stenomylus",3
"stet!",3
"Stockia",3
"stretchi",3
"(subgenus Discina) sp.",3
"summer form",3
"synaima",3
"Syneda divergens",3
"Taxidea",3
"T. behri",3
"Telmatherium",3
"Terias hecabe",3
"tetrasporophyte",3
"Thecla sylvinus putnami",3
"Theclinae",3
"Ticholeptus",3
"toiyabe",3
"transiens",3
"Trichechus ?",3
"Trichiotinus texanus(horn)",3
"Trigonias ?",3
"Tritemnodon",3
"tschukotkensis",3
"Uintacyon",3
"umbrosa",3
"undetermined",3
"Ursavus",3
"var. aphthosa",3
"= var. asymmetrica (USDA Plant List)",3
"var. bent glume",3
"var. errans",3
"var. incisum Gray",3
"var. neglecta",3
"var. occidentalis > var. wislizeni",3
"var. ochroxantha",3
"var. racemosa f. squamifera",3
"var. typicus",3
"Vassallia ?",3
"Venango Fm",3
"ver.",3
"verified by #5",3
"verified by Chlorochroa sayi",3
"verified by Clark, M. R.",3
"verified by D. borealis Hopk.",3
"verified by Don Lafontaine",3
"verified by Dytiscus sublimbutus",3
"verified by genitalia examined",3
"verified by Hieke, F. (1994)",3
"verified by Hooper, R.; Ball, G. E.",3
"verified by Lafontaine, J. D. (from image)",3
"verified by McDunnough, J.",3
"very near",3
"vulgaris",3
"Weston Sh",3
"whitneyi",3
"x Agave mckelveyana",3
"Yasmin Rey",3
"Ypt. argus",3
"[",2
"\??\",2
"1977",2
"1988",2
"2003-04",2
"2NEP",2
"#3",2
"5NEP",2
"9NEP",2
"a",2
"Aaron Vaughan",2
"Acanthocladium japonicum",2
"Acanthocladium tanytrichum",2
"acastus",2
"A. celtis celtis",2
"achaemenes",2
"A. clyton flora",2
"Acrocryphaea coffeae",2
"Acroporium Lepinei",2
"Acroporium longirostre",2
"A. C. Sanders",2
"A. cybele",2
"Adelphailurus",2
"Adinotherium",2
"ae df. l--argentum",2
"ae drk f. umbrosa",2
"A. euphrosyne",2
"af",2
"aff;",2
"aff.; ?",2
"Aff.",2
"aff. Clavulinopsis",2
"aff.; ex char.",2
"aff.; ined.",2
"aff: klamathensis",2
"aff. marinus",2
"afranius",2
"Agaric",2
"Agave cf. schottii x A. parryi",2
"Ageronia ferentina",2
"? aggericola (Pk.) Sacc.",2
"A. K. Williams",2
"albofasciatus",2
"Alces",2
"Allegheny Fm",2
"Alsia abietina",2
"A.M.",2
"Amblystegium confervoides",2
"Amblystegium fallax",2
"amboinensis",2
"ammon",2
"Amphechinus",2
"Amphilemur",2
"ampla form",2
"amplirufa",2
"Anacolia sinensis",2
"Analcimorphus",2
"Anaptomorphus",2
"Anconodon",2
"andersoni",2
"Andreaea Fauriei",2
"Anemorhysis ?",2
"Anomobryum latifolium",2
"Anomobryum perimbricatum",2
"Anomodon armatus",2
"Anomodon ramulosus",2
"Anthanassa t. texana",2
"Anthracotherium",2
"Antilocapra ?",2
"Apatela clarescens",2
"Apatela oblinita",2
"Aphelops",2
"Aphelops?",2
"aphrodite",2
"A. platina",2
"(A. porphyria?)",2
"apparently",2
"Apparently",2
"approaches",2
"Approaching var. Vreelandii (Rydb.)",2
"argenteus",2
"Argynnis cydippe",2
"arota",2
"aroxes",2
"aschersoni cf.",2
"as 'genuina'",2
"= Asparagopsis armata",2
"astarte",2
"Astrohippus ?",2
"astyanax",2
"Atrichum Portoricense Crum & Steere",2
"[atrocinctus �� atrovirens �� pedicellatus]",2
"Attacus atlas javaensis",2
"atypical",2
"August",2
"aurora",2
"aus14",2
"aus32",2
"? austrina",2
"[auth. on label: Schrad.]",2
"[auth. on label: (Turn.) Kyl.]",2
"azota",2
"Barbourofelis",2
"Barbula absuriretis",2
"Barbula constricta",2
"Barbula crinita",2
"Barbula gigantea",2
"Barbula hornschuchiana",2
"BARBULA NIPPONICA",2
"Barbula pendula",2
"Barbula sinuosa",2
"Barbula tosaensis",2
"Bartell",2
"Basidiomycota",2
"Basidiomycota. Spec. novo.",2
"Bassariscus",2
"bathcloides",2
"Binford Halverson",2
"bipuncta",2
"B. Kirlen",2
"B. nr.",2
"boltonii complex",2
"boltonii-sabuletorum?",2
"(boltonii type)",2
"boltoni-sabuletorum complex",2
"boltoni type",2
"Borophagus",2
"B. philenor hirsuta",2
"Brabovus",2
"Brachymenium jamesoni",2
"Brachymenium plumosum",2
"Brachythecium cochlearifolium",2
"Brachythecium wichure (Broth.) Par.",2
"bracteata",2
"Branchia potens / brevis*",2
"Bretzia",2
"= Brongniartella mucronata; = Dasya mucronata",2
"Brontops",2
"(brown)",2
"Brown Jura",2
"Bruce Parfitt",2
"Brule Fm?",2
"\brunneogrisea\",2
"Bryoxiphium japonicum",2
"Bryum antarcticum",2
"Bryum capillare var. rubrolimbatum",2
"Bryum decaisnei",2
"Bryum megalostegium Sulliv.",2
"Bryum proliferum (L.) Sibth.",2
"Bryum pseudo-alpinum",2
"Bryum vellei",2
"Bryum ventricosum",2
"B. sp. cf. conferta",2
"Bunomeryx",2
"c",2
"c.",2
"cacicus",2
"C. Acker",2
"caesariata sensu CH Kauffman var. pulla",2
"caesariata sensu CH Kaufman var. caesariata",2
"californiensis",2
"\californiensis\",2
"Calippus",2
"Calippus?",2
"Callipsyche behri",2
"Caloplaca holocarpa group",2
"Calymperes dozyanum Mitt.",2
"Calymperes hasegawae",2
"Calyptothecium hoehnellii",2
"Calyptothecium nematosum",2
"Camelops cf.",2
"Campylopodium pusillum",2
"Campylopus appressifolius",2
"Campylopus arctocarpus",2
"Campylopus atrolutens",2
"Campylopus chrismarii",2
"Campylopus densifolius var. purpureo-flavescens",2
"Campylopus dusenii",2
"Campylopus fumariolia",2
"Campylopus involutum",2
"Campylopus olivaceonigricans",2
"Campylopus pallidus",2
"Campylopus Praealtus (C. Muell.) Paris",2
"Campylopus stramineus",2
"Campylopus subbrachymitrius",2
"Campylopus tallulensis",2
"(caninus group)",2
"c.ap.",2
"Capatanka",2
"Capromeryx",2
"carbi",2
"Carcinodon",2
"Carpolestes",2
"carsonensis",2
"C. b. thula",2
"C. crispa",2
"[C. dammeri X C. conspicuus]",2
"= C. deweyana ssp. leptopoda (USDA Plant List)",2
"= C. deweyana var. bolanderi (USDA Plant List)",2
"Cephalozia bicuspidels",2
"Ceratodon convolutus",2
"Cerias deva",2
"certain",2
"Cesia concinnata",2
"Cetraria muricata",2
"?, cf.",2
"c.f",2
"Cf.",2
"cf. acrotella",2
"cf. aestivalis D",2
"cf. aestivalis ���C���",2
"cf. albidipes",2
"cf. arenaria",2
"cf. aureum",2
"cf. beldingi",2
"cf. caeruleomentum",2
"cf. caeruleum",2
"cf. calkinsiana",2
"cf. caprodes",2
"cf. citrina",2
"cf. cyprinus",2
"cf. cyrano",2
"cf. episcopa",2
"cf.; ex char.",2
"cf. gagei",2
"cf. gilkeyi",2
"cf. granulatus",2
"cf. hemiurus",2
"cf. hypselopterus",2
"cf. lentignosum",2
"cf. munitus",2
"cf. mykiss",2
"cf. nigrofasciata",2
"cf. obtegens",2
"cf. parvus",2
"cf. poecilurum",2
"c fr.",2
"c.fr",2
"c. fr",2
"c.fr.sp.",2
"cf. septemfasciatum",2
"cf.; s.str.",2
"cf, var B",2
"cf. virgineum",2
"cf. vulgaris",2
"Charlotte M. Christy",2
"charonda",2
"CHECK NAME",2
"CHECK SPECIMEN FOR ID",2
"Cheilolejeunea sandvicensis",2
"chemotype \K\",2
"Chemotype \K\",2
"chersonesia",2
"Chinji Fm",2
"Chlororhysis",2
"Chlosyne n. nycteis",2
"Chrysohyphum polygamum",2
"Cimolodon",2
"Cirriphyllum crassinervium",2
"Claopodium microphyllum var. septentrionale",2
"Clastobryum assimile",2
"Clastobryum katoi",2
"cleis",2
"Climacoceras",2
"= C. limnophila (USDA Plant List)",2
"= C. longirostris Torr. (IPNI)",2
"= C. longirostris var. minor (WCSP)",2
"closest to",2
"close to ssp. velutinus",2
"= C. lunelliana (USDA Plant List)",2
"Cochilus cf.",2
"Collybioid",2
"comb. nov. M.S.",2
"? complex",2
"complex \allutus\",2
"confirm.",2
"conf/rev",2
"corralensis",2
"C. osculata",2
"c.per.",2
"cr",2
"crassus group",2
"Cratoneuron glaucum",2
"Cricetodon",2
"\croceus gp.\",2
"croceus gp.",2
"crustose 2",2
"crustose #2",2
"Cruziana Sh",2
"C.R. Ward",2
"= C. sitchensis (USDA Plant List)",2
"= C. stans (USDA Plant List)",2
"= C. stellulata (USDA Plant List)",2
"cultivar",2
"cum. per.",2
"Cupido comyntas",2
"cv.",2
"cyanellus x L. sp.",2
"Cyathophorella kyusyuensis",2
"Cyclopidius",2
"Cynodesmus ?",2
"Cyphelloid basidiomycota",2
"D. A. Dawrel",2
"daedalus",2
"Daphoenus ?",2
"dark form",2
"Dasymutilla creusa var. bellona (Cr.)",2
"Dasypus ?",2
"Dasypus cf.",2
"= D. celsa x marginalis",2
"Dedopodinae",2
"Deinotherium",2
"Delesseriaceae",2
"(delibutus group)",2
"delibutus group",2
"Delphinodon",2
"demophoon",2
"(Dermocybe) \croceus gp.\",2
"(Dermocybe) \rubrosemisanguineus\",2
"Desmatippus",2
"Desmatodon garberi",2
"Dhok Pathan Fm?",2
"Diacocherus",2
"Dichelyma swartzii",2
"Dichodontium flavenscens",2
"Dicranella curvata",2
"Dicranella debilis",2
"Dicranella nicholsii",2
"Dicranella pycuoglossa",2
"Dicranodontium aristatum",2
"Dicranodontium nitidum",2
"Dicranoloma austro-scoparium",2
"Dicranoloma leucophyllum",2
"Dicranoweisia obliqua",2
"Dicranum albicans var. denticulatum",2
"Dicranum albidum",2
"Dicranum blyttii",2
"Dicranum canadense",2
"Dicranum circinatum",2
"Dicranum maylii",2
"Dicranum perindutum",2
