"data.dwc:reproductiveCondition","reps"
"o",33
"outdoors",33
"quite",33
"says",33
"sized",33
"76",32
"2748",32
"21782",32
"002836",32
"022628",32
"1.3",32
"17x8",32
"1ta",32
"20x9",32
"2x6",32
"3x2.5",32
"8x2",32
"a97",32
"a98",32
"clsd",32
"k.c.parkes",32
"possibly",32
"roots",32
"yolks",32
"50",31
"90",31
"10.0",31
"10x12",31
"11x10",31
"4x2mm",31
"4x8mm",31
"covered",31
"dec",31
"f2",31
"nicheur",31
"q",31
"questioned",31
"rubra",31
"tds",31
"2.2",30
"2x2mm",30
"3.2",30
"3x6mm",30
"5x10",30
"5x8mm",30
"7x4mm",30
"9x5mm",30
"before",30
"bib",30
"fide",30
"others",30
"pines",30
"three",30
"xpurpurea",30
"42",29
"1969",29
"0.75",29
"14x11",29
"15x5",29
"1lf",29
"1x5",29
"4.5x2.5",29
"4x9",29
"5x7mm",29
"6x10mm",29
"6x11",29
"appears",29
"briseis",29
"cas",29
"curema",29
"oak",29
"sp",29
"transition",29
"virginiana",29
"84",28
"21834",28
"022680",28
"1.5x3",28
"20x8",28
"abd",28
"alba",28
"bait",28
"brown",28
"coll",28
"fla",28
"glomera",28
"i",28
"indoors",28
"ist",28
"sac",28
"sacs",28
"semi",28
"sleeves",28
"ssi",28
"1947",27
"1994",27
"16x12",27
"18x9",27
"20mm",27
"25x15",27
"3.5x1.5",27
"6.5x4",27
"6x3mm",27
"ab",27
"chiefly",27
"connecticut",27
"floridensis",27
"gall",27
"near",27
"ponte",27
"pruns",27
"recently",27
"recorded",27
"rom",27
"sm",27
"triangular",27
"vaccinium",27
"1984",26
"09",26
"16mm",26
"17mm",26
"18mm",26
"2.5x3",26
"a82",26
"almost",26
"au",26
"boloria",26
"distendu",26
"extensive",26
"flesh",26
"malus",26
"nid",26
"probable",26
"regressive",26
"sample",26
"sporocarps",26
"strobilus",26
"t:d",26
"then",26
"without",26
"yellowish",26
"1990",25
"21842",25
"022688",25
"1.6",25
"13x4",25
"16x6",25
"2.4",25
"22x13",25
"4x3.5",25
"5x9mm",25
"8x4mm",25
"all",25
"apparently",25
"archippus",25
"bird",25
"discernible",25
"dorsal",25
"england",25
"expanding",25
"incubation",25
"like",25
"noir",25
"orig",25
"pads",25
"rougeâtres",25
"rump",25
"swelling",25
"velutina",25
"wect",25
"1986",24
"1993",24
"0.6",24
"1.7",24
"2lf",24
"4x3mm",24
"5.5x3",24
"7x12",24
"8x12",24
"a12",24
"arch",24
"born",24
"ent",24
"faint",24
"flor",24
"orange",24
"pale",24
"pink",24
"rougeâtre",24
"rounded",24
"series",24
"shrunken",24
"toddi",24
"transforming",24
"74",23
"106",23
"1970",23
"0.1",23
"10x15",23
"20x13",23
"21x11",23
"7x11",23
"7x8",23
"bursa",23
"capturé",23
"diam",23
"développées",23
"glands",23
"hybrid",23
"image",23
"jan",23
"jaunes",23
"lost",23
"miscellaneous",23
"night",23
"salix",23
"staminate",23
"vso",23
"œufs",23
"65",22
"77",22
"05",22
"1.4",22
"10x2",22
"14x5",22
"23x12",22
"3lf",22
"3x8",22
"4.5x2",22
"8x11",22
"8x5mm",22
"8x9",22
"aronia",22
"aronica",22
"degrees",22
"florida",22
"forward",22
"grey",22
"hatching",22
"petite",22
"rays",22
"regressed",22
"soft",22
"soredia",22
"square",22
"surely",22
"term",22
"yelutina",22
"85",21
"1960",21
"0.4",21
"08",21
"12x3",21
"18x8",21
"19x9",21
"4x5mm",21
"4x9mm",21
"5x4mm",21
"batesii",21
"beginning",21
"beth",21
"birth",21
"bulblets",21
"disk",21
"group",21
"have",21
"l4",21
"multiparous",21
"organes",21
"ovarian",21
"ovipositing",21
"t:nd",21
"this",21
"u:p",21
"urtica",21
"1965",20
"2780",20
"21845",20
"21875",20
"21876",20
"21877",20
"21878",20
"21879",20
"21881",20
"21905",20
"002868",20
"022691",20
"022721",20
"022722",20
"022723",20
"022724",20
"022725",20
"022727",20
"022751",20
"03",20
"07",20
"15x15",20
"16x7",20
"17x7",20
"19mm",20
"1x2.5",20
"2.0mm",20
"3.0mm",20
"5.0mm",20
"9.0",20
"acton",20
"county",20
"dispersal",20
"nj",20
"p71",20
"pappus",20
"preg",20
"shoots",20
"spines",20
"sporophytes",20
"stripe",20
"teardrop",20
"tne",20
"œuf",20
"39",19
"55",19
"60",19
"8647",19
"008853",19
"1,5",19
"1.25",19
"10x5mm",19
"10x6mm",19
"18x13",19
"18x7",19
"2.5x4",19
"2.6",19
"2x0.5",19
"3x2.3",19
"3x7mm",19
"4x10",19
"7l",19
"7x4.5",19
"7x5mm",19
"day",19
"etc",19
"génitaux",19
"highly",19
"inguinal",19
"ma",19
"nettement",19
"nursing",19
"ovocyte",19
"part",19
"prepupal",19
"round",19
"trial",19
"up",19
"vus",19
"67",18
"1rt",18
"2.1",18
"2.8",18
"2.9",18
"20x14",18
"21x13",18
"22x11",18
"3.5x3",18
"4.2",18
"6x11mm",18
"6x4.5",18
"6x9mm",18
"7.0mm",18
"9x2",18
"cockayne",18
"empty",18
"eurytus",18
"four",18
"inside",18
"lond",18
"lyonia",18
"mariana",18
"marked",18
"ovocytes",18
"pal",18
"proc",18
"pseudo",18
"rest",18
"rotten",18
"seq",18
"sleeve",18
"soc",18
"taille",18
"west",18
"year",18
"80",17
"1.9",17
"17x12",17
"3.5x2.5",17
"5x11",17
"6x12",17
"a83",17
"attached",17
"is",17
"k",17
"nipple",17
"palustris",17
"phaon",17
"protubrance",17
"receipt",17
"refeathering",17
"sc",17
"single",17
"through",17
"was",17
"43",16
"1961",16
"10x14",16
"2.7",16
"20x7",16
"22mm",16
"22x10",16
"24x12",16
"24x13",16
"25x10",16
"25x13",16
"2x8",16
"3x8mm",16
"7x10mm",16
"7x3mm",16
"87d",16
"clip",16
"color",16
"evicerated",16
"eviscerated",16
"formation",16
"hrs",16
"infl",16
"little",16
"locality",16
"locate",16
"measure",16
"moderate",16
"multiple",16
"oviposited",16
"pod",16
"reduced",16
"san",16
"scale",16
"scrotum",16
"spent",16
"vermiculated",16
"wide",16
"61",15
"1923",15
"1952",15
"1988",15
"14x12",15
"15x13",15
"18x6",15
"19x7",15
"22x15",15
"25x20",15
"3.6",15
"3rt",15
"4.5mm",15
"5x1.5",15
"6x",15
"6x12mm",15
"79a",15
"8x13",15
"brun",15
"cecropia",15
"crossed",15
"diet",15
