"waterBody","reps"
"Bluestem Lake",189
"East Arm Little Calumet River",189
"Navasota River",189
"1",188
"Bay of Nhatrang",188
"Elm Fork of Red River",188
"Pacific, Camotes Sea",188
"Lower Bullawa Creek",187
"South Atlantic Ocean, Gulf of Nuevo",187
"13",186
"Deep Fork",186
"Lake Lansing",186
"Raccoon Creek",186
"South Pacific Ocean, Gulf of Bone",186
"Wembury Bay",186
"Crooked Bayou",185
"Kickapoo Creek",185
"West Prong Little Pigeon River",185
"Elkhorn Creek",184
"Hocking River",184
"Pacific, Alimango Bay",184
"Pacific, Mansalay Bay",184
"Pine River",184
"Reelfoot Lake",184
"Sipsey Fork - Black Warrior River - Tombigbee River - Mobile Bay",184
"Takutu River - Rio Branco - Rio Negro",184
"Tombigbee",184
"Verdigris R.",184
"Antarctic Ocean, Davis Sea",183
"Pedernales River drainage",183
"Indian Ocean, Persian Gulf",182
"kaw",182
"Atlantic Ocean; English Channel",181
"Davis Creek",181
"Pacific, Basun Channel",181
"Sagami Nada",181
"Sucarnoochee Creek",181
"15",180
"Chesapeake Bay",180
"Milk River",180
"North Atlantic, North Sea",180
"Rio Manapiare - Rio Ventuari - Rio Orinoco",180
"Shoal Creek - Tennessee River",180
"Greenbrier R.",179
"Menominee River",179
"Rio Ventuari",178
"11",177
"Big South Fork Cumberland R.",177
"Gulf of Guinea",177
"Lake Creek",177
"Dickey Creek",176
"Fisher R.",176
"Mississippi R.",176
"North Pacific Ocean, Camotes Sea",176
"ntem",176
"Sycamore Creek",176
"Wiccacon R.",176
"Alligator R.",175
"Caraquez Bay",175
"Lake Victoria",175
"Pacific, Gulf of Papua",175
"rhin",175
"Susquehanna River",175
"Vermilion River",175
"Mekong River",174
"North Atlantic, Trinity Bay",174
"Pacific, Mindoro Strait",174
"Pecatonica River",174
"Bucatunna Creek",173
"madeira",173
"Strait of Malacca",173
"Balayan Bay",172
"Nemaha River Basin",172
"Santee R.",172
"Mullica R.",171
"Newfound Lake",171
"Ninnescah River",171
"Batangas Bay",170
"Cashie R.",170
"cavally",170
"Clear Lake",170
"Curtis Creek",170
"Huron River",170
"Pacific, Balayan Bay",170
"Pakowki Lake",170
"South Atlantic Ocean, Weddell Sea",170
"Upper Little R.",170
"Pacific, Biri Channel",169
"Paint Rock R.",169
"Rio Grande de Santiago",169
"Sea of Japan",169
"Sweetwater Creek",169
"R��o Apure - R��o Orinoco",168
"Sipsey R.",168
"Big Sandy Creek",167
"Cedar Lake",167
"Cottonwood Creek",167
"Niobrara",167
"Northwest Passages",167
"Osage River",167
"Celtic Sea",166
"Inxu River System",166
"Little Pigeon River",166
"Pacific, Gulf of Boni",166
"North Pacific Ocean, Gulf of Lagonoy",165
"South Fork Edisto R.",165
"Willow Creek",165
"North Pacific Ocean, Kagoshima Gulf",164
"Ogeechee R.",164
"Pacific, Philippine Sea",164
"Grass Lake",163
"Mackinaw River",163
"oueme",163
"Leatherwood Creek",162
"Lemonweir River",162
"Matanzas Lake",162
"North Fork Catawba R.",162
"Pacific, Samar Sea",162
"Pacific, Teluk Bay",162
"Flat R.",161
"Luxapalila Creek",161
"North Atlantic Ocean, Caribbean Sea, Gulf of Morrosquillo",161
"Wateree R.",161
"Conecuh R.",160
"Indian Ocean or Pacific Ocean",160
"Indian, Persian Gulf, Tarut Bay",160
"pte scarcies",160
"R��o Negro - Amazon River",160
"South Alum Creek",160
