"island","reps"
"Santa Magdalena Id.",264
"Nantucket Island",263
"Penikese Island",263
"Shuyak Island",263
"Augulpelu Reef",262
"Baffin Island",262
"Great Mecatina Island",262
"Ngeruktabel",262
"Attu Island",261
"Enderbury Island",261
"Ikishima Id.",261
"Ant Atoll",260
"Fuga I.",260
"Penang",260
"Guadalupe I.",259
"Kosrae [Kusaie]",259
"Mohotani",259
"Mahe Island",258
"Ngerechong Id.",258
"Niuafo'ou",257
"Ascension Island",256
"Knight Island",256
"Kangaroo Island",255
"San Fernando Island",255
"Sibuyan Id.",255
"Fernandina [Narborough]",254
"Gassvaer",254
"Tortola Island",254
"Isle of Man",253
"Polynesia",253
"Western Australia",253
"Ngadarak Reef",252
"Pulau Tikus",252
"Borneo Id.",251
"Malaita Id.",251
"Mustang Island",250
"Bora-bora",249
"Emae",249
"Kodiak",249
"Mangareva Island",249
"sao vicente",249
"Garden Key",248
"Kruzof Island",248
"Shortland Island",248
"South Pagai",248
"Biri Island",247
"Satowan Atoll",247
"Socorro Id.",247
"Barbuda Island",246
"Merir",246
"San Esteban Id.",246
"Camiguin Island",245
"Manitoulin Island",245
"Guimaras Id.",244
"Isla M����s a Tierra",243
"Jenny Lind",243
"Bainbridge",242
"Bonaventure Island",242
"Ebon Atoll",242
"Great Astrolabe Reef",242
"Helen Atoll",242
"Little Santa Cruz Island",242
"Mota Lava",242
"Sibuyan Island",242
"Niuatoputapu Island",241
"Iles Shetland du Sud",239
"Koro",238
"Pulau Tanjung Sau",238
"Isabel Id.",237
"Sibutu Island",237
"San Cristobal I.",236
"Tongatapu",236
"South",235
"tutuba",235
"Mehetia Island",234
"Middleton Island",233
"Moala",233
"Nukuoro Atoll",233
"Suemez Island",233
"Busuanga Id.",232
"Nggela Sule",232
"St. Croix I.",232
"Sukkwan Island",232
"Koror Island",230
"Moen [Wono]",230
"Sanibel Island",230
"Crete",229
"Isle of Pines",229
"Palau Islands",229
"Umnak Island",229
"Genovesa",228
"Olosega",228
"Waigeo I.",228
"Eagle Island",227
"Oeno Atoll",227
"Pinzon Id.",227
"Amboina",226
"Bongao I.",226
"Chichi-jima",226
"East Sand",225
"Peleng Island",225
"San Jose",225
"Tuxekan Island",225
"Eua",224
"Tablas Id.",224
"Carmen",223
"North",222
"Andros",221
"Mauphelia Atoll [Maupihaa]",221
"Singapore Island",221
"Niau",220
"Popof",220
"Tiburon Id.",220
"Lopez Island",219
"San Andr��s",219
"Espa����ola [Hood]",218
"Fernandina I.",218
"Woleai Atoll",218
"Eleuthera Island",217
"Marchena Id.",217
"Ambon Island",216
"Kyushu Id.",216
"Crooked Island",215
"Guadalcanal Id.",215
"Ngarchelong",215
"Sorol Atoll",215
"espiritu santo",214
"Mangaia I.",214
"saint paul",214
"Shrubby Island",214
"Ticao I.",214
"Vella Lavella Island",214
"Jayawijaya Div.",213
"Male Atoll",213
"Vieques Island",213
"Beliliou Island",212
"Florida Cays",212
"KwaZulu-Natal",212
"Babelthuap",211
"Cat Cay",211
"Crab Island",211
"Grand Manan Island",211
"Nosy Be Id.",211
"Tupai Atoll",211
"Tutua",211
"Atka Island",210
"Baffin",210
"Isla Espiritu Santo",210
"Nendo (Santa Cruz)",210
"Sipura",210
"sumatra",210
"Tol Island",209
"Lehua Rock",208
"Pinta Id.",208
"Seychelles",208
"Upolu Id.",208
"Gabriola Island",207
"Peleliu I.",207
"Waya Island",207
"Easter Island (=Isla de Pascua)",206
"Jana Island",206
"mayotte",206
"Rota Island",206
"Tahuata Island",206
"Tibur��n",206
"Caluya Id.",205
"Cocos Id.",205
"Ko Samui Id.",205
"Norfolk Island",205
"Pandanon Island",205
"Dominica I.",204
"Fefan",204
"Monserrate Id.",204
"Nggela Sule Island",204
"Bay Farm Island",203
"Koro I.",203
"Mauke",203
"Unimak Island",203
"Gran Canaria",202
"Great Swan Island",202
"Isla Isabela",202
"Sarigan",202
"Little Cayman Island",201
"S��o Tiago",201
"Vavau Island",201
"Verde Island",201
"Buka Island",200
"Campbell Island",200
"Macuata-i-wai [Mathuata-i-wai]",200
"San Pedro Martir Id.",200
"San Salvador & Rum Cay",200
"Tumindao Island",200
"Anegada",198
"Beaver Island",198
"Borocay Id.",198
"D'Entrecasteaux Islands",198
"Hull Island",197
"Mitiaro",197
"Pulo Anna",197
"Sicogon Id.",197
"Balicasag Island",196
"Agattu Island",195
"Anatahan Island",195
"Cedros",195
"Fulaga",195
"India",195
"Ryukyu Islands",195
"Saint George",195
"Maraj��",194
"Choiseul",193
"West Falkland",193
"Ifalik Atoll (=Ifaluk Atoll)",192
"Lofoten Island",192
"Rarotonga Id.",192
"Roat��n Island",192
"San Benedicto",192
"Siesta Key",192
"Trinidad Id.",192
"Mago I.",190
"Northwestern Hawaiian Islands",190
"chausey",189
"Massas Island",189
"St. David's Island",189
"Vanua Balavu",189
"West San Benito Id.",189
"High Ridge Cay",187
"Ngau",187
"Anguilla I.",186
"Isla de Pascua",186
"Peleliu",186
"Langara",185
"Namonuito Atoll",185
"Oahu*",185
"Viwa Island",185
"hiva oa",184
"Sergief Island",184
"Change Islands",183
"Mt. Desert",183
"Perry Island",183
"Popof Island",183
"Saboga",183
"St. Helena Island",183
"Efate Id.",182
"Timor Island",182
"Anatahan",181
"Masbate I.",181
"nuku hiva",181
"Raiatea Island",181
"Fanna",180
"Simulac",180
"Pine Island",179
"Utirik Atoll",179
"Kusaie",178
"Makuluva I.",178
"Malaita Island",178
"St. George Island",178
"Dravuni",177
"Isla Meanguera",177
"Falas",176
"Jawa",176
"Navassa",176
"Santa Fe Island",176
"Talisse Island (Talisei Island)",176
"Tataan",176
"Avery Island",175
"Bequia",175
"Clari��n",175
"Guguan",175
"Jamaica I.",175
"Kyushu I.",175
"Makian Island",175
"Makogai",175
"Roatan",175
"Bering Island",174
"Fiji Islands",174
"Kangaroo",174
"Kanton [Canton] Atoll",174
"No Name Key",174
"Ross Island",174
"Chusan I.",173
"Cobb Island",173
"Isla Aves",173
"Tikehau Atoll",173
"Fernandina",172
"Hawkins Island",172
"Ishigaki Island",172
"Ngeruktabel Id.",172
"Sitkalidak Island",172
"Anjouan Island",171
"Anticosti Island",171
"Fernandina Island",171
"Idjwi",171
"North Haven Island",171
"Socorro Island",171
"Tobi",171
"Bikar Atoll",170
"Candaraman Island",170
"Lion Island",170
"Louisiade Arch",170
"Lulu Island",170
"Maculabo Island",170
"Manokwari Div.",170
"Nukulau I.",170
"Albemarle Island (Isabela)",169
"Coronados Id.",169
"Solomons Island",169
"Tomahu Island",169
"Barro Colorado",168
"Isla San Jose",168
"Laysan I.",168
"Port Moresby",168
"Bagabag Island",167
"Banda Neira",167
"Cocoro",167
"Isla Todos Santos",167
"Kirawina Island",167
"Ninigo Atoll",167
"Mwokil Atoll",166
"Westray",166
"Isla San Martin",165
"Persian Gulf",165
"Polillo I.",165
"South Bimini",165
"Ngemelis I.",164
"Pak Thong Chai Dist.",164
"Saint John Island",164
"Woronkofski Island",164
"Amot Island",163
"Curlew Bank",163
"Tutuila Id.",163
"Baranof",162
"Buton Island",162
"Gamma Island",162
"Isle of Pines Id.",162
"lifou",162
"Ngarakabesang Island",162
"Peleliu Id.",162
"Clara Id.",161
"Isla de Santa Margarita",161
"Loggerhead Key",161
"Clarion Island",160
"Marchena",160
"Masbate Id.",160
"Natividad Id.",160
"Paniai Div.",160
"Pingelap Atoll",160
"Polillo",160
"Rotuma Island",160
"Siasi",160
"St. Kitts",160
"Camano",159
"Ulebsechel Island",159
"Kiritimati (Christmas) Atoll",158
"Krankett Island",158
"Little Barrier Island",158
"Maripipi Island",158
"Maupiti Island",158
"New South Wales",158
"Orcas Island",158
"San Francisco Id.",158
"St. Joseph Atoll",158
"Angaur Island",157
"Inampulugan Id.",157
"Los Negros Island",157
"Mallorca",157
"Pohnpei Id.",157
"Simunul I.",157
"South Partida Id.",157
"Clipperton Island",156
"Media Luna Cay",156
"Motupore",156
"Wrangell",156
"Alamagan Island",155
"Alibijaban Island",155
"Coco, I. del",155
"Dmasech Id.",154
"Jamaica Id.",154
"Rowa Islands",154
"Sardinia",154
"Ailuk Atoll",153
"Culion",153
"Isla Navarino",153
