"geodeticDatum","reps"
"ca.",6
"Cape",19
"Chorrillos",2
"Chuchle",1
"Clarke 1858",468
"Corrego Alegre",245
"DAD83",1
"Dadens (BC)",1
"Datum 83",1
"DD",1
"DecimalDegrees",52
"Delaware",1
"desconhecido",251702
"Djakarta (Batavia)",208
"DMC",8
"DMS",16
"DMS:",1
"ED",5
"ED50",114
"ED50V",1
"EPSG:4326",99
"European 1950",211
"European Datum 1950",1
"Eutendorf",1
"f",1
"Fort Thomas 1955",19
"Friday Harbor",1
"Fundamental de Ocotepeque",7467
"G9",1
"GAD94",1
"Garson",12
"gazetteer",24
"GDA 94",1
"GDA94",8390
"Geocentric Datum of Australia 1994",48
"Geodetic Datum of Australia 1994",1267
"GEOLocate",59
"GEO-SIRGAS2000_EGM-96",18500
"GNIS",2
"Google Earth",245
"Google Earth and Google Maps",3
"Google Map (WGS84)",1
"GoogleEarth",1
"GPS",1622
"GPS (WGS84)",2
"GPS, NAD 27",1
"GPS_loran",2
"GRA",14
"GRS 80",8
"GS4",1
"GS84",69
"GST 84",100
"GTS 84",1
"Guajara Mirim",1
"Guam 1963",460
"Guam Datum",70
"GUX 1 Astro",141
"h",23
"HAD83",2
"HER.04752",2
"Holzmaden",16
"http://lichenportal.org/portal/collections/editor/occurrenceeditor.php?q_recordedby=&q_recordnumber=&q_eventdate=&q_identifier=&q_othercatalognumbers=&q_observeruid=&q_enteredby=&q_datelastmodified=&q_processingstatus=unprocessed&q_customfield1=stateProvi",1
"Hu-Tzu-Shan",1442
"ID 1974",67
"Indian 1954",8
"Indian 1960",16
"Indian 1975",43
"Indonesian 1974",6
"""International spheroid""",13
"inundatum",1
"IPB.00227.A",32
"Ireland 1965",52
"IVAD 83",1
"Japanese Geodetic Datum 2000",2786
"Kelvin Seamount",5
"Kenya Colony",405
"Kertau 1948",64
"Kusaie Astro 1951",348
"l",7
"label",2
"Lat. ca. 20�� N.",1
"Lemuta",74
"LG1",1
"LH1",2
"LHI",1
"Lochkov",1
"Lockport",1
"loran",1
"Luzon",156
"Luzon Philippine",159
"Luzon Philippines",3
"m",4
"Manning Seamount",11
"Map datum unk",26
"Marathon",70
"MIN.03673",2
"Montserrat Island Astro 1958",22
"n",2
"n./k",1
"N/A",3
"NA",2
"NA83",1
"NA83D",1
"NA84",3
"NAB83",1
"NAD",10
"NAD - 1927",30
"NAD 1924",1
"NAD 1927",9870
"NAD 1927?",5
"NAD 1983",140
"NAD 1984",2
"NAD 1987",3
"NAD 27",103604
"NAD 27  (UTM Datum: NAD 27 CONUS)",10
"NAD 27  (UTM Datum: NAD27 CONUS)",1
"NAD 27  (UTM Datum: NAD27)",1
"NAD 27 Alaska Datum",1
"NAD 27 CONUS",123
"NAD 27, map estimate",120
"NAD 28",1
"NAD 29",1
"NAD 38",1
"Nad 83",29927
"NAD 83 Z11",1
"NAD 83, GPS reading",1
"NAD 83, Zone 11 N",1
"NAD 83, Zone 15",1
"NAD 83/84",563
"NAD 83/WGS84",2
"NAD 84",99
"NAD 85",2
"NAD 86",2
"NAD 87",1
"NAD, WGS84",3
"NAD@27",1
"NAD100",3
"NAD101",3
"NAD102",3
"NAD103",2
"NAD104",3
"NAD105",3
"NAD106",3
"NAD107",3
"NAD108",2
"NAD109",3
"NAD110",6
"NAD111",3
"NAD112",2
"NAD113",2
"NAD114",2
"NAD115",2
"NAD116",2
"NAD117",2
"NAD118",1
"NAD119",2
"NAD120",1
"NAD121",1
"NAD122",1
"NAD123",1
"NAD124",1
"NAD125",1
"NAD126",1
"NAD127",1
"NAD128",1
"NAD129",1
"NAD130",2
"NAD131",1
"NAD132",1
"NAD133",1
"NAD134",1
"NAD135",1
"NAD136",1
"NAD137",1
"NAD138",1
"NAD139",1
"NAD140",1
"NAD141",1
"NAD142",1
"NAD143",1
"NAD144",1
"NAD145",1
"NAD146",1
"NAD147",1
"NAD148",1
"NAD149",1
"NAD150",1
"NAD151",1
"NAD152",1
"NAD153",1
"NAD154",1
"NAD155",1
"NAD156",1
"NAD157",1
"NAD158",1
"NAD159",1
"NAD160",1
"NAD161",1
"NAD162",1
"NAD163",1
"NAD164",1
"NAD165",1
"NAD166",1
"NAD1927",179
"NAD1983",1282
"NAD27",1360374
"NAD-27",3
"NAD27  (UTM Datum: NAD 27 CONUS)",30
"NAD27  (UTM Datum: NAD27 CONUS)",1
"NAD27  (UTM Datum: NAD83)",1
"NAD27 (waypoint #266); UTM zone 11",1
"NAD-27 continental",1
"NAD27 CONUS",798
"NAD27 GPS",2
"NAD27 updated with NAD83",1
"NAD27 UTM, NAD83 Decimal Degrees",36
"NAD27, CONUS",106
"NAD27?",1
"NAD27-AK",1
"NAD27CONUS",2
"NAD27NAD27",21
"NAD27NAD27NAD27",19
"NAD28",31
"NAD29",9
"NAD3",1
"NAD30",8
"NAD31",4
"NAD32",3
"NAD33",3
"NAD34",3
"NAD35",2
"NAD36",2
"NAD38",1
"NAD383",1
"NAD39",1
"NAD40",1
"NAD41",1
"NAD7",2
"NAD8",1
"NAD82",8
"NAD82/WSS84",1
"NAD83",535548
"NAd-83",24
"NAD83  (UTM Datum: NAD83)",3
"NAD83 / WGS84",4
"NAD83 GPS",33
"NAD83 Zone 16",10
"Nad83 Zone 17",1
"NAD83&WGS84",25
"NAD83, WGS84",1
"NAD83/",1
"NAD83/84",29
"NAD83/WGS128",9
"NAD83/WGS129",1
"NAD83/WGS8;",1
"NAD83/WGS84",13340
"NAD83/WGS84, ACME Mapper 2.1",1
"NAD83/WGS84w",1
"NAD83/WGS85",1
"NAD83/WGS86",1
"NAD83/WGS94",3
"NAD83/WGS95",1
"NAD83/WGS96",1
"NAD83/WGS97",1
"NAD83/WGS98",1
"NAD83/WSS84",10
"NAD83?",1
"NAD83?WGS84",1
"NAD83354",1
"NAD84",1554
"NAD84/WGS84",1
"NAD85",4
"NAD86",4
"NAD87",5
"NAD88",4
"NAD89",3
"NAD90",4
"NAD91",4
"NAD92",3
"NAD93",4
"NAD94",4
"NAD95",3
"NAD96",3
"NAD97",4
"NAD98",4
"NAD99",4
"NADA83",6
"NAdD27",2
"NADS 83",3
"NAS 27",1
"NAS27",2
"NAVD88",1
"ND83",2
"NDA83",2
"New (1950) Arc",70
"New (1960) Arc",739
"NGVD 29",1
"none indicated",1
"North America 1983/NAD83 (GRS 80)",3
"North America; USA; Texas; Brewster County; Marathon",1
"North America; USA; Washington; San Juan County; Friday Harbor",1
"North American 1983",2
"North American Datum 1927",584221
"North American Datum 1983",51364
"Not Georef",329
"not recorded",47396
"not recorded (forced WGS84)",1830196
"null",4368
"NWS84",6
"Ocotepeque",17
"Ocotepeque 1935",8653
"On Water with net",1
"Ordnance Survey of Great Britain 1936",77
"Owens",5
"Parikh; NAD83",3
"Piep",2
"Pomeroy",2
"POS",31
"preserved 3 May 1980",1
"Provisional La Conoa 1956 (Venezuela)",42
"Provisional South American 1956",2999
"PRP_M",28056
"q",1
"R4W T4S sec11",1
"Retriever Seamount",1
"Reunion",90
"Righthand Shutup",6
"Romoland 7.5' Q.",1
"Romoland 7.5\' Q.",1
"RSA:2009",7210
"S1942",5
"SAD69",185978
"San",2
"San Antonio de los Cobres",19
"Schwarzeck",103
"SD:2009",86
"Solitario",2
"South American Datum 1969",899
"Street/Atlas",2
"Sunshine Springs",1
