"sex","reps"
"many w",70
"1w (missing head)",69
"37 adults",69
"male; male; male; female; female; female",69
"Unio Itineraria Cryptogamica",69
"14 females",68
"4 females, 5 males",68
"5 males, 3 females",68
"1dQ, 1w major, 1w",67
"3 males, 5 females",67
"6 males, 1 female",67
"Kryptogamae Exsiccatae",67
"5 females, 3 males",66
"alate queen and worker",66
"male; female; female; female",66
"1f,1u",65
"Lichenes Groelandici Exsiccati",65
"male; female; female; female;;",65
"1 Macho",64
"1 male; 3 female",64
"1w, 1aq, 1m",64
"25 males",64
"Male; Female; Male",64
"1aQ, 1m",63
"30 males",63
"42 adults",63
"female; female; male",63
"16u",61
"18 females",61
"1dQ, 3w",61
"42 undetermined",61
"Lichens of Western North America",61
"16 females",60
"46 adults",60
"6 males, 2 females",60
"Adult alados",60
"intercaste",60
"14w",59
"dry skin",59
"1f + 1m",58
"43 adults",58
"5 females, 1 males",58
"5 females, 2 males",58
"1m,1u",57
"3 male; 3 female",56
"7 males, 1 female",56
"9m",56
"dealate queen, worker, brood",56
"17 females",55
"25w",55
"39 undetermined",55
"40 undetermined",55
"5 females, 5 males",55
"skin",55
"13w",54
"1 Q",54
"8f",54
"Adult worker soldier",54
"25 females",53
"3 female",53
"M F",53
"1 Male, 2 Females",52
"2F, 1M",52
"3 males, 6 females",52
"6M",52
"dealated queen",52
"F*",52
"Kryptogammae Exsiccatae",52
"Worker; Male",52
"1m,4f",51
"1 male, 7 females",51
"1u,1m",51
"21",51
"30w",51
"41 undetermined",51
"50 undetermined",51
"Female; male;;",51
"male; male; male",51
"1Q, 2w",50
"1Q ergatoid, 1w",50
"2dq",50
"2 males, 6 females",50
"2w destruction",50
"3M 1F",50
"5 males, 4 females",50
"Alate queen and worker",50
"female; unknown",50
"Lichenes Groenladici Exsiccati",50
"Lichenes Japonici Exsiccati",50
"Lichens de la Normandie II",50
"Lichens de la Normandie III",50
"Lichens de la Normandie IV",50
"Lichens de la Normandie V",50
"Male; Male; Female",50
"X",50
"18 males",49
"1 female; 2 males",49
"2F, 2M",49
"3 females, 6 males",49
"48 adults",49
"Lichenes de la Normandie VII",49
"19",48
"2M 2F",48
"4 male; 2 female",48
"; Female",48
"Lichenes Canadensis Exsiccati",48
"Lichenes de la Normandie VIII",48
"Lichens de la Normandie I",48
"10 specimens",47
"1dQ,1w",47
"1 protoninfa",47
"39 adults",47
"45 undetermined",47
"eft; C&S",47
"larvae , meta-young",47
"Lichens de Madere",47
"Male and worker",47
"1 sex not recorded 1 male",46
"2 male; 3 female",46
"hatchlings",46
"17u",45
"1dQ, 1w, 1m",45
"2x",45
"41 adults",45
"44 undetermined",45
"7 males, 2 females",45
"male/female",45
"nymph female",45
"43 undetermined",44
"4 females, 6 males",44
"5 females, 4 males",44
"60 adults",44
"8 males, 2 females",44
"juv; C&S",44
"Male; Female; Male; Female",44
"UV light",44
"worker and queen",44
"17 males",43
"1 females, 6 males",43
"2l",43
"5 male; 1 female",43
"Both",43
"workers/Queen/Male",43
"19 males",42
"1 female, 1 adult",42
"1w major, 1w, 1m",42
"20u",42
"4 males, 5 females",42
"4 males, 6 females",42
"6 females, 4 males",42
"6 males, 3 females",42
"m��le",42
"minor worker, brood",42
"pitfall trap",42
"1F, 3M",41
"1w (head only)",41
"23 males",41
"2 females, 6 males",41
"2w (1w missing gaster)",41
"30",41
"4F",41
"4m,2f",41
"5m,1f",41
"6 females, 2 males",41
"6 specimens",41
"Lichenes selecti scandinavici exsiccati",41
"M1",41
"12m",40
"17w",40
"18u",40
"1s, 1w",40
"dealate queen, major, minor worker",40
"female, male",40
"; Male; Female",40
"1 alate queen",39
"21 females",39
"23",39
"47 undetermined",39
"5 male",39
"6 males, 5 females",39
"7 males, 3 females",39
"7W",39
"drone",39
"juvs, lot of 9",39
"Lichens Alpium",39
"R",39
"workers/male",39
"x",39
"10 males, 10 females",38
"13 sex not recorded",38
"19u",38
"1 Female, 1 Immature",38
"2aq",38
"2 females; 1 male",38
"3m,3f",38
"6 males, 4 females",38
"Adult workers",38
"larvae; C&S",38
"minor, major worker",38
"queen, male, worker, brood",38
"Weber",38
"10W",37
"1 deutoninfa",37
"22",37
"22 males",37
"24 males",37
"3dQ",37
"49 undetermined",37
"5 females, 6 males",37
"7M",37
"8 males, 1 female",37
"9 males, 2 females",37
"adult major worker",37
"Lichenes Australasici Exsiccati",37
"male + female",37
"skel, shell",37
"14 sex not recorded",36
"1dQ (missing gaster)",36
"1w (PPND extraction of voucher)",36
"2w major, 2w",36
"300 adults",36
"46 undetermined",36
"47 adults",36
"6 females, 6 males",36
"8W",36
"Mixed",36
"19 females",35
"1aQ, 3w",35
"1 w",35
"2 males, 7 females",35
"3 Males, 1 Female",35
"6 male",35
"Alados,obreras",35
"female (alate queen)",35
"FM",35
"Lichens Danici Exsiccati",35
"queen male worker",35
"w major",35
"11m",34
"1M 3F",34
"1m (PPND extraction of voucher)",34
"21 males",34
"22 females",34
"3w, 1m",34
"4 male; 3 female",34
"75 adults",34
"Skel, skin",34
"1 female; 3 males",33
"24 females",33
"3 males, 8 females",33
"3 worker",33
"4 females, 7 males",33
"5 females, 7 males",33
"6 females, 5 males",33
"Adult unsexed",33
"male; male; female; female;;",33
"0u",32
"1aQ, 2w, 1m",32
"1f,1m",32
"1w minor",32
"21u",32
"25",32
"2 male; 4 female",32
"2 Males, 2 Females",32
"3 females, 7 males",32
"49 adults",32
"51 undetermined",32
"55 adults",32
"56 undetermined",32
"6 females, 3 males",32
"6 females, 7 males",32
"8 specimens",32
"9 males, 1 female",32
"male, major, minor worker, brood",32
"nymph male",32
"0 sex not recorded",31
"1 F��mea, 1 Macho",31
"1u,1f",31
"48 undetermined",31
"4 workers",31
"7 females, 3 males",31
"9f",31
"Lichenes Fenniae Exsiccati",31
"Lichens of Michigan",31
"Male; female",31
"meta-young; C&S",31
"queen, male",31
"worker, male",31
"1 sex not recorded 1 female",30
"1w PPND",30
"20 specimens",30
"27 males",30
"40w",30
"51 adults",30
"54 undetermined",30
"alate queen, male",30
"Lichenes Sueciae Exciccati Fasc. VI (issued 1825)",30
"Lichenes Sueciae Exciccati Fasc. V (issued 1825)",30
"Lichenes Sueciae Exciccati Fasc. X (issued 1833)",30
"mating pair",30
"Under Light",30
"15m",29
"1 male, 8 females",29
"1m (gaster detached)",29
"1w, 2m",29
"2f + 1m",29
"40 females",29
"52 undetermined",29
"alate, dealate queen, worker",29
"ergatoid queen",29
"Female. Male.",29
"Reliquiae Farlowianae Lichenes",29
"1dQ (gaster detached)",28
"3M 2F",28
"55 undetermined",28
"7 females, 7 males",28
"alate queen, worker, brood",28
"brood",28
"F; skel, shell",28
"Not applicable",28
"11f",27
"16w",27
"19w",27
"28",27
"2M 3F",27
"2m,4f",27
"2 male 1 female",27
"2w, 4l",27
"3 males, 7 females",27
"4M 1F",27
"4m,3f",27
"53 adults",27
"53 undetermined",27
"56 adults",27
"5 male; 2 female",27
"7 specimens",27
"Canadian Lichens",27
"Cryptogram Germany Fasc. 25 (101-125)",27
"Herbarium Lichenum Fenniae VII (301-325)",27
"Lichenes Sueciae Exciccati Fasc. I (issued 1824)",27
"Male, Female",27
"no specimen on pin",27
"right front leg of male",27
"Souza, J.L.P.",27
"Unkown",27
"worker/alate",27
"13f",26
"1juv",26
"1m, 1w",26
"1M 4F",26
"1 male, 9 females",26
"26 females",26
"2mi",26
"2s, 1w",26
"57 undetermined",26
"6 males, 6 females",26
"7 females, 4 males",26
"7 females, 5 males",26
"8 males, 4 females",26
"Cryptogram Germany Fasc. 48 (201-225)",26
"H",26
"Herbarium Lichenum Fenniae I (1-25)",26
"Herbarium Lichenum Fenniae I (26-50)",26
"Herbarium Lichenum Fenniae II (76-100)",26
"Herbarium Lichenum Fenniae IV (176-200)",26
"Herbarium Lichenum Fenniae VI (251-275)",26
"Herbarium Lichenum  Fenniae VIII (351-375)",26
"Herbarium Lichenum  Fenniae VIII (376-400)",26
"Lich. Brit. Fasc. V",26
"Lichenes Wisc. Exs. 1-59",26
"Lichens de la Normandie VI",26
"Workers",26
"16 sex not recorded",25
"1aQ (missing gaster)",25
"1 male, 1 worker",25
"1 male; 4 female",25
"1w, 1dQ",25
"1w (PPND)",25
"24u",25
"4 male; 4 female",25
"4 males, 7 females",25
"50w",25
"6m,1f",25
"6 male; 1 female",25
"Cryptogram Germany Fasc. 15 (51-75)",25
"Cryptogram Germany Fasc. 18 (76-100)",25
"Cryptogram Germany Fasc. 35 (126-150)",25
"Cryptogram Germany Fasc. 5 (1-25)",25
"Cryptogram Germany Fasc. 53 (226-250)",25
"Cryptogram Germany Fasc. 54 (251-275)",25
"Cryptogram Germany Fasc. 61 (301-325)",25
"Cryptogram Germany Fasc. 61 (326-350)",25
"Cryptogram Germany Fasc. 9 (26-50)",25
"Herbarium Lichenum Fenniae II (51-75)",25
"Herbarium Lichenum Fenniae III (126-150)",25
"Herbarium Lichenum Fenniae IV (151-175)",25
"Herbarium Lichenum  Fenniae IX (401-425)",25
"Herbarium Lichenum Fenniae V (201-225)",25
"Herbarium Lichenum  Fenniae VII (326-350)",25
"Lichenes Selecti Exsiccati Fasc. I (1-25)",25
"Lichenes Slovakiae Exsiccati Fasc. I (1-25)",25
"Lichenes Slovakiae Exsiccati Fasc. II (26-50)",25
"male; male; female; female; male",25
"prey",25
"worker queen",25
"11 males, 2 females",24
"1m,5f",24
"1 male 2 female",24
"200 adults",24
"22w",24
"23 females",24
"52 adults",24
"5F",24
"5 females, 8 males",24
"5 males, 6 females",24
"9 specimens",24
"9W",24
"alate queen, male, worker, brood",24
"Cryptogram Germany Fasc. 60 (276-300)",24
"Female; Male;;;",24
"gyne",24
