"typestatus","reps"
"voucher of <a href=""http://arctos.database.museum/name/bombus insularis"">bombus insularis</a> in <a href=""http://arctos.database.museum/publication/10007148"">pampell et al. 2015</a>",317
"ms name",315
"voucher of <a href=""http://arctos.database.museum/name/martes americana""><i>martes americana</i> (turton, 1806)</a>, page 2062 in <a href=""http://arctos.database.museum/publication/10004414"">stone et al. 2002</a>",313
"topoparatype",309
"voucher of <a href=""http://arctos.database.museum/name/amara obesa"">amara obesa</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/amara obesa"">amara obesa</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",307
"isolectotypus",305
"probable holotype",304
"plastosyntype",303
"authentic (not a type)",301
"voucher of <a href=""http://arctos.database.museum/name/martes americana"">martes americana</a>, page 2062 in <a href=""http://arctos.database.museum/publication/10004414"">stone et al. 2002</a>",300
"voucher of <a href=""http://arctos.database.museum/name/hydracarina"">hydracarina</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",295
"unconfirmed type",290
"syntype [?]",287
"voucher of <a href=""http://arctos.database.museum/name/silusa californica"">silusa californica</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",278
"paratype of sphenomorphus brunneus",277
"type (status not researched)",277
"voucher of <a href=""http://arctos.database.museum/name/physidae"">physidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/physidae"">physidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",276
"syntypus",274
"voucher of <a href=""http://arctos.database.museum/name/lymnaeidae"">lymnaeidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/lymnaeidae"">lymnaeidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",272
"voucher of <a href=""http://arctos.database.museum/name/sorex hoyi"">sorex hoyi</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",267
"paratype(s) + figuré(s)",262
"voucher of <a href=""http://arctos.database.museum/name/amphipoda"">amphipoda</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/amphipoda"">amphipoda</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",262
"phototype",261
"photograph of type",259
