"data.dwc:geodeticDatum","reps"
"104.6886750000",1
"104.6887890000",1
"105.5406450000",1
"106.2817380000",1
"106.6158300000",1
"109.8413090000",1
"10t",1
"11.0",1
"11285019e",1
"11584769e",1
"119.8828130000",1
"11s",1
"121.15",1
"122.5229410000",1
"12n",1
"12t0574452e",1
"14.8",1
"141.0205080000",1
"147.5463870000",1
"177.06m",1
"19.471",1
"2.1",1
"20n",1
"20º",1
"21.1",1
"21.111823",1
"22.211654",1
"222222222222222222222222222222222222222222222222",1
"24.4",1
"24e",1
"24s",1
"26.0595700000",1
"270ft",1
"2716238n",1
"27conus",1
"2km",1
"301121.42me",1
"306487e",1
"3066300_388600",1
"308923e",1
"319824e",1
"336467e",1
"34.6819",1
"347493e",1
"348518e",1
"3486824e",1
"35.8594444",1
"373158e",1
"38.8963889",1
"382.29e",1
"383279e",1
"385432e",1
"385976e",1
"391744me",1
"3971034n",1
"3979535n",1
"3983038n",1
"40.1997222",1
"4005662n",1
"4013340n",1
"4013891n",1
"4014937n",1
"4015544n",1
"4029466n",1
"406452n",1
"4082.78n",1
"41.0497222",1
"4150083n",1
"4199518n",1
"4203693mn",1
"4246995n",1
"4248624n",1
"4249512n",1
"4250672n",1
"4250715n",1
"4250720n",1
"425170n",1
"4255333n",1
"4313600n",1
"4317913n",1
"4317975n",1
"4321688n",1
"4346703.13mn",1
"44.987847",1
"4415328n",1
"4465040n",1
"4484281n",1
"4485076n",1
"4485629n",1
"4489619n",1
"4495836n",1
"45.7",1
"4531017n",1
"4532830n",1
"4533089n",1
"4578744n",1
"46.8205556",1
"47,55",1
"479909e",1
"48,62",1
"4890603n",1
"49,35",1
"4933086n",1
"4979620n",1
"4984392n",1
"5.59m",1
"5066560n",1
"507773e",1
"5079243n",1
"50jll",1
"50jll666947",1
"50jlm677333",1
"53,58",1
"538978e",1
"53j",1
"54,13",1
"54,43",1
"55,88",1
"55.0355833",1
"55.5225833",1
"5500ft",1
"550847e",1
"550910e",1
"558299e",1
"561995e",1
"58.3",1
"58.4651330000",1
"584769e",1
"59,97",1
"59.9163889",1
"59.9593000",1
"59.9877778",1
"60.3569444",1
"60.4459083",1
"60.7032778",1
"60.8225833",1
"61.4555083",1
"61.4555222",1
"61.4644944",1
"61.4735167",1
"61.4735444",1
"61.4825194",1
"61.4825361",1
"61.4825444",1
"61.5594500",1
"61.5655833",1
"61.5736000",1
"61.9296667",1
"61.9359500",1
"618120e",1
"62,42",1
"62,80",1
"620640e",1
"624840e",1
"63,00",1
"63,28",1
"630189e",1
"632188e",1
"632768e",1
"640242e",1
"645754e",1
"647494e",1
"648wtu",1
"657077e",1
"66,17",1
"66,42",1
"673181e",1
"674128e",1
"674201e",1
"674298e",1
"70.2321620000",1
"7067633e",1
"707181e",1
"717595e",1
"73.7251280000",1
"73.7666700000",1
"73.8264060000",1
"735200e",1
"74.4375780000",1
"74.4543450000",1
"74.8401810000",1
"76.5944050000",1
"77.3515620000",1
"77.7392580000",1
"78.943648",1
"80.5704980000",1
"80.6173320000",1
"80.6852800000",1
"80.7151000000",1
"80.7413600000",1
"80.7418750000",1
"80.7487280000",1
"80.7647040000",1
"82.9789360000",1
"9.60",1
"94.8997200000",1
"95.1205540000",1
"95.2886100000",1
"95.4369170000",1
"95.6475750000",1
"95.6979870000",1
"95.9557800000",1
"95.9795010000",1
"96.1701220000",1
"96.3298970000",1
"96.9830740000",1
"97.1790270000",1
"97.2218370000",1
"97.2535970000",1
"97.2580150000",1
"97.3111950000",1
"97.7427800000",1
"97.7434670000",1
"97.8599500000",1
"98.1518550000",1
"98.2836910000",1
"98.5522640000",1
"98.6830930000",1
"98.7623540000",1
"98.9761980000",1
"98.9784700000",1
"99.1080620000",1
"99.1302800000",1
"99.1331570000",1
"99.1539140000",1
"99.2670740000",1
"99.2967680000",1
"99.2975000000",1
"99.3671670000",1
"99.3841700000",1
"99.3887980000",1
"99.4176160000",1
"99.4214750000",1
"99.5134170000",1
"99.6139830000",1
"99.7636790000",1
"99.7703830000",1
"99.8204420000",1
"99.8415400000",1
"99.8566910000",1
"99.8629840000",1
"99.9327130000",1
"99.9643410000",1
"acme",1
"agd64",1
"agda94",1
"agf1599",1
"ags",1
"ak",1
"alaska",1
"amd66",1
"amg50",1
"amg50jlm623233",1
"amg54",1
"amg84",1
"assumed",1
"atl",1
"augs84",1
"aus",1
"aus66",1
"bc",1
"brewster",1
"butovice",1
"buttrill",1
"cda94",1
"cg41",1
"chuchle",1
"collections",1
"continental",1
"dad83",1
"dadens",1
"dd",1
"delaware",1
"e22w",1
"east",1
"ed50v",1
"editor",1
"eutendorf",1
"f",1
"g9",1
"gad",1
"gad94",1
"gda4",1
"gda64",1
"gda92",1
"gda974",1
"gda984",1
"gda994",1
"gda9agd84",1
"gdaa94",1
"gdda94",1
"gp",1
"gps18",1
"gps204",1
"gps94",1
"gs4",1
"gts",1
"guajara",1
"gws84",1
"had83",1
"highway",1
"http",1
"indicated",1
"inferred",1
"inundatum",1
"ipb",1
"ivad",1
"juan",1
"k",1
"lat",1
"lg1",1
"lhi",1
"lichenportal.org",1
"located",1
"lochkov",1
"lockport",1
"loran",1
"lu19",1
"mapper",1
"may",1
"mh2",1
"mirim",1
"na83",1
"na83d",1
"nab83",1
"nad118",1
"nad120",1
"nad121",1
"nad122",1
"nad123",1
"nad124",1
"nad125",1
"nad126",1
"nad127",1
"nad128",1
"nad129",1
"nad130",1
"nad131",1
"nad132",1
"nad133",1
"nad134",1
"nad135",1
"nad136",1
"nad137",1
"nad138",1
"nad139",1
"nad140",1
"nad141",1
"nad142",1
"nad143",1
"nad144",1
"nad145",1
"nad146",1
"nad147",1
"nad148",1
"nad149",1
"nad150",1
"nad151",1
"nad152",1
"nad153",1
"nad154",1
"nad155",1
"nad156",1
"nad157",1
"nad158",1
"nad159",1
"nad160",1
"nad161",1
"nad162",1
"nad163",1
"nad164",1
"nad165",1
"nad166",1
"nad23",1
"nad3",1
"nad37",1
"nad38",1
"nad383",1
"nad39",1
"nad40",1
"nad41",1
"nad83354",1
"nas",1
"nas83",1
"navd88",1
"navigatory",1
"nda83",1
"net",1
"ngvd",1
"nh1",1
"none",1
"nr",1
"occurrenceeditor.php",1
"originally",1
"per",1
"portal",1
"preserved",1
"q316",1
"q_customfield1",1
"q_datelastmodified",1
"q_enteredby",1
"q_eventdate",1
"q_identifier",1
"q_observeruid",1
"q_othercatalognumbers",1
"q_processingstatus",1
"q_recordedby",1
"q_recordnumber",1
"qda94",1
"r06e84",1
"r101w",1
"r22w",1
"r4w",1
"ranch",1
"re",1
"retriever",1
"s",1
"s11",1
"sec11",1
"sgd66",1
"springs",1
"stateprovi",1
"sunshine",1
"t15n",1
"t45n",1
"t4s",1
"terrai",1
"texas",1
"topozone",1
"trs",1
"tx",1
"u",1
"uc101086",1
"ucr133714",1
"ugs84",1
"unbknonw",1
"union",1
"unprocessed",1
"updated",1
"usga",1
"usgs",1
"utm12458931e",1
"utm236179",1
"utm425454",1
"utm427458",1
"utm453501",1
"utmwgs84",1
"utmzone",1
"vanceburg",1
"w8",1
"was84",1
"washington",1
"water",1
"way",1
"waypoint",1
"wfgs84",1
"wgas84",1
"wgs101",1
"wgs102",1
"wgs103",1
"wgs104",1
"wgs105",1
"wgs106",1
"wgs107",1
"wgs108",1
"wgs109",1
"wgs110",1
"wgs111",1
"wgs112",1
"wgs113",1
"wgs114",1
"wgs115",1
"wgs116",1
"wgs117",1
"wgs118",1
"wgs119",1
"wgs120",1
"wgs121",1
"wgs122",1
"wgs123",1
"wgs124",1
"wgs125",1
"wgs126",1
"wgs127",1
"wgs130",1
"wgs131",1
"wgs132",1
"wgs133",1
"wgs134",1
"wgs135",1
"wgs136",1
"wgs137",1
"wgs138",1
"wgs139",1
"wgs140",1
"wgs141",1
"wgs142",1
"wgs143",1
"wgs144",1
"wgs145",1
"wgs146",1
"wgs147",1
"wgs148",1
"wgs149",1
"wgs150",1
"wgs151",1
"wgs152",1
"wgs153",1
"wgs154",1
"wgs155",1
"wgs156",1
"wgs157",1
"wgs158",1
"wgs159",1
"wgs160",1
"wgs161",1
"wgs162",1
"wgs163",1
"wgs164",1
"wgs165",1
"wgs166",1
"wgs167",1
"wgs168",1
"wgs169",1
"wgs170",1
"wgs171",1
"wgs172",1
"wgs173",1
"wgs174",1
"wgs175",1
"wgs176",1
"wgs177",1
"wgs178",1
"wgs179",1
"wgs180",1
"wgs181",1
"wgs182",1
"wgs183",1
"wgs184",1
"wgs185",1
"wgs186",1
"wgs187",1
"wgs188",1
"wgs189",1
"wgs190",1
"wgs191",1
"wgs192",1
"wgs193",1
"wgs194",1
"wgs195",1
"wgs196",1
"wgs197",1
"wgs198",1
"wgs199",1
"wgs200",1
"wgs201",1
"wgs202",1
"wgs203",1
"wgs204",1
"wgs205",1
"wgs206",1
