typeStatus,reps
"""paratype of <a href=""http://arctos.database.museum/name/Ortalis poliocephala lajuelae"">Ortalis poliocephala lajuelae</a> in <a href=""http://arctos.database.museum/publication/10006386"">Hardy and Webber 1975</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Marmosops"">Marmosops</a>, page 31 in <a href=""http://arctos.database.museum/publication/10004473"">Voss et al. 2004</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Marmosops ocellatus"">Marmosops ocellatus</a>, page 22 in <a href=""http://arctos.database.museum/publication/10004473"">Voss et al. 2004</a>""",1
"""basis of illustration of <a href=""http://arctos.database.museum/name/Dama hemionus hemionus"">Dama hemionus hemionus</a>, page 1006 in <a href=""http://arctos.database.museum/publication/10005474"">Hall and Kelson 1959</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus keeni"">Peromyscus keeni</a>, page 1276 in <a href=""http://arctos.database.museum/publication/10004858"">Lucid and Cook 2004</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Sorex minutissimus"">Sorex minutissimus</a>, page 1057 in <a href=""http://arctos.database.museum/publication/10004875"">Hope et al. 2010</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Pelecanus erythrorhynchos"">Pelecanus erythrorhynchos</a>, page 5 in <a href=""http://arctos.database.museum/publication/10007034"">Stidham et al. 2014</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Sceloporus taeniocnemis"">Sceloporus taeniocnemis</a>, page 163 in <a href=""http://arctos.database.museum/publication/10004883"">Leache 2010</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Sceloporus grammicus"">Sceloporus grammicus</a>, page 879 in <a href=""http://arctos.database.museum/publication/10004882"">Schulte et al. 2006</a>; voucher of <a href=""http://arctos.database.museum/name/Sceloporus grammicus"">Sceloporus grammicus</a> in <a href=""http://arctos.database.museum/publication/10004887"">Harmon et al. 2003</a>""",1
"""basis of illustration of <a href=""http://arctos.database.museum/name/Ondatra zibethicus mergens"">Ondatra zibethicus mergens</a>, page 757 in <a href=""http://arctos.database.museum/publication/10005474"">Hall and Kelson 1959</a>""",1
"PARATYPE OF ELAPS HOLLANDI, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:218",1
Holotype of Grammomys macmillani ((Wroughton)),1
Holotype of Proechimys longicaudatus ((Rengger)),1
Holotype of Macaca mulatta mulatta ((Zimmerman)),1
Holotype of Chiroderma villosum jesupi (Allen),1
"Holotype of Artibeus jamaicensis jamaicensis (Leach, 1821)",1
HOLOTYPE OF CAECILIA PERDITA,1
"""holotype of <a href=""http://arctos.database.museum/name/Vireo mailliardorum"">Vireo mailliardorum</a>, page 157 in <a href=""http://arctos.database.museum/publication/10000390"">Grinnell 1903</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Ctenomys frater"">Ctenomys frater</a>, page 1710 in <a href=""http://arctos.database.museum/publication/10004415"">Slamovits et al. 2001</a>; voucher of <a href=""http://arctos.database.museum/name/Ctenomys frater"">Ctenomys frater</a>, page 89 in <a href=""http://arctos.database.museum/publication/1000090"">Lessa and Cook 1998</a>; voucher of <a href=""http://arctos.database.museum/name/Ctenomys frater"">Ctenomys frater</a>, page 1522 in <a href=""http://arctos.database.museum/publication/1000082"">Cook and Lessa 1998</a>; voucher of <a href=""http://arctos.database.museum/name/Ctenomys frater"">Ctenomys frater</a>, page 5 in <a href=""http://arctos.database.museum/publication/10004541"">Gardner and Anderson 2001</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Thomomys bottae albatus"">Thomomys bottae albatus</a>, page 673 in <a href=""http://arctos.database.museum/publication/10006301"">Álvarez-Castañeda 2010</a>""",1
"""holotype of <a href=""http://arctos.database.museum/name/Balanosphyra formicivora martirensis"">Balanosphyra formicivora martirensis</a>, page 176 in <a href=""http://arctos.database.museum/publication/10000067"">Swarth 1926</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Oedipina uniformis"">Oedipina uniformis</a>, page 31 in <a href=""http://arctos.database.museum/publication/10006261"">Sunyer et al. 2010</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Anniella alexanderae"">Anniella alexanderae</a>, page 15 in <a href=""http://arctos.database.museum/publication/10006774"">Papenfuss and Parham, 2013. </a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Martes foina"">Martes foina</a>, page 177 in <a href=""http://arctos.database.museum/publication/126"">Stone and Cook 2002</a>""",1
"PARATYPE OF LEIOCEPHALUS BARAHONENSIS OXYGASTER, SCHWARTZ, 1967, TULANE STUD. ZOOL., 14:36",1
"HOLOTYPE OF PLETHODON NETTINGI, GREEN, 1938, ANN. CARNEGIE MUS., 27:295",1
"""holotype of <a href=""http://arctos.database.museum/name/Regulus calendula cineraceus"">Regulus calendula cineraceus</a>, page 25 in <a href=""http://arctos.database.museum/publication/10000352"">Grinnell 1904</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Rhyacotriton variegatus"">Rhyacotriton variegatus</a> in <a href=""http://arctos.database.museum/publication/10004888"">Vieites et al. 2007</a>""",1
"""holotype of <a href=""http://arctos.database.museum/name/Hydromantes brunus"">Hydromantes brunus</a>, page 153 in <a href=""http://arctos.database.museum/publication/10000118"">Gorman 1954</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Leptodactylus melanonotus"">Leptodactylus melanonotus</a> in <a href=""http://arctos.database.museum/publication/10005488"">Gower and Wilkinson 2007</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Sigmodon hispidus"">Sigmodon hispidus</a>, page 637 in <a href=""http://arctos.database.museum/publication/1000035"">Dunnum et al. 2002</a>""",1
"""basis of illustration of <a href=""http://arctos.database.museum/name/Baiomys taylori allex"">Baiomys taylori allex</a>, page 659 in <a href=""http://arctos.database.museum/publication/10005474"">Hall and Kelson 1959</a>""",1
"""host voucher of <a href=""http://arctos.database.museum/name/Synaptomys borealis"">Synaptomys borealis</a> in <a href=""http://arctos.database.museum/publication/10007159"">Haukisalmi et al. 2009</a>""",1
"HOLOTYPE OF FORMICARIUS MONILIGER INTERMEDIUS, RIDGWAY, R. 1908. DIAGNOSES OF SOME NEW FORMS OF NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 191-196. PAGE 194, PUBLISHED 20 OCTOBER 1908.",1
"HOLOTYPE OF HERPSILOCHMUS STICTOCEPHALUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 159, PUBLISHED 2 DECEMBER 1927.",1
"HOLOTYPE OF ATTILA ARIZELUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 169, PUBLISHED 29 NOVEMBER 1915.",1
"HOLOTYPE OF MICROTRICCUS BRUNNEICAPILLUS DILUTUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.",1
"HOLOTYPE OF HELEODYTES BRUNNEICAPILLUS BRYANTI, ANTHONY, A. W. 1894. NOTES ON THE GENUS HELEODYTES, WITH A DESCRIPTION OF A NEW SUBSPECIES. AUK, 210-214. PAGE 212, PUBLISHED JULY 1894.",1
"PARATYPE OF PLETHODON STORMI, HIGHTON AND BRAME, 1965, PILOT REGISTER ZOOL., NO. 20",1
Holotype of Rangifer tarandus granti (Allen),1
Holotype of Sciurus granatensis griseimembra ((Allen)),1
Holotype of Rhipidomys nitela (The Coryndon Museum),1
Holotype of Spermophilus parryi ablusus (Osgood),1
HOLOTYPE OF HYLA JAHNI,1
PARATYPE OF SCELOPORUS SPINOSUS,1
PARATOPOTYPE OF PSEUDOEURYCEA BRUNNATA,1
Holotype,11773
Paralectotype; Syntype,583
"""basis of illustration of <a href=""http://arctos.database.museum/name/Bison"">Bison</a>, page 12 in <a href=""http://arctos.database.museum/publication/10006482"">Shapiro et al. 2004</a>; basis of illustration of <a href=""http://arctos.database.museum/name/Bison"">Bison</a> in <a href=""http://arctos.database.museum/publication/10006666"">Mann et al. 2013</a>""",4
"Holotype, Syntype",39
Paralectotype*,63
"PARATYPE OF APALIS FLAVIDA PUGNAX, LAWSON. 1968. GEOGRAPHICAL VARIATION IN THE YELLOW-BREASTED APALIS. DURBAN MUSEUM NOVITATES, 8: 199-226. PAGE 222, PUBLISHED 31 OCT 1968.",10
"TOPOTYPE OF SETARIA RUFICAUDA SHARPE, RHINOMYIAS RUFICAUDA BASILANICA HACHISUKA",2
TOPOTYPE OF LEUCOLEPIS MODULATOR INTERPOSITUS TODD,31
"HOLOTYPE OF PIPRA CHLOROMELAENA, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 97, PUBLISHED 15 JULY 1925.",1
"HOLOTYPE OF AMAZILIA AMABILIS COSTARICENSIS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 330, PUBLISHED 31 DECEMBER 1942.",1
"HOLOTYPE OF OCEANODROMA KAEDINGI, ANTHONY, A. W. 1898. TWO NEW BIRDS FROM THE PACIFIC COAST OF AMERICA. AUK, 36-38. PAGE 37, PUBLISHED JANUARY 1898.",1
TOPOTYPE OF APHELOCOMA INSULARIS HENSHAW,13
"PARATYPE OF DIPSADOBOA UNDERWOODI, RASMUSSEN,1993, STEENSTRUPIA 19(4):129-196",2
"PARATYPE OF HYLA GUIBEI COCHRAN AND GOIN, 1970, U.S. NATL. MUS. BULL., 288:233",2
"PARATYPE OF TYPHLOPS MONASTUS MONASTUS, THOMAS, 1966, PROC. BIO. SOC. WASHINGOTN, 79:257",2
"PARATYPE OF PHYLLOMEDUSA PAILONA, SHREVE, 1959, BREIORA, 113:1",3
Holotype of Steatomys krebsi angolensis (Hill & Carter),3
Holotype of Sigmodon alleni planifrons (Nelson & Goldman),3
Holotype of Sylvilagus floridanus mearnsi,1
Holotype of Lepus americanus bishopi (Allen),2
Paratype of Neacomys paracou,19
PARA,1664
Type of var.,1
"""voucher of <a href=""http://arctos.database.museum/name/Phrynosoma bauri"">Phrynosoma bauri x Phrynosoma hernandesi</a> x Phrynosoma hernandesi, page 37 in <a href=""http://arctos.database.museum/publication/10007340"">Montanucci 2015</a>""",4
PARATOPOTYPE OF HYLA PENTHETER,4
PARATYPE OF RANA PRETIOSA LUTEIVENTRIS,20
PARATOPOTYPE RANA MOOREI,3
PARATOPOTYPE OF RANA BLAIRI,7
PARATOPOTYPE OF BUFO GRANULOSUS LUTZI,2
PARATYPE OF MABUYA CULEBRAE SP. NOV HEDGES & CONN,44
PARATYPE OF PHELSUMA MALAMAKIBO,9
PARATYPE OF ADELPHICOS VERAEPACIS,3
PARATYPE OF AMBYSTOMA BARBOURI,67
PARATOPOTYPE OF PSEUDOBRANCHUS STRIATUS BELLI,17
SYNTYPE OF CYCLORHAMPHUS CULEUS,2
PARATOPOTYPES OF SPHAERODACTYLUS KLAUBERI,1
"""paratype of <a href=""http://arctos.database.museum/name/Nocomis raneyi"">Nocomis raneyi</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",11
"""voucher of <a href=""http://arctos.database.museum/name/Canis lupus"">Canis lupus</a>, page 7 in <a href=""http://arctos.database.museum/publication/10005395"">Weckworth et al. 2011</a>""",56
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus truei"">Peromyscus truei</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",118
"""voucher of <a href=""http://arctos.database.museum/name/Hemiechinus auritus"">Hemiechinus auritus</a>, page 10 in <a href=""http://arctos.database.museum/publication/1000190"">Tinnin et al. 2002</a>""",6
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus""><i>Sorex cinereus</i> Kerr, 1792</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">Peirce and Peirce 2005</a>""",94
voucher,445
CAST,678
neotype,164
Cast of Paratype,1
Topotypes,6
hypodigm,1616
Paratype(s)?,135
Cotype(s),125
"""voucher of <a href=""http://arctos.database.museum/name/Toxostoma curvirostre"">Toxostoma curvirostre</a>, page 215 in <a href=""http://arctos.database.museum/publication/10006363"">Moore 1941</a>""",28
"""voucher of <a href=""http://arctos.database.museum/name/Melanerpes chrysogenys"">Melanerpes chrysogenys</a>, page 110 in <a href=""http://arctos.database.museum/publication/10006374"">Moore 1950</a>""",99
"""holotype of <a href=""http://arctos.database.museum/name/Tiaris bicolor huilae"">Tiaris bicolor huilae</a>, page 14 in <a href=""http://arctos.database.museum/publication/10000440"">Miller 1952</a>""",1
"""paratype of <a href=""http://arctos.database.museum/name/Petrocephalus sullivani"">Petrocephalus sullivani</a>, page 13 in <a href=""http://arctos.database.museum/publication/10006847"">Lavoué et al. 2004</a>""",3
"""holotype of <a href=""http://arctos.database.museum/name/Petrocephalus frieli"">Petrocephalus frieli</a>, page 2170 in <a href=""http://arctos.database.museum/publication/10006781"">Lavoué 2012</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Thylamys venustus"">Thylamys venustus</a>, page 8 in <a href=""http://arctos.database.museum/publication/10005428"">Giarla et al. 2010</a>""",20
"""voucher of <a href=""http://arctos.database.museum/name/Holochilus sciureus"">Holochilus sciureus</a>, page 14 in <a href=""http://arctos.database.museum/publication/10007127"">Rosa et al., 2005 Hantaviruses in Northern Brazil</a>""",50
"""voucher of <a href=""http://arctos.database.museum/name/Lasiurus cinereus"">Lasiurus cinereus</a>, page 1001 in <a href=""http://arctos.database.museum/publication/10004466"">Cryan et al. 2004</a>""",22
"""host voucher of <a href=""http://arctos.database.museum/name/Sorex araneus"">Sorex araneus</a>, page 10 in <a href=""http://arctos.database.museum/publication/10004795"">Kang et al. 2009</a>""",23
"""voucher of <a href=""http://arctos.database.museum/name/Zapus hudsonius"">Zapus hudsonius</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",37
"""voucher of <a href=""http://arctos.database.museum/name/Vespertilio murinus"">Vespertilio murinus</a>, page 14 in <a href=""http://arctos.database.museum/publication/1000190"">Tinnin et al. 2002</a>""",26
"""host voucher of <a href=""http://arctos.database.museum/name/Proechimys""><i>Proechimys</i></a> sp., page 1207 in <a href=""http://arctos.database.museum/publication/10006550"">Notarnicola et al. 2012</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Myotis auriculus"">Myotis auriculus</a>, page 179 in <a href=""http://arctos.database.museum/publication/1000022"">Gannon and Racz 2006</a>""",116
"""voucher of <a href=""http://arctos.database.museum/name/Zapus princeps idahoensis"">Zapus princeps idahoensis</a>, page 18 in <a href=""http://arctos.database.museum/publication/10006705"">Malaney and Cook 2013</a>""",6
"""voucher of <a href=""http://arctos.database.museum/name/Dipodomys merriami"">Dipodomys merriami</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">Hope and Parmenter 2007</a>""",38
"""voucher of <a href=""http://arctos.database.museum/name/Sorex monticolus"">Sorex monticolus</a>, page 1230 in <a href=""http://arctos.database.museum/publication/83"">Demboski and Cook 2001</a>""",7
"""voucher of <a href=""http://arctos.database.museum/name/Cryptonanus unduaviensis"">Cryptonanus unduaviensis</a>, page 31 in <a href=""http://arctos.database.museum/publication/10004472"">Voss et al. 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Cryptonanus unduaviensis"">Cryptonanus unduaviensis</a>, page 160 in <a href=""http://arctos.database.museum/publication/10004585"">Voss and Jansa 2009</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Thomomys bottae awahnee"">Thomomys bottae awahnee</a>, page 571 in <a href=""http://arctos.database.museum/publication/10005408"">Wlasiuk and Nachman 2007</a>""",5
"""voucher of <a href=""http://arctos.database.museum/name/Sorex ugyunak"">Sorex ugyunak</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",28
"""voucher of <a href=""http://arctos.database.museum/name/Myodes"">Myodes</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">Runck et al. 2009</a>""",108
"""voucher of <a href=""http://arctos.database.museum/name/Myodes"">Myodes</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">Runck et al. 2009</a>; voucher of <a href=""http://arctos.database.museum/name/Myodes rutilus"">Myodes rutilus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",89
"""voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">Peirce and Peirce 2005</a>; voucher of <a href=""http://arctos.database.museum/name/Sorex cinereus"">Sorex cinereus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",180
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus keeni"">Peromyscus keeni</a>, page 1369 in <a href=""http://arctos.database.museum/publication/10004858"">Lucid and Cook 2004</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Peromyscus keeni"">Peromyscus keeni</a>, page 1280 in <a href=""http://arctos.database.museum/publication/10004858"">Lucid and Cook 2004</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Glaucomys sabrinus""><i>Glaucomys sabrinus</i> (Shaw, 1801)</a>, page 1773 in <a href=""http://arctos.database.museum/publication/14"">Demboski et al. 1998</a>; voucher of <a href=""http://arctos.database.museum/name/Glaucomys sabrinus""><i>Glaucomys sabrinus</i> (Shaw, 1801)</a>, page 284 in <a href=""http://arctos.database.museum/publication/82"">Bidlack and Cook 2001</a>""",15
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 959 in <a href=""http://arctos.database.museum/publication/140"">Brunhoff et al. 2003</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 148 in <a href=""http://arctos.database.museum/publication/174"">Galbreath and Cook 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a> in <a href=""http://arctos.database.museum/publication/10006719"">Hope et al. 2013</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",12
"""voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 175 in <a href=""http://arctos.database.museum/publication/6"">Conroy and Cook 2000</a>; voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",36
"""voucher of <a href=""http://arctos.database.museum/name/Microtus longicaudus"">Microtus longicaudus</a>, page 175 in <a href=""http://arctos.database.museum/publication/6"">Conroy and Cook 2000</a>""",49
"""voucher of <a href=""http://arctos.database.museum/name/Microtus oeconomus"">Microtus oeconomus ?</a> ?, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",61
"""voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii kodiacensis"">Spermophilus parryii kodiacensis</a>, page 610 in <a href=""http://arctos.database.museum/publication/185"">Eddingsaas et al. 2004</a>; voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1412 in <a href=""http://arctos.database.museum/publication/10004951"">Cook et al. 2010</a>; voucher of <a href=""http://arctos.database.museum/name/Spermophilus parryii"">Spermophilus parryii</a>, page 1882 in <a href=""http://arctos.database.museum/publication/10005435"">Galbreath et al. 2011</a>""",8
"""voucher of <a href=""http://arctos.database.museum/name/Microtus pennsylvanicus admiraltiae"">Microtus pennsylvanicus admiraltiae</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">Baltensperger and Huettmann 2015</a>""",26
"""voucher of <a href=""http://arctos.database.museum/name/Agalychnis callidryas"">Agalychnis callidryas</a>, page 2125 in <a href=""http://arctos.database.museum/publication/10006784"">Robertson and Vega 2011</a>; voucher of <a href=""http://arctos.database.museum/name/Agalychnis callidryas"">Agalychnis callidryas</a>, page 1377 in <a href=""http://arctos.database.museum/publication/10006834"">Robertson et al. 2009</a>""",14
"""paratopotype of <a href=""http://arctos.database.museum/name/Cynops orphicus"">Cynops orphicus</a>, page 46 in <a href=""http://arctos.database.museum/publication/10000203"">Risch 1983</a>""",93
"""paratype of <a href=""http://arctos.database.museum/name/Bufo spiculatus"">Bufo spiculatus</a>, page 269 in <a href=""http://arctos.database.museum/publication/10000474"">Mendelson 1997</a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Cynops orphicus"">Cynops orphicus</a>, page 371 in <a href=""http://arctos.database.museum/publication/10004877"">Weisrock et al. 2006</a>""",1
"""paratype of <a href=""http://arctos.database.museum/name/Pseudoeurycea parva"">Pseudoeurycea parva</a>, page 15 in <a href=""http://arctos.database.museum/publication/10000452"">Wake 1989</a>""",7
"""voucher of <a href=""http://arctos.database.museum/name/Microtus californicus vallicola"">Microtus californicus vallicola</a>, page 1394 in <a href=""http://arctos.database.museum/publication/10006607"">McGuire 2011</a>""",5
"HOLOTYPE OF SPHAERODACTYLUS STREPTOPHORUS, THOMAS AND SCHWARTZ, 1977, ANN. CARNEGIE MUS., 46:34",1
"""voucher of <a href=""http://arctos.database.museum/name/Vulpes velox"">Vulpes velox</a>, page 44 in <a href=""http://arctos.database.museum/publication/10004438"">Harrison et al. 2003</a>""",3
Unconfirmed holotype,5
TOPOTYPE OF LECYTHOPLASTES FULIGINOSUS CHAPIN,3
TOPOTYPE OF MOMOTUS MOMOTA SIMPLEX CHAPMAN,11
TOPOTYPE OF PHEUGOPEDIUS RUTILUS INTERIOR TODD,7
"HOLOTYPE OF PSEUDOSEISURA LOPHOTES ARGENTINA, PARKES, K. C. 1960. THE BROWN CACHALOTE, PSEUDOSEISURA LOPHOTES, IN BOLIVIA. AUK, 226-227. PAGE 227, PUBLISHED APRIL 1960.",1
"PARATYPE OF RHAMPHIOPHIS ACUTUS WITTEI, LAURENT, 1956, ANN. MUS. ROY. CONGO BELGE, SER. 8, 48:244",2
"PARATYPE OF GEKKO MINDORENSIS, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:115",5
"PARATYPE OF SCINCUS RICHMONDI, HAAS, 1961, ANN. CARNEGIE MUS., 36:24",5
"PARATYPE OF TROPIDOPHORUS RIVULARIS, TAYLOR, 1915, PHILIPPINE JOUR. SCI., (D) 10:106",5
Holotype of Cynomys parvidens,1
Holotype of Dicrostonyx richardsoni,1
PARATOPOTYPE OF AGAMA AGAMA KAIMOSAE,1
PARATOPOTYPE OF CROTALUS MOLOSSUS NIGRESCENS,2
PARATYPE OF PHELSUMA ANTANOSY,6
PARATOPOTYPE OF PAROEDURA MAINGOKA,10
PARATYPE OF ANOLIS BONAIRENSIS,21
PARATYPE OF RHADINAEA HESPERIA,11
PARATOPOTYPE OF PARAGEHYRA GABRIELLAE,41
PARATOPOTYPE OF CNEMIDOPHORUS ANGUSTICEPS PETENENSIS,13
HOLOTYPE OF CNEMIDOPHORUS SACKI ZWEIFELI,1
TYPES OF SPHAERODACTYLUS GAIGEAE,1
PARATOPOTYPE OF SCELOPORUS LINEOLATERALIS,1
PARATYPE OF PLETHODONTOHYLA MIHANIKA,13
"""syntype of <a href=""http://arctos.database.museum/name/Leucichthys cyanopterus"">Leucichthys cyanopterus</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",3
"""paratype of <a href=""http://arctos.database.museum/name/Nocomis platyrhynchus"">Nocomis platyrhynchus</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",9
"""paratype of <a href=""http://arctos.database.museum/name/Noturus albater"">Noturus albater</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",20
"""paratype of <a href=""http://arctos.database.museum/name/Etheostoma flavum"">Etheostoma flavum</a> in <a href=""http://arctos.database.museum/publication/10006803"">CUMV Fish Type Citations</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Calomys"">Calomys</a>, page 197 in <a href=""http://arctos.database.museum/publication/1000001"">Salazar-Bravo et al. 2002</a>; voucher of <a href=""http://arctos.database.museum/name/Calomys callosus"">Calomys callosus</a>, page 12316 in <a href=""http://arctos.database.museum/publication/10006264"">Erickson et. al. 2011</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Cavia aperea"">Cavia aperea</a> in <a href=""http://arctos.database.museum/publication/10004816"">Dunnum and Salazar-Bravo 2010</a>""",12
"""symbiotype of <a href=""http://arctos.database.museum/name/Talpa europaea"">Talpa europaea</a>, page 59 in <a href=""http://arctos.database.museum/publication/1000009"">Duszynski and Wattam 1988</a>; host voucher of <a href=""http://arctos.database.museum/name/Talpa europaea"">Talpa europaea</a>, page 39 in <a href=""http://arctos.database.museum/publication/10004504"">Duszynski and Upton 2000</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Ursus americanus"">Ursus americanus</a>, page 1220 in <a href=""http://arctos.database.museum/publication/53"">Stone and Cook 2000</a>; voucher of <a href=""http://arctos.database.museum/name/Ursus americanus"">Ursus americanus</a>, page 225 in <a href=""http://arctos.database.museum/publication/43"">Cook et al. 2001</a>""",3
possible type,3
"""holotype of <a href=""http://arctos.database.museum/name/Hesperiphona vespertina brooksi"">Hesperiphona vespertina brooksi</a>, page 20 in <a href=""http://arctos.database.museum/publication/10000404"">Grinnell 1917</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Sceloporus magister cephaloflavus"">Sceloporus magister cephaloflavus</a>, page 5232 in <a href=""http://arctos.database.museum/publication/10004881"">Leache and Mulcahy 2007</a>""",1
"""paratype of <a href=""http://arctos.database.museum/name/Batrachoseps altasierrae"">Batrachoseps altasierrae</a>, page 13 in <a href=""http://arctos.database.museum/publication/10006325"">Jockusch et al., 2012</a>""",14
"""paratype of <a href=""http://arctos.database.museum/name/Hemigrammocharax rubensteini"">Hemigrammocharax rubensteini</a>, page 31 in <a href=""http://arctos.database.museum/publication/10006798"">Jerep and Vari 2013</a>""",5
"""paratype of <a href=""http://arctos.database.museum/name/Amphilius frieli"">Amphilius frieli</a>, page 75 in <a href=""http://arctos.database.museum/publication/10007185"">Thomson et al. Zootaxa  3986 (1) </a>""",3
"""voucher of <a href=""http://arctos.database.museum/name/Myopterus whitleyi"">Myopterus whitleyi</a> in <a href=""http://arctos.database.museum/publication/10007066"">Van Cakenberghe et al 1999.</a>""",1
"""voucher of <a href=""http://arctos.database.museum/name/Abrothrix longipilis hirta"">Abrothrix longipilis hirta</a>, page 1111 in <a href=""http://arctos.database.museum/publication/10005427"">Palma et al. 2010</a>""",7
"""voucher of <a href=""http://arctos.database.museum/name/Tamias minimus"">Tamias minimus</a>, page 61 in <a href=""http://arctos.database.museum/publication/10005434"">Reid et al. 2012</a>""",2
"""voucher of <a href=""http://arctos.database.museum/name/Myodes rutilus"">Myodes rutilus</a>, page 1 in <a href=""http://arctos.database.museum/publication/10006558"">Hope et. al.</a>""",39
"""voucher of <a href=""http://arctos.database.museum/name/Tamias rufus"">Tamias rufus</a>, page 60 in <a href=""http://arctos.database.museum/publication/10005434"">Reid et al. 2012</a>""",2
