continent	reps
Dunbar Stream	2
Dutch Creek	30
Econofina River	8
Ethiopienne	1184
Fiji	7
Five Springs complex	2
Grand Lac Suzor C.	5
Great Bear Lake	6
Hakata Bay	22
Hellbranch Run	1
Hoba-gawa River(<Iwamatsu-gawa River)	2
Hog Thief Creek	7
Hoodoo Well	1
Hugle Run	3
Humphrey Creek	5
Kaketani-gawa River(<Honnumaet-gawa Riverani-gawa River<Katsuura-gawa River)	1
Kakogawa River	132
Kuwano-gawa River>Oka-gawa River>Hatada-gawa River>unknown  watercourse	21
Lake Leona	1
Lake McAlpine	2
Lake, Miike,(Freshwater)	65
Little Zigzag River	1
MacIntosh Creek	1
Matsuda Pond	4
Middle Boulder Creek	2
Mill Creek Bog	3
N Fork Saline River	1
N.W.pacific	2
NE Atlantic O.	5304
Nambari River	12
Nashua River	1
Ninotani-gawa River(<Hikimi-gawa River<Takatsu-gawa River)	1
Off Shikoku Island	1
Off Taiwn	1
Oura Bay(Marine)	2
Patsiliga Creek	22
Pine Glade Pond	2
Plaint Creek	1
Plettenberg Bay	1
Rock Cr.	10
SALT CREEK	3
SOUTHERN AMERICA	191
Scotia Sea	24
Seijyoga-ike Pond (<Kandase-gawa River<Katsuura-gawa River)	13
Shimizu-gawa River	2
Shoshone Lake	38
Skunk River	24
South Branch Tobacco River	14
South Indian Ocean	87
Styx River	18
Sugarland Brook	7
Sw Pacific O.	12
Taiwan	190
Takuhi-gawa River ?	3
Tapeng Bay  Tolo Channel	1
Traver Creek	3
Tributary Gibbons Creek	5
Tributary Little Wabash River	2
Tributary of Kyte River	2
Tsugaru Strait	1
Wakasa Bay 150fms	1
West Piney River	1
Yellow Branches Creek	1
[Red Lake River]	89
american fork river	21
pond(<Nishioobori-gawa River<Iio-gawa River<Yoshino-gawa River)	1
small sluggish clear river	1
spring seepadjacent to Falling River	2
watercourse< watercourse <Sonose-gawa River	1
"Madagascar, Toamasina, Brickaville"	2
(<Enokiseeko-gawa River<Yoshino-gawa River)	1
(Big) Willow River	9
AF	149843
Agano-gawa River	4
Anogawa River mouth	3
Aral Sea	48
Asia, Indian Subcontinent	2
Breitenbush Creek	1
Brock Creek	1
Brower Creek	1
Browns Creek	910
Canon Creek	6
Caribbean Ocean	2
