v_highestBiostratigraphicZone,reps
Zone à Transversarium ; Sous-zone à Luciaeformis,2
Timbo Limestone,2
Taitzuia-Poshania,2
Vyazniki Assemblage,2
Polygnathus lenzi,2
G2?,2
Histiodella holodentata,2
Arnioceras yokoyamai,2
Eoparafusulina paralinearis,2
Dufrenoyia dufrenoyi,2
Monograptus magnus,2
Eumorphoceras girtyi,2
Hunanocephalus,2
Hoplitoplacenticeras bowersi,2
Grandispora subzone,2
Palynological Subzone II-C,2
Epiaster gibbus Zone,2
Placoparia tournemini Zone,2
Member 7,2
Paraglossograptus tentaculatus,2
Oolite Bed no. 6,2
