v_formation,reps
Dennington Aeolianite,1
Anatozawa Formation,1
Malbrook,1
Filisolo,1
Savane arbustive sur croupe. Croupe; roche: amphibolites,1
Fisher Fm,1
Harrodsburg or Salem Ls.,1
Drake's Well Fm.,1
Donggou,1
Hogklint Beds SW Facies,1
Delmore,1
Brown Globigerina Marl,1
Sol sablo-limoneux.,1
Glacis; roche: granito-gneiss,1
COLON,1
Motarata Limestone,1
Gair Limestone,1
Sierra Blanca Ls,1
Lagunillas Fm,1
Onnagawa Fm.,1
Décharge publique avec Argemone mexicana,1
Romani Schichten,1
Millongue,1
Collón-Curá,1
Boluohuoluoshan,1
Black Creek Fm?,1
Heers Formation,1
Hords Creek Fm,1
Szekou Formation,1
Pequop?,1
Cymerig Limestone,1
Trimmers Rock,1
Sam Jones Fm,1
Wesney Siltstone,1
Croupes convexes. Schistes de Kantè.,1
Hawkesbury Sandstone FM: Brookvale Shale Mbr,1
Stapleton Fm,1
Westley Park Ss,1
Osmington Mills Ironstone,1
Horinouchi Formation,1
Taylor marl (lower- near base),1
géologie roches siicieuses (Atakorien),1
Lückendorf,1
Warminster Formation,1
Marshalltown Fm.,1
Brightseat Fm.,1
Upper Fernando,1
Ste. Geneviene Fm.,1
"Fort Union Formation, Tongue River Member",1
Sables de Chevigny,1
Central Ls,1
Rice Hill Formation,1
Shangshaximiao Formation,1
Shark River FM,1
Haliw,1
Effna,1
Columbus and/or Delaware Ls.,1
Ems Qtz,1
Big Horn Fm,1
Marmarica Ls,1
Upper Malm,1
La Matilde Fm,1
Calcari nummulitici,1
LOWER SANTOS SHALE,1
Fairholme,1
Besano Fm,1
Glenwood Sh,1
Red Callavia Sandstone,1
Bas fond inondé en permanence,1
Atsuma,1
Rognacian Fm,1
Gill Cliff,1
Mukronaten Kreide,1
Esopus Sh.,1
Pente de dépression ; sol pierreux.,1
Purisma Fm,1
"Admiral Formation, Upper Or Belle Plain, Lower",1
Champion,1
Kali Glagah,1
Shetlerville Formation,1
Kunrade Chalke,1
San San Clay,1
Tairum Nor,1
Emigrant Formation,1
Pisco Fm. (SAO horizon),1
pysht Fm,1
Shogunzawa Formation?,1
Versant; roche: silexites.,1
Upper Sandstone,1
Poussant sur endroits limoneux de rochers,1
Ravenscrag Fm,1
Suga,1
Universidad Formation,1
Kataoua Formation,1
"Chemung Fm, Upper",1
Hachimanyama,1
Araucano Fm.,1
Croupes convexe; roche: Grès.,1
HINDSVILLE LIMESTONE,1
Uppermost Willwood Fm,1
Beach Fm,1
Cook Mt. Formation,1
Affleurement Gneiss,1
Norwich Crag Fm,1
Chowan River Fm ?,1
Rio Colorado Fm,1
Boonville Fm,1
Croupe convexe,1
Upper Mut Formation,1
Mackinac Ls,1
Lower Boonton Fm,1
Exmoor,1
POSIDONIA SHALE,1
Stony Hollow Formation,1
Duquesne Coal,1
Physiocardia-beds,1
Paraje Solo Beds,1
Roches: granito-gneiss.,1
Moenkoepi Formation,1
Dakota Ss?,1
Sappa Fm.,1
Cannery Fm.,1
Tsubono,1
Wakkanai Formation,1
First Island Limestone,1
Masseys Creek,1
Kessane Fm.,1
Rhinestreet Sh.,1
CALCAIRE DE ST OUEN,1
Diyz Formation,1
Prosser Limestone Formation,1
Norwalk,1
Savane à Andropogon gayanus et Bukeropsis uniseta,1
"Green River Formation, Morrow Creek Member",1
Desaedo Fm,1
Graywacke Limestone Formation,1
Gesturi Formation,1
Ohesaare Formation,1
Becsie River Fm,1
Haraichi Formation?,1
Pappenheim Ls,1
Kiamitia,1
Lingula Flags fm,1
Ancienne terrasse; roche: alluvions anciennes.,1
St. Stephens Limestone,1
Goodland Limestone FM,1
"Rio Limay Formation, Candeleros Member",1
Oneida Cgl,1
Escolin Fm,1
Croupes convexes. Rroche Grès.,1
Cuyo,1
Graford East,1
Sucarnoochee,1
lower Mifune Fm,1
Lyme Regis,1
MERCER LIMESTONE (LOWER),1
Seto Procelain Clay Formation,1
Hunsruckschiefer?,1
Eden-Latonia,1
Salem School Limestone,1
PLATEAU VALLEY,1
Roches: Buem.,1
Atkinson,1
Missinabi,1
Calcaire à chailles,1
Ponón Trehué,1
Salem Ls ?,1
"Depression , zone inondée",1
White River Fm ?,1
North Dean Ls,1
MONROE CREEK?,1
Bluffton Fm,1
Chalky Mountain Formation,1
Zhangshanji,1
St. Joe Limestone Formation,1
CHISHOLM SHALE,1
Grodziszcze Shale,1
Little Indian Pool Fm,1
Seewerschiefer,1
Frankfort,1
Cassin Ls,1
MONTEHERMOSEUSE,1
Credne Fm,1
Etadunna Fm,1
Saugus formation,1
Glenmark Limestone,1
"Tellico (of Walker, Keller)",1
Loess deposit,1
Aracana Fm.,1
Sol limoneux.,1
Lost Cabin Fm,1
Ripley Sh,1
Shitokara,1
Barnwell Formation,1
Smerltertown,1
Roche:alluvions anciennes. Ancienne terrasse de l'Oti,1
"Heath Fm, Bear Gulch Member",1
"Edmonton Formation, Lower",1
Monteagle,1
Azul Pampa,1
undifferentiated,1
Fredericksburg Ls.,1
Nyakau Formation,1
Asagai Sandstone,1
Rich,1
Fischschiefer,1
Kahleberg Ss,1
Actheus,1
Fuchino-tomari,1
Morita Fm,1
Clarksburg,1
Ozouri Fm,1
Plateau cuirassé ; roche: shales grèseux.,1
Ryozensan limestone,1
Rotalia Shales,1
Craie phosphatée,1
Ackergill Beds,1
Koessen Fm,1
LOUP FORK?,1
