v_member,reps
Dresbach Shale,1
Jet Rock Beds,1
Wapanuck Ls Mbr,1
Frodingham Ironstone Mbr.,1
MACGREGOR,1
Cloche Island Mbr,1
Chief Beef,1
Diamond Peak,1
Brentwood?,1
Bridgeport,1
Buttonbed,1
Redtops,1
Finsterbergen conglomerate,1
S3 Member,1
Corryville ?Sh.,1
Riddlesburg sandstones,1
Te One Limestone Member,1
"Cleveland Sh., basal",1
Oorderen Sands,1
Platy Limestone Member,1
Solnhofen,1
Randlett Mbr,1
Nelsen,1
Slivenec Limestone,1
Stepnice,1
Breezy Hill Ls Mbr,1
Upper Whitcliffe Beds,1
Sunday's River beds,1
Cybele Mbr,1
Upper Rags,1
Bells Ss,1
Naurchuli,1
La Paloma/Cerro Castaño,1
Unit D Reefs,1
Unit 3 (informal) (from bottom),1
San Julián,1
Fox Hills/Pierre,1
Schistes de Ferrals-les-Montagnes,1
Scammon,1
Deoli Sandstone,1
Bryozoan Dolomite,1
Honey Hill Phosphate Bed,1
Olney Member,1
UNIONTOWN COAL,1
Coggins Ls Mbr,1
Joyan,1
Chamgamwe Shales,1
Morgan Creek Limestone Member,1
Mediterran,1
Angora Peak Mbr,1
Werksandstein,1
Chalk Bed,1
Valle de la Luna,1
pebble marker bed,1
Maekula Member,1
Water limestone?,1
Arundel Clay,1
Unit Tp6,1
Cayuta Sh Mbr?,1
Arcente member,1
Wesley Park,1
East Kirkton,1
Slull Sh Mbr,1
Lifua Mbr,1
Fort Riley Ls Mbr,1
Hawtah Mb.5,1
Tonlegee Shale Member,1
Oregonia Mbr.,1
Amity Sh Mbr?,1
Chaomidianzi,1
Nordporten,1
Ludlowville,1
Cleveland Sh.-fide J. H.,1
KEY VALLEY MARL,1
Menbervta Sandstone,1
Upper Gryphaea,1
MECCA QUARRY SHALE,1
Bed 4,1
13.5m on Douglas Ref. Sect.,1
Kaminohira,1
Phlogoiderhynchus Beds,1
Globigerina-merge,1
3 or 4,1
Sainte-Genevieve,1
Jupiter zone 9-10,1
"3,4",1
Arshanto,1
Westheimer Mbr,1
Codell Ss Mbr,1
Gasmorks Mudstones,1
Dvorce-Prokop,1
Cumberland,1
Waputik,1
Chiguaje,1
Upper Keuper,1
Knight,1
Recapture,1
Newport or Angora Peak,1
Waingongoro Mbr,1
Arnautski,1
unit V,1
Porcupine Ss Mbr,1
Cobblehill Ls,1
Bedias Sandstone,1
Dukamaje,1
Quiepe,1
Schmitt Creek-Fraise,1
Mexia Clay member,1
EAGLE FORD SHALE,1
Yenchou,1
Sleepy Hollow Member,1
Rock Bench Quarry,1
Galena,1
Indian Cove Mbr,1
"Carwood Mbr., Unit 5",1
Cerro Gordo & Owen me,1
Black Hand Sandstone,1
Unit 2 or 29,1
Lander sandstone,1
Wallington,1
Top Hosie Limestone,1
Lower Plattenkalk,1
Latham Shale,1
Salteri Sh Mbr,1
Kattendijk Sand,1
Segovia Member,1
Saint Lawrence Mbr,1
