v_earliestEpochOrLowestSeries,reps
Earliest Miocene,43
LATE PLIOCENE,299
EARLY PERMIAN,2347
late Jurassic,44
Cretaceous; Upper ?,44
Proterozoic,44
"Pliocene, Lower",45
Upper Cambrian,45
Paleocene; Upper,45
Jurassic,45
Lochkovian to Emsian,45
Pleistocene; Lower,45
Middle/Mid,813
Pliocène ?,46
Paleocene; Middle,46
EARLY PALEOCENE,46
Paleocene,100654
QUATERNARY,47
LATE PERMIAN,47
Series 2-Miaolingian,48
"Triassic, Middle",48
Maastrichtian,48
Permian; Lower,48
late Miocene,49
"Miocene or Pliocene, early",49
Pleistocene/Holocene,50
Crétacé supérieur,28722
Pleistocene | early?,51
UpperDevonian,51
Ordovicien Inférieur,1331
Carbonifère supérieur,52
Lower/Middle Pennsylvanian,52
Early Miocene,308
Paleocene?,53
Tithonian,53
Series 2,565
Silurian,54
Upper/late,54
Ordovicien inférieur,1079
"MIOCENE,MIDDLE",5943
Middle Silurian,568
"Devonian, Lower",57
Upper Carboniferous,57
Upper/Late Cretaceous,57
"Miocene, middle",6713
Cambrien Moyen,58
"Permian, Lower",314
Late Pleistocene,1338
Wenlock,4922
Early Eifelian,59
Dévonien moyen,571
Cretaceous; Upper,316
PENNSYLVANIAN,316
Pliocene/Pleistocene,828
Early Silurian,7740
Lower,13628
Lower Cenomanian,61
Oligocene or Miocene,61
Pliocene; Early,61
Dévonien Supérieur,317
Late Silurian,2365
PALEOCENE,3901
Tremadociano,62
Mississippien,63
MIDDLE MISSISSIPPIAN,63
"Miocene,Pliocene",319
Senonian,319
Kungurian,64
Trias supérieur,576
Ordovicien Supérieur,1344
MiddleTriassic,65
Early Pleistocene,66
"Triassic, Late",66
lower Pleistocene,834
"OLIGOCENE,LATE",3394
Middle-Triassic,68
Permien,68
Oligocène-Miocène,68
Lower Campanian,324
Early-Pliocene,69
"Eocene,Oligocene,Paleocene",69
"Pleistocene, late or Holocene",28997
lower Oligocene,70
Pleistocene,394056
LATE MIOCENE,2376
Middle Devonian,22344
Late-Cretaceous,73
Crétacé Inférieur,329
Pliocène,5961
early Pleistocene,74
"Eocene, Miocene",74
NOT APPLICABLE,74
Holocène,842
Middle to Late Jurassic,75
Pliocene?,331
Katian,6731
Éocène,38475
Oligocene-Miocene,76
NO DATA,76
Campanian,76
Llandoverian,332
Mississippien moyen,588
LATE CRETACEOUS,2380
Late Oligocene,77
Jurassique Supérieur,333
Givetian,78
"Middle Jurassic, Middle Jurassic",78
Crétacé,79
UpperJurassic,79
Eocene; Middle,592
HOLOCENE?,1361
LATE MISSISSIPPIAN,2897
Late,28753
Early ?,82
early Jurassic,82
Miocene-Pliocene,82
Pliocene-Pleistocene,82
Superior,594
Trias inférieur,83
Upper Permian,83
Middle Ordovician,10067
"Eocene, Middle",84
Jurassique Moyen,1364
Pliocene,177492
"Permian, Upper",85
Middle,91989
EARLY CRETACEOUS,86
Oligocene?,598
"Miocene, late or Pliocene, early",1366
Miocene | middle,1623
"EOCENE,LATE",13399
UpperOrdovician,88
Hirnantian,344
Pliocene; Pleistocene,344
LATE EARLY EOCENE,89
Epoch 3,89
Paleocene; Lower,90
Middle Jurassic,13403
MIDDLE DEVONIAN,92
early Middle Triassic (Anisian),6236
PLEISTOCENE,19548
PLIOCENE-PLEISTOCENE,93
Late Silurian (late Ludlow?),93
EARLY JURASSIC,95
Dévonien inférieur,2399
late Paleocene-early Eocene,96
Pleistocene ?,96
"Miocene, Upper",96
"Pleistocene, middle",7265
"Pennsylvanian, Upper",98
"Devonian, Upper",98
Upper Silurian,1378
Pliocene E,99
"Jurassic, Middle",100
Late Pliocene,868
Upper Jurassic,2148
Miocene; Late,101
Pleistocene | late?,101
Middle Permian,102
"Pliocene, Pleistocene",102
Guadalupian,1638
Jurassique inférieur,6246
Pliocene | middle,103
Terreneuvien,103
"Eocene,Miocene,Oligocene",104
Carboniferous; Lower,104
Late Ordovician,19048
Early Pennsylvanian,361
EARLY OLIGOCENE,4713
UpperPennsylvanian,106
Lower Eocene,106
Early-Holocene,618
"Pliocene, late or Pleistocene, early",107
Early Paleocene,3179
Lower Devonian,3435
"PLEISTOCENE,EARLY",41323
Mississippien inférieur,108
Plioceno,108
Lower Carboniferous,364
Ludlovian,365
Late-Pliocene,365
Lower Jurassic,1901
Crétacé supérieur-Paléocène,110
Early Oligocene,13934
LATE DEVONIAN,111
Early to Middle Devonian,112
LATE PLEISTOCENE,4976
LATE,7280
Miocène-Pliocène,113
Recent,36465
MIOCENE-PLEISTOCENE (MIXED),626
Miocene?,1650
Early Jurassic,21362
Miocene L,115
Crétacé Supérieur,1139
Cisuralian,14963
Pleistoceno,116
LowerDevonian,116
"Jurassic, Late",628
"""Early Cretaceous""",628
Early Ordovician,4724
Holocene,87413
Holocene?,118
MiddleJurassic,374
Trias moyen,119
Pliocene L,119
"Jurassic, Lower",119
Paleocene | late,376
Mississippian,26488
Miocene; Lower,122
Late-Pleistocene,9594
Dogger,123
EOCENE,2427
Medio,1148
Dévonien Moyen,1148
Neogene,126
Early Devonian,7294
Llandovérien,127
"Miocene, Miocene",129
Steptoean,2689
"MISSISSIPPIAN,LATE",130
Cretaceous (Aptian),130
Upper Triassic,4226
Desmoinesian,8834
PLEISTOCENE?,131
Middle Cretaceous,643
"PENNSYLVANIAN, LATE",132
Late Miocene,900
"Eocene,Oligocene",134
EARLY PLIOCENE,134
"PALEOCENE,LATE",134
"OLIGOCENE,EARLY",4742
Eocène,7558
Pleistocene; Upper,135
"PLIOCENE,EARLY",5511
Pliocene or Pleistocene?,139
Lower Permian,395
Lopingian,1419
HOLOCENE,5003
Upper Mississippian,140
Wolfcampian,141
Miocène,32653
LATE TRIASSIC,145
LATE PENNSYLVANIAN,657
Pleistocene | late,22674
Oligocene/Miocene,150
Middle Pleistocene,662
Cisuralien,151
"Miocene, Middle",407
Precambrian,152
Cambrien inférieur,1176
Middle Paleocene,1944
MIDDLE,2200
LowerCretaceous,665
Inferior,410
Mioceno,155
Eocene-Oligocene,411
Pléistocène,923
"Miocene, early(?)",157
"Holocene, late",413
Ludlow,1949
Cretaceous,2205
"Eocene, middle",158
MIDDLE OLIGOCENE,671
Oligocene | late,5791
Furongian,6559
Lower Cambrian,160
Early-Pleistocene,161
"Triassic, Upper",161
Virgillian,1953
Upper,14497
Late-Miocene,162
Ibexian,1442
Asselian,163
Série 2,419
Lower/Early,56227
