v_bed,reps
localbed:17.45,1
localbed:2849',1
localbed:PO1,1
localbed:Grès des Avoudrues,1
D7C1,1
Top Soft Seam,1
Bed 3 (Bishop's Stratigaphy),1
localbed:39.05–39.10,1
localbed:Du 10b,1
localbed:33.16–33.17,1
localbed:138.6,1
Thanet Base Bed Chalk,1
430.8-430.95 feet,1
localbed:115 above base Barnes' Unit 6,1
localbed:First,1
localbed:Le II-11,1
regionalbed:394,1
Bed 2e,1
localbed:7f,1
"localbed:21,8",1
localbed:124 feet,1
localbed:p43/c2 layer 19,1
localbed:458,1
localbed:A-1/2,1
(M 12),1
localbed:16.95,1
localbed:218.9,1
localbed:Fa-15,1
Horizon W2,1
localbed:LD500,1
Inoceramus Bed 2,1
localbed:bed Te-33,1
localbed:CA09,1
55D,1
localbed:2148 ft.,1
localbed:CM99BRH-7,1
Phorphatic Nodule Bed,1
localbed:Lithostratigraphic Unit II,1
localbed:368.8,1
localbed:534.1,1
localbed:SW7D,1
localbed:CM99BRH-12,1
localbed:248.48,1
68A,1
Upper Bonar Seam,1
localbed:917.8-921.35,1
localbed:1707-1710,1
localbed:MO3,1
localbed:921,1
1.5' above base of Fairport Member,1
regionalbed:83,1
localbed:16 | regionalbed:126,1
Cement Bed,1
localbed:Dziewki Beds,1
localbed:120.14,1
Dora Bone Bed,1
localbed:CM10PHE-3,1
localbed:100 above base of bioherm,1
Turrilites Bed,1
localbed:780-783,1
localbed:572.4,1
localbed:3600-10',1
Fisher Bed XVI = Fisher Bed VII,1
Bed D4A,1
Schicht 6,1
"sensu Fowler Brook bed, Bed S8, equivalent to Pinna bed 18",1
localbed:9.8m above base of member,1
localbed:Amphyclina beds,1
303.5-303.65 feet,1
localbed:75.9,1
G105,1
localbed:2 horizons approximately 425 m above base of Precambrian - Cambrian boundary,1
73.6,1
220 feet,1
localbed:29.88 - 29.89 m,1
C1-C6,1
localbed:Bs-2,1
regionalbed:385,1
T4 lag,1
Gowanda Beds,1
localbed:840.7 m,1
"Havensville, Mudstone 5' below Schroyer Limestone",1
"""Monkey Gravel"" = Yoldia myalis Bed of Reid (1882)",1
8'' below Fencepost,1
localbed:1459,1
regionalbed:15-20 feet above the base of the Spence Tongue of the Lead B,1
194 feet,1
"localbed:80 feet from base of ""Unit I"" of Johnson and Hibbard, 1957",1
Rose Quarry Beds,1
localbed:315.2,1
localbed:SO3,1
localbed:713,1
localbed:743,1
localbed:475-495,1
localbed:1187,1
Lueders Limestone Lower,1
Santa Margarita,1
localbed:SW7A,1
3rd chalky Limestone bed above marker bed HL-4 of Hartland Mbr.,1
bed 3,1
Bridlington Shell Beds,1
Bed LB2A.1,1
Fisher Bed XVII. 0.5m above base,1
localbed:76.0,1
localbed:337-338,1
Camptonectes Bed,1
localbed:911.9-912.2,1
"localbed:51,1",1
localbed:2270 ft.,1
localbed:43.78–43.79,1
Barrois Sponge Bed,1
localbed:A-1,1
localbed:6 | regionalbed:in sandstone above Red 1,1
Day's Shell Bed,1
329.05-329.2 feet,1
localbed:8764,1
Fisher Bed VI and Fisher Bed VII,1
localbed:106.9,1
localbed:642,1
regionalbed:87-104,1
C1,1
"localbed:18,2",1
localbed:just below BM 70,1
localbed:Zone A,1
localbed:1843-1849',1
"Beds 67A, 68, 86",1
localbed:0 - 26,1
localbed:143.15,1
Cyrena pulchra bed,1
Bed (Lang's) H.57,1
regionalbed:Tommarp,1
"Orbirhynchia band, fills of Bed 5 in top of Bed 3",1
localbed:Sample 149,1
localbed:2260 ft.,1
localbed:AIS5,1
"Zone III, X, XI",1
Cenomanian Limestone Bed A,1
localbed:G 23,1
localbed:BM 48,1
6' above 5' gastropod limestone and 35' above Stonebreaker Ls.,1
localbed:CM99PPS-9,1
localbed:-4,1
Cast Bed,1
localbed:300 feet,1
regionalbed:168 - 252,1
D3A,1
localbed:15 - 24,1
localbed:5D-6'',1
D4A,1
"localbed:69,3",1
Fisher Bed XVI = 13m above base of Fisher Bed VI,1
"localbed:83,3",1
localbed:0.9 m,1
localbed:531.0-535.7,1
localbed:1600-1700,1
166 feet,1
localbed:G 26,1
localbed:1783.5-1964',1
localbed:12.84,1
"localbed:48,8",1
above Elmo Coal,1
localbed:CA10-13,1
localbed:1046,1
localbed:HBR-107.15,1
localbed:32.55,1
localbed:7236,1
342.9-343.05 feet,1
localbed:KK 4,1
localbed:42/4,1
"bed 9, main gastropod bed",1
localbed:1206,1
localbed:Sample 95.I.16,1
Newhill Seam,1
localbed:Nw XI,1
Horizon Yz5,1
Bed 3c of Jarvis et al. 1982,1
localbed:96.07,1
257.95-258.1 feet,1
Tellina Bed Fisher no. 21,1
178 feet,1
localbed:B17/2,1
localbed:53.4,1
Terebratula bed',1
localbed:31-35,1
alpha D1,1
"localbed:20,9",1
localbed:6.75,1
Horizon C,1
localbed:810',1
localbed:870,1
localbed:ST-3,1
localbed:72.0,1
localbed:243.3m above base of formation,1
localbed:10935,1
localbed:15SW 6.0,1
localbed:525.1,1
Bed D3B1,1
regionalbed:76 to  192,1
regionalbed:144 to  156,1
localbed:CA16,1
localbed:MO2,1
localbed:HM 29,1
localbed:CM01BBR-3,1
localbed:1.13,1
Carbonic,1
Bed Lr C6,1
Lamasian Lake Beds IV,1
localbed:7264 A,1
localbed:78b,1
Jetmore Chalk below Shell,1
"localbed:12,0",1
RED BLUFF CLAY,1
44A,1
Cuisien,1
Unit SL1,1
localbed:667,1
localbed:12.0m above base of member,1
localbed:13.2m above base of member,1
localbed:82.4,1
localbed:36.60 - 36.61 m,1
Bed 70c (Shales-with-Beef),1
G92,1
Bed 120,1
331.9-332.05 feet,1
localbed:Lithological unit 5,1
localbed:DB117/118,1
localbed:DB116b,1
localbed:108 B,1
localbed:-1.9,1
localbed:511.2,1
"Fisher Bed 7, Bed E8",1
localbed:CM99BRH-2,1
Tjilanang,1
Spiriferina-Bank,1
2-4 inch coal immediately below the Hogshooter Limestone,1
dwarf horizon B,1
"localbed:75,5",1
localbed:T18,1
"localbed:33,0",1
Melbourne Rock,1
localbed:92–97,1
localbed:840.9-844.2,1
localbed:Gc1 | regionalbed:Bm2,1
localbed:78.0,1
localbed:1 m below BM 28,1
localbed:530.1,1
localbed:3.74,1
Megalamis Bed,1
localbed:1846-1856',1
Limestone B,1
Dictyptychus level,1
localbed:165.4,1
Oyster Conglomerate,1
localbed:Ch-17-I-2,1
localbed:B109–107,1
Bed L12,1
localbed:48a,1
localbed:Spezzano 1m above KasSpez2,1
bed G,1
localbed:CM99BBR-5,1
localbed:12298,1
16C,1
localbed:BL 27/02,1
localbed:BS 2,1
localbed:5.79,1
localbed:ST-1,1
localbed:9-11,1
localbed:235.7,1
129.95-130.1 feet,1
localbed:Bohrung Kärlicher Berg 8,1
"KNIGHT, UPPER",1
localbed:75.1,1
localbed:1322,1
localbed:594.7,1
localbed:8782,1
regionalbed:616,1
localbed:Sample 45,1
localbed:CM01CGP-16,1
"Barnes Bed, Siphonodentalium Bed",1
"localbed:2,503",1
"localbed:ALI 165,2",1
localbed:DB115/116,1
localbed:360.3,1
localbed:Lithological Unit 8,1
regionalbed:446,1
Lake Gosiute Sediments,1
localbed:S.15,1
localbed:Unit 39,1
regionalbed:MN7-8?,1
localbed:1075',1
localbed:DB-1,1
localbed:DB105-107,1
Bed 3 (3),1
Bed 91,1
180 feet,1
localbed:L IX | regionalbed:Zone III,1
localbed:G 190,1
prominent micritic limestone horizon,1
localbed:SW10b,1
localbed:1736,1
localbed:depth 22m,1
localbed:CM99MLY-1,1
localbed:22.68,1
260 m above base SCLS,1
localbed:0.84,1
localbed:90.55,1
localbed:Hardinsburg Sandstone,1
localbed:2496-2505',1
localbed:0.7 to 1m from base of section,1
"localbed:83,9",1
localbed:95.2,1
21 m above Henry's Fork Tuff - 142 m above base SC,1
regionalbed:90-100,1
Bed 2/3,1
"Bed 51 (Howarth, 1962)",1
155.0-155.15 feet,1
228 feet,1
localbed:14637,1
localbed:7281,1
zone of bryozoa below Herington,1
localbed:1041.0m,1
localbed:-56.25,1
localbed:1387',1
localbed:917,1
localbed:155.22,1
Bed IV of Christensen 1979,1
localbed:123.3m above the base of the formation,1
localbed:B17',1
"localbed:40,6",1
bed J,1
regionalbed:COM.44,1
Horizon Bed No. 10C,1
Inoceramus bed,1
localbed:1703,1
localbed:264.8 m,1
"localbed:58,6",1
localbed:419.8,1
localbed:51.8,1
localbed:upper Checiny Beds,1
"localbed:13, 14",1
Airdrie Black Band Ironstone,1
localbed:878.0,1
Clark Fork,1
C beds,1
localbed:5SW V,1
trigoniid bed,1
localbed:40 | regionalbed:151,1
"Beds 25B, 51A, 71",1
localbed:29.75,1
Talus which probably came from the lower 50' of the member,1
localbed:1543,1
localbed:75 to 88 m above the base of the Secret Canyon Formation,1
localbed:29.0m above base of formation,1
localbed:upper Ndolanya Beds,1
localbed:8G-6',1
"Fisher Bed 14, Little Bed",1
Horizon JW,1
G126,1
Sc.23,1
"Bed 45 (Howarth, 1962)",1
390.05-390.2 feet,1
localbed:2466-2470',1
"Horizon G, Horizon F 2-3",1
Bed 2(iv),1
localbed:Sarsoyra Formation,1
localbed:4 feet,1
localbed:Unit 64,1
regionalbed:1510,1
Level G-302-5,1
sub 3-inch Conulus horizon,1
90 ft below top of Sadler Formation,1
localbed:184.48,1
Leavenworth Limestone Top,1
localbed:100.0,1
localbed:Ponteranica Conglomerate,1
localbed:BM 27,1
localbed:SW7,1
Coal C,1
localbed:G 119,1
Milata Zone,1
localbed:150.6m above base of formation,1
Bed D4B,1
localbed:86-3,1
localbed:25.95,1
localbed:HBR-249,1
localbed:MHo20,1
localbed:67.2,1
"localbed:69,0",1
localbed:31 | regionalbed:30,1
localbed:4.24,1
localbed:22 | regionalbed:337,1
bed b and above,1
localbed:Boserup beds (TROEDSSON),1
"Bed 85 (Lang, W.D.)",1
Coxtool Coal,1
localbed:11.34,1
localbed:Thaynes limestone,1
localbed:284.6,1
localbed:89-94,1
peat,1
localbed:RCR 44A,1
regionalbed:24 - 27,1
localbed:T21,1
Barn ?.,1
"Hard Bed, Fisher Bed 21",1
"cementstone, E",1
localbed:64.35,1
regionalbed:1154.22,1
"localbed:31,6",1
localbed:MHo17,1
B16,513
Oxfordien supérieur,769
OREODON,769
"Limestone, 1495ft above base of section",2
Bed 2 of Owen,2
localbed:83.3,2
Yprésien supérieur,2
"Bed 2, Sakamena Group",2
localbed:110 ft below top of Pocono,2
343.5-343.65 feet,2
localbed:175.9,2
top bed,2
"localbed:326,6",2
regionalbed:11977,2
localbed:1120 | regionalbed:2315,2
"localbed:35,8",2
localbed:278.4,2
localbed:80a,2
Salesville?,2
Belosepia Bed,2
localbed:17.8,2
localbed:UC16,2
localbed:CM01CGP-5,2
localbed:17.1m above base of member,2
regionalbed:84.3 - 132.5,2
localbed:21.05–21.25,2
"Fisher Bed XIV,Brook Bed",2
localbed:174 feet,2
"bed 7 (of Birkelund & Callomon, 1985)",2
Girdziai Beds,2
localbed:931,2
"Beds 68, 73, 86, 98",2
localbed:27.45,2
localbed:82b-1,2
localbed:Unit 86,2
Congerien Schichten,2
localbed:1066,2
localbed:Z3,2
localbed:25.9,2
localbed:2103 ft.,2
Badenien,2
localbed:11.45,2
Bed S7ii,2
regionalbed:36800,2
Camphophyllum bed,2
"localbed:231,3",2
localbed:168.1,2
localbed:22 (Unit 28),2
"Horizon 1 of Barnard, 1965",2
localbed:1418',2
rudist/coral Hemipneustes level above button-coral facies,2
Jetmore Chalk (between JT-3 & JT-7),2
localbed:Ch-28-IV-3,2
localbed:162.38,2
"localbed:38 (Unit 41, upper)",2
unit 13,2
Kanapoi,2
localbed:level J,2
324.2-324.35 feet,2
localbed:C-307815,2
Bed 4 of MS notes,2
Bed D2A (1),2
localbed:A36,2
154 feet,2
localbed:72.60-72.80,2
Rancholabrean,2
Fisher XVIII,2
localbed:2034.26 m depth,2
"localbed:0,7",2
LB5B Bed,2
localbed:8SW 9,2
localbed:S.8,2
Atlantosaurus Beds,2
Bed 57 of Dinwoody Creek section,2
localbed:16.55,2
localbed:Site 8 Zone 3,2
localbed:2060.47 m depth,2
localbed:2.94,2
localbed:1178,2
localbed:Ch-28-IV-8,2
localbed:90.3,2
"localbed:10,4",2
TM horizon 3b,2
localbed:35 - 80,2
Lower Fossiliferous Beds,2
"Fisher Bed, XVI-XVII",2
localbed:10A2,2
localbed:11725,2
Sc.9,2
Bridgeport Beds,2
localbed:54.2,2
localbed:175.2,2
localbed:B13/1,2
localbed:4221',2
localbed:853.0,2
Oyster Bed W14ii,2
localbed:Cf1,2
localbed:a 3,2
localbed:Pélites de Borberan,2
localbed:708,2
Elk Stratum (Stratum 6),2
localbed:26.9,2
regionalbed:400-450,2
Shale parting 3' below top of Florence Limestone,2
Sinkhole,2
localbed:94.0,2
68B,2
localbed:12.5m above base of member,2
localbed:Palestine Sandstone,2
1er banc,2
Mirador conglomerate,2
localbed:1391,2
localbed:180-190,2
localbed:11277,2
localbed:J4,2
localbed:260.4-296.5,2
Woodstone,2
Onondaga Chert,2
Deltoideum shell beds,2
localbed:371.7-386.4 meters,2
"localbed:98,0",2
localbed:429a,2
CONCRETIONARY BED,2
Sc.32,2
localbed:8G,2
localbed:Beds 47-54,2
localbed:479,2
Littleton Lower,2
localbed:3072,2
regionalbed:-100,2
localbed:937,2
localbed:Sample R34,2
middle Speiser Shale to middle Wymore Shale Member,2
Ctenopyge limestone,2
localbed:Laskowa Gora Beds,2
localbed:L8,2
localbed:96.1,2
localbed:32.0m above base of formation,2
Loftusia level,2
localbed:125.2,2
"6"" coal",2
localbed:250.3,2
localbed:167.9,2
localbed:84MK6; 3.0 m,2
localbed:Calmy (or Gair) Limestone,2
localbed:below BM 38,2
Unit 2,2
Bed 119,2
localbed:224-229,2
localbed:21 feet above the base of the section,2
40,2
localbed:-0.86,2
localbed:31-55 below top Barnes' Unit 9,2
localbed:50.0,2
"localbed:36,0",2
"localbed:97,44",2
"localbed:25,8",2
localbed:144.5,2
Wewoka Top of Lower thick Shale,2
localbed:Sample 0.LT.05,2
localbed:35.6,2
Turritella bed,2
localbed:43 (Unit 48),2
localbed:Unit T,2
localbed:265.6m above base of formation,2
Beds 17 - 20,2
localbed:LD219.5,2
localbed:HHC11,2
localbed:486.4,2
Bear Stratum BS2,2
localbed:Ch-21,2
localbed:159.15,2
RM3,2
localbed:11.85,2
62.0 meters above base of Wheeler Formation,2
localbed:181.72,2
48b,2
localbed:Borderan,2
localbed:1931-1941',2
coral/rudist/ Hemipneustes bed,2
localbed:CM99BRH-16,2
localbed:101.95,2
"localbed:83,7",2
Barzass Coal,2
localbed:913.7-918.7,2
Upper Drum Limestone,2
Marine Sandstone,2
localbed:4837,2
regionalbed:735,2
Joggins Section,2
localbed:13f,2
Beds 182 of Vasseur (1894) (-Lima Ovata Beds),2
174 feet,2
localbed:GP 2,2
localbed:BM 68,2
C A8,2
Bed 92,2
localbed:NAY 1100.6,2
localbed:PHo13,2
localbed:CM01CCE-17,2
localbed:4850,2
localbed:2127 ft.,2
localbed:628.3,2
localbed:B-2-1,2
Maçonnal,2
localbed:2098 ft.,2
Pectunculus Bed,2
Dartford gravels,2
regionalbed:74,2
localbed:HS429,2
"localbed:9,5",2
localbed:2091 ft.,2
Upper Medina,2
Betton,2
localbed:MHo3,2
Belen Beds,2
AUSTRALOPITHECUS,2
localbed:112.4,2
"localbed:21,1",2
"localbed:80,4",2
localbed:37 | regionalbed:32,2
II,2
localbed:1185',2
localbed:HNN 2b,2
localbed:1563-1566,2
Bairstow Bed 501.1,2
Stampien inférieur,2
localbed:94.99,2
"localbed:86,0",2
localbed:Ce II | regionalbed:Zone II-III,2
regionalbed:279,2
"Beds 25B, 39A, 67A, 71",2
"Loftusia levels, loose, possibly from above",2
localbed:14631,2
Virgin Limestone 3a,2
localbed:Fisher Gully .17m above HFFG2,2
localbed:159.32,2
horizons between Americus Ls and Brownville Ls,2
localbed:145.3,2
localbed:21.04,2
"Beds 22B, 50, 84",2
lowest calcareous band of Marnes de Villers,2
localbed:2351,2
localbed:365.0-409.0 m; #2025,2
"localbed:44,4",2
Bed LB2C,2
391.55-391.7 feet,2
localbed:AE 1,2
localbed:30.75,2
"localbed:183,9",2
localbed:HM 5,2
localbed:8758,2
localbed:B21-4,2
Dlouhe horizon,2
localbed:14.15,2
localbed:Z 185,2
localbed:13.95,2
72 feet,2
202.1-202.25 feet,2
localbed:2890,2
Naricula Coal,2
localbed:above the base,2
localbed:33.1-34m from base of section,2
localbed:35.2-35.3,2
localbed:1140,2
Chlk sh. above mkr unit 6,2
Ganister Clay Seam,2
bed 6,2
"localbed:83MK3, 3.0 m",2
"Bed Fa, lower to upper Havensville Shale member",2
localbed:8.25,2
localbed:455.4,2
Bed 42,2
localbed:2270-2275',2
"localbed:60,2",2
regionalbed:lithofacies #1,2
202 feet,2
localbed:220.2,2
BIIa,2
localbed:114.2,2
OREODON?,2
localbed:257.2m above base of formation,2
localbed:2299-2303.5',2
localbed:Du 3,2
"Beds 20, 68, 73, 86",2
localbed:3213-3222',2
localbed:Ko 1,2
localbed:ST-2,2
"localbed:lower Dhruma D2,2 base",2
localbed:37.55,2
localbed:64.71,2
localbed:16.1m above base of member,2
localbed:level f,2
localbed:361.6,2
Bed ? O,2
regionalbed:2.496,2
regionalbed:397.5,2
Bed S,2
"localbed:9,0",2
localbed:937.6-945.0,2
localbed:100 - 115 cm,2
localbed:1204,2
localbed:5.2m above base of formation,2
TSO4,2
365.5-365-65 feet,2
localbed:Georgenberg,2
localbed:42.7,2
localbed:7-C-3,2
localbed:L20UNE,2
localbed:G 22,2
localbed:2111.75 m depth,2
localbed:2 m above BM 54,2
"Beds 27A, 27B, 50, 58",2
Diptyoptychus level,2
localbed:652,2
rudist/coral/ Hemipneustes level above button-coral/gastropod facies,2
localbed:660.3,2
localbed:2173,2
Bed 126 (Band: Red Band),2
Bed 110b,2
localbed:Metternich b. Koblenz I,2
localbed:26.05,2
localbed:Butts/Swartz Bd 2,2
localbed:2857',2
Bed LB4B,2
localbed:83 meters from base of section,2
localbed:-1.72,2
localbed:418/4,2
localbed:194.6,2
localbed:8746,2
Hartland Shale (Bed HL-2),2
localbed:3059,2
localbed:881.6-893.8,2
"localbed:41,2",2
localbed:8R,2
localbed:Ka 13,2
Top of lower Fort Riley Limestone,2
localbed:35.85,2
Possil Wee Seam,2
Non - lunata Reef,2
Three-quarter Seam,2
regionalbed:horizon 4,2
localbed:65C13,2
localbed:2032.73 m depth,2
localbed:167.4,2
localbed:70.6,2
localbed:79b,2
localbed:phosphate bed,2
localbed:7c-e,2
Virgin Limestone 3b,2
localbed:1269,2
localbed:84 feet,2
localbed:CM01BBR-1,2
localbed:88.9,2
localbed:Sample 155,2
Avoca Limestone Top,2
localbed:65.7,2
localbed:Solymar,2
localbed:48b,2
localbed:33.1 to 34m above base of section,2
localbed:213.5,2
"localbed:83MK2, 28.3 m",2
localbed:95.15,2
Little Kaw Limestone Bed,2
localbed:#9,2
"localbed:502,04",2
localbed:XXVII | regionalbed:Zone II,2
localbed:2004-2007,2
Sc.53,2
localbed:31.85,2
localbed:H6-1,2
Shale below Santos Limestone,2
localbed:Boulder #371,2
localbed:MO7,2
"Bed 15, ""4 - 6m above rudist level""",2
localbed:1891-1901',2
localbed:1 | regionalbed:11,2
localbed:7 m above BM 77,2
BRACKLESHAM,2
localbed:BE125,2
localbed:C 1,2
"Beds 22B, 33, 68, 73, 94",2
Lignite,2
localbed:2371-2378',2
localbed:sample 196338,2
localbed:128.25,2
434.3-434.45 feet,2
localbed:AM19,2
localbed:5 feet from base of section,2
Horizon B1,2
"Beds 12, 84, 86, 94",2
localbed:17-2,2
"localbed:100,6",2
localbed:1931,2
"localbed:80,9",2
localbed:H32-3 II,2
Tellina Sand,2
localbed:6.43,2
localbed:23.04-24.76,2
136 m,2
localbed:50b,2
Tilley Seam,2
localbed:B-3/2,2
"Beds 12, 22A, 68",2
localbed:Plethopeltis Zone,2
localbed:C6b,2
localbed:SW7B,2
localbed:58.8m above base of formation,2
localbed:Mk 8d,2
localbed:103.65,2
localbed:1.50-2.25,2
localbed:L0,2
D2D Bed,2
localbed:300-310,2
Bed 3' below Dekalb Ls. member,2
localbed:Ce IV | regionalbed:Zone I-III,2
regionalbed:115 to  140,2
"echinoid bed C, 1-3m below main rudist level",2
localbed:286,2
Miocene Coal,2
localbed:Phyllopod Bed,2
Bed 108,2
horizon of Auvers,2
localbed:PHo10,2
localbed:D37,2
localbed:861.8-861.85,2
localbed:271.7,2
localbed:KK 233,2
localbed:HM 73,2
bed 19 (in final logs) bed 20 of A. S. Gale,2
localbed:16 feet from base of section,2
"Hard bed, Bed S10",2
localbed:14645,2
392.5-392.65 feet,2
localbed:1 m above BM 65,2
localbed:22 (Martinsburg unit 6),2
"Noetlingaster bed above main Hemipneustes level, 16 m above bed 25 of A. S. Gale",2
Elephas antiquus Bed,2
localbed:29.55,2
localbed:37 meters from base of section,2
localbed:3650 | regionalbed:3650,2
localbed:1481,2
localbed:RCR 30,2
Codell,2
424.8-425.2 feet,2
localbed:70-76,2
Rowe Coal,2
localbed:581,2
localbed:GP 14B,2
"localbed:46,2",2
localbed:BM 15,2
localbed:116.6,2
localbed:320-323,2
Guilmette Limestone,2
localbed:890,2
"localbed:331,7",2
localbed:R 555,2
localbed:9219,2
localbed:NKI8,2
regionalbed:28.4,2
"localbed:39,4",2
localbed:1200 - 1400,2
localbed:290.10/290.05,2
localbed:77.7,2
localbed:14640,2
localbed:1047.0m,2
localbed:34.75,2
localbed:98–120,2
Beetle Bed,2
"Bed 15 (Doyle, MS)",2
localbed:G 45,2
localbed:2589-2598',2
localbed:depth 12m,2
localbed:18.6m above base of member,2
"Beds 10, 29(ii)B",2
Bed E2,2
localbed:50 m,2
Sangawon Paleosol,2
localbed:182.3,2
localbed:2122 ft.,2
localbed:T 7,2
"localbed:93,0",2
localbed:Chapel Rock,2
localbed:DU5,2
285.2-285.35 feet,2
localbed:779,2
localbed:749-752,2
"Kimmeridge Clay Formation, Bed 12 (of Callomon & Birkelund, 1985)",2
localbed:2.5-3,2
Skeletal Limestone Bed in Upper Graneros Shale,2
Bed 31. from Dartevelle & Casier,2
localbed:MHo11,2
localbed:HJD3-4,2
Johnson shale (below Red Eagle Limestone),2
localbed:8776,2
regionalbed:401,2
localbed:40.5m above base of formation,2
localbed:IQ-24,2
localbed:HHC1,2
Bed D6H,2
E8,2
localbed:T11,2
localbed:2815,2
Pardonet,2
localbed:Sekwi Brook,2
localbed:MO9,2
158ft level,2
"level A, 3m above main Diptyoptychus level",2
localbed:118 | regionalbed:218,2
regionalbed:0.6 to 0.0,2
localbed:695,2
localbed:I-2f,2
localbed:5562m,2
regionalbed:2.3 to 3.8,2
localbed:804,2
"Beds 12, 22B, 27B, 50, 51A, 67B",2
localbed:57a,2
Bed L7ii,2
localbed:26.00-28.00,2
"localbed:11,3",2
SH2 strat,2
localbed:4.25,2
Zuffardia level and above,2
localbed:2316,2
localbed:80.3,2
"Beds 25B, 39A, 67A, 86",2
localbed:Swartz/Butts Bd 3,2
"localbed:0,04",2
localbed:MHo1,2
localbed:2686,2
localbed:268.7m,2
localbed:143.7,2
428.4-428.55 feet,2
"localbed:NAY 1454,3",2
localbed:6 | regionalbed:16,2
localbed:Unit 34,2
Lane Shale Limestone Over,2
localbed:907.5 - 907.0,2
localbed:23.25,2
"Eutylus Bed, Arctica Bed, and Astarte Bed",2
localbed:2478-2487',2
Bulls Bed,2
localbed:Boulder #261,2
localbed:226.47,2
Bed 4 (M 6),2
Neritina aperta Bed,2
Balosepia Bed,2
Ludlow Fish Bed,2
localbed:Boulder #263,2
localbed:615,2
localbed:B-12,2
Bed VI 2,2
localbed:371.7-387.0 meters,2
localbed:342.9,2
localbed:150.58,2
"localbed:PAR-II 111,5",2
localbed:117.17m,2
localbed:2460,2
"localbed:313,3",2
localbed:6 | regionalbed:4,2
localbed:763,2
Christensen 1979 Bed IV-V,2
"localbed:31,7",2
"localbed:79,1",2
localbed:Unit 48,2
324.55-324.7 feet,2
BENTONITE BEDS,2
localbed:Level C3 | regionalbed:Burdigalian IVb,2
Horizon Jm35,2
regionalbed:0.0 to 1.5,2
"localbed:upper 100 ft. of ""Unit H"" of Johnson and Hibbard, 1957",2
localbed:-6.62,2
localbed:33 m from base of section,2
SKYLINE CHANNELS,2
localbed:90.1m above base of member,2
second dolerite sill,2
Bed XIV-XVII,2
"Bed 44 (Howarth, 1962)",2
59,2
localbed:Moruga,2
localbed:80.5,2
Horizon Chc4,2
localbed:5D,2
Mineral or Fleming Coal,2
localbed:106-7,2
4 ft Coal,2
localbed:HBH5,2
Deep Hard Seam,2
localbed:265.4m above base of formation,2
localbed:1017.1,2
Blown Sand above graves,2
regionalbed:530,2
localbed:220-240,2
localbed:243.4m above base of formation,2
regionalbed:485.5,2
localbed:60.0m above base of formation,2
localbed:29.40 - 29.41 m,2
localbed:124.45,2
localbed:2331,2
localbed:3156-3165',2
localbed:148.2,2
localbed:141.6,2
localbed:1648,2
localbed:1.1 m,2
localbed:723.2,2
localbed:-6.87,2
localbed:45.4,2
regionalbed:roof lower coal bed,2
localbed:Sample 95.LT.6,2
localbed:83g,2
"Beds 27A, 27B, 39A",2
localbed:39-16,2
"Fisher Bed 7, Bed E8 of Curry et al.",2
regionalbed:Uppermost beds,2
"localbed:102,4",2
regionalbed:286,2
Horizon P21,2
localbed:1/84,2
196-197 feet,2
localbed:88.3,2
localbed:6.88,2
localbed:10.20–10.45,2
Upper Lobster Bed,2
localbed:827,2
regionalbed:60 (float),2
"localbed:45,8",2
horizon Bel-A,2
localbed:358,2
Angulatus Beds,2
localbed:51b,2
regionalbed:604,2
localbed:19.2m above base of member,2
localbed:534.7-539.6,2
localbed:19.0,2
localbed:Bed 23-31,2
localbed:89.1,2
Kimméridgien moyen,2
Small echinoid bed,2
localbed:158.7,2
Chemiss Coal,2
echinoid bed B,2
localbed:3848',2
localbed:Karla Bed 1m above KasSpez3,2
localbed:126.6,2
localbed:408,2
localbed:lower Marrat 3,2
regionalbed:37 to  63,2
localbed:Muddy Unit 1,2
Bed D3B,2
"Mecaster level, bed 5",2
localbed:85.9m above base of member,2
localbed:Sample 95.LT.4,2
regionalbed:625,2
regionalbed:1200,2
localbed:bed Bu-10,2
localbed:5B,2
regionalbed:580,2
localbed:19?,2
localbed:4200,2
"Beds 12, 21A, 27B, 31B, 31D, 32, 39A",2
Bed 40,2
regionalbed:11468,2
localbed:10a´,2
localbed:WB123,2
localbed:HBH1,2
localbed:11271,2
"Beds 20, 21A, 27A",2
localbed:B17'',2
Lower Benbrook Member,2
localbed:Sample AK15,2
localbed:149 | regionalbed:108,2
localbed:Sample 159,2
localbed:1143,2
localbed:4-P-4,2
localbed:UF2,2
W1,2
Bed 82,2
localbed:817.5,2
localbed:541,2
Lopha shell bed,2
localbed:1.88,2
"localbed:361,3",2
localbed:BM 54,2
Vein D,2
localbed:lower 25,2
bed 20 of A. S. Gale,2
localbed:63.38,2
localbed:3166',2
localbed:4900,2
C7,2
localbed:CM01CGP-8,2
regionalbed:Units 3-5,2
localbed:6/VIb,2
localbed:SW5a,2
localbed:279,2
localbed:159.76,2
localbed:217.5,2
Retrench Beds,2
localbed:175.5,2
localbed:95.67,2
localbed:G-24,2
localbed:20.25,2
localbed:Basal 1.5m of Gensel & Barnett-Lawrence,2
"localbed:395 feet from base of ""Unit I"" of Johnson and Hibbard, 1957 | regionalbed:5",2
localbed:Bed 27 c-d,2
Shale between Florence Flint and Fort Riley Limestone,2
localbed:ironstone,2
localbed:123.5,2
localbed:102.1,2
localbed:65C4,2
358.1-358.25 feet,2
Bed 8 (Birkelund and Callomon 1985),2
localbed:590.5,2
localbed:NL211,2
"localbed:16,5",2
