v_latestAgeOrHighestStage,reps
Middle Santonian,80
Upper Ludlow,80
Early Paleocene,336
Artinskian,592
Rupélien,848
Aalenian,848
Early Barremian,337
Zanclean,3409
Bridgerian,5457
Villanyian,82
Chazyan,82
Marjuman,82
Campanian | Maastrichtian,1106
Bifrons,84
LOWER ORELLAN,84
Upper Emsian (Dalejan),596
Aalénien,85
VINDOBONIAN,85
RECENT,85
Middle Paleocene,341
Roadian,341
Tremadocian,341
Sherwoodian,86
Piacenzian,8534
Corallian,87
Maastrichtien,87
Ivorian,87
Campanian|Maastrichtian,87
EARLY WESTPHALIAN D,343
BRIDGERIAN,599
Desmoinesian,599
Bashkirian,1367
middle Miocene,88
Weichselien,344
WASATCHIAN; EARLY LYSITEAN,89
WESTPHALIAN LOWER D,89
Aquitanien,89
TITHONIAN,857
Moscovian,1113
Smithian,90
Casamayorense,90
Early Coniacian,346
TUROLIAN,91
Porkuni,91
Givetian,3163
MN 11,92
Alexandrian,92
Downtonian,348
LATE KANSAN; IRVINGTONIAN II,604
Visean / Osagean,1116
Margaritatus,93
Tremadoc,94
Saucesian,350
Gedinnian,95
Middle Aalenian,351
Givétien,96
Asbian,97
Rhuddanian,609
Neoproterozoic/Proterozoic,98
Upper/Late,98
Early Aptian,866
Idamean,99
Bathonien,1123
Eastonian,100
Upper Jurassic,100
Middle Campanian,1893
Albian - Cenomanian,6501
Late Hemphillian,102
Arnsbergian,102
Late Campanian,1638
Hettangien,103
Pliensbachian,3688
Upper Oliocene,105
Early Bajocian,105
Lower Permian,105
Middle Tithonian,361
Famennian,1129
Lenian,106
Missourian,362
Lasnamagi,107
Coniaciano,107
Comanchean,3179
Danien,108
Late Aalenian,108
LATE UNINTAN OR EARLY DUCHESNEAN,108
Upper Pleistocene,109
Upper Carnian,109
Ashgillian,109
Givetien?,109
Clarkforkian,3181
Pendleian,366
Coniacian,4974
Lochkovien,111
Floran,111
Middle Oxfordian,111
Gamachian,367
RANCHOLABREAN,1135
Ypresian,10095
Priabonian,11119
Wenlockian,112
Middle Hettangian,112
Anisian,624
Upper Eocene,1136
Huayqueriense,113
Upper Miocene,881
Recent,1137
Nabala,115
MISSOURIAN,115
Middle Osagean,883
Turonian,15731
Spathian,116
"""Hauterivian""",628
Actuel,628
Longvillian,117
Barremian?,118
IRVINGTONIAN; RANCHOLABREAN,118
Sandbien,374
Middle Pleistocene,19830
RUSCINIAN; VILLAFRANCHIAN,119
UPPER WOLFCAMPIAN,375
Pleistocene,3191
Edenian,120
Selandian,1144
Visean,15480
Upper Darwillian (Dobrotivian),121
Blackriveran,121
Zemorrian,377
Coniacian - Santonian,378
"CLARKFORKIAN, CF2",1914
Middle Bathonian,123
Laventan,123
Vinice,123
WASATCHIAN; LYSITEAN,3195
Torrejonian,124
Cautleyan,380
Aquitanian,1660
Upper Oligocene,893
Dyeran,1149
Irvingtonian,1917
Burdigalian,3197
Wufeng,126
Serpukhovian,638
Guzhangian,127
WHITNEYAN,127
Chadian,128
lower,128
Lancian,1920
Darriwilian,2176
Frasnian,2176
Middle Jurassic,129
Maastrichthiano,129
Zahorany,129
Sevatian,130
Middle Turonian,386
Late Bathonian,386
Middle Callovian,387
age unk.,5251
Wolfcampian,132
Sakmarian,1412
Pliocene,1668
Davoei,133
Narizian,645
Wenlock / Ludlow,134
Wolfcamp,134
Late Kimmeridgian,134
Wasatchian,21894
WOLFCAMPIAN,903
TIFFANIAN 3,136
TIFFANIAN 2,648
Cayugan,137
Whitneyan,137
Turonien,137
ASTIAN; VILLAFRANCHIAN,137
Atokan,138
WESTPHALIAN D; MOSCOVIAN,1675
Rupelian,1931
Atdabanian,140
Pusgillian,140
OIS 5,141
early Eocene,7053
Kasimovian,142
Early Tithonian,398
Ashgill,911
Niuchehean,144
Senonian,144
Delmontian,144
Early Oxfordian,400
Pridoli,1424
Paleocene,145
MaastrichtianLower,145
Neocomian,145
IRVINGTONIAN III,2449
Early Givetian,146
Serravallian,4754
Pliensbachien,147
Albien,147
Dapingien,403
Olenekian,403
Early Toarcian,406
Hirnantian,1686
late Lutetian to early Bartonian,151
Late Hettangian,151
Rocklandian,407
Lochkovian,1687
Early Hauterivian,153
Asselian,153
Bathonian,7065
Kralodvorian,154
Late Ordovician,410
Bajocian,2714
Chadronian,3482
Bartonien,411
Oligocene,156
VIRGILIAN,156
Trémadocien,156
Actonian,156
Lostcabinian,156
Kasimovian / Missourian,157
Fassanian,413
Eifelien,670
Katian,5278
Westphalian D,159
Lower Oligocene,160
Rancholabrean-Holocene,160
Norian,1696
Rancholabrean,8352
Brigantian,417
Marshbrookian,1186
KIMMERIDGIAN,163
Hettangian,419
Scythian,419
Westphalian,164
Late Eocene,6564
Wenlock,7076
Early Emsian,421
Bartonian,6565
Middle Pennsylvanian,167
Berounian,168
Botomian,424
Harnagian,680
Barstovian,30120
UINTAN,3497
Chesterian,1194
Caradocian,2986
Nukumaruan,171
Llandovery,427
Rancholabrean?,427
Early Oligocene,939
Hauterivian,1707
Luisian,428
Early Frasnian,428
MIDDLE CHADRONIAN,943
4,688
Late Maastrichtian,178
Early,178
Osagean,690
Kimmeridigian,1458
middle,180
Clarendonian,5557
Santonian,11701
Moscovian / Desmoinesian,51381
WHITNEYAN?,694
Barremian,6070
Hallian,183
Cenomanian/Turonian,439
Cenozoic,18615
"RECENT, CA. 5000 YEARS B.P.",440
BRIDGERIAN; GARDNERBUTTEAN,2488
Menevian,185
Jacksonian,185
Virgilian,698
Eifelien?,187
Middle,699
