v_group,reps
DOCKUM?,3
Saragai Group,3
Ogalalla Group,3
Lower Greensand Grp.,3
Te Aute Group,3
Trang,3
Mikasa Group (bed 3c),3
Upper Scotland Group,3
"Old Red Sandstone Supergroup, Downton Group",3
Shinarump Group,3
Seneca Group,3
Chuar Group,3
Cheming,3
Hauterivian-Barremian,3
Tierra de Lara,3
Trempealeau Grp.,3
Ridge Basin,3
Headon Hill limestone,3
Blythesdale,3
Division A,3
Austin Grp,3
Shiramizu Group,3
Millstone Grit,3
Peñasco,3
Empire formation,3
Blue River,3
Coniaciano,3
Qiulitag,3
Plattenkalk,3
LIAS GROUP,3
Sollent Grp,3
Nishitama,3
Ofunato,3
Tornillo Grp,3
Genshaw,3
Livingston Group,3
Remigolepis Group,3
El Foyel,3
Grès du massa,3
HACKBERRY GROUP,3
Alt Ddu,3
Intertrappean Series,3
Relay Mountain,3
Högklint,3
Craghead,3
Hilltop Formation Group,3
Meganos Group,3
Nakagawa Group,3
SHAWNEE GROUP,3
Murrisk,3
Gannett,3
Mabou,3
Bell Island Group,3
Dockendorf Group,3
Washington Land,3
Upper Carbonaceous Series,3
Tulung,3
Dresbach Group,3
Tremadoc Sh,3
Gemuk Group,3
Fairfield,3
Dulankara Horizon,3
Beekmantown Grp.,3
Slavyanskoy,3
Launceston Group,3
Tellian,3
LIMESTONE COAL,3
Second Bani Sandstone Group,3
Des Moines Supergroup?,3
Cornwallis Grp,3
Pictou Grp,3
"Carboniferous Limestone Supergroup, Middle Limestone Group",3
Mari Mari,3
Belt Spgrp,3
Agadez,3
Corniferous Grp,3
ALBEMARLE GROUP,3
Bolton Grp,3
Cutler Grp,3
Edmonton Group,3
Venango Group,3
Oil-Shale,3
Seaspray,3
Tealby,3
Labrador Grp,3
Keokuk? Group,3
Portage Grp.,3
NASHVILLE GROUP,3
Nanxiong,3
North Hill Group,3
Othrsi,3
Guyang,3
Osaka Group,3
Thung Salian,3
Bainbridge Group,3
Asitka,3
Schiste de Feijas externes,3
Kanokuran,3
Janita,3
Toledo Mountains,3
Madera Grp.,3
Sandia,3
Thaynes Group,3
Tampeiskaya,3
Canyon Group [Strawn Group],3
Lahontan Valley Group,3
Coralline Crag,3
Miharaiyama,3
NIAGARA GROUP,3
Fairholme,3
Downton Castle,3
Mercer Coal Group,3
Kanmon,3
Canadaway Group,3
Arakawa group,3
Ranikot Series,3
Brownsport Gp.,3
Slite Grp,3
Ada Group,3
St. John Group,3
Kawakami Group,3
Riversdale Grp,3
Suishishan,3
Téfidet,3
Lower Muschelkalk,3
ST JOHN GRP,3
Cuyahoga Group,3
Los Cabos Group,3
Tacbal,3
Waterlime Group,3
Montoya Grp,3
WICHITA GRP.,3
Eifel Group,3
Middle Beaufort Series,3
Houston Group,3
Red Eagle Limestone,3
Whichita Grp,3
Vetluga,3
Des Moines Group or Missouri Group,3
St Louis Group,3
Brownsport,3
SPITTAL BEDS,3
Jiri,3
Tubarao,3
Ely Group,3
Counsel Grove Group,3
Poway,3
Orangeburg Grp,3
Mulloch Hill Group,3
Ogasawara Group,3
Onondaga Salt Group,3
PHOSPHATE SERIES,3
Matawan Grp,3
Chinle Grp,3
HAMILTON,3
L. Oil-shale,3
Lexington Group,3
Mawddach,3
Marayes,3
Rio Ceira,3
Kathwanga Series,3
Purgatoire,3
BEAUFORT,3
Orca,3
Priesthill Grp,3
Benton Grp,3
Upper Helderberg Grp.,3
Armendaris Grp,3
