continent,reps
Azores Exclusive Economic Zone,174816
B road Lake,1
B. V. B.,1
BEAVER CREEK,1
BECK CREEK,2
BHCB,22
BIG CREEK,1
BIG MUDDY RIVER,6
Babel Creek,2
Babine Lake,6
Babine River,25
Babine River &amp; Lake,3
Baca Spring,16
Back Creek,17
Backbone Creek,17
Backwater Inlet,2
Backwater of Wallace Branch,2
Bacon Creek,7
Baechtel Creek,1
Baggs Creek,1
Bagley Creek,25
Bagnor River,16
Bahia,130
Baia Formosa,13
Baie Gagnon,1
Bailey Creek,14
Baileys Creek,1
Bakengehalas Creek,1
Baker Cr./Exline Slough,9
Baker Creek,3
Baker Lake,4
Baker Run,35
Baker Spring,1
Baker's Creek,1
Bakers Drainage Ditch,1
Bald Creek,1
Bald Eagle Creek,1
Baldwin River,41
Bali Sea,1
Ball Creek,10
Balls Creek,1
Bally  Creek,1
Bally Creek,1
Baltic Sea,71256
Banda Sea,1
Bankston Fork,2
Bankston Fork Saline River,2
Bantas Fork,6
Baptism River,8
Baptizing Creek,3
Baraboo River,9
Barber Lake,196
"Barber, 1930",3
Barcarena,1
Barclay Branch,2
Barents Sea,47
Bark River,10
Barren Creek,8
Barren Fork,6
Barren Fork Creek,5
Barren Hollow,1
Barren River,4
Barrett River,3
Barro Colorado Island,4
Barro Colorado Islands,2
Barry Creek,1
Bartell Creek,2
Baseline Creek,15
Bass Lake,12
Bass Pond,1
Basswood Lake,21
Bastiaanskloof Stream,2
"Bastrop County, Texas, United States",12
Batavia,1
Bates Bog,1
Bates Creek,1
Bates Spring,1
Bath Creek,2
Battle Branch,2
Battle Creek,2
Battle Ford Creek,20
Baum Branch,3
Baxter Springs/Spring-fed stream,4
Baxter�s Creek,2
Bay,1
Bay Creek,29
Bay Creek Ditch,56
"Bay Creek, Watkins Ford",5
Bay du Vin River,7
Bay of Bengal,9
Bayou Nezpique,1
Beach Fork River,2
Bean Creek,10
Bean Creek Ditch,8
Beanblossom Creek,17
Bear Branch,30
Bear Branch Dums Creek,2
Bear Brook,42
Bear Cr [Bear Wallow Creek?],3
Bear Creek,180
Bear Creek Ditch,5
Bear Creek Gulch,9
Bear Foot Creek,1
Bear Head Creek,1
Bear Lake,25
Bear Lake Outlet,5
Bear River,27
Bear River Bay,1
Bear Run,1
Bear Springs,1
Bear Tooth Creek,3
Bear Trap Lake,1
Bear Wallow Spring,2
Bear Wallow Wash,1
Bear creek,17
Bear lake/ small creek,4
Bear river,1
Bear river mouth,1
Bearberry Creek,2
Beargrass Creek,41
Beasley Creek,4
Beaty Hollow Creek,7
Beaucoup Creek,2
Beaver Brook,12
Beaver Cr,5
Beaver Creek,568
Beaver Creek Pond,10
Beaver Creek Reservoir,5
Beaver Dam Creek,8
Beaver Dam Slough,1
Beaver Kill River,3
Beaver Lake Ditch,5
"Beaver Lake, White River",2
Beaver Pond,15
Beaver Pond Creek,2
Beaver Pond Ditch,9
Beaver Ponds,31
Beaver River,24
Beaver Run,3
Beaver creek,65
Beaverdam Creek,4
Beaverdam Run,1
Beaverhead River,2
Beaverkill Cr.,3
Beaverkill Creek,6
Beck on East of Esthwaite,1
Becks Creek,5
Beckwith Creek,1
Becky Branch,2
Bee Branch Dums Creek,4
Bee Creek,5
Bee Hole Brook,1
Beebe Lake,13
Beech Creek,7
Beech Flats Pond,2
Beehive Pond,3
Bekulab River,887
Belgian part of the North Sea,416
Belgium,3
Belgrade Stream,7
Bell Creek,3
"Bell Smith Spring, Bell Creek",4
Bell Smith Springs,20
