organismScope,reps
Anungitea rhadospora P.M. Kirk,1
Anungitea uniseptata Matsushima,1
Anungitopsis speciosa Castañeda & Kendrick,2
Aphanoascus fulvescens (Cooke) Apinis,17
Aphanobasidium pseudo-tsugae (Burt) Boidin & Gilles,1
Aphanocladium album (Preuss) W. Gams,4
Aphanocladium aranearum (Petch) W. Gams,1
Aphanocladium dimorphum J.D. Chen,1
Aphanomyces euteiches Drechsler,2
Apinisia graminicola La Touche,1
Apiospora montagnei Saccardo,15
Aquathanatephorus pendulus Tu & Kimbrough,1
Arachniotus littoralis (G.F. Orr) Arx,1
Arachniotus ruber (van Tieghem) Schroeter,2
Arachnomyces minimus Malloch & Cain,1
Arachnotheca albicans (Apinis) von Arx,1
Ardhachandra cristaspora (Matsushima) Subramanian & Sudha,2
Areolospora bosensis (Das) D. Hawksworth,1
Armillaria borealis Marxmüller,5
Armillaria bulbosa (Barla) Kile & Watling,5
Armillaria cepistipes Velenovsky,5
Armillaria ectypa (Fries) Lamoure,5
Armillaria fuscipes Petch,1
Armillaria gallica Marxmüller & Romagnesi,1
Armillaria mellea (Vahl : Fries) Kummer,9
Armillaria ostoyae (Romagnesi) Herink,8
Armillaria tabescens (Scopoli) Emel,5
Arthrinium arundinis Dyko & Sutton,6
Arthrinium kogelbergense Crous,1
Arthrinium marii Larrondo & Calvo,1
Arthrinium phaeospermum (Corda) M.B. Ellis,24
Arthrinium puccinioides (de Candolle : Fries) Kunze,1
Arthrinium serenensis Larrondo & Calvo,1
Arthrobotrys amerospora Schenck et al.,2
Arthrobotrys arthrobotryoides (Berlese) Lindau,3
Arthrobotrys brochopaga (Drechsler) S. Schenck et al.,2
Arthrobotrys cladodes Drechsler var. cladodes,1
Arthrobotrys cladodes var. macroides Drechsler,2
Arthrobotrys conoides Drechsler,2
Arthrobotrys dactyloides Drechsler,1
Arthrobotrys musiformis Drechsler,4
Arthrobotrys oligospora Fresenius,10
Arthrobotrys polycephala (Drechsler) Rifai,1
Arthrobotrys pyriformis (Juniper) S. Schenck et al.,2
Arthrobotrys scaphoides (Peach) S. Schenck et al.,1
Arthrobotrys superba Corda,9
Arthrobotrys vermicola (R.C. Cooke & Satchuthananthavale) Rifai,1
Arthrobotryum hyalosporum Okada & Tubaki,1
Arthrocladium caudatum Papendorf,1
Arthroderma benhamiae Ajello & Cheng,63
Arthroderma borellii (Moraes & al.) Padhye & al.,2
"Arthroderma cajetanum (Ajello) Ajello, Weitzman, McGinnis & Padhey",2
"Arthroderma cookiellum (de Clercq) Weitzman, McGinnis, Padhey & Apinis",4
"Arthroderma corniculatum (Takashio & De Vroey) Weitzman, McGinnis, Padhey & Apinis",16
"Arthroderma crocatum Udagawa, Kubo & Shibaki",1
Arthroderma cuniculi Dawson,2
Arthroderma curreyi Berkeley,9
"Arthroderma fulvum (Stockdale) Weitzman, McGinnis, Padhey & Ajello",13
Arthroderma gloriae Ajello,1
Arthroderma gypseum (Nannizzi) Weitzman et al.,1
"Arthroderma gypseum (Nannizzi) Weitzman, McGinnis, Padhey & Ajello",15
"Arthroderma lenticulare Pore, Tsao & Plunkett",2
Arthroderma multifidum C.O. Dawson,1
Arthroderma otae (Hasegawa & Usui) McGinnis et al.,2
"Arthroderma otae (Hasegawa & Usui) McGinnis, Weitzman, Padhey & Ajello",2
"Arthroderma persicolor (Stockdale) Weitzman, McGinnis, Padhey & Ajello",20
Arthroderma quadrifidum C.O.Dawson & Gentles,6
Arthroderma quadrifidum Dawson & Gentles,2
"Arthroderma racemosum (Rush-Munro, Smith & Borelli) Weitzman, McGinnis, Padhey & Ajello",2
Arthroderma silverae Currah et al.,1
"Arthroderma simii Stockdale, Mackenzie & Austwick",21
Arthroderma tuberculatum Kuehn,2
Arthroderma uncinatum C.O. Dawson & Gentles,2
Arthroderma uncinatum Dawson & Gentles,1
Arthroderma vanbreuseghemii Takashio,69
Arthrographis cuboidea (Saccardo & Ellis) Sigler,4
Arthrographis kalrae (Tewari & Macpherson) Sigler & Carmichael,6
Articulospora tetracladia Ingold,3
Artolenzites elegans (Sprengel) Teixeira,1
Artomyces microsporus (Q. Wu & R.H. Petersen) Lickey,1
Arxiella terrestris Papendorf,2
"As it's name suggests, the giant sphinx is the largest moth of this family. The forewings are yellowish grey, mottled and streaked with black and brown. There is a broad outer border of black. The sexes are similar in appearance, but females are much larger than males. These moths are on the wing at all times of the year.",3
"As its common name suggests, this species is distinguished by havig six large red spots on each greenish black forewing.",2
Ascocalvatia alveolata Malloch & Cain,1
Ascochyta pisi Libert var. pisi,4
Ascocoryne sarcoides (Jacquin : Fries) J.W. Groves & Wilson,3
Ascocoryne sarcoides (Jacquin: Fries) Groves & Wilson,1
Ascocoryne solitaria (Rehm) Dennis,1
Ascoidea hylecoeti Batra & Francke-Grosmann,1
Ascosphaera apis (Maassen ex Claussen) Olive & Spiltoir,18
Ascotricha bosei D. Hawksworth,1
Ascotricha chartarum Berkeley,6
Ascotricha chartarum var. orientalis Castellani & Jacono,1
Ascotricha erinacea Zambettakis,4
Ascotricha sp.,1
Ashbya gossypii (Ashby & Nowell) Guilliermond,3
Aspergillus acidus Kozakiewicz,1
"Aspergillus aculeatinus Noonim, Frisvad, Varga & Samson",1
Aspergillus aculeatus Iikuza,4
Aspergillus aculeatus Iizuka,3
Aspergillus aeneus Sappa,1
"Aspergillus alabamensis Balajee, Baddley, Frisvad & Samson",2
Aspergillus allahabadii  B.S. Mehrotra & Agnihotri,1
Aspergillus allahabadii Mehrotra & Agnihotri,1
Aspergillus alliaceus Thom & Church,4
Aspergillus alutaceus Berkeley & Curtis,12
Aspergillus ambiguus Sappa,1
Aspergillus amoenus M. Roberg,5
Aspergillus amylovorus Panasenko ex Samson,2
"Aspergillus ardalensis A. Nováková, Hubka, Kolařík & S.W. Peterson",3
Aspergillus asperescens Stolk,1
Aspergillus aureolatus Muntanola-Cvetkovic & Bata,3
Aspergillus aureolatus Muntañola-Cvetkovic & Bata,1
Aspergillus auricomus (Guèguen) Saito,1
Aspergillus avenaceus G. Smith,1
