organismScope,reps
Rhodosporidium paludigenum Fell & Tallman,7
Rhodosporidium sp.,1
Rhodosporidium sphaerocarpum S.Y. Newell & Fell,5
Rhodosporidium toruloides I. Banno,10
Rhodotorula acuta (S. Goto) Rodrigues de Miranda & Weijman,1
Rhodotorula araucariae Grinbergs & Yarrow,1
Rhodotorula armeniaca R.G. Shivas & Rodrigues de Miranda,1
Rhodotorula aurantiaca (Saito) Lodder,2
Rhodotorula auriculariae (Nakase) Rodrigues de Miranda & Weijman,1
Rhodotorula bacarum (Buhagiar) Rodrigues de Miranda & Weijman,2
Rhodotorula bogoriensis (Deinema) von Arx & Weijman,1
Rhodotorula buffonii (C. Ramírez) Roeijmans et al.,1
Rhodotorula colostri (Castelli) Lodder,3
Rhodotorula crocea Shifrine & Phaff,2
"Rhodotorula dairenensis (Hasegawa & Banno) Fell, Sampaio & Gadanho",5
Rhodotorula diffluens (Ruinen) von Arx & Weijman,1
Rhodotorula ferulica J.P. Sampaio & Van Uden,1
Rhodotorula foliorum (Ruinen) Rodrigues de Miranda & Weijman,2
Rhodotorula fujisanensis (Soneda) Johnson & Phaff,1
Rhodotorula glacialis Margesin & Sampaio,1
Rhodotorula glutinis (Fresenius) F.C. Harrison,3
Rhodotorula glutinis (Fresenius) F.C. Harrison aggr.,3
Rhodotorula graminis di Menna,2
Rhodotorula hordea Rodrigues de Miranda & Weijman,1
Rhodotorula hylophila (van der Walt et al.) Rodrigues de Miranda & Weijman,2
Rhodotorula ingeniosa (di Menna) von Arx & Weijman,6
Rhodotorula javanica (Ruinen) von Arx & Weijman,2
Rhodotorula lactosa Hasegawa,2
Rhodotorula laryngis Reiersöl,2
Rhodotorula lignophila (Dill et al.) Roeijmans,1
Rhodotorula marina Phaff et al.,1
Rhodotorula minuta (Saito) F.C. Harrison var. minuta,19
Rhodotorula mucilaginosa (A. Jörgensen) F.C. Harrison var. mucilaginosa,33
Rhodotorula mucilaginosa (Jörgensen) F.C. Harrisson,23
Rhodotorula philyla (van der Walt et al.) Rodrigues de Miranda & Weij,1
Rhodotorula pustula (Buhagiar) Rodrigues de Miranda & Weijman,3
Rhodotorula rubescens (Saito) F.C. Harrison,1
Rhodotorula slooffiae E.K. Novák & Vörös-Felkai,2
Rhodotorula sonckii (Hopsu-Havu et al.) Rodrigues de Miranda & Weijman,2
Rhodotorula sp.,18
Rhopalostroma angolense (Welwitsch & Currey) D. Hawksworth,1
Rhopalostroma indicum D. Hawksworth & Muthappa,1
Rhynchosporium orthosporum Caldwell,3
Rhynchosporium secalis (Oudemans) Davis,1
Rigidoporus dextrinoideus Johansen & Ryvarden,2
Rigidoporus microporus (Fries) Overeem,1
Rigidoporus sp.,1
Rigidoporus ulmarius (Sowerby : Fries) Imazeki,1
Rigidoporus vinctus (Berkeley) Ryvarden,2
Robillarda sessilis (Saccardo) Saccardo,1
"Rodentomyces reticulatus F. Doveri, S. Pecchia, S. Sarrocco, G. Vannacci sp. nov.",1
Rosellinia aquila (Fries: Fries) de Notaris,1
"Rosellinia britannica L.E. Petrini, Petrini & S.M. Francis",1
Rosellinia corticium (Schweinitz) Saccardo,2
Rosellinia limoniispora Ellis & Everhart,1
Rosellinia thelena (Fries : Fries) Allescher,1
Rosellinia thelena (Fries) Rabenhorst,1
Rostrohypoxylon terebratum J. Fourn. & M. Stadler,1
Rosulomyces arthrosporioides Marchand & Cabral,1
Rutstroemia luteovirescens (Roberge) White,1
"Ruwenzoria pseudoannulata J. Fournier, M. Stadler, Læssøe & Decock",1
Saccharomyces bayanus Saccardo,32
Saccharomyces cariocanus Naumov et al.,1
Saccharomyces cerevisiae (Desmazières) Meyen,348
Saccharomyces cerevisiae Hansen,113
Saccharomyces cerevisiae sensu lato,3
Saccharomyces kudriavzevii Naumov et al.,8
Saccharomyces mikatae Naumov et al.,1
Saccharomyces paradoxus Batschinskaya,3
Saccharomyces pastorianus E.C. Hansen var. pastorianus,32
Saccharomycodes ludwigii (E.C. Hansen) E.C. Hansen,1
Saccharomycodes ludwigii E.C. Hansen var. ludwigii,5
Saccharomycopsis capsularis Schiönning,3
Saccharomycopsis crataegensis Kurtzman & Wickerham,3
Saccharomycopsis fermentans (Lee C.F. et al.) Kurtzman & Robnett,1
Saccharomycopsis fibuligera (Lindner) Klöcker,12
Saccharomycopsis javanensis (Klöcker) Kurtzman & Robnett,2
Saccharomycopsis schoenii (Nadson & Krasil'nikov) Kurtzman & Robnett,1
Saccharomycopsis selenospora (Nadson & Krassil'nikov) Kurtzman & Robnett,1
Saccharomycopsis synnaedendra Scott & van der Walt,1
Sagenoma ryukyuense Ueda & Udagawa,1
Sagenomella bohemica Fassatiová & Pecková,2
Sagenomella diversispora (van Beyma) W. Gams,5
Sagenomella humicola (Onions & Barron) W. Gams,3
Saitoa japonica Rajendran & Muthappa,3
Sakaguchia dacryoidea (Fell et al.) Yamada et al.,5
Saksenaea sp.,1
"Saprochaete clavata (de Hoog, M.T. Smith & E. Guého) de Hoog & M.T. Smith",3
Sarcodontia setosa (Persoon) Donk,3
Sarcopodium circinosetiferum (Matsushima) Matsushima,1
Sarcopodium macalpinae (Agnihothrudu & Barua) Sutton,2
Sarocladium bacillisporum (Onions & Barron) Summerbell,2
"Sarocladium implicatum (J.C. Gilman & E.V. Abbott) Giraldo, Gené & Guarro",1
Sarocladium kiliense (Grütz) Summerbell,29
Sarocladium oryzae (Sawada) W. Gams & D. Hawksworth,16
Sarocladium strictum (W. Gams) Summerbell,27
"Sarocladium terricola (J.H. Mill., Giddens & A.A. Foster) Giraldo, Gené & Guarro",1
Sarocladium zeae (W. Gams & D.R. Sumner) Summerbell,1
Satchmopsis brasilensis B. Sutton & Hodges,3
Saturnispora ahearnii Kurtzman,1
Saturnispora besseyi (Kurtzman & Wickerham) Kurtzman,1
Saturnispora dispora (Beijerinck ex Stelling-Dekker) Z.W. Liu & Kurtzman,3
Saturnispora mendoncae Kurtzman,6
Saturnispora saito (K. Kodoma et al.) Z.W. Liu & Kurtzman,2
Saturnispora sp.,2
Saturnispora zaruensis (Nakase & Komagata) Z.W. Liu & Kurtzman,2
Scedosporium apiospermum (Saccardo) Saccardo,86
"Scedosporium aurantiacum Gilgado, Cano, Gené & Guarro",11
"Scedosporium dehoogii Gilgado, Cano, Gené & Guarro sp. nov.",1
Scedosporium prolificans (Hennebert & Desai) Guého & de Hoog,2
Scedosporium prolificans (Hennebert & Desai) Guéhoet de Hoog,24
Scedosporium sp.,1
Scheleobrachea sacchari (Speggazini) Hughes,1
Schizoblastosporion starkeyi-henricii Ciferri,2
Schizonella cocconii (Morini) Liro,1
Schizonella melanogramma (de Candolle) Schroeter,3
Schizophyllum commune Fries,5
Schizophyllum commune Fries : Fries,16
Schizophyllum umbrinum Lloyd,1
Schizopora flavipora (Cooke) Ryvarden,1
Schizosaccharomyces japonicus Yukawa & Maki var. japonicus,3
Schizosaccharomyces octosporus Beijerinck,1
Schizosaccharomyces octosporus Beijerinck var. octosporus,2
Schizosaccharomyces pombe Lindner,3
Schizosaccharomyces pombe Lindner var. pombe,9
Schwanniomyces etchellsii (Kreger-van Rij) M. Suzuki & Kurtzman,2
Schwanniomyces pseudopolymorphus (C. Ramírez & Boidin) M. Suzuki & Kurtzman,1
Schwanniomyces vanrijiae var. vanrijiae,1
Schwanniomyces yamadae (Van der Walt & Johannsen) M. Suzuki & Kurtzman,1
Scleroderma verrucosum (Bulliard) Persoon,1
Sclerotinia allii K. Sawada,2
Sclerotinia antarctica I.J. Gamundi & H.A. Spinedi,1
Sclerotinia minor Jagger,1
Sclerotinia miyabeana J. Hanzawa,1
Sclerotinia sclerotiorum (Libert) de Bary,8
Sclerotinia spermophila Noble,5
Sclerotinia sulcata (Desmazières) Whetzel,1
Sclerotinia trifoliorum Eriksson,1
Sclerotium cepivorum Berkeley,1
Sclerotium hydrophilum Saccardo,3
Sclerotium perniciosum van Slogteren & Simon Thomas,1
Sclerotium tulipae Libert,18
Sclerotium tuliparum Klebahn,2
Sclerotium wakkeri Boerema & Posthumus,1
Scolecobasidiella tropicalis Castañeda & G. Arnold,3
Scolecobasidium anelli Graniti,1
Scolecobasidium capsiforme sp. nov.,1
Scolecobasidium constrictum Abbott,3
Scolecobasidium dendroides Pirozynski & Hodges,3
Scolecobasidium excentricum Castañeda et al.,2
Scolecobasidium fusarioideum Matsushima,1
Scolecobasidium gyrocarpi M.B. Ellis,1
Scolecobasidium humicola Barron & Busch,2
Scolecobasidium salinum (Sutherland) M.B. Ellis,3
Scolecobasidium terreum Abbott,7
Scolecobasidium tshawytschae (Doty & Slater) McGinnis & Ajello,2
Scopularia corsicana van Beyma,1
Scopularia venusta Preuss (nom. illeg.),1
Scopulariopsis acremonium (Delacroix) Vuillemin,7
Scopulariopsis alboflavescens Zach,1
Scopulariopsis asperula (Saccardo) Hughes,4
Scopulariopsis atra Zach,1
Scopulariopsis brevicaulis (Saccardo) Bainier,54
Scopulariopsis brumptii Salvanet-Duval,12
Scopulariopsis canadensis Morton & G. Smith,1
Scopulariopsis candida (Guéguen) Vuillemin,10
Scopulariopsis candida gr.,1
Scopulariopsis carbonaria Morton & G. Smith,3
Scopulariopsis carbonaria Morton & Smith,1
Scopulariopsis chartarum (G. Smith) Morton & G. Smith,2
Scopulariopsis croci van Beyma,1
Scopulariopsis flava (Sopp) Morton & G. Smith,7
Scopulariopsis fusca Zach,11
Scopulariopsis humicola Barron,3
Scopulariopsis koningii (Oudemans) Vuillemin,6
Scopulariopsis murina Samson & von Klopotek,1
Scopulariopsis parva (A.H.S. Brown & G.Smith) Samson,1
Scopulariopsis sp.,1
Scopulariopsis sphaerospora Zach,4
Scopuloides hydnoides (Cooke & Massee) Hjortstam & Ryvarden,1
Scopuloides leprosa (Bourdot & Galzin) Boidin et al.,3
Scytalidium album Beyer & Klingström,6
Scytalidium aurantiacum Klingström & Beyer,3
Scytalidium circinatum Sigler & Wang,1
Scytalidium dimidiatum (Penzig) B. Sutton & Dyko,1
Scytalidium flavobrunneum (Miller et al.) Sigler & Carmichael,2
Scytalidium hyalinum C.K. Campbell & J.L. Mulder,1
Scytalidium lignicola Pesante,13
Scytalidium terminale G.V. Rao & de Hoog,1
Scytalidium uredinicola Carmichael et al.,1
Scytinostroma africanogalactinum Boidin et al.,8
Scytinostroma alutum Lanquetin,10
Scytinostroma caudisporum Boidin et al.,2
Scytinostroma crispulum Boidin et al.,3
Scytinostroma decidens Boidin et al.,5
Scytinostroma duriusculum (Berkeley & Broome) Donk,10
Scytinostroma eurasiaticogalactinum Boidin & Lanquetin,22
Scytinostroma hemidichophyticum Pouzar,6
Scytinostroma intextum Boidin et al. var. intextum,4
Scytinostroma intextum var. magnisporum Boidin et al.,1
Scytinostroma jacksonii Boidin,1
Scytinostroma mediterraneense Boidin & Lanquetin,4
Scytinostroma microspermum Boidin & Lanquetin,3
Scytinostroma neogalactinum Boidin & Lanquetin,4
Scytinostroma ochroleucum (Bresadola & Torrend) Donk,2
Scytinostroma ochroleucum var. luteum Boidin et al.,1
Scytinostroma phaeosarcum Boidin & Lanquetin,3
Scytinostroma pseudopraestans Boidin & Gilles,5
Scytinostroma renisporum Boidin et al.,5
Seaverinia geranii (Seaver & Horne) Whetzel,4
Semilla,3
Sepedonium ampullosporum Damon,1
Sepedonium chlorinum (Tulasne) Damon,2
Septocylindrium acutum Davis,1
Septofusidium berolinense (Olah & Ackermann) Samson,3
Septofusidium berolinense (Ola´h & Akermann) Samson,1
Septofusidium herbarum (A.H.S. Brown & G. Smith) Samson,1
Septogloeum gillii D.E. Ellis,1
Septomyrothecium maraitiense Decock,1
Septomyrothecium setiramosum (Castañeda) Decock,8
Septomyrothecium uniseptatum Matsushima apud Kobayasi et al.,1
Septonema chaetospira var. pini Bourchier,2
Septonema secedens Corda,3
Septoria apiicola Spegazzini,1
Septoria tritici Roberge in Desmazières,53
Septotinia podophyllina Whetzel,2
Septotinia populiperda Waterman & Cash,4
Serpula himantioides (Fries : Fries) Karsten,47
Serpula incrassata (Berkeley & Curtis) Donk,2
Serpula lacrymans (Wulfen : Fries) Schroeter,90
Serpula pulverulenta (Fries) Bondartsev,4
Serpula similis (Berkeley & Broome) Ginns,6
Sesquicillium candelabrum (Bonorden) W. Gams,1
Setosphaeria monoceras Alcorn,1
Setosphaeria pedicellata (R. Nelson) Leonard & Suggs,4
Setosphaeria rostrata Leonard,17
Setosphaeria turcica (Luttrell) Leonard & Suggs,1
Shanorella spirotricha Benjamin,1
Simplicillium lamellicola (F.E.V. Sm.) Zare & W. Gams,2
Simplicillium lamellicola (F.E.W. Smith) Zare & W. Gams,2
"Simplicillium obclavatum (W. Gams) Zare & W. Gams, Nova",3
Sirastachys castanedae L. Lombard & Crous,1
Sirobasidium magnum Boedijn,1
Sirococcus strobilinus Preuss,1
Sistotrema brinkmannii (Bresadola) J. Eriksson,8
Sistotrema coroniferum (von Höhnel & Litschaüer) Donk,1
Sistotrema coronilla (von Höhnel & Litschauer) Donk ex Rogers,6
Sistotrema raduloides (Karsten) Donk,2
Sistotrema sp.,1
Sistotremastrum niveocremeum (von Höhnel & Litschauer) J. Eriksson,1
Sistotremella perpusilla Hjortstsam,1
Smithiozyma japonica (van der Walt et al.) van der Walt et al.,3
Soloacrospora microverrucosa Castañeda et al.,1
Sordaria brevicollis Olive & Fantini,13
Sordaria fimicola (Roberge) Cesati & De Notaris,2
Sordaria fimicola (Roberge) Cesati & de Notaris,7
Sordaria inaequalis (Cain) Cain & Groves,1
Sordaria macrospora Auerswald,3
Spegazzinia ornata Saccardo,1
Spegazzinia tessarthra (Berkeley & Curtis) Saccardo,2
Speiropsis scopiformis Kuthubutheen & Nawawi,1
Spermospora avenae (Sprague & A.G. Johnson) Sprague,1
Sphaeridium candidum Fuckel,2
Sphaerographium tenuirostrum Verkley,1
Sphaeronaemella fimicola Marchal,3
Sphaeropsis dalmatica (von Thümen) Gigante,1
Sphaeropsis malorum Berkeley,1
Sphaeropsis sapinae (Fries) Dyko & Sutton,4
Sphaerosporium equinum (Desmazières) J.L. Crane & Schoknecht,7
Sphaerostilbella aureonitens (Tulasne) Seifert et al.,5
Spicellum roseum Nicot & Roquebert,1
Spiromastix grisea Currah & Locquin-Linard,1
Spiromastix tentaculatum Guarro et al.,1
Spiromastix warcupii Kuehn & Orr,3
Spirosphaera beverwijkiana Hennebert,11
Spirosphaera floriformis van Beverwijk,3
Spirosphaera minuta Hennebert,7
Spondylocladiopsis cupulicola M.B. Ellis,11
Sporendonema casei Desmazières : Fries,5
Sporendonema purpurascens (Bonorden) Mason & Hughes,3
Sporidesmium densum (Saccardo & Roumeguère) Mason & Hughes,1
Sporidesmium folliculatum (Corda) Mason & Hughes,1
Sporidesmium goidanichii (Rambelli) Hughes,1
Sporidesmium vagum Nees & Nees,2
Sporidiobolus johnsonii Nyland,5
Sporidiobolus metaroseus J.P. Samp. & E. Valério,16
Sporidiobolus pararoseus Fell & Tallman,4
"Sporidiobolus ruineniae Holzschu, Tredick & Phaff var. ruineniae",1
Sporidiobolus salmonicolor Fell & Tallman,6
Sporidiobolus salmonicolor Fell & Tallmann,2
Sporobolomyces bannaensis F.Y. Bai & J.H. Zhao,1
Sporobolomyces carnicolor Yamasaki & Fujii ex F.Y. Bai & Boekhout,1
Sporobolomyces coprosmae Hamamoto & Nakase,1
Sporobolomyces griseoflavus Nakase & M. Suzuki,3
Sporobolomyces inositophilus Nakase & M. Suzuki,1
Sporobolomyces kluyveri-nielii van der Walt et al.,1
Sporobolomyces oryzicola Nakase & M. Suzuki,1
Sporobolomyces roseus Kluyver & C.B. Niel,14
Sporobolomyces roseus Kluyver & van Niel,1
Sporobolomyces sasicola Nakase & M. Suzuki,1
Sporobolomyces singularis Phaff & do Carmo-Sousa,1
Sporobolomyces sp.,1
Sporobolomyces subbrunneus Nakase & M. Suzuki,1
Sporobolomyces tsugae (Phaff & do Carmo-Sousa) Nakase & M. Itoh,1
Sporocybe hybrida Mason,1
Sporopachydermia cereana Rodrigues de Miranda,1
Sporopachydermia lactativora Rodrigues de Miranda,3
Sporopachydermia quercuum Lachance,1
Sporormiella minima (Auerswald) S. Ahmed & Cain,2
Sporormiella octomera (Auerswald) Ahmed & Cain ex Y. Kobayasi,1
Sporothrix brasiliensis Marimon & al.,1
Sporothrix curviconia de Hoog,2
Sporothrix cyanescens de Hoog & de Vries,1
Sporothrix foliorum J.J. Taylor,1
Sporothrix fungorum de Hoog & de Vries,4
Sporothrix ghanensis de Hoog & Evans,2
Sporothrix globosa Marimon & al.,2
Sporothrix inflata de Hoog,5
Sporothrix insectorum de Hoog & Evans,2
Sporothrix mexicana Marimon & al.,2
Sporothrix pallida (Tubaki) Matsushima,3
Sporothrix ramosissima Arnaud ex de Hoog,1
Sporothrix schenckii Hektoen & Perkins,55
Sporothrix schenckii Hektoen & Perkins var. schenckii,5
"Sporothrix variecibatus Roets, Z.W. de Beer & Crous",1
Sporotrichum aurantiacum (Bulliard : Fries) Fries,4
Sporotrichum pruinosum Gilman & Abbott,5
Stachybotrys albipes (Berkeley & Broome) Jong & Davis,1
Stachybotrys bisbyi (Srinivasan) Barron,1
Stachybotrys chartarum (Ehrenberg ex Fries) Hughes,21
Stachybotrys chartarum (Ehrenberg) S. Hughes,26
Stachybotrys chlorohalonata B. Andersen & Thrane,6
Stachybotrys cylindrospora C.N. Jensen,1
Stachybotrys echinata (Rivolta) G. Smith,3
Stachybotrys limonispora L. Lombard & Crous,1
Stachybotrys sp.,1
Stachylidium bicolor Link : Fries,1
Stagonospora nodorum (Berkeley) E. Castellani & Germano,7
Stagonospora typhoidearum (Desmazières) Saccardo,1
Staheliella nodosa van Emden,1
Staphylotrichum coccosporum J.A. Meyer & Nicot,5
"Starmera amethionina (Starmer, Phaff, M. Miranda & M.W. Miller) Y. Yamada, Higashi, S. Ando & Mikata",1
"Starmera dryadoides (D.B. Scott & Van der Walt) Kurtzman, Robnett & Basehoar-Powers",1
Starmerella bombicola Rosa & Lachance,8
"Starmerella neotropicalis H.M. Daniel, C.A. Rosa, Thiago-Calaça, Evrard & Lachance",20
Starmerella sp.,2
Stecchericium seriatum (Lloyd) Maas Geesteranus,5
Steccherinum bourdotii Saliba & David,3
Steccherinum confragosum Maas Geesteranus & Lanquetin,10
Steccherinum fimbriatum (Persoon : Fries) J. Eriksson,1
Steccherinum meridiochraceum Saliba & David,3
Steccherinum ochraceum (Persoon : Fries) S.F. Gray,3
Steccherinum oreophilum Lindsey & Gilbertson,1
Steccherinum queletii (Bourdot & Galzin) Hallenberg & Hjortstam,3
Steccherinum rhois (Schweinitz) Banker,7
Steccherinum robustius (J. Eriksson & Lundell) J. Eriksson,4
Steccherinum scruposum Maas Geesteranus & Lanquetin,3
Stemphylium alternariae (Cooke) Saccardo,1
Stemphylium globuliferum (Vestergren) E.G. Simmons,1
Stemphylium globuliferum (Vestergren) Simmons,2
Stemphylium lancipes (Ellis & Everhart) E. Simmons,2
Stemphylium loti Graham,1
Stemphylium majusculum E. Simmons,2
Stemphylium sarciniforme (Cavara) Wiltshire,1
Stemphylium verruculosum (Zimmermann) Saccardo,1
Stemphylium vesicarium (Wallroth) E. Simmons,3
Stereum armeniacum Boidin & Gilles,1
Stereum australe Lloyd,1
Stereum complicatum (Fries : Fries) Fries,1
Stereum gausapatum (Fries : Fries) Fries,2
Stereum hirsutum (Willdenow : Fries) Fries,9
Stereum insignitum Quélet,3
Stereum lobatum (Kunze) Fries,1
Stereum ostrea (Blume & Nees) Fries,2
Stereum peculiare Parmasto et al.,1
Stereum rameale (Schweinitz) Burt,1
Stereum reflexulum D. Reid,2
Stereum rugosum (Persoon : Fries) Fries,4
Stereum sanguinolentum (Albertini & Schweinitz : Fries) Fries,1
Stereum striatum (Fries : Fries) Fries,1
Stereum subtomentosum Pouzar,2
Sterigmatomyces elviae Sonck & Yarrow,2
Sterigmatomyces halophilus Fell var. halophilus,2
Sterigmatosporidium polymorphum Kraepelin & Schulze,3
Stilbella aciculosa (Ellis & Everhart) Seifert,2
Stilbella annulata (Berkeley & Curtis) Seifert,7
Strasseria geniculata (Berkeley & Broome) von Höhnel,1
Streptobotrys dicentrae S.K. Hong,1
Streptotinia caulophylli Elliot,1
Streptotinia caulophylli M.E. Elliot,3
Striatibotrys eucylindrospora (D.W. Li) L. Lombard & Crous,3
Striatibotrys rhabdospora L. Lombard & Crous,4
Stromatinia gladioli (Drayton) Whetzel,2
Stropharia aeruginosa (Curtis : Fries) Quélet,4
Stropharia aurantiaca (Cooke) Orton,1
Stropharia coronilla Bulliard,1
Stropharia rugoso-annulata Farlow ex Murrill,5
Strumella griseola von Höhnel,1
Subulispora britannica Sutton,1
Subulispora procurvata Tubaki,1
Sugiyamaella smithiae (Giménez-Jurado) Kurtzman & Robnett,2
Suillus brevipes (Peck) O. Kuntze,1
Suillus collinitus (Fries) Moser,2
Suillus cothurnatus Singer,1
Suillus luteus (Linnaeus : Fries) S.F. Gray,1
Suillus variegatus (Swartz : Fries) O. Kuntze,1
Symbiotaphrina buchneri Gräbner ex W. Gams & von Arx,2
Symbiotaphrina kochii Jurzitza ex W. Gams & von Arx,1
Sympodioclathra globosa Voglmayer,1
"Syncephalastrum monosporum R.Y. Zheng, G.Q. Chen & F.M. Hu, Mycosystema",2
Syncephalastrum racemosum Cohn ex Schroeter,20
"Synchaetomella lunatospora Decock, Delgado & Seifert",1
Syzigites megalocarpus Ehrenberg : Fries,1
Taeniolella alta (Ehrenberg : Fries) Hughes,1
Taeniolella exilis (Karsten) Hughes,2
"Talaromyces albobiverticillius (H.M. Hsieh, Y.M. Ju & S.Y. Hsieh) Samson, Yilmaz, Frisvad & Seifert",1
"Talaromyces amestolkiae Yilmaz N., Houbraken J.,Frisvad J.C. & Samson R.A.",1
"Talaromyces amestolkiae Yilmaz, Houbraken, Frisvad & Samson",1
"Talaromyces apiculatus Samson, Yilmaz & Frisvad",1
Talaromyces assiutensis Samson & Abdel-Fattah,1
"Talaromyces atroroseus Yilmaz, Frisvad, Houbraken & Samson",2
Talaromyces bacillisporus C.R. Benjamin,1
"Talaromyces columbinus S.W. Peterson and Z. Jurjevic,",1
Talaromyces convolutus Udagawa,1
"Talaromyces diversus (Raper & Fennell) Samson, Yilmaz & Frisvad",1
Talaromyces emodensis Udagawa,1
Talaromyces flavus (Klöcker) Stolk & Samson,1
Talaromyces flavus (Klöcker) Stolk & Samson var. flavus,16
Talaromyces galapagensis Samson & Mahoney,1
Talaromyces helicus (Raper & Fennell) C.R. Benjamin var. helicus,2
Talaromyces helicus C.R. Benjamin,2
Talaromyces indigoticus Takada & Udagawa,1
"Talaromyces islandicus (Sopp) Samson, Yilmaz, Frisvad & Seifert",1
Talaromyces leycettanus H.C. Evans & Stolk,1
"Talaromyces loliensis (Pitt) Samson, Yilmaz & Frisvad",1
Talaromyces mimosium Hocking,1
"Talaromyces minioluteus (Dierckx) Samson, Yilmaz, Frisvad & Seifert",1
"Talaromyces phialosporus (Udagawa) Samson, Yilmaz & Frisvad",1
"Talaromyces piceus (Raper & Fennell) Samson, Yilmaz, Frisvad & Seifert",7
"Talaromyces pinophilus (Hedgcock) Samson, Yilmaz, Frisvad & Seifert",3
Talaromyces purpureus (E. Müller & Pacha-Aue) Stolk & Samson,1
"Talaromyces purpurogenus (Stoll) Samson, Yilmaz, Frisvad & Seifert",8
"Talaromyces radicus (A.D. Hocking & Whitelaw) Samson, N. Yilmaz, Frisvad & Seifert",1
Talaromyces rotundus C.R. Benjamin,1
"Talaromyces ruber (Stoll) Yilmaz, Houbraken, Frisvad and Samson",1
Talaromyces rugulosus (Thom) Samson & al.,4
Talaromyces rugulosus (Thom) Samson et al.,1
Talaromyces sp.,3
Talaromyces stipitatus (Thom) C.R. Benjamin,4
Talaromyces stipitatus Stolk & Samson,1
"Talaromyces stollii Yilmaz, Houbraken, Frisvad and Samson",2
Talaromyces tardifaciens Udagawa,1
Talaromyces thermophilus Stolk,1
Talaromyces trachyspermus (Shear) Stolk & Samson,13
Talaromyces ucrainicus (Panasenko) Udagawa,1
Talaromyces udagawae Stolk & Samson,1
"Talaromyces verruculosus (Peyronel) Samson, Yilmaz, Frisvad & Seifert",3
Talaromyces wortmannii (Klöcker) C.R. Benjamin,8
Tapesia acuformis (Boerema et al.) Crous,5
Tapesia yallundae Wallwork & Spooner,2
Taphrina americana Mix,1
Taphrina betulina Rostrup,1
Taphrina californica Mix,1
Taphrina carnea Johanson,2
Taphrina cerasi (Fuckel) Sadebeck,1
Taphrina communis (Sadebeck) Giesenhagen,2
Taphrina dearnessii Jenkins,1
Taphrina deformans (Berkeley) Tulasne,3
Taphrina maculans Butler,1
Taphrina mirabilis (Atkinson) Giesenhagen,1
Taphrina nana Johanson,1
Taphrina padi (Jaczewski) Mix,1
Taphrina populina Fries,2
Taphrina tormentillae Rostrup,1
Teichospora nigrobrunnea (Schweinitz) Starback,1
Teichospora obducens Fuckel,1
Teichospora solitaria (Ellis) Ellis & Everhart,1
Termitomyces giganteus Heim,1
Termitomyces robustus (Beeli) Heim,1
Tetrachaetum elegans Ingold,3
Tetracladium marchalianum De Wildeman,4
Tetracladium setigerum (Grove) Ingold,1
Tetracytum lauri Vanderwalle,1
Tetrapisispora blattae (Henninger & Windisch) Kurtzman,1
Tetrapisispora phaffii (Van der Walt) Ueda-Nishimura & Mikata,1
Tetraploa aristata Berkeley & Broome,1
Thamnidium elegans Link : Fries,3
Thamnidium elegans Link ex Fries,1
Thamnomyces camerunensis Hennings,1
Thamnomyces chordalis Fries,1
Thamnostylum lucknowense (J.N. Rai et al.) von Arx & Upadhyay,1
Thamnostylum piriforme (Bainier) von Arx & Upadhyay,2
Thanatephorus cucumeris (Frank) Donk,64
"The brown forewings strongly striped with silvery white give this moth its common name. The hindwings are bright pink at base, becoming paler towards the margin.",2
"The forewings of this large, strong flying hawkmoth are patterned with various shades of grey and grayish white. Females are larger than males.",5
"The forewings of this large, strong-flying hawkmoth are patterned with various shades of grey and grayish white. Females are larger than males.",7
"The forewings of this moth are olive-brown, banded with dusty pink while the hindwings are deep pink. The underside is predominately bright pink.",9
"The garden tiger moth has a wingspan of 45 to 65 millimeters (1.8 to 2.6 in). The design of the wings vary; the front wings are brown with a white pattern (which is sometimes missing), the back wings are orange with a pattern of black dots. There are many aberrations (pattern and colour variants), partly obtained artificially and partly by chance.",3
"The great peacock moth is Europe's largest native moth, and as such is easy to recognize. ait has red, black and brown ringed eyespots on all wings. The wings arre brown withlight and dark bands, and the leading edge of the forewing is extensively suffused with silvery white. The sexes are similar. Other common names for the adult moth are the giant emperor and the Viennese emperor.",2
"The great sphinx is the largest moth of this family. The forewings are yellowish grey, mottled and streaked with black and brown. There is a broad outer border of black, The sexes are similar in appearance, but females are much larger than the males. These moths are on the wing at all times of the year.",1
"The streaked sphinx belongs to a genus of central and South American speices characterized by their long, narrow forewings. It can be distinguished from similar speices by a dark brown line along the outer margin of the forewings.",2
Thelebolus microsporus (Berkeley & Broome) Kimbrough,3
Thermoascus aurantiacus Miehe,2
Thermoascus crustaceus (Apinis & Chesters) Stolk,2
Thermoascus thermophilus (Sopp) von Arx,1
Thermomucor indicae-seudaticae Subrahmanyam et al.,1
Thermomyces lanuginosus Tsiklinsky,14
Thermomyces stellatus (Bunce) Apinis,2
Thermomyces verrucosus Pugh et al.,2
Thermophymatospora fibuligera Udagawa et al.,1
Thielavia basicola Zopf,2
Thielavia fimeti (Fuckel) Malloch & Cain,1
Thielavia heterothallica von Klopotek,9
Thielavia hyalocarpa von Arx,1
Thielavia terricola (Gilman & Abbott) Emmons,1
Thielaviella humicola von Arx & Tariq Mahmood,2
Thielaviopsis basicola (Berkeley & Broome) Ferraris,8
Thielaviopsis paradoxa (de Seynes) von Höhnel,1
