establishmentMeans,reps
"F1364, P only",1
"F1365, P only",1
"F1366, 0C+P",1
"F1367, P only",1
"F1369, P only",1
"F137, ØC+P",1
"F1370, P only",1
"F1371, C+P",1
"F1377, 0C+P",1
"F1378, ØC+P",1
"F1379, ØC+P",1
"F138, C+P",1
"F1380, ØC+P",1
"F1381, P only",1
"F1382, C+P",1
"F1383, C+P",1
"F1384, 0C+P",1
"F1385, C+P",1
"F1386, P only",1
"F1387, P only",1
"F1388, 0C+P",1
"F1389, 0C+P",1
"F139, P only",1
"F1390, ØC+P",1
"F1391, P only",1
"F1392, ØC+P",1
"F1393, P only",1
"F1394, P only",1
"F1395, 0C+P",1
"F1396, 0C+P",1
"F1397, P only",1
"F1398, P only",1
"F1399, 0C+P",1
"F14, ØC+P",1
"F140, C+P",1
"F1400, P only",1
"F1401, 0C+P",1
"F1402, 0C+P",1
"F1404, 0C+P",1
"F1406, ØC+P",1
"F1407, 0C+P",1
"F1408, 0C+P",1
"F1409, 0C+P",1
"F141, C+P",1
"F1410, ØC+P",1
"F1411, ØC+P",1
"F1412, ØC+P",1
"F1413, 0C+P",1
"F1414, ØC+P",1
"F1415, 0C+P",1
"F1416, 0C+P",1
"F1417, ØC+P",1
"F1418, 0C+P",1
"F1419, 0C+P",1
"F142, C+P",1
"F1420, 0C+P",1
"F1421, ØC+P",1
"F1423, C+P",1
"F1424, 0C+P",1
"F1425, C+P",1
"F1426, C+P",1
"F1427, P only",1
"F1428, C+P",1
"F1429, C+P",1
"F143, C+P",1
"F1431, P only",1
"F1432, P only",1
"F1433, 0C+P",1
"F1434,",1
"F1435,",1
"F1436,",1
"F1437,",1
"F1438,",1
"F1439,",1
"F144, P only",1
"F1440, P only",1
"F1441,",1
"F1442, P only",1
"F1443, P only",1
"F1445, C+P",1
"F1446, C+P",1
"F1447, P only",1
"F1448, P only",1
"F1449, P only",1
"F145, ØC+P",1
"F1450, P only",1
"F1451, 0C+P",1
"F1452, P only",1
"F1453, P only",1
"F1454, C+P",1
"F1455, P only",1
"F1456, 0C+P",1
"F1457, 0C+P",1
"F1458, ØC+P",1
"F1459, ØC+P",1
"F146, P only",1
"F1460, 0C+P",1
"F1461, ØC+P",1
"F1462, P only",1
"F1463, C+P",1
"F1464, P only",1
"F1465, C+P",1
"F1466, P only",1
"F1467, P only",1
"F1468, P only",1
"F1469, C+P",1
"F147, C+P",1
"F1470, C+P",1
"F1471, 0C+P",1
"F1472, 0C+P",1
"F1473, ØC+P",2
"F1474, 0C+P",1
"F1475, ØC+P",1
"F1477, ØC+P",1
"F1478, ØC+P",1
"F1479, P only",1
"F148, ØC+P",1
"F1480, C+P",1
"F1481, C+P",1
"F1482, C+P",1
"F1483, C+P",1
"F1484, ØC+P",1
"F1485, ØC+P",1
"F1486, C+P",1
"F1487, P only",1
"F1488, P only",1
"F1489, ØC+P",1
"F149, ØC+P",1
"F1490, ØC+P",1
"F1491, ØC+P",1
"F1492, ØC+P",1
"F1493, 0C+P",1
"F1494, 0C+P",1
"F1495, 0C+P",1
"F1496, P only",1
"F1497, P only",1
"F1498, 0C+P",1
"F1499, C+P",1
"F15,",1
"F150, P only",1
"F1500, 0C+P",1
"F1501, ØC+P",1
"F1502, ØC+P",1
"F1503, P only",1
"F1504, ØC+P",1
"F1505, P only",1
"F1506, P only",1
"F1507, 0C+P",1
"F1508, 0C+P",1
"F1509, 0C+P",1
"F151, ØC+P",1
"F1510, C+P",1
"F1511, C+P",1
"F1512, P only",1
"F1513, 0C+P",1
"F1514, 0C+P",1
"F1515, 0C+P",1
"F1516, 0C+P",1
"F1517, ØC+P",1
"F1518, ØC+P",1
"F1519, C+P",1
"F152, ØC+P",1
"F1520, P only",1
"F1521, C+P",2
"F1522, P only",1
"F1523,",1
"F1524,",1
"F1525,",1
"F1526,",1
"F1527, C+P",1
"F1528, P only",1
"F1529, C+P",1
"F153, ØC+P",1
"F1530, 0C+P",1
"F1531, 0C+P",1
"F1532, P only",1
"F1533, 0C+P",1
"F1534, 0C+P",1
"F1535, 0C+P",1
"F1536, 0C+P",1
"F1537, P only",1
"F1538, 0C+P",1
"F1539, P only",1
"F154, ØC+P",1
"F1540, ØC+P",1
"F1541, ØC+P",1
"F1542, ØC+P",1
"F1543, ØC+P",1
"F1544, ØC+P",1
"F1545, ØC+P",1
"F1546, ØC+P",1
"F1547, ØC+P",1
"F1548, ØC+P",1
"F1549, ØC+P",1
"F155, P only",1
"F1550, 0C+P",1
"F1551, ØC+P",1
"F1552, 0C+P",1
"F1553, 0C+P",1
"F1554, 0C+P",1
"F1555, ØC+P",1
"F1556, ØC+P",1
"F1557, ØC+P",1
"F1558, P only",1
"F1559, ØC+P",1
"F156, C+P",1
"F1560, ØC+P",1
"F1561, ØC+P",1
"F1562, P only",1
"F1563, ØC+P",1
"F1566, P only",1
"F1567, ØC+P",1
"F1568, 0C+P",1
"F1569, 0R",1
"F157, ØC+P",1
"F1570, 0C+P",1
"F1571, 0C+P",1
"F1572, ØC+P",1
"F1573, ØC+P",1
"F1574, ØC+P",1
"F1575, C+P",1
"F1576, ØC+P",1
"F1577, ØC+P",1
"F1578, ØC+P",1
"F1579, ØC+P",1
"F158, P only",1
"F1580, P only",1
"F1581, ØC+P",1
"F1582, ØC+P",1
"F1583,",1
"F1585,",1
"F1586,",1
"F1587,",1
"F1588,",1
"F1589, ØC+P",1
"F159, C+P",1
"F1590, ØC+P",1
"F1591, P only",1
"F1592, ØC+P",1
"F1594, ØC+P",1
"F1595, P only",1
"F1596, ØC+P",1
"F1597, ØC+P",1
"F1598, ØC+P",1
"F1599, 0C+P",1
"F16, ØC+P",1
"F160, ØC+P",1
"F1600, 0C+P",1
"F1601, P only",1
"F1602, F1603,",1
"F1604,",1
"F1605,",1
"F1606, C+P",1
"F1607,",1
"F1608,",1
"F1609, ØC+P",1
"F161, ØC+P",1
"F1610, C+P",1
"F1611, ØC+P",1
"F1612, P only",1
"F1614, C+P",1
"F1615, P only",1
"F1616, ØC+P",1
"F1617, C+P",1
"F1618, C+P",1
"F1619, P only",1
"F162, ØC+P",1
"F1620, C+P",1
"F1621, P only",1
"F1622, ØC+P",1
"F1623, ØC+P",1
"F1624, P only",1
"F1625, C+P",1
"F1626, P only",1
"F1627, P only",1
"F1628, C+P",1
"F1629, ØC+P",1
"F163, ØC+P",1
"F1630, P only",1
"F1631, ØC+P",1
"F1632, 0C+P",1
"F1633, C+P",1
"F1634, ØC+P",1
"F1635, P only",1
"F1636, P only",1
"F1637, 0C+P",1
"F1638, 0C+P",1
"F1639, ØC+P",1
"F164, C+P",1
"F1640, P only",1
"F1641, P only",1
"F1642, P only",1
"F1644, P only",1
"F1645, P only",1
"F1646, P only",1
"F1647, P only",1
"F1648, 0C+P",1
"F1649, P only",1
"F1650, C+P",1
"F1651, P only",1
"F1652, C+P",1
"F1653, P only",1
"F1654, P only",1
"F1655,",1
"F1656, P only",1
"F1657, P only",1
"F1658, P only",1
"F1659, P only",1
"F166, ØC+P",1
"F1660, P only",1
"F1661, 0C+P",1
"F1662, C+P",1
"F1663, P only",1
"F1664, C+P",1
"F1665, P only",1
"F1666, P only",1
"F1667, P only",1
"F1668, P only",1
"F1669 , P only",1
"F167, ØC+P",1
"F1670, 0C+P",1
