behavior,reps
"1 of 7 in brood, collected with female",1
"1 of 7 seen, of which 1 taken by Peregrine Falcon",2
1 of 7 young in nest,2
1 of 8 collected from a flock of twenty plus,8
1 of 8 from nest of nine eggs,8
1 of 8 in brood,1
1 of 8 young,2
1 of 96 nests,1
1 of a bair,1
1 of a brood of 10 with parent,1
1 of a brood of 3,4
1 of a brood of 3 in nest,3
1 of a brood of 4,6
1 of a brood of 5,15
1 of a brood of 7,7
"1 of a brood of 7, taken at nest",1
"1 of a brood with female parent, trying to fly, hid in hole at base of old stump",1
1 of a family group,2
"1 of a family of 4, 2 adults and 2 young",2
1 of a family of five,3
1 of a family seen,1
1 of a flock feeding on Cedar berries,1
1 of a flock of 10 in Eucalyptus trees,1
1 of a flock of 8 or 9,1
1 of a group of 2 females and 3 males,1
1 of a group of 4-5,1
1 of a group of five,3
1 of a group of young which attacked boys at night,1
1 of a large flock,1
1 of a mated pair,3
1 of a pair,21
1 of a pair at nest with young,1
1 of a pair breeding,2
"1 of a pair with 5 eggs, incubation just begun",1
1 of a pair with nest and three eggs,1
"1 of a pair, seen previously",1
1 of agitated pair,1
1 of brood being fed by parent female,1
1 of ca 30 at Gull Lake,1
1 of ca 3500 young,1
1 of ca 500 yg,1
"1 of family group, female parent and 3 young",1
1 of many,1
1 of nesting pair,1
1 of nine in brood,1
1 of pair,3
"1 of pair and 2 young, male flew away",1
1 of pair copulating,1
1 of pair seen,1
1 of pair with 3 eggs,1
1 of pair with eggs slightly incubated,1
1 of two young in nest,2
1 of young with adult female,1
1 pair mating,5
"1 pair pecking on dead tree, female, male",1
1 plus a male,1
"1 song type, call",1
"1 variety of phrases, male, song",1
1 visual - 1 auditivo,1
"1 young not fledged, other young nearby",1
"1-2 sec ""Kaa"" call, flight call",1
"1-6 sec: fi-ju-ju, song",1
1-noted song/call,1
"1-syllable, Sweeo-caller, call, song",1
1.5 m in Picea mariana,1
10,580
10 en la zona+bando de 17 migración--->SO.,1
"10 m de altura, Dosel",1
"10 variety of phrases, male, song",1
100 W,1
100 yds from ice edge,6
100%,3
100' from singing male V. chalybeata,1
"11 variety of phrases, male, song",1
11m Alt,3
12,1
12 en vuelo+1 posada.,1
"12 male paradisaea, 0 male obtusa seen",1
"12 variety of phrases, male, song",1
125 W,32
12m Alt,1
12m Alt Fuera de tiempo,1
13 ex. posados en el dormidero de Cristina Enea.,1
"13 variety of phrases, male, song",1
"14 pescan en grupo en la laguna grande,otros posados fuera y varios bandos en migración.",1
15,1
15' from edge of road.,1
15m Alt,2
161,1
177 birds flying down to roost in 5 palms,1
177 birds just before take-ooff from roost,1
18m Alt Fuera de tiempo,1
1a(new)type calls - social contact used only over short distances: NICOLA (1959),2
1m Alt,1
"1st summer, call",3
"1st summer, flight call",1
"1st- immature, flight call",1
2,327
"2 Individuos construyen nido entre lianas que cuelgan desde arbol, el nido es contruido con ramas, pajas, hojas secas y selaginella",1
2 Macho;1 hembra,1
2 Vocalizando - 2 al vuelo,1
2 al vuelo,1
"2 and 11 sec., song",1
"2 bandos de 9 y 20 ejemplares, el resto zorzales solitarios o en grupos de 2 o 3.",1
"2 birds calling simultaneously, one start giving new trilling "" whreeeuuu"" vocal",1
"2 birds present, call",1
"2 birds present, song",1
