taxonomicStatus,reps
"De acuerdo a Villaseñor [(com. pers.), 2012], especie sin distribución en México, según Trópicos, de",5
"De acuerdo a Wilson & Reeder (2005) con distribución en México y Centroamérica, según Ramírez-Pulido",3
"De acuerdo a Wilson & Reeder (2005) esta especie tiene distribución en Suramérica, de acuerdo a Ramí",11
"De acuerdo con el ICZN, 2006 se trató al género Cryptotis como masculino y se corrigió el epíteto es",1397
Dichondra micrantha Urb.,2
Dicranopteris linearis (Burm.f.) Underw.,1
Doubtful,26
Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,2
Dudoso,225
Echinochloa?esculenta,1
"Ejemplares de México determinados con el nombre de Nasua nasua, corresponden a esta especie.",16
El calificador de la determinación de los ejemplares que pertenecen a este taxón debe de ser aff.,15
"El estatus taxonómico de esta especie es dudoso, ver Foltz et al. 2013 Mycologia: 105(2): 447",111
"El taxón se distribuye solo en U.S.A. y Canadá (Furlow, 1987a, b; Yoo & Wen, 2002); según Villaseñor",111
En Desuso,11861
"En México esta especie frecuentemente se ha confundido con D. filix-mas, la cual sólo se distribuye",2
"En parte tiene como sinónimos a  Asterionella Ha., Spinigera He. & K., Synedra Eh., Thalassiotrix C",2
Erigeron acris L.,1
Especie,459
Especie tipo,2
"Especie tipo que se conserva (Silva & Hasle, 1993).",1
"Esta especie tiene su distribución en Suramérica (Argentina, Bolivia, Brazil, Colombia, Guyana, Para",2
"Esta especie tiene un sinonimo, hacer relacion y verificar validez",2
"Esta especies sólo se distribuye en México en el estado de Coahuila (Mickel & Smith, 2004), de acuer",17
Esta familia como la delineó Simonsen (1979) se caracteriza por la presencia de procesos.,3
"Este género es legítimo de acuerdo a las reglas de nomenclatura botánica (Sournia, 1986).",3
Fósil,2
Geranium sibiricum L.,1
G�nero,2
"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1
"Hemitrichia agaves G. Moreno, Lizárraga &Illana is definitely the same species as T. perichaenoides",30
Herminium lanceum (Thunb. ex Sw.) Vuijk,2
Hylotelephium spectabile (Boreau) H. Ohba,2
Hypocoeloides,1
"Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005) no la consideran para México, probablement",2
Ilegitimo,6
Impatiens noli-tangere L.,2
Ined.,2
Invalid,23
Inválido,201
Irresoluto,45
L.,6
"La única variedad de esta especie registrada en bosque mesófilo, es feei [Tejero (com. per.), 2012].",25
"Las especies del género 'Leptinotarsa' son válidas de acuerdo a: Ordóñez-Reséndiz, M. M. 2014. Catál",39
Lemna perpusilla Torr.,2
"Linnaeus, 1758",3
"Linnaeus, 1766",1
NA,27008
NO APLICA,3481
NO DISPONIBLE,19679
NO MATCH,20
NO PROPORCIONADO,1158
No aceptado,1
"No corresponde a sinónimo Nitzschia delicatula Skvortzow (vide Hasle & Mendiola, 1967, p. 115).",4
No es sinonimia Thalasiosira decipiens (Grunow) Jørgensen en Hasle 1979.,2
No in WORMS,9
No opinion,7689
No resuelto,75
Nom. Ilegit. ver Boletus pavonius Hook.,4
Nom. cons.,1
Nombre Conservado,31
Nombre legítimo,2
Nombre mal aplicado,25
Nombre válido,1527
Nomen dubium,2
Nomen inval.,112
Nomenclatura basada en Cline 2006,9
Onychium japonicum (Thunb.) Kunze,1
Para discusión sobre este taxón su relación con S. squamosus y distribución en México ver Patiño-Con,7
Pegler et al (1997)  'British chanterelles and toot fungi' usa incorrectamente la variante ortográfi,1
Physalis alkekengi var. franchetii (Mast.) Makino,1
"Pontoppidan, 1763",1
Potamogeton octandrus Poir.,1
Potentilla freyniana,2
Pternopetalum tanakae (Franch. & Sav.) Hand.-Mazz.,2
Ranunculus kadzusensis Makino,4
Ranunculus trichophyllus Chaix,2
Recommended name,10098
"Remplaza a: L. salmoneusR. Heim & Leclair, 1950 Non L. salmoneus Peck 1898",1
Representación alternativa,4
Rotala indica (Willd.) Koehne,1
SYNONYM,11077
Saposhnikovia divaricata (Turcz.) Schischk.,1
"Según Hágsater et al. (2005), ejemplares determinados como D. muricata, corresponden a esta especie.",6
"Según Hágsater et al. (2005), especie no nativa de México, aunque su nombre ha sido utilizado para a",4
"Según Hágsater et al. (2005), los ejemplares determinados como Oncidium cavendishianum en México, co",1
"Según Hágsater et al. (2005), no existe evidencia de que esta especie se distribuya en México; espec",4
"Según Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005), esta especie no existe en México, p",20
"Según Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005), la identidad de esta especie no est",1
"Según Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005), no existe evidencia de que esta esp",20
"Según ILDIS (2009) es un nombre correcto, sin embargo MOBOT (2009) considera esta especie como sinón",3
"Según Mickel & Smith (2004) y Tejero [(com. pers.), 2012], los ejemplares determinados para México c",1
"Según Mickel & Smith (2004), ejemplares para México identificados como Elaphoglossum tambilense con",1
"Según Mickel & Smith (2004), es probablemente un híbrido entre W. martinezii x W. spinulosa.",3
"Según Mickel & Smith (2004), es una especie con distribución en América Central y del Sur, Antillas",9
"Según Mickel & Smith (2004), es una especie con distribución en Indias Occidentales. Probablemente l",6
"Según Mickel & Smith (2004), es una especie restringida a Ecuador y Perú. Los ejemplares determinado",1
"Según Mickel & Smith (2004), es una especie restringida a las Antillas, Costa Rica, Panamá y los And",3
"Según Mickel & Smith (2004), es una nombre tempranamente asignado de P. areolatum.",17
"Según Mickel & Smith (2004), esta especie no ha sido registrada en México; de acuerdo a Tejero [(com",2
"Según Mickel & Smith (2004), la distribución de esta especie es de Costa Rica a Ecuador; Mickel & Be",2
"Según Ramírez-Pulido & González-Ruíz [(com. pers.), 2011], sin distribución en México; Wilson & Reed",2
"Según Ramírez-Pulido & González-Ruíz [com. pers.], 2012, ejemplares mexicanos determinados como Leop",12
"Según Ramírez-Pulido [(com. pers.), 2011], sin distribución en México; Wilson & Reeder (2005) coment",6
"Según Sousa, Ricker & Hernández (2003), es un híbrido entre I. latibracteata x I. vera.",4
"Según Sousa, Ricker & Hernández (2003), esta especie es de Suramérica, no presente en México. Al par",1
Según Stevens (2009) la distribución de esta especie es de Centroamérica a Suramérica; de acuerdo a,14
"Según Tejero [(com. pers.), 2012] y Mickel & Smith (2004), ejemplares asignados a A. filix-femina co",1
"Según Tejero [(com. pers.), 2012] y Mickel & Smith (2004), ejemplares asignados a esta especie en Mé",8
"Según Tejero [(com. pers.), 2012] y Mickel & Smith (2004), esta especie tiene distribución sólo en M",28
"Según Villaseñor [(com. pers.), 2011], material Identificado en México como C. caroliana corresponde",32
Selaginella tamariscina (P.Beauv.) Spring,1
Sin opinión,1
Sinonimia homotípica,504
Sinonimo,1412
Sinonimo  de L. cellobiosus,5
Sinonimo de  Leuconostoc mesenteroides,1
Sinónimo,8352
Sinónimo homotípico,1064
Sinónimos,53
"Su estatus es incierto, de acuerdo a Kelly & Almeda (2009), hasta realizar una revisión del material",4
Synoniem,3
Synonym,366
"Syst. Eleuth., vol. I. 493:1801",2
TBD,1
"Tejero [(com. pers.), 2012] y Mickel & Smith (2004), comentan que es una especie de del Caribe y Ant",3
Temporal,317255
Thelypteris interrupta (Willd.) K. Iwats.,1
"Trans. Amer. Ent. Soc., 16, 185:1889",11
Trin.,1
Typographical error for cordifolium.,3
Unknown,1
Unresolved,20
"Valencia (2004), considera a esta especie de dudosa validez, probablemente los ejemplares determinad",1
"Valencia (2004), considera que los ejemplares determinados como Q. floccosa en México, corresponden",92
"Valencia (2004), la considera una especie de dudosa validez; el mismo autor en 2010 (com. per.) indi",2
"Valencia [(com. per.), 2007], y Valencia, Nixon & Lawrence (2011) indican que es una especie restrin",16
"Valencia [(com. per.), 2010], indica que para México, ejemplares determinados como Q. ovandensis cor",9
Valido,728
ValidoDeSinonimo,354
Var. Orth. violacea,2
Válido,81530
Véase nota de L. Uncinata,1
acc,18106
accepated,1
accept,119
accepted,15525728
accepted name,1398090
accpeted,2
aceito,25299
aceptado,4717
aff. gracilis,1
ajustada,11
alternate representation,51708
"as 'jinicuil'; technically not an isonym, with respect to earlier I. jinicuil Schldl. & Cham ex G. D",18
as 'matudai',1
as 'matudai'.,4
as Picramnia 'matudai'.,3
cf.,37
comb. nov,2
comb. nov.,13
comb. superfl.,2
combinação nova,9
"como 'phaeurus' de Goldman, 1911.",1
corrig.,2
corrig. sp. nov.,1
crust,13
deleted,232
deprecated,33
doubtful,4001
duvidoso,120
el nombre científico es el correcto,2905
em descrição,19
"emend. Vandecandelaere et al., 2008",5
"emended Orensanz, 1990",1
endémico,12
ex. gr. Asperrima,66
ex. gr. Vicksburgensis,85
heterotypic synonym,2208
"heterotypic synonym, wrong species spelling",27
hom. illeg.,1
hom. illeg.; as Polystichum 'mülleri'.,1
"homonym, heterotypic synonym",24
homotypic synonym,2866
"homotypic synonym, wrong genus spelling",1036
"homotypic synonym, wrong species spelling",1
homotypic_synonym,1
"híbrido 11648 (A. amaniensis Trel. & Now. 1933 x A. angustifolia ) x A. amaniensis Lock, 1962",2
"in Pritchard, 1861",4
"in Rabenhorst, 1879",1
"in van Heurck, 1881",3
ined.,42
invalid,12429
invalid name,2400
junior synonym,7
later homonym,1260
manuscript name,5
misapplied,7
n. comb.,1
no aceptado,168
no resuelto,63
nom. ambig.,1
nom. cons.,91
"nom. cons., sensu C. Agardh",33
"nom. cons., sensu Lamouroux",32
"nom. cons., sensu Linnaeus",62
"nom. cons., sensu Lyngbye",3
nom. ileg.,2
nom. illeg.,7
nom. illeg. hom.,1
nom. illeg. superfl.,19
"nom. illeg. superfl., nom. nud.",36
nom. inval.,7
"nom. inval., J. Donnell Smith proposed this name as alternative to 'hybrid' name M. heterospicata J.",1
"nom. inval., with out Latin description.",1
nom. nov.,7
nom. nud.,17
nom. superfl.,4
"nom. utique rejic. under ICBN Art. 56, see ICBN Appendix V.",1
nomen dubium,2609
nomen illeg.,1
nomen nudum,520
non N.J. Jacquin (1770-1771).,1
not found in lit.,610
order,3
orth. rej,5
orth. var.,62
orth. var. of berteroi.,1
"ortho. var. of Bejaria, nom. cons.",15
orthog. variant,2562
possible heterotypic synonym,55
preferred selling name,3
pro-parte synonym,4
pro. sp.,8
proParteSynonym,9
producta gp.,13
quarantined,62
s.s.,26
sensu lato,5
sensu synonym,8
sin. en uso,9
"sin. no en uso, después hom.",23
"sin. no en uso, var. ort.",7
sinónimo,48252
sp. nov,6
sp. nov.,63
species,18
subsp. nov.,1
subspecies,1
syn,3
synonym,200389
synonym of  Juncus prismatocarpus subsp. leschenaultii (Gay ex Laharpe) Kirschner,3
synonym of Athyrium brevifrons,1
synonym of Setaria italica,3
también como Alepidosaurus,3
también como Astropogon,3
también como Aulostoma,1
también como Canthogaster,9
también como Centropristes,12
también como Cypsilurus,16
también como Hemirhamphus,45
también como Holocentrum,14
también como Hyporamphus,13
también como Myriopristis,3
también como Nannobranchium,2
también como Oncocephalus,1
también como Ophidium,5
también como Opisthognathus,4
también como Trachynotus,6
taxon inquirendum,7
tentative,9528
typographical error for cordifolium,1
unaccepted,40524
"unavailable, other",2
uncertain,361
unchecked name,94587
unresolved,114
valid,681755
var orht. P. martinica,2
var orth. A. cajanea,7
var. orth.,4
válido,277952
wrong genus spelling,28
wrong species spelling,466
x,712
