verbatimCoordinateSystem,reps
"Bekily: 24°14'0"" S  45°18'0"" E",38
"Bekodia: 17°7'0"" S  46°2'0"" E",1
"Bekopaka: 19°9'0"" S  44°48'0"" E",17
Belgian Lambert 1972,2295
Belgian Lambert 72,324166
Belgium Lambert 72,547341
"Beloha: 25°10'0"" S  45°30'0"" E",8
"Beloha: 25°51'0"" S  45°03'0"" E",3
"Beloha: 25°8'0"" S  45°4'0"" E",10
"Bemanasy: 17°19'0"" S  48°51'0"" E",2
"Bemokotra: 15°55'0"" S  45°56'0"" E",1
"Berazategui, Estación de Cría de Animales Salvajes",2
"Berenty: 25°0'0"" S  46°17'0"" E",3
"Beroanga: 23°55'0"" S  44°48'0"" E",8
"Besatrana:  23°7'0"" S  44°24'0"" E",2
"Betioky: 23°44'0"" S  44°23'0"" E",75
"Betongolo: 18°53'0"" S  47°32'0"" E",1
"Bevazaha: 16°14'0"" S  47°9'0"" E",17
"Brickaville: 18°49'0"" S  49°4'0"" E",22
"Cap d'Ambre: 11°57'0"" S  49°15'0"" E",1
"Chaine Anosyennes: 24°25'0"" S  47°00'0"" E",2
Chos Malal,1
Chubut,1
"Col d'Itremo: 20°37'0"" S  46°35'0"" E",3
Coordenadas cartesianas,6278
DD,85525
DDM,8
DM,5256
DMS,56893
DMS and UTM,1
Decimal,1442
Decimal Degrees,12158
Decimal degrees,203473
Decimales,6106
"Degree, minutes",1
Degrees Minutes Seconds,964755
Degrees decimal mDegrees minutes secondsinutes,1
Degrees decimal minDegrees minutes secondsutes,2
Degrees decimal minuDecimal degreestes,1
Degrees decimal minutes,3108
Degrees minutes,5
Degrees minutes seconds,1791
"Degrees, minutes, seconds",1
"Didy: 18°7'0"" S  48°32'0"" E",87
Dutch Grid,497081
Dutch Grid (Amersfoort Rijksdriehoekstelsel),7745
Dutch RD coordinate system,19505
DutchGrid,149455
EPSG:4258,2896
ETRS89,1
ETRS89 / ETRS-LAEA epsg:3035,7044
EUREF-FIN,10
"Efoesty: 24°4'0"" S  43°42'0"" E",1
"Ejeda: 24°21'0"" S  44°31'0"" E",1
"End point of 15 Km Est de Tananarive sur Route vers Tamatave Ambohimangakely: 17°39′00″S, 48°37′00″E",15
"End point of 55 Km de Toliara route vers Anananarivo Beando: 23°10′00″S, 44°4′00″E",9
Escobar,1
"Estancia Collón Curá, Cerrito Piñón",7
"Fahitrosy: 16°23'0"" S  49°24'0"" E",1
"Fampanambo: 15°22'0"" S  49°38'0"" E",152
"Fanandrana:  18°16'0"" S  49°16'0"" E",4
"Fanandrana: 18°16'0"" S  49°16'0"" E",1
"Fandalova:  18°28'0"" S  45°48'0"" E",6
"Fanovana: 18°55'0"" S  48°34'0"" E",26
"Farafara: 24°50'0"" S  47°1'0"" E",1
"Faux Cap: 25°34'0"" S  45°31'0"" E",25
"Fiherenana: 23°18'0"" S  43°37'0"" E",8
Finnish YKJ,157002
"Fort Carnot: 21°53′00″S, 47°59′00″E",2
"Fort Dauphin:  25°2'0"" S  46°57'0"" E",58
"Forêt  Ambohitantely: 18°′10″S, 47°17′00E",18
"Forêt  Ambohitantely: 18°′10″S, 47°29′00E",40
"Forêt  Zombitsy: 22°46'60"" S  44°42'0"" E",1
GEODETIC_DATUM_ASSUMED_WGS87,1490
GPS UTM,1
Geographic coordinates,2466
Geográficas,176
Gerlach Quad,1
Grados,2
Grados Decimales,38
Grados Minutos,6
Grados Minutos Decimales,6
Grados Minutos Segundos,112033
Grados decimal,284
Grados decimales,62634
Grados minutos,952
Grados minutos decimales,829
Grados minutos segundos,36678
Grados minutos y segundos,3
Grados y minutos,31261
