reproductiveCondition,reps
"1 emb, 0L, 1R, 13x12 mm",2
"1 emb, 0L, 1R, 14 mm",2
"1 emb, 0L, 1R, 15 mm",2
"1 emb, 0L, 1R, 16 mm",1
"1 emb, 0L, 1R, 17 mm",3
"1 emb, 0L, 1R, 18 mm",1
"1 emb, 0L, 1R, 20 mm",1
"1 emb, 0L, 1R, 29 mm",1
"1 emb, 0L, 1R, 3 mm",4
"1 emb, 0L, 1R, 35 mm",1
"1 emb, 0L, 1R, 4 mm",1
"1 emb, 0L, 1R, 4mm",2
"1 emb, 0L, 1R, 5 mm",1
"1 emb, 0L, 1R, 6 mm",1
"1 emb, 0L, 1R, 6mm",2
"1 emb, 0L, 1R, 7 mm",2
"1 emb, 0L, 1R, 7mm",1
"1 emb, 0L, 1R, 86 mm",1
"1 emb, 0L, 1R, 9 mm",3
"1 emb, 0L, 1R, 9x7 mm",1
"1 emb, 10 mm",2
"1 emb, 10x10 mm",2
"1 emb, 10x2 mm",1
"1 emb, 10x3 mm",1
"1 emb, 10x7 mm",1
"1 emb, 10x7/d",1
"1 emb, 10x8 mm",7
"1 emb, 10x9 mm",3
"1 emb, 11 mm",2
"1 emb, 11x10 mm",3
"1 emb, 11x7",1
"1 emb, 11x8 mm",1
"1 emb, 11x9 mm",1
"1 emb, 12 mm",3
"1 emb, 12x10 mm",3
"1 emb, 12x16 mm",1
"1 emb, 12x3 mm",1
"1 emb, 12x9 mm",2
"1 emb, 13x10 mm",3
"1 emb, 13x11 mm",1
"1 emb, 13x12 mm",4
"1 emb, 13x18 mm",1
"1 emb, 14 mm",2
"1 emb, 14x11 mm",1
"1 emb, 14x12 mm",2
"1 emb, 14x? mm",1
"1 emb, 15 mm",2
"1 emb, 15x10 mm",2
"1 emb, 15x11 mm",1
"1 emb, 15x12 mm",3
"1 emb, 15x13 mm",2
"1 emb, 15x17 mm",1
"1 emb, 15x5 mm",1
"1 emb, 16 mm",3
"1 emb, 16x13 mm",2
"1 emb, 16x14 mm",1
"1 emb, 17 mm",2
"1 emb, 17x12 mm",2
"1 emb, 17x13 mm",1
"1 emb, 18 mm",1
"1 emb, 18x10 mm",2
"1 emb, 18x12 mm",2
"1 emb, 18x13 mm",1
"1 emb, 18x15 mm",1
