reproductiveCondition,reps
"oviduct enlarged, ov: 12x10, lrgst ova: 3x3 mm",1
"oviduct enlarged, ov: 12x6, lrgst ova: 2x2 mm",2
"oviduct enlarged, ov: 12x7, lrgst ova: 2x2 mm",2
"oviduct enlarged, ov: 12x8, lrgst ova: 1x1 mm",2
"oviduct enlarged, ov: 12x8, lrgst ova: 2x2 mm",1
"oviduct enlarged, ov: 14x8, lrgst ova: 2x2 mm",1
"oviduct enlarged, ov: 15x10, lrgst ova: 2x2 mm",4
"oviduct enlarged, ov: 15x10, lrgst ova: 3x3 mm",1
"oviduct enlarged, ov: 15x10, lrgst ova: 4x4 mm",2
"oviduct enlarged, ov: 15x10, lrgst ova: 5x5 mm",1
"oviduct enlarged, ov: 16x8, ova: 8x9, 7x4 mm",1
"oviduct enlarged, ov: 18.5x11, lrgst ova: 7x5 mm, from drawing",1
"oviduct enlarged, ov: 20x12 mm, large granules",1
"oviduct enlarged, ov: 20x15, lrgst ova: 5x5 mm",1
"oviduct enlarged, ov: 20x16 mm",1
"oviduct enlarged, ov: 25x10, lrgst ova: 6x6 mm",1
"oviduct enlarged, ov: 26x20 mm, ova 37, 25, 12",1
"oviduct enlarged, ov: 3x2 mm",2
"oviduct enlarged, ov: 3x2, lrgst ova 1x1 mm",1
"oviduct enlarged, ov: 3x3 mm",1
"oviduct enlarged, ov: 4x3 mm",4
"oviduct enlarged, ov: 5x4 mm",2
"oviduct enlarged, ov: 6x5 mm",2
"oviduct enlarged, ov: 6x5 mm, granular, brood patch present",1
"oviduct enlarged, ov: 7x5, lrgst ova: 2.5x2.5 mm",1
"oviduct enlarged, ov: 8x5 mm",1
"oviduct enlarged, ov: 8x5, lrgst ova: 2 mm",1
"oviduct enlarged, ov: 8x6, lrgst ova: 2x2 mm",2
"oviduct enlarged, ov: 8x6, lrgst ova: 2x2 mm, from drawing",1
"oviduct enlarged, ov: 8x6, lrgst ova: 3x3 mm",1
"oviduct enlarged, ov: 8x7 mm",1
"oviduct enlarged, ov: 8x7, lrgst ova: 2x2 mm",1
"oviduct enlarged, ov: 9x5, lrgst ova: 1x1 mm",1
"oviduct enlarged, ov: granular",1
"oviduct enlarged, ov: granular, recently ruptured follicles, brood patch active",1
"oviduct enlarged, ova: 30x28, 25x23, 25x20, 17, 12 mm",1
"oviduct enlarged, ova: 6, 5 mm, brood patch defeathered",1
"oviduct enlarged, ovary granular, brood patch active",1
"oviduct enlarged, ovary granular, brood patch defeathered",2
"oviduct enlarged, ovum: 13x13 mm, 1 ruptured follicle",1
"oviduct enlarged, ovum: 5x5 mm",1
"oviduct enlarged, ovum: ready to ovulate",1
"oviduct enlarged, recently ruptured follicles, brood patch active",1
"oviduct enlarged, shelled egg in oviduct, 3 follicles: 12 mm",1
"oviduct enlarged, well developed brood patch, ov: 12 mm",1
"oviduct enlarged, with one ovum, recently ruptured follicles, brood patch active",1
"oviduct enlarging, 1 ova 6 mm, brood patch active",1
"oviduct enlarging, ov: 10, lrgst ova 3 mm",1
"oviduct enlarging, ov: 15x8 mm, lrgst ova: 4x4 mm",1
"oviduct enlarging, ov: 7x8, lrgst ova 1.5 mm",1
"oviduct enlarging, ov: 8, lrgst ova: 4, 3 mm",1
"oviduct enlarging, ov: 8x10, lrgst ova 2.5 mm",1
"oviduct enlarging, ov: 8x8, lrgst ova 2x2 mm",1
"oviduct enlarging, ova: to 3 mm, brood patch defeathered",1
"oviduct enlarging, ovary granular, brood patch active",1
oviduct found,1
"oviduct greatly distended, had laid egg this or pr",1
"oviduct greatly enlarged, ova: 7x4 mm",1
"oviduct highly developed, prob already laid egg, brood patch 3, somewhat vascularized, lrgst follicle 7.2 mm",1
"oviduct huge, ov: 25 mm",1
oviduct hypetrophied. ovum 10x15 mm in shell gland,1
oviduct large egg,1
"oviduct much enlarged, probably breeding",1
oviduct narrow and straight,1
oviduct not enlarged,10
"oviduct not enlarged, ov: 13x7 mm",1
"oviduct not enlarged, ov: 5, lrgst ova 1 mm",1
oviduct occluded,1
"oviduct open, ovary undeveloped",1
oviduct present,1
"oviduct regressed, old ruptured follicles, active brood patch",1
"oviduct regressing, 3 ruptured follicles, old ruptured follicles, brood patch active",1
"oviduct regressing, 4 old ruptured follicles, brood patch vascular",1
"oviduct regressing, brood patch active, old ruptured follicles",1
"oviduct regressing, brood patch active, old ruptured follicles?",1
"oviduct regressing, brood patch active, ov: granular",1
"oviduct regressing, collapsed follicles",1
"oviduct regressing, old ruptured follicles",2
"oviduct regressing, old ruptured follicles, active brood patch",1
"oviduct regressing, old ruptured follicles, brood patch active",7
"oviduct regressing, old ruptured follicles, brood patch defeathering",1
"oviduct regressing, old ruptured follicles, brood patch defeathering and 1 follicle: 8 mm",1
"oviduct regressing, one old ruptured follicle, ov: 15x7, lrgst ova: 3x3 mm",1
"oviduct regressing, ova tiny and granular, brood patch thick but not watery",1
"oviduct regressing, oviduct shrinking",1
oviduct shelless egg,1
oviduct slightly developed,1
oviduct slightly enlarged,1
"oviduct slightly enlarged, lrgst ova: 1.5 mm",1
"oviduct slightly enlarged, ov: 6x10, lrgst ova: 3 mm",1
"oviduct slightly enlarged, ovary granular, brood patch active",1
"oviduct slightly enlarged: 3 mm, ovary granular",1
oviduct slightly or not enlarged,1
oviduct small,1
"oviduct small and granular, brood patch active",1
"oviduct small, 5.2 mm, brood patch regressing",1
"oviduct small, 6x3, 1x1 mm, brood patch regressing",1
"oviduct small, active brood patch, ovary granular",1
oviduct swollen,1
"oviduct swollen, lrgst ovum: 4 mm",1
"oviduct undeveloped, brood patch down covered",3
"oviduct undeveloped, no brood patch",2
"oviduct very distended, had laid at least 1 egg ve",1
oviduct very large,1
oviduct well developed but occluded,1
"oviduct well developed, brood patch large, well developed",1
"oviduct well developed, brood patch moderate well developed",1
"oviduct well developed, brood patch moderate, well developed",1
"oviduct well developed, brood patch partially developed",1
"oviduct well developed, brood patch regrowing with feathers",1
"oviduct well developed, brood patch small, down covered",1
"oviduct well developed, brood patch small, down regrowing",1
"oviduct well developed, brood patch small, downy",1
"oviduct well developed, brood patch small, well developed",1
"oviduct well developed, brood patch well developed",1
"oviduct well developed, brood patch well developed moderate sized",1
"oviduct well developed, brood patch well developed with some feathers",1
"oviduct well developed, brood patch well developed, some feathers",1
oviductal eggs fused,1
oviducts clear,1
ovigenous,3
ovigerous,403
ovip. Carya myristicaeformis,2
ovip. on Carya cordiformis,2
ovip. on Carya ovata,6
ovipos = female sericea B04,1
ovipos. on trunk Carya ovata,3
oviposited,5
oviposited 29 May,1
ovipositing at night on Carya ovata trunk,4
ovipositing on Crataegus,1
ovipositing on Juglans sinerea,1
"ovipositing on high bush, blueberry",1
ovipositing on trunk Carya ovata,1
ovipositiry on walnut eggs laid,1
"ovocytes : 1,5 mm.",1
ovry,1
ovulate cone,1
ovulate strobili,11
ovules 6x6 & 3x3,1
ovules < 1 mm,1
"ovules to 13x13 mm., 1 broken",1
ovules to 15 x 10 & 10 x 10,1
ovules to 9x9 mm,1
ovum - 5mm,1
ovum 16mm,1
ovum 17mm,1
ovum 2 mm,4
ovum 3 mm,2
ovum 5 mm,2
ovum 6 mm,1
ovum < 1mm,1
ovum <1mm,3
ovum = 1 mm,2
ovum = 1.3mm,1
ovum = 2 mm,3
ovum = 2.0mm,1
ovum = 3 mm,1
ovum = 6 mm,1
ovum = 6.0mm with yolk,1
ovum = 8 mm,1
"ovum found wild, emerged 5 Oct. 1955",1
ovum in oviduct,1
ovum in oviduct 2nd over 12 mm long,1
ovum ready to ovulate,1
ovum small,1
"ovum, 2mm by 2mm",1
ovum: 1 mm,1
"ovum: 1-2 mm, shelless egg in oviduct",1
"ovum: 10 mm, 2 enlarged ova, 2 ruptured follicles",1
"ovum: 10 mm, shelless egg in oviduct",1
"ovum: 10x10, 7x7 mm, 1 ruptured follicle, oviduct enlarged",1
"ovum: 10x10, 7x7, 3x3, ov: 10x6 mm, shelled egg in oviduct",1
ovum: 11 mm,1
ovum: 12 mm,1
"ovum: 12x12, 8x8 mm, oviduct enlarged",1
"ovum: 13 mm, shelled egg in oviduct",1
"ovum: 1x1 mm, see label",1
ovum: 2.5 mm,1
ovum: 20mm,1
ovum: 28 plus 12 mm,1
"ovum: 2x2 mm, brood patch",1
"ovum: 2x2, ov: 6x9 mm",1
"ovum: 2x2, ov: 7x4 mm, one ruptured small follicle, brood patch present",1
"ovum: 2x2, ova: 4x5 mm",1
"ovum: 2x3, 10x10, 12x12 mm, ovary large, 1 ruptured follicle, oviduct large",1
ovum: 3 mm,4
"ovum: 3 mm, old ruptured follicles",1
"ovum: 3x3 mm, enlarged oviduct, one ruptured follicle",1
"ovum: 4 mm, brood patch active, ov: with ruptured follicles",1
"ovum: 4 mm, unshelled egg in oviduct, 4 ruptured follicles, brood patch defeathering",1
ovum: 4x2 mm,1
"ovum: 4x2 mm, ov: 16x4 mm",1
ovum: 5 mm,1
"ovum: 5 mm, no brood patch, oviduct enlarged",1
"ovum: 5 mm, yolked",1
"ovum: 5x5, 4x4, 3x3 mm",1
"ovum: 5x5, shelless egg in oviduct: 17x13 mm, 1 ruptured follicle",1
ovum: 6 mm,1
"ovum: 7, 5, 3 mm, brood patch defeathering, ruptured follicle, unshelled egg in oviduct",1
ovum: 7x7 mm,1
"ovum: 8 mm, measurement from label",1
"ovum: 8x3 mm, ov: 8x7 mm",1
"ovum: enlarged, 3 ruptured follicles",1
"ovum: in oviduct, 2 ruptured follicles, brood patch defeathering, large follicles",1
"ovum: in oviduct, brood patch active, 4 ruptured follicles",1
oyary granular,1
p,3
p 11 X 11,1
p. p. c. fr.,1
p; 1 emb,1
p; 1 emb' cr-3,1
p; 1 emb; cr -,1
p; 1 emb; cr - 12,2
p; 1 emb; cr - 15,1
p; 1 emb; cr - 17,2
p; 1 emb; cr - 18,5
p; 1 emb; cr - 19,4
p; 1 emb; cr - 20,1
p; 1 emb; cr - 21,1
p; 1 emb; cr - 22,1
p; 1 emb; cr - 24,2
p; 1 emb; cr - 8,1
p; 1 emb; cr-10,6
p; 1 emb; cr-11,7
p; 1 emb; cr-11; lact,1
p; 1 emb; cr-12,8
p; 1 emb; cr-13,4
p; 1 emb; cr-14,4
p; 1 emb; cr-15,7
p; 1 emb; cr-16,5
p; 1 emb; cr-17,9
p; 1 emb; cr-18,4
p; 1 emb; cr-19,4
p; 1 emb; cr-2,2
p; 1 emb; cr-20,4
p; 1 emb; cr-21,2
p; 1 emb; cr-22,3
p; 1 emb; cr-23,4
p; 1 emb; cr-24,1
p; 1 emb; cr-25,6
p; 1 emb; cr-26,1
p; 1 emb; cr-27,2
p; 1 emb; cr-28,4
p; 1 emb; cr-3,12
p; 1 emb; cr-30,3
p; 1 emb; cr-31,1
p; 1 emb; cr-33,1
p; 1 emb; cr-4,26
p; 1 emb; cr-4; lact,1
p; 1 emb; cr-5,22
p; 1 emb; cr-57,1
p; 1 emb; cr-6,11
p; 1 emb; cr-6; lact,4
p; 1 emb; cr-7,17
p; 1 emb; cr-8,10
p; 1 emb; cr-9,5
p; 1emb; cr-4,1
p; 2 emb; cr - 15,1
p; 2 emb; cr - 29,1
p; 2 emb; cr-17,1
p; 2 emb; cr-21,2
p; 2 emb; cr-27,1
p; 2 emb; cr-30,1
p; 2 emb; cr-33,1
p; 2 emb; cr-63,1
p; 2emb; cr - 11,1
p; 2emb; cr - 15,1
p; 3 emb; cr - 20,1
p; 3 emb; cr - 27,1
p; 3 emb; cr-10,1
p; 3 emb; cr-22,1
"p; 3 emb; cr-22; 2l, 1r",1
p; 3 emb; cr-25,1
"p; 3 emb; cr-37; 1l, 2r",1
p; 3 emb; cr-54,1
p; 3 emb; cr-7,1
p; 3 emb; cr-7; l,1
p; 3 emb; cr-9,1
p; 3emb; cr - 11,2
p; 3emb; cr - 15,1
p; 3emb; cr - 19,1
p; 4 emb; cr-21,1
p; 4 emb; cr-28,1
p; 4 emb; l; cr-20,1
p; 4emb; cr - 10,1
p; 4emb; cr - 12,2
p; 4emb; cr - 8,1
p; 5 emb; cr-80,1
p; 7 emb; cr-8,1
p; 7 emb; l; cr-6,1
p;1 emb; cr-15,1
pads,4
pair,258
paired gonads,1
paired ovaries,53
"paired ovaries, ov: ca 4x8, 4x9 mm",1
"paired, dark, 10x3mm",1
"paired, minute",1
panicle,1
parasitoid Diptera and Hymenoptera and larval remains,1
parasitoid Hymenoptera,1
parasitoids,1
parent (female),2
parent A81,1
parent CGO 68-X,1
parent brood #1,1
parent brood #2,1
parent capax A84,1
parent female,2
parent of Limenitis brood 51,1
parent of brood sericea A05,1
"parent, ex cocoon",2
"parents of Limenitis brood 58 (Gothic, CO; Chicago, IL)",1
"parents of Limenitis brood 62 (Gothic, CO; Okanogan Co., WA)",1
"parents of Limenitis brood 63 (Gothic, CO; Iola, CO)",1
"parents of Limenitis brood 67 (Gothic, CO; Chicago, IL)",1
parents of Limenitis brood 69,1
parents of various experimental hybrid Limenitis broods,2
"parents reared and stock 95B, 95A",6
"parents reared: stock 95B, 95A",9
parous,121
parous ?,11
"parous, lactating",2
"parous, no embs",6
parous; 2 emb ON EACH SIDE,1
parous; 4 plac scar,1
parous; 5 plac scar,1
parous; MULTIparous,1
parous; lactating,4
parous; no emb,7
parous; no emb; 2 plac scar,1
parous; no emb; lactating,10
parous; plac scar,1
part of it fruiting,1
"partial shelled egg in oviduct, very enlarged oviduct, ov: 13x10, lrgst ova: 8x8 mm, brood patch present",1
"partially shelled egg in oviduct, 2 collapsed follicles, ov: 8x10 mm",1
"partly yoked ova, 3 mm",1
past anthesis,1
past flowering,2
past fruit,2
pedicels present,1
peduncles,1
penis,1
penis enlarged,1
penis in sheath,9
"penis in sheath, testes large",1
penis ready to mate,1
penis rudimentary,3
penis unsheathed,2
penis: 10 mm,1
penis: 14 mm,1
penis: 52 mm,1
penis: 6 mm,1
perf.,11
"perf., no emb.",5
perferate,1
"perferate,lactating",1
"perferate/nipples, 4 embryos",1
perforate,16
"perforate, nipples",1
"perforate, not nursing, no embryos,",1
"perforate, recent parturition, no embryos",1
perforate-lactating,1
"perforate-lactating. 4 embryos-20,20,20,22.",1
perforate.,1
perforate: lactating,1
perforate: lactating.,1
perforate:lactating,1
perichaetium terminal,1
perigonia present,1
pert = 8 cm/cr 16 mm,1
"pert, cr < 1 mm",2
pert.,3
"pert., 2 emb., cr = 18 mm",1
"pert., no emb",1
"pert., no emb.",10
pezon alopecic,1
"pg, 3 embs, 1R, 2L, 11 mm",1
"pg, 3 embs, 2R, 1L, 10 mm",1
"pg, 3 embs=28, 3R, 0L, VO, nipples large",1
"pg, 3 embs=6 mm, 2R, 1L, vagina partially closed",1
"pg, 4 embs, 2R, 2L, 10 mm",1
"pg, 4 embs, 2R, 2L, 12 mm",1
"pg, 4 embs, 2R, 2L, 16 mm",1
"pg, 4 embs, 3R, 1L, 6 mm",1
"pg, 4 embs=12 mm, 3R, 1L, vagina partially closed, nipples large",1
"pg, 4 embs=7 mm, 1R, 3L, VC, nipples large",1
"pg, 5 embs, 2R, 3L, 6 mm",1
"pg, 5 embs, 3R, 2L, 17 mm",1
"pg, 5 embs=16 mm, 1R, 4 L, VO, nipples large",1
"pg, 6 embs, 3R, 3L, 18 mm",1
"pg, 6 embs, 3R, 3L, 9 mm",1
"pg, 6 embs=13 mm, 2R, 4L, VC, nipples large",1
"pg, 6 embs=23 mm, 5R, 1 L",1
"pg, 7 embs, 4R, 3L, 17 mm",1
"pg, R1, CRL=17.3",1
"pg, R1, L1, CRL=30 mm",1
"pg, R3, CRL+48.76, 49.16, 39.41",1
"pg. 1R, 0L,  CRL=17",1
"pg. 1R, 0L,  CRL=19",1
"pg. 1R, 0L, CRL=11",1
"pg. 1R, 1L, CRL=12",1
"pg. 6 emb, 1R, 5L =10, mamm. lg.",1
"pg., R1, CRL=15 mm",1
"pg., R5, L3, CRL=9 mm",1
"pg., embryos R2, L2, CRL = 8 mm",1
pg=3,1
phaon (Fla) (female) X tharos (Fla.) (male),1
phaon (Fla.) (female) X tharos (Fla.) (male) Br. 79-35,1
phaon (female) (Fla.) X tharos (male) (Fla.),1
phaon (female) (Fla.) X tharos (male) (Fla.) Br. 79-17,1
phaon (female) (Fla.) X tharos (male) (Fla.) Br. 79-18,2
phaon (female) (Fla.) X tharos (male) (Fla.) Br. 79-35,1
phaon (female) (Fla.) X tharos (male) (Fla.) Br. 79-6,1
phenology,2
photo,1
photo only,3
photos,3
photos only,1
pistilate,2
pistillate,9
pistillate strobili,2
pistillate; staminate,1
pistillate; vegetative,12
plac scar,25
plac scar 1L,2
plac scar 5 sets,1
plac scar ?,1
plac scar PRESENT,1
plac scar-2; CR-4,1
plac scar-3; lactating,2
plac scar-4,2
plac scar-4; lactating,5
plac scar-5,2
plac scar-5; lactating,1
plac scar-6,2
plac scar-7,3
plac scar-7; lactating,3
plac scar-8,1
plac scar-8; lactating,1
plac scar-9; lactating,1
plac scar; lactating,1
plac scar; mammary tissue present; lactating,1
plac scar; mammary tissue present; not lactating,1
plac scar; mammary tissue present; not lactating; teats visible,1
plac scar; mammary tissue present; not lactating; teats worn,1
plac scars,1
placenta scars 2R+ 2L,1
placental scars,7
"placental scars (2 right, 3 left horn); recent nursing",1
"placental scars (3R, 2L)",1
"placental scars (3left, 2right)",1
placental scars 2R 1L,1
placental scars 3L 3R,1
placental scars R1 L7,1
"placental scars R3 L3, mammae prominent",1
"placental scars R=3, L=3; vagina open, lactating",1
"placental scars, lactating",1
"placental scars, mammae large",1
placental scars; 3 left horn 2 right,1
plant,2
plant young,1
plugged,3
"plugged with blood, R4, L1, CRL=10",1
"plugged, R0, L4, CRL=3 mm",1
"plugged, lactating, no embryos",1
"plugged, mammae large",1
"plugged, no embryos",7
"plugged, no embryos, mammae large",1
"plugged, pg, R0, L4, CRL=5 mm",1
"plugged, pg, R1, L2, CRL=12 mm, mammae large",1
"plugged, pg, R1, L4, CRL=4 mm",1
"plugged, pg, R4, L2, CRL=5 mm",1
"plugged, pg, R5, L1, CRL=4 mm",1
"plugged, pg., R1, L3, CRL=15 mm",1
"plugged, pg., R3, L1, CRL=12 mm",1
"plugged, pg., R3, L5, CRL=10 mm",1
"plugged, pg., R6, L1, CRL=4 mm",1
plumage internuptial,1
plumage nuptial,6
plurilocular,19
plurilocular sporangia,1
pod,7
pod & seed,1
pod legumes,1
pods,32
pollen and see cone,1
pollen and seed cone,28
pollen cone,32
polysporangia,1
polysporangial,1
polysporangial--mostly immature,1
porteur de fruits,68
porteur de fruitsuts,1
porteurdefruit,142
portion of cystocarpic branch,1
possessed egg ready to lay,1
possessed well defined incubating patch on breast,1
possible minute ovary,1
possible ovary 1.5x1.5,1
possible ovary 7 x 3.5 mm,1
possible ovary?,1
possible testes= 2x11mm,1
possibly follicles,1
possibly gravid,1
possibly gravid; possible eggs with viscera,1
possibly pregnant,2
possibly sterile,1
post LAC,1
post breeding,1
post fruiting,5
post lact.,1
"post lact., no emb.",1
post lactating,80
post lactating ?,2
post laying,71
post part left:4 right:1,1
"post reared on Areusia, pupated 19-20 sep, ecl. 8 Oct 1976.",1
post spermatangial,1
post-Frt,7
post-anthesis,248
post-cystocarpic,1
post-fertile,12
post-fertile (zyogotosporangial),1
post-flowering,1
post-frt,1
post-fruiting,9
post-lactating,8
"post-lactating, inactive",1
post-partum,2
post-reproductive,7
post-zygotosporangial,1
postpartum,1
pouch yg,1
"pouch young of ROM 103578, F37041",5
pr-anthesis,1
pre-anthesis,2
pre-anthesis (flower buds),337
pre-bud,1
pre-flowering,7
pre-flowering?,1
pre-fruiting,2
"pre-leaf, pre-flower",1
"pre-scrotal, 5 mm",1
preanthesis,1
"preferate/nipples, 4 embryos",1
preg,1
"preg, cr=15mm",1
preg.,1
preg. (32 + early sacs.),1
preg. 4 embs. CRL 14.1 mm,1
"preg., 5 embs.",2
pregnant,829
pregnant 6 embryos,1
pregnant ?,27
pregnant ?; 5 emb ?,1
pregnant ?; 6 emb ?,1
pregnant ?; lactating; parous,1
pregnant ?; parous,3
pregnant emb.,1
pregnant female,1
pregnant or lactating,1
"pregnant with 4 feti, 3/4 developed",1
"pregnant with 4 fetus, size ~ 2.5 cm",1
"pregnant, 20 cm., 150 g. female fetus",1
"pregnant, 5 embryos; 3R, 2L, 12x9.",1
"pregnant, 5 fetuses",1
"pregnant, 5 young",1
"pregnant, 6 embryos on R, 1 embryo on L",1
"pregnant, embryos in alc",1
"pregnant, full term",1
"pregnant, nipples",1
"pregnant, nipples emerging",1
"pregnant--4 embryos: 20, 21, 21, 19mm",1
pregnant: 4 embryos 20-25 mm,1
pregnant; '2 ehsh present',1
pregnant; 1 blastocust,1
pregnant; 1 emb,163
pregnant; 1 emb 0L 1R; CR-18; resorbed emb 1R; 2 plac scar 1L 1R,1
pregnant; 1 emb 1R,1
pregnant; 1 emb; CR-1,1
pregnant; 1 emb; CR-1.5,1
pregnant; 1 emb; CR-10,36
pregnant; 1 emb; CR-104,1
pregnant; 1 emb; CR-108,1
pregnant; 1 emb; CR-10; aborted overnight,1
pregnant; 1 emb; CR-10; lactating,1
pregnant; 1 emb; CR-11,24
pregnant; 1 emb; CR-11.3,1
pregnant; 1 emb; CR-110,1
pregnant; 1 emb; CR-12,30
pregnant; 1 emb; CR-12;,1
pregnant; 1 emb; CR-13,28
pregnant; 1 emb; CR-13;,1
pregnant; 1 emb; CR-14,31
pregnant; 1 emb; CR-14.0,1
pregnant; 1 emb; CR-140,1
pregnant; 1 emb; CR-14; 1 plac scar,1
pregnant; 1 emb; CR-15,32
pregnant; 1 emb; CR-15; non lactating,1
pregnant; 1 emb; CR-16,25
pregnant; 1 emb; CR-16; lactating,2
pregnant; 1 emb; CR-17,27
pregnant; 1 emb; CR-178,1
pregnant; 1 emb; CR-18,29
pregnant; 1 emb; CR-18.4,1
pregnant; 1 emb; CR-18; emb WT-1.0,1
pregnant; 1 emb; CR-19,20
pregnant; 1 emb; CR-19; aborted,1
pregnant; 1 emb; CR-19; lactating,1
pregnant; 1 emb; CR-1; aborted 19791025,1
pregnant; 1 emb; CR-2,5
pregnant; 1 emb; CR-2.8; emb WT-3.2; mother of ROMM 33614A; not given own CN,1
pregnant; 1 emb; CR-20,42
pregnant; 1 emb; CR-20; lactating,1
pregnant; 1 emb; CR-21,23
pregnant; 1 emb; CR-22,27
pregnant; 1 emb; CR-22; lactating,1
pregnant; 1 emb; CR-23,29
pregnant; 1 emb; CR-24,27
pregnant; 1 emb; CR-25,30
pregnant; 1 emb; CR-25; lactating,1
pregnant; 1 emb; CR-26,22
pregnant; 1 emb; CR-26; lactating,1
pregnant; 1 emb; CR-27,24
pregnant; 1 emb; CR-27; emb WT-37,1
pregnant; 1 emb; CR-28,10
pregnant; 1 emb; CR-28; 1 plac scar,1
pregnant; 1 emb; CR-29,11
"pregnant; 1 emb; CR-29; emb WT-4.3; mother of ROMM 91191, REM2379",1
pregnant; 1 emb; CR-3,5
pregnant; 1 emb; CR-30,32
pregnant; 1 emb; CR-30; mother of ROMM 75039,1
pregnant; 1 emb; CR-31,3
pregnant; 1 emb; CR-32,12
pregnant; 1 emb; CR-33,6
pregnant; 1 emb; CR-33.3; emb WT-5.5,1
pregnant; 1 emb; CR-34,9
pregnant; 1 emb; CR-35,5
pregnant; 1 emb; CR-36,4
pregnant; 1 emb; CR-37,3
pregnant; 1 emb; CR-38,5
pregnant; 1 emb; CR-39,4
pregnant; 1 emb; CR-4,9
pregnant; 1 emb; CR-40,7
pregnant; 1 emb; CR-42,1
pregnant; 1 emb; CR-43,1
pregnant; 1 emb; CR-45,6
pregnant; 1 emb; CR-45; aborted,1
pregnant; 1 emb; CR-48; lactating,1
pregnant; 1 emb; CR-4; lactating,1
pregnant; 1 emb; CR-5,22
pregnant; 1 emb; CR-5.5,1
pregnant; 1 emb; CR-50,3
pregnant; 1 emb; CR-51,1
pregnant; 1 emb; CR-516; emb 516-41-210-44; emb WT-2835,1
pregnant; 1 emb; CR-54,1
pregnant; 1 emb; CR-55,1
pregnant; 1 emb; CR-59,1
pregnant; 1 emb; CR-6,20
pregnant; 1 emb; CR-6; 1 plac scar,1
pregnant; 1 emb; CR-6; lactating,1
pregnant; 1 emb; CR-7,14
pregnant; 1 emb; CR-74; emb W-25; emb WT-4.8,1
pregnant; 1 emb; CR-7; lactating,2
pregnant; 1 emb; CR-8,28
pregnant; 1 emb; CR-8.5,1
pregnant; 1 emb; CR-8; lactating,1
pregnant; 1 emb; CR-9,29
pregnant; 1 emb; CR-9.8,1
pregnant; 1 emb; CR-9; lactating,1
pregnant; 1 emb; ROM 85987; CR-27,1
pregnant; 1 emb; ROM 85989,1
pregnant; 1 emb; WT-0.5,1
pregnant; 1 emb; WT-2.22,1
pregnant; 1 emb; WT-2.38,1
pregnant; 1 emb; WT-4.2,1
pregnant; 1 emb; aborted,17
pregnant; 1 emb; aborted; CR-33; emb WT-2,1
pregnant; 1 emb; aborted; WT-3.2; CR-30,1
pregnant; 1 emb; aborting,1
pregnant; 1 emb; born in bag,1
pregnant; 1 emb; cr-1,1
pregnant; 1 emb; cr-10,22
pregnant; 1 emb; cr-100,2
pregnant; 1 emb; cr-10; lactating,3
pregnant; 1 emb; cr-11,25
pregnant; 1 emb; cr-12,21
pregnant; 1 emb; cr-13,38
pregnant; 1 emb; cr-13; lactating,1
pregnant; 1 emb; cr-14,30
pregnant; 1 emb; cr-14; lactating,2
pregnant; 1 emb; cr-15,49
pregnant; 1 emb; cr-16,31
pregnant; 1 emb; cr-160,1
pregnant; 1 emb; cr-17,35
pregnant; 1 emb; cr-18,31
pregnant; 1 emb; cr-19,21
pregnant; 1 emb; cr-20,42
pregnant; 1 emb; cr-21,33
pregnant; 1 emb; cr-22,45
pregnant; 1 emb; cr-22; lactating,1
pregnant; 1 emb; cr-23,29
pregnant; 1 emb; cr-24,21
pregnant; 1 emb; cr-24; lactating,1
pregnant; 1 emb; cr-25,41
pregnant; 1 emb; cr-26,16
pregnant; 1 emb; cr-27,22
pregnant; 1 emb; cr-28,20
pregnant; 1 emb; cr-28; lactating,1
pregnant; 1 emb; cr-29,11
pregnant; 1 emb; cr-3,14
pregnant; 1 emb; cr-30,23
pregnant; 1 emb; cr-31,10
pregnant; 1 emb; cr-31; lactating,1
pregnant; 1 emb; cr-32,17
pregnant; 1 emb; cr-33,5
pregnant; 1 emb; cr-33; lactating,1
pregnant; 1 emb; cr-34,11
pregnant; 1 emb; cr-35,9
pregnant; 1 emb; cr-36,2
pregnant; 1 emb; cr-37,7
pregnant; 1 emb; cr-38,5
pregnant; 1 emb; cr-39,1
pregnant; 1 emb; cr-4,21
pregnant; 1 emb; cr-40,5
pregnant; 1 emb; cr-40; lactating,1
pregnant; 1 emb; cr-42,4
pregnant; 1 emb; cr-43,2
pregnant; 1 emb; cr-44,1
pregnant; 1 emb; cr-45,4
pregnant; 1 emb; cr-46,1
pregnant; 1 emb; cr-46; lactating,1
pregnant; 1 emb; cr-49,1
pregnant; 1 emb; cr-5,20
pregnant; 1 emb; cr-50,1
pregnant; 1 emb; cr-53,1
pregnant; 1 emb; cr-55,1
pregnant; 1 emb; cr-5; lactating,4
pregnant; 1 emb; cr-6,21
pregnant; 1 emb; cr-60,1
pregnant; 1 emb; cr-65,1
pregnant; 1 emb; cr-6; lactating,1
pregnant; 1 emb; cr-7,21
pregnant; 1 emb; cr-70,2
pregnant; 1 emb; cr-7; lactating,2
pregnant; 1 emb; cr-8,23
pregnant; 1 emb; cr-8; lactating,2
pregnant; 1 emb; cr-9,26
pregnant; 1 emb; emb WT-1,1
pregnant; 1 emb; emb WT-1.4,2
pregnant; 1 emb; emb WT-16,1
pregnant; 1 emb; emb WT-2.4,1
pregnant; 1 emb; emb WT-2.6,1
pregnant; 1 emb; emb WT-4.2,1
pregnant; 1 emb; emb male,2
