disposition,reps
AMP02617,2
AMP02619,2
AMP02622,2
AMP02629,3
AMP02635,2
"ANSM, ASC, CANB, ENCB, MEXU, MSC",1
"ANSM, ASC, CTES, ENCB, MBM, RSA,",1
"ANSM, BRY, CANB, CTES, DAV, ENCB",1
"ANSM, BRY, CANB, CTES, HUEFS, MB",1
"ANSM, BRY, CANB, DAV, OSC, UCR, ",1
"ANSM, BRY, CANB, MEXU, NY, OSC, ",1
"ANSM, BRY, CANB, NY, OSC, UTEP",1
"ANSM, CANB, CS, CTES, HUEFS, MBM",1
"ANSM, CANB, CTES, HUEFS, MBM, ME",1
"ANSM, CAS, CS, DAV, NMC, NY, UTE",1
"ANSM, CTES, MBM, UTEP",2
"ANSM, MBM, UTEP",4
"ANSM, UTEP",2
ANSP,351
ANSP (Acad.Nat.Sci.Phila.),24
ANSP(to be assessioned),1
ARIZ,3
"ARIZ, ASC, BRIT, BRY, DES, F, GH",1
"ARIZ, ASC, BRIT, BRY, DES, NY, U",1
"ARIZ, ASC, BRY, CAS, CS, DES, EN",1
"ARIZ, ASC, BRY, CTES, ENCB, MBM,",1
"ARIZ, ASC, BRY, DES, MSC, NMC, O",1
"ARIZ, ASC, DES, ID, NA, NY, SD, ",1
"ARIZ, ASC, DES, ID, NA, NY, UCR,",2
"ARIZ, ASC, DES, ID, NY, OS, UMO,",1
"ARIZ, ASC, DES, ID, NY, UMO, WVA",1
"ARIZ, ASC, DES, MSC, NA, UMO",1
"ARIZ, ASC, DES, NMC, UTEP",2
"ARIZ, ASC, DES, NY, OS",1
"ARIZ, ASC, DES, UTEP",1
"ARIZ, ASC, ID, OS, UMO, UTEP, WV",1
"ARIZ, ASC, MBM, BRIT, HUEFS, NY,",1
"ARIZ, ASC, NA",1
"ARIZ, ASC, NY, UMO, UTEP",1
"ARIZ, ASC, WVA",1
"ARIZ, ASU",1
"ARIZ, ASU, NAVA, NY",1
"ARIZ, BRIT, CS, DES, NY, UTEP",1
"ARIZ, BRIT, CTES, DES, HUEFS, MB",1
"ARIZ, BRIT, DES, MSC, NO, NY, UT",1
"ARIZ, BRIT, UTEP",1
"ARIZ, BRY, CS, DES, NY",1
"ARIZ, BRY, CS, DES, NY, OSC",1
"ARIZ, BRY, CS, MSC, UTEP",1
"ARIZ, BRY, DES, ENCB, NMC, NY, S",1
"ARIZ, BRY, ENCB, NMC, NY, SD, SI",1
"ARIZ, BRY, ID, OS, UCR, UMO, UTE",1
"ARIZ, BRY, MSC, OBI, UTEP",1
"ARIZ, CANB, NMC, SD, UTEP",1
"ARIZ, CS",1
"ARIZ, CS, DES",1
"ARIZ, CS, DES, UTEP",2
"ARIZ, CS, ENCB, MSC, UTEP",2
"ARIZ, CTES, DES, MBM, NY, UCR, U",1
"ARIZ, CTES, DES, NY, UCR, UTEP",1
"ARIZ, CTES, DES, UTEP",1
"ARIZ, CTES, UTEP",1
"ARIZ, DES",2
"ARIZ, DES, ID, UTEP",1
"ARIZ, DES, ID, UTEP, WVA",2
"ARIZ, DES, NY, UTEP",1
"ARIZ, DES, RSA, SD, UTEP",2
"ARIZ, DES, UTEP",3
"ARIZ, ENCB, NMC, NY, RB, SD, UTE",1
"ARIZ, ID, NA, OS, UMO, UTEP",1
"ARIZ, ID, NY, UMO, UTEP, WVA",3
"ARIZ, ID, OS, UMO, UTEP",2
"ARIZ, ID, UTEP",2
"ARIZ, ID, UTEP, WVA",2
"ARIZ, NA, OS, UTEP",1
"ARIZ, NMC, NY, SD, UTEP",1
"ARIZ, NMC, UTEP",1
"ARIZ, NY",1
"ARIZ, NY, UCR, UMO",1
"ARIZ, NY, UMO",1
"ARIZ, NY, UMO, UTEP",2
"ARIZ, NY, UTEP",1
"ARIZ, UTEP",8
"ARIZ, UTEP, WVA",1
"ARIZ, YC, DBG, ASU, UNM, ASC, IS",1
ASC,31
"ASC, ASU",6
"ASC, ASU, SJC",1
"ASC, BRIT, CS, CTES, DAV, MSC, N",1
"ASC, BRIT, ID, NY, UMO, UTEP, WV",1
"ASC, BRIT, ID, NY, UTEP, WVA",1
