island,reps
Barat Daya Islands,2
Barat Daya-eilanden,1
Baratang,1
Baratang  [Boratang],2
Baratang Island,2
Baravaja,8
Barbade,12
Barbados,3133
Barbados I.,24
Barbados Id.,3
Barbarie,1
Barbuda,675
Barbuda I.,1
Barbuda Island,285
Bardsey Island,186
Bare,5
Bare Is.,5
Bare Island,56
Barebush Island,4
Barentsöya,8
Barentsøya,7
Barisan Gebergte,2
Barkly Island,6
Barkly Island (Barclay Island),1
Barkuda Island,2
Barmore island,1
Barn,2
Barnard Island,1
Baron Island,6
Baros Island,28
Baroy,4
Barr Al Hikman,1
Barr al Hikman,3
Barra,30
Barra Island,1
Barre de l'Isle,1
Barred Island,2
Barren,1
Barren Id.,1
Barren Island,7
Barrie Island,1
Barrier Island,5
Barrika,1
Barrington Id.,39
Barrington Island,12
Barrington Island (Santa Fe),11
Barro Colorado,620
Barro Colorado I.,437
Barro Colorado I. ?,1
Barro Colorado Id.,18
Barro Colorado Island,3096
"Barro Colorado, I.",1
Barrow Island,10
Barrow-Kobuk Election Dis,1
Barsakelmes Id.,11
Barter Island,64
Barthelemy Island,1
Bartholomew Island [Bartolome],31
Bartlett Island,32
Bartolome,1
Bartolome Id.,5
Bartolome Island,36
Bartolomé,57
Bartolomé I.,3
Bartolomé [Bartholomew],13
Baru Island,27
Barú Island,1
Barīm,6
Bar„o de TeffÈ,2
Basa Island,97
Basbas Island,2
Bashee Island,1
Basiao,1
Basilaka Island,8
Basilaki Island,112
Basilan,181
Basilan I.,307
Basilan Id.,531
Basilan Island,438
Baslsas Island,4
Bass Island,1
Bass Rock,4
Basse Terra,1
Basse Terre,1323
Basse Terre Id.,2
Basse Terre [Guadeloupe],517
Basse-Terre,95
Basse-Terre I.,61
Basse-Terre Island,484
Basswood Island,1
Bastimentos,9
Bastimentos [Old Bank],1
Basul,1
Bat Island,4
BatJan,1
Bataan,21
Bataangus,1
Batag Island,125
Batam,17
Batam Island,4
Batan,47
Batan Id.,4
Batan Island,770
Batananan Island,9
Batanes,4
Batanes Group,23
Bataness,1
Batang,4
Batang Island,2
Batangas,2
Batangas Island,1
Batanta,40
Batanta I.,2
Batanta Island,8
"Batanta, Pulau",5
Batayan island,1
Batbatan Island,1
Batchawana,2
Batchian,6
Bath Island,3
Bath Islnad,1
Bathurst,241
Bathurst Island,144
Batjan,271
Batjan Id.,3
Batjan Island,486
"Batjan, near",1
Batoe Eiland [Telo],4
Batoe Island,3
Battery Island,3
Batti Malv,1
Battleship Island,1
Batu Ata,8
Batu Atas,2
"Batu, Kepulauan",2
Batuata,2
Batuata Island,5
Batuona,7
"Batz, Île de",2
Bau,1
Bau Island,3
Bauang Dakula,4
Baudin Island,27
Bauro Island,1
Baverstock Island,19
Bawe,1
Bawe Island,4
Bawean,83
Bawean Eiland,1
Bawean I.,1
Bawean Isl.,2
Bawean Island,18
"Bawean, Pulau",83
Bawi Island,1
Bawio I.,1
Bay Farm,23
Bay Farm Id.,2
Bay Farm Island,204
Bay Island,2
Bay of Genoa,1
Bay of Islands,1
Bay of Panama,1
Bay of Rogoznica,11
Bay-min island,1
"Baykal, Ozero",2
Bayne Id.,28
Bayonnaise Id.,13
Bazaruto,4
Bazaruto Island,4
Beacon Island,22
Bear,19
Bear Island,79
Beardslee Island,1
Beardslee Islands,1
Beata,1
Beata I.,2
Beata Id.,3
Beata Island,125
"Beata, Isla",1
Beauchene Island,1
Beaufort,14
Beaver,2
Beaver Island,250
Beckwith Island,1
Becquia,6
Bedari,2
Bedford Island,2
Beef,21
Beef Island,54
Beereneiland,15
Beerenplaat,3
Bega,2
Beginnis Island | Valentia Island,1
Behring,2
Behring Island,5
Beieren,2
Beijerland,1
Beilan Beilan,15
Beilan Islands (= Bilang Bilang),1
Beilan-Beilan,1
Beilan-Beilan Island,4
Beilan-Beilan eilanden,1
Beilau-Beilau Island,1
Bekujarito Island,1
Bel Id.,5
Belau,11
Belau [Palau],1
Belep Island,2
Belep Islands,14
Belian Island,1
Beliliou,17
Beliliou (=Peleliu),2
Beliliou Island,212
Beliliou [Peleliu],201
Beliliou [Peleuu],1
Beliliu,6
Belitong,79
Belitung,117
Belitung Island,2
Belize,117
Bell Island,42
Belle Island,4
Belle Isle,5
Belle Île,1
Belle Île en Mer,9
Belle-Ile-en-Mer,13
Belle-Île-en-Mer,4
Bellinghausen Island (Motu One),2
Bellona,10
Bellona I.,27
Bellona Id.,24
Bellona Reefs,1
Bellot Island,1
Bellows,1
Belmonte Islet,2
Belual A Kelat Id.,10
