geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
186_WGS_1967,1
186_WGS_1968,1
186_WGS_1969,1
186_WGS_1970,1
186_WGS_1971,1
186_WGS_1972,1
186_WGS_1973,1
186_WGS_1974,1
186_WGS_1975,1
186_WGS_1976,1
186_WGS_1977,1
186_WGS_1978,1
186_WGS_1979,1
186_WGS_1980,1
186_WGS_1981,1
186_WGS_1982,1
186_WGS_1983,2
186_WGS_1984,1961
186_WGS_1985,2
186_WGS_1986,2
186_WGS_1987,1
186_WGS_1988,1
186_WGS_1989,1
186_WGS_1990,1
186_WGS_1991,1
186_WGS_1992,1
186_WGS_1993,1
186_WGS_1994,1
186_WGS_1995,1
186_WGS_1996,1
186_WGS_1997,1
186_WGS_1998,1
186_WGS_1999,1
186_WGS_2000,1
186_WGS_2001,1
186_WGS_2002,1
186_WGS_2003,1
186_WGS_2004,1
186_WGS_2005,1
186_WGS_2006,1
186_WGS_2007,1
186_WGS_2008,1
186_WGS_2009,1
186_WGS_2010,1
186_WGS_2011,1
186_WGS_2012,1
186_WGS_2013,1
186_WGS_2014,1
186_WGS_2015,1
186_WGS_2016,1
186_WGS_2017,1
186_WGS_2018,1
186_WGS_2019,1
186_WGS_2020,1
186_WGS_2021,1
186_WGS_2022,1
186_WGS_2023,1
186_WGS_2024,1
186_WGS_2025,1
186_WGS_2026,1
186_WGS_2027,1
186_WGS_2028,1
186_WGS_2029,1
186_WGS_2030,1
186_WGS_2031,1
186_WGS_2032,1
186_WGS_2033,1
186_WGS_2034,1
186_WGS_2035,1
186_WGS_2036,1
186_WGS_2037,1
186_WGS_2038,1
186_WGS_2039,1
186_WGS_2040,1
186_WGS_2041,1
186_WGS_2042,1
186_WGS_2043,1
186_WGS_2044,1
186_WGS_2045,1
186_WGS_2046,1
186_WGS_2047,1
186_WGS_2048,1
186_WGS_2049,1
186_WGS_2050,1
186_WGS_2051,1
186_WGS_2052,1
186_WGS_2053,1
186_WGS_2054,1
186_WGS_2055,1
186_WGS_2056,1
186_WGS_2057,1
186_WGS_2058,1
186_WGS_2059,1
186_WGS_2060,1
186_WGS_2061,1
186_WGS_2062,1
186_WGS_2063,1
186_WGS_2064,1
186_WGS_2065,1
186_WGS_2066,1
186_WGS_2067,1
186_WGS_2068,1
186_WGS_2069,1
186_WGS_2070,1
186_WGS_2071,1
186_WGS_2072,1
186_WGS_2073,1
186_WGS_2074,1
186_WGS_2075,1
186_WGS_2076,1
186_WGS_2077,1
186_WGS_2078,1
19,1
19.01133,1
19.016667,1
191,1
1927,5200
1935,25
196,1
1962 American Samoa,9
1984,1
2.440811,2
20,1
20.5,5
20.50139,3
200,6
2000,1
2017/02/17,1
20699,2
20N,1
21,2
21.1,1
21.111823,1
21.35,1
210,2
2132,8
22,1
22.211654,1
22.64267,1
22.967778,1
2200,2
227,1
2289,19
23,1
23.01033,1
23.18783,3
2309,1
238,1
242,1
246-A,1
246a,1
248,1
25.4,1
2577,1
26.1666666666667,1
26.3166666666667,1
262,1
263,2
27,92
27.4666666666667,1
270a,1
270ft,1
2735,4
28.133333,1
282,8
2880,1
29019,1
293,1
298,1
29966,249
2km,1
3,1968
30,1
3000 m,1
301,3
303,1
3036,9
304,1
3066300_388600,1
308,1
313,1
32.83333,1
33.5,1
34.6819,1
3462,2
3483,2
349,13
35,1
3500,1
36.416389,1
374,1
376,1
38,1
383279E 4484281N,1
39935,1
3m,1
"4,326",1930
4.148745,2
4.83167,1
4.865308,1
4.89667,1
4.931753,3
4.93333,2
4.933333,1
401,12
4082.78N 382.29E,1
4171,1
419,8
42,1
42.3215651,12
42.32210303,36
42.32231493,12
42.32285288,36
42.56576263,1
42.59923918,1
42.60488405,1
42.61205826,1
